l_ukrainian:
 ENABLE_ESTATE_DECISION:0 "Увімкнути станове рішення"
 auto_complete_estate_agenda_estate_church_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetClergyName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_cossacks_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetCossacksName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_dhimmi_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetDhimmiName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_jains_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetJainsName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_maratha_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetMarathasName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_nomadic_tribes_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetTribesName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_rajput_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetRajputsName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_vaisyas_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetVaishyasName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_janissaries_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §YJanissaries§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_eunuchs_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §YEunuchs§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_qizilbash_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetQizilbashName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_ghulams_tt:1 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetGhilmanName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_all_tt:0 "§YАвтоматично виконати наступний порядок денний стану.§!"
 ###SPECIAL ESTATE ACTIONS###
 RAISE_COSSACK_HOST_COSSACKS_effect_tt:0 "У кожній приналежній §Yстеповій§! провінції можна підняти до §G5§! полків кавалерії §Yкозаків§!. Кожен кавалерійський полк коштуватиме нам §R1000§! рекрутів.\nМожна найняти до §G10§! полків, якщо стан §Y[Root.CossacksRD]§! матиме щонайменше §Y60%§! впливу.\n§YНе можна перевищувати наш ліміт сухопутних військ.§!"
 DEMAND_CONTRIBUTION_DHIMMI_effect_tt:0 "Кожна приналежна §Yчужовірна§! провінція отримає такі ефекти:"
