l_ukrainian:
 # New Manchu culture
 manchu_new:0 "Maньчжуpcьк"
 kor_korean_trade_ports_desc:1 "Торгівля з успішнішими сусідами Кореї має життєво важливе значення для розвитку нації. Завдяки обміну корейських ремісничих виробів на японські та китайські товари та гроші, ми принесемо країні значні прибутки."
 kor_traders_tm:0 "Корейські торгові порти"
 kor_japanese_trade_title:0 "Домінування японської торгівлі"
 kor_japanese_trade_desc:0 "У минулому японці, як правило, витісняли корейських торговців і навіть встановлювали анклави в корейських портових містах. Незліченні багатства чекають на Корею, якщо вона зможе взяти гору в цих відносинах."
 kor_mission_traders:0 "Корейські торговці"
 desc_kor_mission_traders:0 "Завдяки нововідкритому домінуванню корейської меркантильності, тепер можна спостерігати як корейські торговці нав'язують умови угод по всій Східній Азії."
 have_no_estates_tooltip:0 "Немає §Yстанів§!."
 have_no_estate_land_tooltip:0 "На §Yтеріторії§! немає жодного §Yстану§!."
 KOR_two_pleased_estates_tooltip:1 "Один §Yстан§! має щонайменше §Y60 лояльності§!, а два інші мають щонайменше §Y40 лояльності§!."
 end_manchuria_tooltip:0 "Щонайменше одна провінція в кожному районі §YМаньчжурії§! утримується державою §Y[Root.GetName]§! або [Root.GetAdjective]ими суб'єктами, які не є її данниками."
 kor_manchurian_korea:0 "Корейська Маньчжурія"
 desc_kor_manchurian_korea:0 "Стародавня епоха Трьох королівств давно минула, але ми возз'єднали їхні території та повернули Кореї її колишню славу."
 kor_conquest_manchuria:0 "Завоювання Маньчжурії"
 desc_kor_conquest_manchuria:0 "Тепер, коли велику частину Маньчжурії було інтегровано в корейську державу, Маньчжурію все частіше розглядають як нерозривну і невіддільну складову частину Кореї."
 kor_peasant_struggles:0 "Зубожіння селян"
 desc_kor_peasant_struggles:0 "Останнім часом найбідніші верстви сільського населення ледве зводять кінці з кінцями через надмірне оподаткування та захоплення земель елітою янбан. Серед селян склалася атмосфера беззаконня і безладів, які, якщо їх не зупинити, можуть становити серйозну загрозу для держави."
 #New Korean estates and their loyalty modifier
 estate_yangban_scholars:0 "Вчені-янбани"
 estate_yangban_administrators:0 "Адміністратори-янбани"
 estate_neoconfucian_reformers:0 "Неоконфуціанські реформатори"
 EST_KOR_FACTIONAL_UPHEAVAL:1 "Фракційні конфлікти: §Y$VAL$§!"
 EST_KOR_FACTIONAL_UNITY:1 "Фракційні конфлікти завершено: §Y$VAL$§!"
 #New Korean Events (linked to the missions):
 flavor_kor.7.t:0 "Захоплення Хризантемового трону"
 flavor_kor.7.d:1 "Після падіння Кіото японський сьоґунат лежить в руїнах. Корейські війська увійшли в місто і, поки ті, що вижили в місті лили сльози та заціпініли від страху, методично розграбували його, нарешті давши вихід прихованій злобі, що накопичилася протягом декількох поколінь конфлікту між Кореєю та Японією. У процесі вони зібрали неймовірно багаті запаси награбованого, велика частина якого просочилася назад на Корейський півострів.\n\nГоловним серед награбованих артефактів є Хризантемовий трон, на якому японські імператори сиділи від VII століття. [Root.GetRulerTitleAndNameOrRegencyCap] постановив, що його необхідно доставити в [Root.Capital.GetCapitalName] і відвести йому почесне місце на показі серед корейських скарбів."
 flavor_kor.7.opt:0 "Слава Кореї!"
 kor_japanese_loot:0 "Хризантемовий трон"
 desc_kor_japanese_loot:0 "Хризантемовий трон було захоплено та доставлено до столиці Кореї разом із багатьма іншими японськими артефактами."
 flavor_kor.2.desc_new:0 "Під час служби третім цензором у [GetYear], неоконфуціанець Кім Іль Сон, колишній державний історик, проявив себе як людина, готова багато собі дозволити задля критики урядовців та еліти янбан. Його численні опоненти розкрили певні натяки, викладені в його проєкті літописів короля Сонджона, у яких, як вони наполягають, є зрада. Вони вимагають його негайної страти, а також або вислати, або також стратити його прихильників серед неоконфуціанців."
 flavor_kor.2.A:0 "Стратити його!"
 flavor_kor.2.B:0 "Провести замість цього чистку янбан!"
 flavor_kor.2.C:0 "Ми повинні підтримувати політичну рівновагу."
 flavor_kor.3.desc_new:2 "Під час державного банкету [GetDateText], міністр обрядів Ю Се-Джва пролив вино на шати [Root.Monarch.GetTitleOGO]. Оскільки це все сталося після періоду напруженого фракційного суперництва і критики королівської влади, опоненти Ю Се-Джва поспішно витлумачили цю подію як злочин проти суверена і, отже, його зраду. Вони вимагають покарати Ю Се-Джва і провести чистки серед його численних союзників. Хоча це, здається, чудова можливість для уряда позбутися тих, хто ставить під сумнів королівську владу."
 flavor_kor.3.A:0 "Позбутися всіх, хто виступає проти нас."
 flavor_kor.3.B:0 "Ми повинні підтримувати політичну рівновагу."
 flavor_kor.4.desc_new:0 "Чо Кван-джо – неоконфуціанський реформатор – намагається сформувати уряд відповідно до конфуціанських ідеалів. Однак його початкові успіхи в реформуванні призвели до зворотного результату, особливо після того, як він зайшов занадто далеко в нападках на старий порядок янбан, чим послабив їхню владу, коли закріпив перевагу неоконфуціанців в уряді та розсердив їх пропозицією конфіскації земель.\n\nТепер янбани заявляють, що Чо Кванг-Джо є зрадником, який планує спробувати інтронізувати себе, а також стверджують, що його реформи непродумані та завдадуть шкоди суспільству й самим основам держави. Зі свого боку Чо Кванг-Джо наполягає на тому, що єдиний правильний курс дій — це продовження реформ з усією поспішністю, не зважаючи на опір. На чий бік ми станемо?"
 flavor_kor.4.A:0 "Позбутися неоконфуціанців!"
 flavor_kor.4.B:0 "Реформи повинні тривати — чого б це не коштувало!"
 flavor_kor.8.t:0 "Селянський переворот в Кореї"
 flavor_kor.8.d:0 "Останнім часом найбідніші верстви сільського населення ледве зводять кінці з кінцями. Їх не лише оподатковують набагато більше, ніж ті можуть платити та забезпечувати себе, але якщо вони залишають землю, щоб уникнути податкових боргів, зобов'язання переходять до їхніх родичів, що призводить до ще більшого податкового тягаря. Ба більше, еліта янбан набуває собі все більше землі, витісняючи сільських бідняків. Серед селян склалася атмосфера беззаконня і безладів, які, якщо їх не зупинити, можуть становити серйозну загрозу для держави."
 flavor_kor.8.A:0 "Ми повинні поставити їх на місце."
 flavor_kor.8.B:0 "Ми повинні прагнути покращити їхню долю."
 flavor_kor.8.tt:0 "Цей модифікатор можна вилучити, тільки виконавши місію §YТяжке становище селянства§! або здобувши перемогу над селянським повстанням §YІм Ккеокьонга§! наприкінці XVI століття."
 flavor_kor.9.t:0 "Повстання Ім Ккеокьонга"
 flavor_kor.9.d:0 "У провінції [ImKkeokjeong_Revolt_Province.GetName] спалахнули назрілі селянські хвилювання через надмірне оподаткування і нездатність уряду присікти це в зародку. За повідомленнями, розбійник Ім Ккеокьонг, син м'ясника, зібрав велику групу селян і почав убивати багатих поміщиків, розподіляючи їх багатство серед бідних! Наші регіональні представники звертаються до нас з проханням допомогти їм впоратися з кризою."
 flavor_kor.9.opt:0 "Ми розтрощимо цих селян."
 flavor_kor.10.t:0 "Повстання неоконфуціанців"
 flavor_kor.10.d:2 "У кінці XV – на початку XVI століття колишня політичну стабільність корейської чосонської держави, було порушено появою нової групи, відомої як неоконфуціанці. Це були вчені із сільської місцевості, які традиційно були частиною консервативної еліти янбан, яка управляла країною. Їхні очевидні переваги спонукали [Root.Monarch.GetTitleOGO] використовувати їх в уряді; проте, їхні реформістські уявлення поряд з конкуренцією з боку представників янбан за землю і посади приводили до все більш частих зіткнень між різними фракціями в корейській політиці."
 flavor_kor.10.opt:0 "Так тому і бути."
 flavor_kor.10.tt:2 "Усі стани втратять §R10%§! лояльності.\n"
 flavor_kor.11.t:0 "Фракції виходять з-під контролю"
 flavor_kor.11.d:0 "Відмінності між фракціями [Root.GetKorDHEEstate1] та [Root.GetKorDHEEstate2] загострилися і переросли в жорстоку боротьбу не на життя, а на смерть. Лідери обох відповідних фракцій звинувачують один одного у державній зраді, очевидно, після того, як [Root.GetKorFactionReason] досягла рівня, коли королівська влада повинна виступити суддею у стосунках між двома сторонами. Наші вороги напевно радіють, коли бачать нас розділеними!"
 flavor_kor.11.A:0 "Підтримати фракцію [Root.GetKorDHEEstate1]!"
 flavor_kor.11.B:0 "Підтримати фракцію [Root.GetKorDHEEstate2]!"
 flavor_kor.11.tt:0 "\nЩоб ця подія не повторилася, завершіть місію §YЗвільнення від фракційних конфліктів§!."
 flavor_kor.13.t:0 "[Root.GetName] and the Rise of the Manchu"
 flavor_kor.13.d:1 "We and the Jurchen have a history of warfare in the past, and only thanks to our natural borders, the Jangbaek Mountains, was it possible to keep Korea safe from the raids of the horde. With the unification of the Jurchen the question of our safety has risen up yet again though. While we were able to hold off the raids on our borders, it is much more unlikely that we can protect ourselves from the force of an united Manchuria. It might be worth considering to pledge our allegiance to [MCH.GetName], and pay tribute to them in return for peace and prosperity in [Root.GetName]."
 flavor_kor.13.a:0 "Why should we? The Celestial Emperor will protect us."
 flavor_kor.13.b:0 "We shall pay our tribute to the Manchu."
 flavor_kor.13.c:0 "I have enough of these games. We are nobody's tributary from this day forward!"
 flavor_kor.14.t:0 "[From.GetName] requests to become our Tributary"
 flavor_kor.14.d:0 "The [From.Monarch.GetTitle] of [From.GetName] has finally recognized our superior military power and requests to become the tributary of our great [Root.GovernmentName]. Of course there are good reasons to accept [From.Monarch.GetHerHis] request, but we will be forced to give up our plans to expand into the Korean peninsula."
 flavor_kor.14.a:0 "Accept the request"
 flavor_kor.14.a.tt:0 "Every owned province in the §YKorea§! region gets returned to §Y[KOR.GetName]§!."
 flavor_kor.14.b:0 "Refuse the request"
 flavor_mch.EVTNAME8:0 "The Rise of Manchuria"
 flavor_mch.EVTDESC8:0 "The Jurchen of the Manchuria region were always loyal tributaries to [Root.GetName]. They knew their place and served us.\nThis attitude made a substantial change recently however. While we were content with their annual tributary, the Jurchen consolidated their region, subjugated the fellow tribes and united to a single horde, which now lusts for conquest!"
 flavor_mch.EVTOPTA8:0 "May the heaven have mercy on us."
 KOR_supported_faction:1 "Підтримали проти суперників: §Y$VAL$%§!"
 KOR_opposed_faction:1 "Підтримали суперників: §Y$VAL$%§!"
 KOR_purged_faction:1 "Очищено: §Y$VAL$%§!"
 KOR_faction_reason_1:0 "особиста суперечка"
 KOR_faction_reason_2:0 "суперечка щодо питання політики"
 KOR_faction_reason_3:0 "їхня конкуренція за прихильність [Root.Monarch.GetTitleOGO]"
 KOR_faction_reason_4:0 "один лідер випадково образив честь іншого, який"
 string_neoconfucians:0 "Неоконфуціанські реформатори"
 string_yangban_admins:0 "Адміністратори-янбани"
 string_yangban_scholars:0 "Вчені-янбани"
 kor_manchurian_expedition:0 "Маньчжурська експедиція"
 desc_kor_manchurian_expedition:0 "Готуючись до Маньчжурської експедиції, інструктори приділили особливу увагу муштрі військ."
 leadered_peasant_rebels_title:0 "Селяни"
 leadered_peasant_rebels_name:0 "$COUNTRY$і селяни"
 leadered_peasant_rebels_desc:0 "Повсталі селяни на чолі з грізним вождем розбійників втомилися від утисків і непосильних податків. Вони погано озброєні і навчені, і переважно складаються з піхоти."
 leadered_peasant_rebels_army:0 "Селянська армія"
 DEVELOPMENT_IN_PROVINCES:0 "$DEVELOPMENT$ бал. розвитку (поточний: $CURRENT|Y$) у всіх приналежних провінціях"
 # Start Screens
 string_start_korea:1 "§YКорейське Королівство Чосонів§!, офіційна назва §YВелике Королівство Чосонів§!, постало на попелищі навал §YМін§! і §Yмонголів§! після державного перевороту, який очолив генерал §YЛі Сонґьо§! (пізніше відомий як §Yкороль Теджо§!) у 1392. Від самого початку корейське королівство Чосон і §Yкитайська династія Мін§! мали міцний зв'язок: Під час вибору назви для нового королівства, Теджо представив уряду Мін два варіанти: 'Хварьон' і 'Чосон'. Він зупинився на останньому після схвалення назви Імператором.\n\nЦей тісний зв'язок з §YМін§! (як і статус підлеглості Кореї) залишався таким до падіння династії Мін в середині XVII століття. Як послідовники §Yконфуціанства§!, корейці сприймали Китай серцем корейського світу, а Корея за правління Чосон стала в деякому роді навіть більш китаїзована, ніж сам Китай — таким собі 'маленьким Китаєм'. Зі свого боку, китайці розглядали Чосонську Корею як 'країну ввічливих людей на Сході'. До тих пір, поки Мін залишатиметься безперечним претендентом на 'Небесний мандат', підтримка цих міцних зв'язків лишатиметься життєво важливою для виживання молодого корейського королівства.\n\nДосягнення першого століття правління §YЧосон§! були значними. На початку XV століття прикордонні райони §YКайонгсонг§! і §YЮкджин§! було відібрано в §Yчжурчженів§!, що дозволило корейцям об'єднати територію, яка сформує сучасну Корею. Крім того відбувся бурхливий ріст наукових колах і поширенні знань. Зокрема, в 1446 році було введено абетку хангиль. На відміну від китайської абетки, її було легко вивчити й легко адаптувати до корейської мови, що робить її використання набагато зручнішим і дозволяє набагато більшій частині суспільства читати наукові тексти. Подальший помітний прогрес було досягнуто у сфері сільського господарства, пороху і кодифікації законів, також було докладено значних зусиль для вивчення і реєстрації географії земель.\n\nОднак Корейське королівство не позбалене загроз, які залишаються як всередині держави, так і за її межами. Усередині країни корейські селяни бідують, як і раніше, а обидва §Yселянські повстання§! й недостатні податкові надходження можуть стати проблемою, якщо нічого не зробити для виправлення ситуації. Крім того, вже проявилися сліди розколу у вищих колах §Yянбанських еліт§!, до цього єдиних, і вони можуть у будь-який момент перерости у §Yфракційну боротьбу§!.\n\nБагато загроз і на зовнішньому фронті. На півночі чекають войовничі §Yчжурчжени§! – хоча в даний час і роз'єднані, але якщо вони об'єднаються під сильним лідером, вторгнення в Корею може відбутися негайно. Так само, за морем на сході лежить §YЯпонія§! – нація войовничих §Yдаймьо§! та потенційних §Yсьоґунів§!. Корея повинна бути пильною, щоб об'єднана Японія не намагалася розширити свою владу через вузький канал Корейського моря. І на закінчення, хоча Корея гріється в тіні §YІмперії Мін§!, горе тому принцові Чосон, який розбудить дракона!"
 string_start_jurchens:1 "Ханьці добре знають, як небезпечно дозволяти §Yчжурчженам§! об'єднуватися. У XII столітті полководець §YВаньянь Агуда§! об'єднав чжурчженів у повстанні проти §YЛяо§!, утворив династію §YЦзінь§! і оголосив себе §Yімператором під ім'ям Тай-цзу§!. Династія §YМін§! бажає уникнути чергового повстання чжурчженів і вживає заходів для забезпечення того, щоб вони продовжували боротися між собою, а фракції не стали занадто могутніми. З цією метою Мін встановили вільну владу над чжурчженьськими племенами §YЦзяньчжоу§! та §YХайсі§!.\n\nЗ племен чжурчженів, Цзяньчжоу, безумовно, наймогутніше. Як і хайсі, вони осідлі люди; інституції та філософія китайського правління поступово поширюються в регіоні та приймаються місцевими ханами.\n\nПопри проникнення традицій китайського управління, осідлі чжурчжени зберігають більшість традицій і культуру воїнів 'диких чжурчженів' на півночі. Кочові племена §YЄжень§!, §YУдеге§! і §YДонгай§! далеко не безпорадні, – їм доводиться боротися тільки одне проти одного і проти відносно ізольованих народів §YСолон§! і §YНіквх§!.\n\n§YКорея§! часто вступає в суперечки з чжурчженями та лише недавно анексувала північно-східні провінції §YЮкчин§! і §YКьонсон§! у гілки Цзяньчжоу. І чжурчжени, і корейці вважають гору §YПекту§! священним місцем, і кожна сторона у свою чергу вважає, що лише вони повинні мати доступ до святої вершини.\n\nСтосунки чжурчженів і §Yмонголів§! постійно змінюються. Іноді союзники, а іноді й жорстокі суперники – представники обох племен часто одружуються, щоби забезпечити політичні зв'язки, тож династична ворожнеча дуже поширена. §YКорчінські§! монголи під §Yханом Унеболадом§! находяться на сході країни та, якщо їх ніщо не стримуватиме, вони можуть націлитися на розширення в землі чжурчженів.\n\nЧжурчженські хани з ніжністю згадують дні Цзінь. Якщо їм вдасться подолати розбіжності між племенами та утримати монголів у страху, вони можуть знову піднятися під керівництвом нового лідера, розгромити Мін і викувати для себе нову ідентичність."
 # Mongolia misc
 chahar_area:0 "Чахар"
 chahar_area_name:0 "Чахар"
 chahar_area_adj:0 "Чахарськ"
 cicigar_area:0 "Цицигар"
 cicigar_name:0 "Цицигар"
 cicigar_adj:0 "Цицигарськ"
 flavor_oir.8.t:0 "Джунгари"
 flavor_oir.8.d:1 "Після руйнування Союзу Ойратів багато племен, які до нього входили, розпалися та сформували нові ідентичності. Найбільшою з цих ойратських груп є джунгари, які оголосили великий район на північ від гір Тянь-Шаню своїми пасовищами. Поки неясно, чи становлять вони якусь загрозу для держави [Root.GetName]."
 flavor_oir.8.a:0 "Сподіваймося, що вони мирні."
 devastate_china_tooltip:0 "Щонайменше одна провінція на §Yкитайському§! субконтиненті, яка окупована, але не належна державі [Root.GetName] та має щонайменше §Y25§! балів розвитку і §Y20§! спустошення"
 establish_tributaries_tt:1 " країни – данники держави §Y[Root.GetName]§!"
 xilin_gol_area:0 "Шилін-Гол"
 xilin_gol_area_name:0 "Шилін-Гол"
 xilin_gol_area_adj:0 "Шилін-Голськ"
 # mission tooltips
 restore_yuan_tt:90 "Держава [Root.GetName] володіє та вважає національними принаймні §Y20§! провінцій у регіоні §YПівнічний Китай§!"
 reconquer_china_tt:0 "Держава [Root.GetName] володіє принаймні §Y40§! провінціями в регіонах §YСінань§! та §YПівденний Китай§!"
 mongol_ca_tt:0 "Держава [Root.GetName] володіє принаймні §Y30§! провінціями в регоні §YЦентральна Азія§!"
 mongol_persia_tt:0 "Держава [Root.GetName] володіє принаймні §Y30§! провінціями в регіонах §YПерсія§! та §YХорасан§!"
 mongol_anatolia_tt:0 "Держава [Root.GetName] володіє принаймні §Y40§! провінціями в регіонах §YАнатолія§! та §YМашрик§!"
 mongol_tibet_tt:0 "Держава [Root.GetName] володіє принаймні §Y10§! провінціями в регіоні §YТибет§!"
 mongol_tatars_tt:0 "Держава [Root.GetName] володіє принаймні §Y10§! провінціями в регіоні §YПонтійський степ§!"
 mongol_yam_tt:0 "Щонайменше §Y3§! підконтрольні провінції в регіонах §YХорасан§!, §YЦентральна Азія§!, §YМонголія§! та §YПівнічний Китай§! мають центр торгівлі §Y3§! рівня"
 mongol_rus_tt:0 "Держава [Root.GetName] володіє щонайменше §Y30§! провінціями в регіонах §YРосія§! і §YРутенія§!"
 # Mongolia provinces
 PROV4664:1 "Ороген"
 PROV_ADJ4664:1 "Орогенськ"
 PROV4665:1 "Західна Бутеха"
 PROV_ADJ4665:1 "Західно-бутехськ"
 PROV4666:1 "Бараг"
 PROV_ADJ4666:1 "Барагськ"
 PROV4667:1 "Баян-уул"
 PROV_ADJ4667:1 "Баян-уульськ"
 PROV4668:1 "Орхон"
 PROV_ADJ4668:1 "Орхонськ"
 PROV4669:1 "Сайншанд"
 PROV_ADJ4669:1 "Сайншандськ"
 PROV4670:1 "Урад"
 PROV_ADJ4670:1 "Урадськ"
 PROV4671:1 "Калган"
 PROV_ADJ4671:1 "Калганськ"
 PROV4672:1 "Джосуту"
 PROV_ADJ4672:1 "Джосутуськ"
 PROV4673:1 "Ужімкін"
 PROV_ADJ4673:1 "Ужімкінськ"
 PROV4674:1 "Корчін"
 PROV_ADJ4674:1 "Корчінськ"
 PROV4675:1 "Байсінгту"
 PROV_ADJ4675:1 "Байсінгтуськ"
 PROV4676:1 "Бадайн-Джаран"
 PROV_ADJ4676:1 "Бадайн-Джаранськ"
 PROV4677:1 "Нойон"
 PROV_ADJ4677:1 "Нойонськ"
 PROV4678:2 "Каракорум"
 PROV_ADJ4678:2 "Каракорумськ"
 PROV4679:1 "Ховсгол"
 PROV_ADJ4679:1 "Ховсгольськ"
 PROV4680:1 "Захчін"
 PROV_ADJ4680:1 "Захчінськ"
 PROV4681:1 "Улгий"
 PROV_ADJ4681:1 "Улгийськ"
 PROV4682:1 "Мунххайрхан"
 PROV_ADJ4682:1 "Мунххайрханськ"
 PROV4683:1 "Алтай"
 PROV_ADJ4683:1 "Алтайськ"
 #New Jurchen/Manchu/Qing Ideas
 MJZ_ideas:0 "Чжурчженьські ідеї"
 MJZ_ideas_start:0 "Чжурчженьські традиції"
 MJZ_ideas_bonus:0 "Чжурчженьські амбіції"
 sons_of_the_mountain:0 "Сини гори"
 sons_of_the_mountain_desc:1 "Згідно з основоположним міфом, перший принц чжурчженів був нащадком небесної діви, яка жила на горі Букарі (відомої корейцям як гора Пекту), та завагітніла від фрукта, скинутого сорокою.\n\nНащадки цього принца добре знають нашу негостинну землю і з радістю помруть, захищаючи її від своїх ворогів."
 jurchen_pigtail:0 "Хвіст"
 jurchen_pigtail_desc:0 "Протягом декількох поколінь чжурчжени носили своє волосся особливим чином, відомим як 'хвіст', бриючи передню частину голови та заплітаючи решту в косицю. Це допомогло створити відчуття братерства між різними народами чжурчженів."
 jurchen_border_skirmishes:0 "Прикордонні землі"
 jurchen_border_skirmishes_desc:1 "Щоби зберегти незалежність, нам часто доводилося захищати кордони від сусідніх китайців і монголів. Ці прикордонні війни поряд з численними міжусобними конфліктами породили націю племен, котрі завзято оберігають свою незалежність і воїнів, що вселяють страх."
 jurchen_many_wives:0 "Дружини і наложниці"
 jurchen_many_wives_desc:0 "Через свої практики брати безліч дружин і наложниць, воєначальники чжурчженів ніколи не відчувають нестачі в потенційних спадкоємцях для успадкування їхніх завоювань."
 jurchen_foreign_service:0 "Військова служба за кордоном"
 jurchen_foreign_service_desc:1 "Ми традиційно жили в тіні наших сусідів – Великих Мін, які часто прагнули на нас впливати. Чимало чжурчженських принців практикували мистецтво війни, коли знаходилися в них на службі."
 jurchen_warlords_generosity:0 "Щедрість воєначальника"
 jurchen_warlords_generosity_desc:0 "Чжурчженьський воєначальник охоче дарує рабів, дружин і землі, щоб залучити інших на свій бік. Чисельне потомство забезпечує йому постійну наявність великого числа наречених для іноземних сановників і потенційних перебіжчиків."
 the_jurchen_banners:0 "Чжурчженьські корогви"
 the_jurchen_banners_desc:0 "Реорганізуйте армію племінних кланів у силу, з якою потрібно рахуватися, і створіть грізні армії під чжурчженськими корогвами."
 the_later_jin:0 "Пізня Цзінь"
 the_later_jin_desc:1 "Маньчжурська держава простежує своє коріння до Великої Цзінь XII-XIII століття, яка панувала над Північним Китаєм до монгольського завоювання. Нова, відновлена Цзінь прагне наслідувати завоювання свого попередника та повернути славу минулого."
 manchu_chinese_learning:0 "Вивчення китайської"
 manchu_chinese_learning_desc:0 "Наші вчені переклали китайські військові трактати, такі як 'Мистецтво війни' Сунь Цзи та 'Шість таємних вчень' Лю Шанга, на маньчжурську, що дозволило нашим воєначальникам стати добре обізнаними в теорії військової стратегії."
 seven_grievances:0 "Сім образ"
 seven_grievances_desc:1 "Протягом багатьох років маньчжурський народ складав довгий список образ на Хань – список, який можна використати для виправдання військових дій, спрямованих на усунення їхніх нинішніх правителів."
 QNG_ideas:0 "Ідеї Великої Цін"
 QNG_ideas_start:0 "Традиції Великої Цін"
 QNG_ideas_bonus:0 "Амбіції Великої Цін"
 expand_the_banners:0 "Розширити корогви"
 expand_the_banners_desc:0 "Дозволивши ханському і монгольському народам увійти у Вісім корогв, ми створимо велике і потужне багатонаціональне військо, підвладне будь-яким примхам імператора Цин."
 qng_bogda_khan:0 "Богдихан"
 qng_bogda_khan_desc:0 "На відміну від династії Мін, імператори Цин не відчувають жодних сумнівів щодо окультурення 'варварів' і активно прагнуть інтегрувати їх в Імперію. Наприклад, відомий як Хуанді (Імператор), хан Цин приймає титул Богдихан (священний Хан) серед монголів."
 qing_viceroyalties:0 "Намісники"
 qing_viceroyalties_desc:1 "Ми розширили систему намісників пізньої епохи Мін, яка зосередилася на захисті північного кордону, до системи з восьми постійних намісників, чия влада охоплює більшу частину Китаю. Намісники володіють значною військовою і цивільною владою у своїх провінціях, ефективно діючи як регіональні губернатори імператора, тим самим спрощуючи адміністративну систему імперії."
 the_ten_great_campaigns:0 "Десять великих кампаній"
 the_ten_great_campaigns_desc:1 "Наше завоювання Китаю дозволило жителям околиці імперії піднятися над своїм становищем. Необхідно провести серію кампаній для відновлення порядку на цих землях і поширити владу Великої Цин на наших ворогів."
 #Oirat Ideas
 OIR_ideas:0 "Ойратські ідеї"
 OIR_ideas_start:0 "Ойратські традиції"
 OIR_ideas_bonus:0 "Ойратські амбіції"
 fearsome_warriors_of_tumu:0 "Грізні воїни Туму"
 fearsome_warriors_of_tumu_desc:0 "Ойрати – майстерні та грізні вершники, які здатні своєю маневровістю сковувати значно більші армії, що складаються з піхоти. Стукіт копит, який рознесеться рівнинами, вселить страх у серця наших ворогів!"
 the_four_oirats:0 "Четверо ойратів"
 the_four_oirats_desc:0 "Альянс чотирьох ойратських племен зв'язує західних монголів разом. Сформований в 1399 році з джунгарів (або чоросів), торгутів, дербетів та хошутів, він досі зберігає міцність, дозволивши потужній Ойратській державі повстати у центральноазійських степах."
 OIR_great_khans_legacy:0 "Спадщина Великого хана"
 OIR_great_khans_legacy_desc:0 "Серед наших людей багато хто пам'ятає подвиги нашого народу під проводом Великого хана. Вони воліли б їх повторити і повернути його спадщину – але цього разу хан має бути ойратом, а не одним зі східних монголів."
 todo_besheg_script:0 "Писемність тодо-бічіг"
 todo_besheg_script_desc:0 "Тодо-бічіг або 'ясне' письмо адаптує монгольську писемність так, щоб у ній можна було розрізнити всі звуки розмовної ойратської мови, а також полегшує транскрипцію тибетської мови та санскриту. Це буде значним прогресом для нашої адміністрації та для поширення знань, набутих нашими сусідами та іноземними державами."
 defiance_of_the_dzungars:0 "Непокора джунгарів"
 defiance_of_the_dzungars_desc:0 "Джунгари або 'ліворукі' – найгрізніше плем'я ойратів. Їх ненавидять та бояться наші вороги – вони битимуться до останнього чоловіка, жінки чи дитини й ніколи не здадуться іноземному володареві."
 #Mongolian Ideas
 KHA_ideas:0 "Монгольські ідеї"
 KHA_ideas_start:0 "Монгольські традиції"
 KHA_ideas_bonus:0 "Монгольські амбіції"
 ikh_mongol_uls:0 "Іх Монгол улс"
 ikh_mongol_uls_desc:1 "Як справжні монголи, ми, монголи Еке Монгол улус ('Великої монгольської держави'), вважаємо себе головними спадкоємцями великої імперії Чингісхана. За найменшої можливості наш народ спробує повторити подвиги великого хана і повернути його спадщину, возз'єднавши колись величезні території Монгольського ханства."
 northern_yuan:0 "Північна Юань"
 northern_yuan_desc:2 "У XIII столітті Хубілай-хан завоював Китай і заснував династію Юань. Претендуючи на титул великого хана Чінгиса, а також імператора Китаю, держава Юань іноді називалась Імперією великого хана. Хоча зрештою перемогла Мін, яка обмежила нашу владу власне Монголією, пам'ять про Юань живе, як і амбіції повернути Небесний трон, якщо коли-небудь з'явиться така можливість."
 ghostly_horses_of_the_plain:0 "Примарні коні рівнин"
 ghostly_horses_of_the_plain_desc:0 "Відвага монгольських вершників відома в усьому світі. Наші вороги тремтітимуть від страху, споглядаючи хмару пилу вдалині, страхаючись, що це може означати наближення нашої кавалерії!"
 yams_of_the_great_khan:0 "Ямси великого хана"
 yams_of_the_great_khan_desc:2 "Для того, щоб посланці могли пересуватися достатньо швидко і не відставати від монгольських армій, Чингісхан запровадив систему дорожніх станцій або 'ямсів', які встановлювалися кожні 30-60 км та забезпечували припасами, дахом над головою та запасними конями посланців монгольської армії. Це дозволило передавати повідомлення зі швидкістю коня в галопі, незважаючи на втому. Завдяки цьому наша імперія змогла подолати логістичні проблеми, викликані величезним розміром Pax Mongolica, принаймні тимчасово."
 mongolian_mobility:0 "Монгольська мобільність"
 mongolian_mobility_desc:2 "Кожен з наших солдатів, як правило, утримує 3-х або 4-х коней, що дозволяє їм змінювати верхового коня кожного разу, коли він стомлюється, і тому подорожувати без зупинки багато днів з великою швидкістю. Крім того, додаткові сили забезпечують їм запаси кобилячого молока та конини, що робить наші війська значно менш вразливими до голоду, ніж війська так званих цивілізованих націй. Це дозволяє нам легко перевершувати ворогів, охоплюючи величезні території за такі короткі терміни, які вони вважали неможливими."
 MNG_kheshig:0 "Кешік"
 MNG_kheshig_desc:0 "Колись Кешік складав грізну охорону Великого монгольського хана. Їхні нащадки продовжать захищати монгольських ханів, коли вони поскачуть у бій проти ворогів свого народу!"
 #Chagatai Ideas
 CHG_ideas:0 "Чагатайські ідеї"
 CHG_ideas_start:0 "Чагатайські традиції"
 CHG_ideas_bonus:0 "Чагатайські амбіції"
 the_mountain_khanate:0 "Гірське ханство"
