l_ukrainian:
 flavor_ter.1.t:0 "Прянощі мають текти неспинно"
 dai_state_education:0 "Віра і навчання"
 desc_dai_state_education:0 "Освіта повинна висвітлювати шлях."
 mnd_mlc_pajang_title:0 "Підпорядкувати Паханг"
 mnd_mlc_pajang_desc:0 "Паханг — останнє буддійське королівство, що залишилося на Малайському півострові та легка мета для нашої експансії. Ми підпорядкуємо їхнє королівство і поставимо вірного нам принца, який керуватиме ним."
 mnd_mlc_peninsula_title:0 "Панування на півострові"
 mnd_mlc_peninsula_desc:0 "Ми повинні панувати над півостровом і всіма тамтешніми дрібними королівствами, щоб жоден із їхніх новоспечених осередків ніколи не міг змагатися з Малаккою."
 mnd_mlc_show_of_force_title:0 "Продемонструвати силу"
 mnd_mlc_show_of_force_desc:0 "Наша експансія на Суматрі почнеться із демонстрації сили. Ми повинні продемонструвати принцам Сіака, що ми перевершуємо їхніх колишніх повелителів з Маджапагіта."
 mnd_mlc_jambi_title:0 "Підкорення Суматри"
 mnd_mlc_jambi_desc:0 "Закріпившись у Сіаку, ми можемо розпочати кампанію підкорення решти суматранских султанів."
 mnd_mlc_ming_title:0 "Посланець до імператора"
 mnd_mlc_ming_desc:0 "Колись у нас були міцні стосунки з китайською династією Мін. Останнім часом династії Мін мало цікавляться питаннями за межами своїх кордонів і малоймовірно, що вони захистять нас у кризовій ситуації. Ми маємо відновити наші відносини з Імператором."
 mnd_mlc_champa_title:0 "Подружитися з Чампою"
 mnd_mlc_champa_desc:0 "Чампа опинилася в хисткому становищі на материку, зазнавши низки поразок від Дай В'єт. Ми повинні стати їхніми захисниками."
 mnd_mlc_develop_malacca_title:0 "Розвинути Малакку"
 mnd_mlc_develop_malacca_desc:0 "Ми хотіли б перетворити Малакку на найбільший торговий порт у світі з чудовими храмами та укріпленнями."
 mnd_mlc_tributaries_title:0 "Вірні піддані"
 mnd_mlc_tributaries_desc:0 "Султан вимагає від своїх васальних принців граничної вірності."
 mnd_mlc_destroy_majapahit_title:0 "Знищити Маджапагіт"
 mnd_mlc_destroy_majapahit_desc:0 "Колись Маджапагіт панував майже над усією Нусантарою, зокрема й нашою державою. Тепер, коли ми перетворилися на суперників, які кинули виклик їхній гегемонії, ми повинні знищити їх раз і назавжди."
 mnd_mlc_defeat_ayutthaya_title:0 "Перемогти Аюттхаю"
 mnd_mlc_defeat_ayutthaya_desc:0 "Аюттхая прагне підпорядкувати наш султанат силою. Ми покажемо їм, що так легко не вклонятимемося."
 mlc_trade_modifier:0 "Головний торговий порт"
 desc_mlc_trade_modifier:0 "Малакка стала головним торговим портом Нусантари."
 mlc_morale:0 "Панування на півострові"
 desc_mlc_morale:0 "Малакка об'єднала Малайський півострів."
 mlc_subjects:0 "Підвладні принци"
 desc_mlc_subjects:0 "Нам підпорядковано багато держав, і ми домоглися їхньої вірності."
 mlc_cb_tt:0 "Дає casus belli §YКомпанії Малакки§! casus belli проти держав з §Yмалайською§! основною культурою"
 lxa_mph_title:0 "Влада над Муанг Фуань"
 lxa_mph_desc:0 "Муанг Фуань надто довго уникав прямого правління Лан Ксанга. Вони повинні бути інтегровані до нашої держави."
 lxa_dai_title:0 "Вторгнутись до Дай В'єта"
 lxa_dai_desc:0 "В'єтнамці постійно загрожують нашим північним провінціям. Ми повинні почати вторгнення та підпорядкувати їх."
 lxa_lna_title:0 "Підпорядкувати Ланну"
 lxa_lna_desc:0 "Земля мільйона рисових полів дозріла для збору врожаю. Ми повинні підпорядкувати їх своїй владі."
 lxa_ayu_title:0 "Вторгнутись до Сіама"
 lxa_ayu_desc:0 "Королівство-вискочень Аюттхая має великі амбіції. Не можна припустити, щоб вони їх досягли."
 lxa_civil_war_title:0 "Уникнути роздроблення"
 lxa_civil_war_desc:0 "Громадянська війна загрожує розірвати нашу державу на частини. До цього не повинно дійти."
 lxa_raid_angkor_title:0 "Набіг на Камбоджу"
 lxa_raid_angkor_desc:0 "Кхмери слабкі після розграбування Ангкора. Ми повинні цим скористатися і напасти на них."
 lxa_khm_title:0 "Підпорядкувати кхмерів"
 lxa_khm_desc:0 "Ми показали, що кхмери не здатні пручатися. Ми повинні скористатися цією нагодою і підкорити їх."
 lxa_buddha_title:0 "Викрасти Смарагдового Будду"
 lxa_buddha_desc:1 "Чудовий Смарагдовий Будда знаходиться в Чіангмаї. Ми повинні забрати його собі, бо ми справді побожні."
 lxa_religion_title:0 "Навернути політеїстів"
 lxa_religion_desc:0 "Багато хто в Лан Ксангу досі сповідує традиційні народні релігії. Ми повинні показати їм хибність їхнього шляху."
 lxa_elephants_title:0 "Мільйон слонів"
 lxa_elephants_desc:0 "Лан Ксанг – країна мільйона слонів. Ми повинні виправдати своє ім'я та виставити у битві найразючих бойових слонів."
 lxa_legitimacy:0 "Легітимне правління"
 desc_lxa_legitimacy:0 "Ми запобігли роздробленню нашої держави та узаконили своє правління."
 lxa_tolerance_own:0 "Одна віра"
 desc_lxa_tolerance_own:0 "Ми навернули норовливих анімістів у справжню віру."
 lxa_elephants:0 "Мільйон слонів"
 desc_lxa_elephants:0 "Ми відновили нашу традицію використання слонів на полі бою."
 lxa_missionaries:0 "Буддійське завзяття"
 desc_lxa_missionaries:0 "Ми встановили Смарагдового Будду в нашій столиці, відродивши нашу буддійську віру."
 tdo_growing_strong_title:0 "Набратися сили"
 tdo_growing_strong_desc:0 "Джунглі можуть вирости й з одного насіння. Ми повинні побудувати кілька фортець і зробити їх невіддільною частиною нашої землі."
 tdo_the_queens_channel_title:0 "Канал Королеви"
 tdo_the_queens_channel_desc:0 "Канал Королеви - наш природний кордон з Манілою. Ми повинні скористатися цим і звернути пильну увагу на морську торгівлю."
 tdo_befriend_majapahit_title:0 "Подружитися з Маджапагітом"
 tdo_befriend_majapahit_desc:0 "Таласократична імперія Маджапагіт, яка колись була нашим союзником, все ще заслуговує нашої довіри. Ми повинні показати світові, що ми ніколи не забуваємо ні про наших союзників... ні про наших ворогів."
 tdo_abandon_the_dragon_title:0 "Відкинути дракона"
 tdo_abandon_the_dragon_desc:0 "Потужні союзники можуть бути корисними, але якщо ми хочемо самі стати могутнім союзником, ми повинні показати світові, що [Root.GetName] не боїться дракона."
 tdo_stones_of_ganesh_title:0 "Камені Ґанеша"
 tdo_stones_of_ganesh_desc:0 "Маючи голову слона та мудрість бога, Ґанеш був одним із найшанованіших божеств цієї землі. Ми не повинні порушувати його спокій."
 tdo_ganesh:0 "Камені Ґанеша"
 desc_tdo_ganesh:0 "Прихильність бога Ґанеша тепер забезпечено."
 tdo_befriend_majapahit:0 "Подружилися з Маджапагітом"
 desc_tdo_befriend_majapahit:0 "Тондо успішно став союзником Маджапагіта."
 tdo_the_queens_channel:0 "Канал Королеви"
 desc_tdo_the_queens_channel:0 "Покращилася торгівля у порту Маніли."
 tdo_growing_strong:0 "Приріст сили"
 desc_tdo_growing_strong:0 "Ми побудували декілька укріплень, і тепер наша земля готова до війни."
 mas_all_the_ships_of_aklan_title:0 "Усі кораблі Аклана"
 mas_all_the_ships_of_aklan_desc:0 "Хвилі розступаються перед нашими кораблями, і нехай весь світ швидше про це дізнається."
 mas_the_sound_of_bells_title:0 "Звуки дзвонів"
 mas_the_sound_of_bells_desc:0 "У нашого народу є традиція - бити в гонги та дзвони під час морських битв. Ці звуки будуть нашим останнім попередженням."
 mas_going_back_home_title:0 "Повернення додому"
 mas_going_back_home_desc:0 "Згідно з легендою, на наші острови прибуло десять дату з Борнео, які уклали договір з одним із наших стародавніх героїв. Час зробити візит у відповідь."
 mas_the_book_of_maragtas_title:0 "Книга Мараґтас"
 mas_the_book_of_maragtas_desc:0 "Тепер ми повернемо прадавню землю нашого народу. Треба відправити експедицію до неприступних берегів Борнео і далі за його межі."
 mas_all_the_ships_of_aklan:0 "Усі кораблі Аклана"
 desc_mas_all_the_ships_of_aklan:0 "Наш флот значно збільшився, справивши враження на наших найближчих сусідів."
 mas_the_sound_of_bells:0 "Звуки дзвонів"
 desc_mas_the_sound_of_bells:0 "Грізні звуки наших прадавніх дзвонів долетіли до наших ворогів."
 mas_going_back_home:0 "Повернення додому"
 desc_mas_going_back_home:0 "Тепер ми стали досить багатими, щоб повернутися додому."
 filipino_conquer_luzon_title:0 "Підкорити Лусон"
 filipino_conquer_luzon_desc:0 "Лусон – північна частина нашого архіпелагу. Ми повинні отримати владу над його народами, перш ніж почати заселяти неколонізовані землі."
 filipino_conquer_the_north_title:0 "Підкорити північ"
 filipino_conquer_the_north_desc:0 "Тепер, після підкорення північних народів, ми можемо захопити неколонізовані землі."
 filipino_conquer_visayas_title:0 "Підкорити Вісайї"
 filipino_conquer_visayas_desc:0 "Вісайї — центральна частина нашого архіпелагу. Ми повинні отримати владу над його народами, перш ніж почати заселяти неколонізовані землі."
 filipino_conquer_the_center_title:0 "Підкорити центр"
 filipino_conquer_the_center_desc:0 "Тепер, після підкорення народів центра, ми можемо захопити неколонізовані землі."
 filipino_conquer_mindanao_title:0 "Підкорити Мінданао"
 filipino_conquer_mindanao_desc:0 "Мінданао – південна частина нашого архіпелагу. Ми повинні отримати владу над його народами, перш ніж почати заселяти неколонізовані землі."
 filipino_conquer_the_south_title:0 "Підкорити південь"
 filipino_conquer_the_south_desc:0 "Тепер, після підкорення південних народів, ми можемо захопити неколонізовані землі."
 filipino_conquer_luzon:0 "Завоювання Лусона"
 desc_filipino_conquer_luzon:0 "Бойовий дух нашого народу підвищився завдяки демонстрації нашої сили в Лусоні."
 filipino_conquer_visayas:0 "Завоювання Вісайї"
 desc_filipino_conquer_visayas:0 "Бойовий дух нашого народу підвищився завдяки демонстрації нашої сили в Вісайї."
 filipino_conquer_mindanao:0 "Завоювання Мінданао"
 desc_filipino_conquer_mindanao:0 "Бойовий дух нашого народу підвищився завдяки демонстрації нашої сили в Мінданао."
 plb_gold_and_diamonds_title:0 "Золото і діаманти"
 plb_gold_and_diamonds_desc:0 "Наша країна славиться своїми природними багатствами, в надрах наших копалень знайшли золоті руди та діаманти. Ми повинні скористатися цим, щоб зміцнити наш вплив у нашому торговому вузлі."
 plb_a_place_where_the_water_leaks_title:0 "Куди тече вода"
 plb_a_place_where_the_water_leaks_desc:0 "Наш народ завжди, навіть за назвою, асоціювався з водою. Підтримуючи флот належного розміру, наші сусіди завжди пам'ятатимуть, чому це так."
 plb_orang_laut_title:0 "Оранг-лаути"
 plb_orang_laut_desc:0 "Морські кочовики мандрують нашими водами, ловлять рибу та збирають дарунки моря. Їхня присутність поширена на узбережжя сусідніх держав, і вони можуть дати нам вагомі підстави претендувати на ці землі."
 plb_arrival_of_dragonships_title:0 "Прибуття кораблів-драконів"
 plb_arrival_of_dragonships_desc:1 "Технологія човнів-драконів прийшла до нас через торговців з континенту. Ми повинні вивчити цей новий тип корабля та адаптувати його до наших потреб."
 plb_pirate_kings_title:0 "Піратські королі"
 plb_pirate_kings_desc:0 "Наше море завжди було піратським. Нам дали репутацію мародерів та злодіїв, але вони не змогли побачити переваги, які гарний піратський флот може дати державі – наприклад нові узбережжя для набігів."
 plb_muara_takus_title:0 "Муара Такус"
 plb_muara_takus_desc:1 "Стародавні храми імперії Шривіджая були покинуті після її доленосного падіння. Якщо нам вдасться їх відновити, наша віра стане міцною, ніж будь-коли."
 plb_vidhyadara_torana_title:0 "Відх'ядара Торана"
 plb_vidhyadara_torana_desc:0 "Прикрашені коштовностями військові ворота імперії Шривіджая були добре відомі в усій Нусантарі та вважалися символом багатства цієї країни. Якщо ми зможемо об'єднатися з кимось із тих, хто все ще це пам’ятає, ми зможемо повернути втрачену славу."
 plb_king_under_the_mountain_title:0 "Король під горою"
 plb_king_under_the_mountain_desc:0 "Династія Шайлендра правила нашою землею багато століть тому. Їхнє регентство було успішним і квітучим, і вони походили з острова Ява. Ми повернемо те, що належить нам."
 plb_kings_court_title:0 "Королівський двір"
 plb_kings_court_desc:0 "Резиденція дату завжди була місцем зустрічі знаті та вчених. Приходили посли підкорених королівств та ще більше збільшували кількість гостей. Прийшов час відновити такий квітучий двір."
 plb_restore_srivijaya_title:0 "Відновити Шривіджайю"
 plb_restore_srivijaya_desc:0 "Імперія наших предків Шривіджая поширювалася по всій Нусантарі, маючи столицю на Суматрі. Ми відвоюємо землі, які колись належали нам, і створимо нову та настільки ж квітучу сучасну державу."
 plb_gold:0 "Золото"
 desc_plb_gold:0 "Ми скористалися нашими ресурсами для збільшення торгового впливу."
 plb_and_diamonds:0 "І діаманти"
 desc_plb_and_diamonds:0 "Ми показали силу у нашому торговому вузлі, внаслідок чого наш торговий вплив збільшився."
 plb_sea_people:0 "Морські люди"
 desc_plb_sea_people:0 "Морські традиції нашої країни повинні будуть підкріплені нашими морськими кочовиками."
 plb_dragonships:0 "Кораблі-дракони"
 desc_plb_dragonships:1 "Ми скоригували човни-дракони так, щоб вони відповідали нашим кораблям, та покращили їхні характеристики."
 plb_srivijaya_temples:0 "Храми Шривіджаї"
 desc_plb_srivijaya_temples:1 "Наші храми допомогли нашим місіонерам удосконалити способи переконання."
 plb_shailendra_dynasty:0 "Династія Шайлендра"
 desc_plb_shailendra_dynasty:0 "Кажуть, що назва династії означає 'король гори', і ми ним станемо."
 plb_srivijaya_restored:0 "Шривіджайю відновлено"
 desc_plb_srivijaya_restored:0 "Ми досягли величі минулих століть."
 ne_birchbark_canoes_title:0 "Берестяні каное"
 ne_birchbark_canoes_desc:1 "Каное є нашим основним транспортним засобом, керуючи ними, ми можемо контролювати річки та перевезення як людей, так і вантажів. Ми повинні переконатися, що у нас є принаймні одна провінція з хорошим доступом до високоякісної деревини."
 ne_canoes:0 "Виробництво каное"
 desc_ne_canoes:0 "Наше виробництво каное збільшилося."
 ne_longhouses_title:0 "Вігвами та довгі будинки"
 ne_longhouses_desc:0 "Надання житла нашим людям повинно бути одним із наших пріоритетів. Ми повинні забезпечити їхню безпеку, будуючи добре захищене житло."
 ne_fortified_village:0 "Укріплене поселення"
 desc_ne_fortified_village:0 "Тепер мешканці поселення можуть почуватися спокійно."
 ne_palisades_title:0 "Звести частоколи"
 ne_palisades_desc:0 "Забезпечення безпеки наших будинків лише сприяє покращенню добробуту наших людей. Наступний крок до невразливої оборони – це захист усього поселення міцним частоколом."
 ne_palisaded_village:0 "Поселення з частоколом"
 desc_ne_palisaded_village:0 "Наше поселення тепер легко захищати від ворожих атак."
 ne_great_lakes_conquest_title:0 "Підкорити Великі озера"
 ne_great_lakes_conquest_desc:1 "Вигляд чогось такого величного, як Великі озера, досить разючий, щоб виправдати будь-яке їхнє завоювання. Проте контроль над озерами означає контроль над їхніми водами: перевезення, рибальство, основне джерело життя має бути нашим."
 ne_conquer_northeast_title:0 "Підкорити північний схід"
 ne_conquer_northeast_desc:0 "Ми вдало правили й землею, й водами. Наші предки з гордістю дивитимуться на наші поселення та вражатимуться їх безперечному процвітанню. Наш обов'язок – поширити ці досягнення по всьому регіону."
 ne_conquered_northeast:0 "Північний схід підкорено"
 desc_ne_conquered_northeast:0 "Ми переможно підкорили деякі сусідні провінції."
 ne_agriculture_title:0 "Східне землеробство"
 ne_agriculture_desc:0 "Ми були благословенні багатим ґрунтом, на якому чудово зростають наші врожаї. Насіння росте так само швидко, як діти, і їхня жвавість не менша за них. Турбота про наші посіви означає турботу про нашу громаду."
 ne_agricultural_complex:0 "Землеробський комплекс"
 desc_ne_agricultural_complex:0 "Наша іригаційна система значно покращила наше землеробство."
 se_birdmen_title:1 "Хижі птахи"
 se_birdmen_desc:1 "Ми повинні діяти як люди-хижаки, такі ж небезпечні, як пікіруючий сокіл. Створення потужної армії з воїнами, що вселяють страх, є відповідною демонстрацією сили."
 se_birdmen_hunt:0 "Полювання людей-птахів"
 desc_se_birdmen_hunt:0 "Наші грізні воїни здолають будь-яку ворожу армію."
 se_the_thunderers_title:1 "Наче грім"
 se_the_thunderers_desc:1 "Ми вже довели силу нашої армії, але цього мало. Коли грім вдаряє в землю, ґрунт у цій місцевості стає родючішим; коли грім вдарить наших людей, ми також станемо сильнішими."
 se_along_the_river_title:0 "Вздовж річки"
 se_along_the_river_desc:0 "Наша армія могутніша, ніж будь-коли, коли ми йдемо по землі - духи дивляться на нас затамувавши подих. Усе, що оточує течію річки, буде нашим."
 se_our_river:0 "Наша річка"
 desc_se_our_river:0 "Ми підкорили водойми."
 se_platform_mounds_title:0 "Пагорбові платформи"
 se_platform_mounds_desc:0 "Будівництво наших будинків на вершині пагорба забезпечить нам додатковий захист. Ми також могли б зміцнити наші частоколи, щоб ніхто навіть не подумав нас атакувати."
 se_medicine_wheel_title:0 "Медичне колесо"
 se_medicine_wheel_desc:0 "Релігія є важливою частиною нашого життя не лише через духовний спокій, який вона приносить нашій спільноті, але й завдяки благословенням, які вона дарує нашому здоров’ю. Ми повинні мати належне місце для здійснення наших обрядів."
 se_solar_blessing:0 "Сонячне благословення"
 desc_se_solar_blessing:0 "Тепер наша віра міцніша."
 se_agriculture_title:0 "Східне землеробство"
 se_agriculture_desc:0 "Ми були благословенні багатим ґрунтом, на якому чудово зростають наші врожаї. Насіння росте так само швидко, як діти, і їхня жвавість не менша за них. Турбота про наші посіви означає турботу про нашу громаду."
 sw_against_the_desert_title:0 "Проти пустелі"
 sw_against_the_desert_desc:0 "Суха земля покриває все, що ми можемо побачити, милі пустелі оточують наші поселення, у її суворому кліматі немає місця слабкості. Але річки та озера дарують нам надію. Ми подбаємо, щоб на нашій землі не поширювалася посуха."
 sw_the_taming_of_the_sands_title:0 "Приборкання пісків"
 sw_the_taming_of_the_sands_desc:0 "Ми успішно адаптувалися до життя в суворій пустелі, і тепер маємо поширити ці знання, забравши інші провінції до наших безкорисливих рук."
 sw_conquered_southwest:0 "Північний схід підкорено"
 desc_sw_conquered_southwest:0 "Ми переможно підкорили деякі сусідні провінції."
 sw_turquoise_mines_title:0 "Видобуток бірюзи"
 sw_turquoise_mines_desc:0 "Більшість наших торгових відносин із культурами півдня пов'язані з видобутком високоякісної бірюзи. Ми скористаємося нашими знаннями у гірській справі, щоб підтримати ці стосунки."
 sw_turquoise:1 "Успішний видобуток"
 desc_sw_turquoise:0 "Ми скористалися нашими техніками видобутку, щоби отримати цінні товари."
 sw_yucca_palms_title:0 "Юкка пальми"
 sw_yucca_palms_desc:0 "Юкка пальми - одні з небагатьох рослин, здатні вижити в такому безжальному кліматі. Ми раді їх присутності, і використовуємо їх листя для плетіння сандалій і кошиків. Використовуючи їхні природні особливості, ми зможемо їх вирощувати."
 sw_joshua_trees:0 "Дерева Джошуа"
 desc_sw_joshua_trees:0 "Ми вирощуємо дедалі більше цих дерев."
 sw_paquime_title:0 "Пакіме"
 sw_paquime_desc:0 "Однією з найважливіших пам'яток культури Моголлонів є Пакіме, велике поселення з десятками будівель. Треба скористатися їхнім архітектурним досвідом і пристосувати це поселення до наших потреб."
 sw_casas_grandes:0 "Касас-Грандес"
 desc_sw_casas_grandes:0 "Ми зробили цю провінцію частиною нашої культури."
 sw_medicine_wheel_title:0 "Медичне колесо"
 sw_medicine_wheel_desc:0 "Релігія є важливою частиною нашого життя не лише через духовний спокій, який вона приносить нашій спільноті, але й завдяки благословенням, які вона дарує нашому здоров’ю. Ми повинні мати належне місце для здійснення наших обрядів."
 nah_earth_people_title:0 "Люди землі"
 nah_earth_people_desc:1 "У цьому світі є два типи людей. Ми, люди землі, повинні дбати про свою землю і шанобливо використовувати ресурси, які нам надані. Наш обов'язок — підтримувати баланс між людиною та матінкою-природою."
 nah_earth_blessing_title:0 "Благословення землі"
 nah_earth_blessing_desc:0 "Квітуча країна багата не лише своїми цінностями, а й реальним багатством. Ще один із наших обов’язків – впевнитися, що ми маємо необхідні інструменти для піклування за нашими людьми."
 nah_holy_people_title:0 "Святі люди"
 nah_holy_people_desc:0 "Святі люди створили сонце, місяць, пори року, зірки, цю чисту воду, те бурхливе море. На знак вдячності ми їх гідно вшануємо."
 nah_holy_blessing_title:0 "Святе благословення"
 nah_holy_blessing_desc:0 "Святі люди навчили нас меж життя. Нам дали прекрасну землю, але жадібність ніколи не буває милосердною, і ми повинні протистояти спокусі розширення. Ці чотири гори стануть першими кордонами нашої країни."
 nah_ravine_dwellers_title:0 "Мешканці каньйонів"
 nah_ravine_dwellers_desc:0 "Перетнута місцевість, в якій ми живемо, таїть у собі не тільки безліч небезпек, але й переваги. Маючи такого союзника, наші оборонні укріплення стануть майже неприступними."
 nah_hogan_construction_title:0 "Будівництво хоганів"
 nah_hogan_construction_desc:0 "Хогани - наші традиційні будинки. Ми використовуємо їх як домівки, але також і як церемоніальні місця, тому їх потрібно дуже добре захищати. Будівництво кількох укріплених хоганів у нашій столиці, безумовно, зміцнить нашу оборону."
 nah_the_enemy_way_title:0 "Ворожий шлях"
 nah_the_enemy_way_desc:1 "Наш обов'язок — об'єднати весь народ навахо під єдиною верховною владою."
 nah_dinetah_title:0 "Дінетах"
 nah_dinetah_desc:0 "Дінетах – наша прабатьківщина. Кордони чотирьох гір мають бути розширені до досягнення повного панування над землями, які належать нам."
 nah_navajo_ravines:0 "Каньйони Навахо"
 desc_nah_navajo_ravines:0 "Тепер наші фортеці зможуть протистояти навіть найбільшій природній люті."
 nah_hogan_constructed:0 "Збудовано хогани"
 desc_nah_hogan_constructed:1 "Ми успішно укріпили наші домівки."
 nah_blessed_by_the_earth:0 "Благословлені землею"
 desc_nah_blessed_by_the_earth:0 "Наша економіка зараз перебуває у найкращому стані."
 pue_place_that_always_was_title:0 "Місце, яке було завжди"
 pue_place_that_always_was_desc:0 "Щоб йти вперед, ми повинні озирнутися назад. Посеред гір приховано місце, яке завжди було і буде існувати, навіть після того, як ми всі підемо. Володіння ним також допоможе й нам стати вічними."
 pue_mesa_verde:0 "Меса Верде"
 desc_pue_mesa_verde:0 "Ми повинні відновити те місце, яке завжди було."
 pue_people_of_the_white_rock_title:0 "Люди Білої Скелі"
 pue_people_of_the_white_rock_desc:0 "Є скеля, біла, наче зуби дитини, яку за розміром можна порівняти лише з Місяцем. Кажуть, що там жили наші предки, а потім вони розширили свої землі до інших скель, таких же білих, як зуби, і таких же великих, як Місяць."
 pue_people_of_the_white_rock_tt:0 "Провінції §YОкей-Овінге§!, §YНафлат§! і §YАкома§! повинні належати гравцеві, або гравець повинен бути у федерації, §Yрозміром§! не менше §Y3§!."
 pue_the_white_rock:0 "Біла Скеля"
 desc_pue_the_white_rock:0 "Зараз ми володіємо найважливішими горами в нашому регіоні."
 pue_sky_city_title:0 "Небесне місто"
 pue_sky_city_desc:0 "У найвищій точці цієї землі стоїть місто, його сходи нескінченні, його коридори звивисті й безмежні. Деякі люди загубилися на цих сходах, їхні тіла все ще приховані в найпотаємніших стежках. Ми повинні заволодіти цим містом."
 pue_city_in_the_sky:0 "Місто в небі"
 desc_pue_city_in_the_sky:0 "Місто Акома — одне з наших найвидатніших оборонних споруд."
 pue_chaco_roads_title:0 "Дороги Чако"
 pue_chaco_roads_desc:0 "Легкий рух як торгівлі, і людей має важливе значення для добробуту країни. Ми повинні забезпечити вільне пересування торговців нашою землею, проклавши декілька стежок."
 pue_the_great_north_road:0 "Велика Північна дорога"
 desc_pue_the_great_north_road:1 "Ми успішно збудували ефективну систему переміщень."
 pue_irrigation_canals_title:0 "Іригаційні канали"
 pue_irrigation_canals_desc:0 "Наші поселення розташовані біля витоків кількох зрошувальних каналів, і всі вони сприяють покращенню нашого сільського господарства. Ми повинні зберегти цю корисну традицію."
 pue_irrigation_system:0 "Irrigation System"
 desc_pue_irrigation_system:0 "A good irrigation system has helped boost our production."
 pue_restore_mesa_verde_title:0 "Restore Mesa Verde"
 pue_restore_mesa_verde_desc:0 "There is a palace hanging from a cliff, its windows wide open, looking at the sky. It was built by our greatest ancestors and their legacy shall not go fall into oblivion."
 pue_mesa_verde_restored:0 "Mesa Verde Restored"
 desc_pue_mesa_verde_restored:0 "Now our ancestors can rest at peace."
 pue_restore_ancestral_pueblo_title:0 "Ancestral Puebloans"
 pue_restore_ancestral_pueblo_desc:0 "Having restored their ancient home, we must now assemble all of our old brothers and sisters from neighboring tribes and live together in prosperity, as our grandparents had done."
 pue_puebloans_restored:0 "Puebloans Restored"
 desc_pue_puebloans_restored:0 "We have restored our former glory."
 remove_french_tooltip:0 "Neither France nor its colonies own provinces in your capital region."
 iroquois_the_great_peacemaker_title:0 "The Great Peacemaker"
 iroquois_the_great_peacemaker_desc:0 "The Great Peacemaker is one of the most advisable leaders among our tempestuous warring tribes. He brought us calm in moments of careless rage, helped all the people that lived and fought in the southern Great Lakes focus on more important duties. We must always remember that diplomacy is also a valid way of growing."
 iroquois_haudenosaunee_title:0 "Haudenosaunee"
 iroquois_haudenosaunee_desc:0 "Our similarities are stronger than our differences. Having followed the wise advice of our great leaders, it has become evident that a union between our equals is more necessary than ever. We must secure some allies among the Iroquoians in order to establish a powerful council without forgetting our own identifying characteristics."
 iroquois_the_five_nations_title:0 "The Five Nations"
 iroquois_the_five_nations_desc:0 "Mohawk, Onondaga, Oneida, Cayuga, and Seneca. Those were the original five nations that shaped the so called Iroquois Confederacy. We shall take those lands under our judicious wing, in one way or another."
 iroquois_one_nation:0 "Одна нація"
 desc_iroquois_one_nation:0 "Our efforts have been rewarded and our tribes behave now as one cohesive nation."
 iroquois_keepers_of_the_eastern_door_title:0 "Keepers of the Eastern Door"
 iroquois_keepers_of_the_eastern_door_desc:0 "Many European nations have their eyes on our prosperous land. Out of all their greedy mouths, the French seem to be the most interested in the tribes around the Great Lakes. We must make sure that their advance is stopped on time."
 iroquois_door_closed:0 "Door Closed"
 desc_iroquois_door_closed:0 "We have successfully expelled the French from our territory."
 iroquois_first_confederacy_title:0 "First Confederacy"
 iroquois_first_confederacy_desc:1 "After having allied with other tribes, it has become evident that political strength can also be reached by means of peace. Being the leaders of our own Federation will grant us a prominent position."
 iroquois_the_three_sisters_title:0 "The Three Sisters"
 iroquois_the_three_sisters_desc:0 "Corn, beans and squash are the main food source for our community, and thus we have called them the “Three Sisters”, sustainers of life. Keeping a harmonious and peaceful nation will help our crops flourish."
 iroquois_blessing_of_the_sisters:0 "Blessing of the Sisters"
 desc_iroquois_blessing_of_the_sisters:0 "We have earned the blessings of the Three Sisters."
 sio_camp_circles_title:0 "Camp Circles"
 sio_camp_circles_desc:0 "Blood is thicker than water, thicker than our walls. The main form of organization of our tribe are the tiyospaye, or camp circles, consisting of members of the same clan united by kinship. This kind of affiliation brings us stability and a place to call home."
 sio_village_at_the_end_title:0 "Village at the End"
 sio_village_at_the_end_desc:0 "There are paths that one must follow until the end. Paths not carved in stone, but built in the air, moving sleekly with the wind, collecting words said or promised, guiding them towards their fate. Our path is one that will lead us to our true home."
 sio_seven_council_fires_title:0 "Seven Council Fires"
 sio_seven_council_fires_desc:0 "Each of the seven fires represents one of our clans: their aflame agitation never bent by water, but aroused by the wind. We must ensure that we give each of them a place to keep that flame growing."
 sio_seven_fires:0 "Seven Fires"
 desc_sio_seven_fires:0 "Our seven clans have found a proper land to settle in."
 sio_chanunpa_title:0 "Chanunpa"
 sio_chanunpa_desc:0 "Ceremonial smoke carries our prayers to the attention of Wakan-Tanka and other superior beings; it elevates our words from the terrenal realm to the celestial one, trespassing the veil that separates them. It is for this reason that the use of the chanunpa, our sacred pipe, is restricted to ceremonial usages, such as celebrating new alliances."
 sio_ceremonial_pipe:0 "Ceremonial Pipe"
 desc_sio_ceremonial_pipe:0 "We have improved our diplomatic relations with other tribes."
 sio_hereditary_enemies_title:0 "Hereditary Enemies"
 sio_hereditary_enemies_desc:0 "The Ojibwa tribe has always been our enemy; our ancestors had fought for years, decades and even centuries. It is our duty to honor their endeavor and continue their efforts."
 sio_intimidated_enemies:0 "Intimidated Enemies"
 desc_sio_intimidated_enemies:0 "The spirit of our warriors is filled with pride."
 sio_fight_the_iroquois_title:0 "Fight the Iroquois"
