l_ukrainian:
 rival:0 "Суперник"
 DIPLOMACYACTION_CATEGORY_dynasty:0 "Династії"
 DIPLOMACYACTION_CATEGORY_covert:0 "Таємні операції"
 DIPLOMACYACTION_CATEGORY_access:0 "Права доступу"
 DIPLOMACYACTION_CATEGORY_economy:0 "Економічні дії"
 DIPLOMACYACTION_MAINTAINED_BY_DIPLOMAT:0 "Потребує дипломата для продовження дії."
 CALL_CHECKBOX_WILL_CALL:0 "Союзну вам державу §Y$COUNTRY$§! буде закликано у вашу війну проти держави §Y$TARGET$§!."
 CALL_CHECKBOX_WILL_NOT_CALL:0 "Союзну вам державу §Y$COUNTRY$§! НЕ буде закликано у вашу війну проти держави §Y$TARGET$§!."
 CALL_CHECKBOX_DESC:0 "§GКлацніть, щоб закликати, або ні, цього союзника.§!"
 CALL_CHECKBOX_ALL_DESC:0 "§GКлацніть, щоб закликати, або ні, всіх  союзників у вашу війну проти держави §Y$TARGET$§!.§!"
 CALL_CHECKBOX_PROT_WILL_CALL:0 "Ваш протекторат, державу §Y$COUNTRY$§!, буде закликано у вашу війну проти держави §Y$TARGET$§!."
 CALL_CHECKBOX_PROT_WILL_AUTOJOIN:0 "Ваш протекторат, держава §Y$COUNTRY$§!, приєднається до вашої війни проти держави §Y$TARGET$§!."
 CALL_CHECKBOX_PROT_WILL_NOT_CALL:0 "Ваш протекторат, державу §Y$COUNTRY$§!, НЕ буде закликано у вашу війну проти держави §Y$TARGET$§!."
 want_your_provinces:0 "Хоче ваші провінції"
 CALL_CHECKBOX_TRUCE:0 "§RВи не можете оголосити державу, з якою маєте перемир'я, співучасником війни.§!"
 CALL_CHECKBOX_CANNOT_CALL_DESC:0 "§RВи не можете закликати союзника, який відхилить ваш заклик до зброї.§!"
 CALL_CHECKBOX_ALLIED_TO_ENEMY:0 "§RВи не можете закликати союзника, якого буде закликано захисником.§!"
 CALL_ALLIES:0 "Закликати союзників"
 ENEMY_ALLIES:0 "Ворожі союзники"
 CALL_PROTECTORATES:0 "Закликати протекторати"
 FULL_ALLY_CHECKBOX_WILL_AUTOJOIN:0 "Союзник ворога - держава §Y$COUNTRY$§! - буде вважатися співучасником у цій війні, але НЕ зможе закликати своїх союзників."
 FULL_ALLY_CHECKBOX_WILL_CALL:0 "Союзник ворога - держава §Y$COUNTRY$§!  - буде вважатися співучасником у цій війні. Вони зможуть закликати своїх союзників."
 FULL_ALLY_CHECKBOX_WILL_NOT_CALL:0 "Союзник ворога - держава §Y$COUNTRY$§! - НЕ буде вважатися співучасником у цій війні. Вони НЕ зможуть закликати своїх союзників, але загарбання їхніх провінцій коштуватиме у два рази більше."
 FULL_ALLY_CHECKBOX_DESC:0 "§GКлацніть, щоб зробити, або ні, цього ворожого союзника співучасником війни.§!"
 NOT_COBELLIGERENT_CALL:0 "Ми приєднаємося у якості звичайного союзника. Для ворога загарбання наших провінцій коштуватиме у два рази більше, але ми НЕ зможемо закликати своїх союзників."
 COBELLIGERENT_CALL:0 "Ми вступимо у війну в якості співучасника та зможемо закликати своїх союзників."
 CALL_PROMISE_LAND:0 "§GЯкщо ми погодимося, вони обіцяють нам території, що будуть здобуті у цій війні.§!"
 DIPLOMACYACTION_ACCEPT:0 "Вони, ймовірно, погодяться!"
 DIPLOMACYACTION_NOACCEPT:0 "Вони, швидше за все, не погодяться."
 historical_friend:0 "Історичний друг"
 historical_rival:0 "Історичний суперник"
 border_friction:0 "Прикордонний конфлікт"
 border_friction_from_event:0 "Роздратовані через претензії"
 broke_free_from_us:0 "Звільнилися від нас"
 previous_oppressor:0 "Колишній гнобитель"
 weak_overlord:0 "Сила відносно сюзерена"
 competing_superpower:0 "Конкурент у світовому володарюванні"
 religious_friend:0 "Брати у боротьбі проти невірних"
 WE_NOTSAME_RELIGIONS_GROUP:0 "Ми не є частиною їхньої релігійної групи."
 NO_WAR_FIGHTING_WAR_TOGETHER:0 "Ви не можете оголошувати війну державі, з якою воюєте на одній стороні."
 NO_WAR_TRANSFER_TRADE_POWER:0 "Ви не можете оголосити війну державі, з якою маєте договір про передачу торгового впливу."
 WE_GIVING_FLEET_ACCESS:0 "Ми вже надаємо їм право проходу флоту."
 WE_NOT_GIVING_FLEET_ACCESS:0 "Ми НЕ надаємо їм право проходу флоту."
 SAME_OVERLORD:0 "Ми маємо одного володаря."
 NOCLAIMISREGENCY:0 "Ми не можемо претендувати на трон, поки маємо регентську раду."
 WEWARSUBSIDIES:0 "Ми надаємо субсидії."
 WENOTWARSUBSIDIES:0 "Ми НЕ надаємо жодних субсидій!"
 ALREADYINSULT_NOT_POSS:0 "Ми вже їх образили. Ми не можемо їх знову ображати до $DATE|Y$."
 WENOTOWNPROV:0 "Ми не володіємо провінцією $PROV|Y$"
 IS_NOT_PAPAL_GOV:0 "$WHO$ має тип уряду $GOV$, це НЕ є папством."
 CRUSADES_ENDED:0 "Після $YEAR|Y$ року вплив релігії на політику зменшився настільки, що ця дія не буде сприйнята серйозно."
 AGGRESSIVE_EXPANSION:0 "Агресивне розширення: §R$VAL$§!"
 AGGRESSIVE_EXPANSION_DESC:0 "Агресивне розширення дуже засмутить тих, хто має інтереси у державі §Y$COUNTRY$§! на §R$VAL$§!"
 HAS_NO_INTEGRATION:0 "Не відбувається активної інтеграції."
 REDUCED_BADBOY:0 "Зниження агресивне розширення: "
 AGGRESSIVE_EXPANSION_TITLE:0 "Акт агресії засмутить інші країни на базову величину $VAL$."
 AGGRESSIVE_EXPANSION_FACTOR:0 "Модифікатори агресивного розширення:"
 PEACE_EFFECTS_BADBOY:0 "Використавши Casus Belli $THE$$CASUS$, $ACTIVE$ зазнає $BADBOY$ штрафу до стосунків через агресивне розширення."
 PEACE_DEFENDER_EFFECTS_BADBOY:0 "Як захисник, $ACTIVE$ зазнає $BADBOY$ штрафу до стосунків через агресивне розширення."
 ENFORCE_PEACE_INVALID_TARGET:0 "Ви не можете примусити до мирного врегулювання між двома молодшими партнерами у війні, такими як $WHO$ та $TARGET$."
 ENFORCE_PEACE_INVALID_TARGET_NOT_WAR:0 "Ми не можемо примусити до миру, позаяк $WHO$ не воює з державою $TARGET$!"
 ENFORCE_PEACE_NOT_WINNING_2:0 "If a country is losing a war, they can't be forced to make a peace. They need to win by at least $VAL$ warscore."
 ENFORCE_PEACE_NOT_ATTACKER:0 "We cannot enforce a peace on a defender in a war, and $TARGET$ was the aggressor in the war against $WHO$."
 ENFORCEPEACE_LOW_RELATION:1 "You need to have $WHO$ to have an opinion of at least $NEED$ of you and it is currently $VAL$."
 IS_IMPROVE_RELATIONS:0 "Is Improving relations with $WHO$."
 IS_NOT_IMPROVE_RELATIONS:0 "Is NOT Improving relations with $WHO$."
 DIP_FREE_IDEA:0 "Free idea: §Y$NAME$§!"
 DIP_FULL_IDEA:0 "Full group: §Y$NAME$§!"
 POWER_COST_OPINION:0 "$COUNTRY01|Y$ opinion about $COUNTRY02|Y$: "
 POWER_COST_NOT_IN_WARGOAL:0 "Not in war goal cost"
 POWER_COST_RIVAL:0 "Taking from rival: $VAL$\n"
 VASSALCANCELDESC:0 "Do you wish to cancel our Vassalization with $COUNTRY$? \nOur people will be very upset, and $COUNTRY$ will be concerned that we will no longer protect them.\nWe will also lose $PRESTIGE|R$ prestige and any cores and claims we have on their provinces."
 VASSALCANCELDESC_HORDE:0 "Do you wish to cancel our Vassalization with $COUNTRY$? \nOur people will be very upset, and $COUNTRY$ will be concerned that we will no longer protect them.\nWe will also lose any cores and claims we have on their provinces."
 VASSALBREAKDESC:0 "Do you wish to break our Vassalization with $COUNTRY$? \nThis will cause our stability to decrease by §Y$STAB$§!, our prestige to be reduced by $PRESTIGE|R$, our relations to worsen and they will get a Casus Belli against us."
 PROTECTORATEBREAKDESC:0 "Do you wish to break our arrangement of protectorate with $COUNTRY$? \nThis will cause our stability to decrease by §Y$STAB$§!, our prestige to be reduced by $PRESTIGE|R$ and our relations will worsen."
 PEACE_OFFER_POWER_COST:0 "This peace will cost $WHO$ $COST|Y$£dip£."
 WARN_FAR_TOO_POWERFUL:0 "They are far too rich and powerful for our warnings to be taken seriously."
 GUARANTEE_FAR_TOO_POWERFUL:0 "They are far too rich and powerful for our guarantees to be taken seriously."
 enemy:0 "Hostile relations"
 embargo:0 "Embargo"
 GRANTFREECITYTITLE:0 "Grant Free City Status"
 GRANTFREECITYDESC:0 "Granting them Free City status will strengthen their economy and increase their contribution to the Emperor, but we will be required to protect them from attack."
 REMOVE_FREECITY_TITLE:0 "Revoke Free City Status"
 REMOVE_FREECITY_DESC:0 "Revoking their Free City status will weaken their economy and reduce their contribution to the Emperor, but we will no longer be required to protect them."
 GRANTELECTORATETITLE:0 "Grant Electorate"
 GRANTELECTORATEDESC:0 "Granting electorate allows them to vote on who should be the emperor in the Empire."
 REMOVE_ELECTORATE_TITLE:0 "Remove Electorate"
 REMOVE_ELECTORATE_DESC:0 "Removing their electorate forbids them from voting who should be the emperor of the Empire."
 REMOVE_ELECTORATE_ADDITIONAL_EFFECTS:0 "Furthermore, it would change other electors' opinion of us by $SAME$ if same religion as the removed elector, $OTHER$ if otherwise.\n\nIt will cost us §Y$IA$§! Imperial Authority."
 OPINION_WOULDCHANGEBY:0 "It would change their opinion of us by $AMOUNT$."
 DEMANDUNLAWFULTERRITORYTITLE:0 "Demand Unlawful Territory"
 DEMANDUNLAWFULTERRITORYDESC:0 "Demand the return of an unlawful territory to the Empire."
 DEMANDUNLAWFULTERRITORY_DERIVEDDESC:0 "Demand the return of the unlawful territory '$PROV|Y$' to the Holy Roman Empire."
 has_unlawful_territory:0 "Has Unlawful Territory modifier"
 HAS_NO_PROV_IN_EMPIRE_OR_LIBERATED:0 "Has no non-core province that is a part of the Empire and that has not been liberated from a non-imperial country."
 RETURN_UNLAWFUL_NOT_OWN:0 "You can't return a province you don't own!"
 VASSAL_CREATE_DESC:0 "$COUNTRY|Y$ will become a vassal with the following provinces: $LIST$."
 HAVE_FLEET_BASING:0 "We have Fleet Basing Rights to their nation."
 HAVE_NOT_FLEET_BASING:0 "We do NOT have Fleet Basing Rights to their nation."
 DIPLOMATIC_REPUTATION:0 "Diplomatic Reputation increases chances of having various diplomatic offers accepted by other countries, improves chances of inheritance in a personal union, speeds up progress of diplomatic annexation and integration."
 released_in_peace:0 "Released in Peace"
 returned_core_to_me:0 "Returned Province"
 IS_GUARANTEE_NO_WAR:0 "You cannot declare war on a country you have guaranteed."
 REVOKEGUARANTTITLE:0 "Revoke Guarantee"
 HASNOTGUARANT:0 "We are NOT guaranteeing them."
 REVOKEGUARANTDESC:0 "Revoke guarantee so that we no longer will be called to a war against a country who attacks them."
 REVOKEGUARANTNEWDESC:0 "Do you wish to revoke our guarantee for $COUNTRY$? We will no longer be called to a war against a country who attacks them."
 REVOKEGUARANTDESC2:0 "You will get a truce with them as well, so you cannot just use this to attack them."
 GRANTELECTORATEREQDESC:0 "$ACTOR$ offers us an Electorate position in the Holy Roman Empire. By accepting we will be able to vote for the next emperor."
 GRANTFREECITYREQDESC:0 "$ACTOR$ offers us Free City status in the Holy Roman Empire. If we accept, our government will change to a Free City and the Emperor will defend us from all aggressors. If we acquire more provinces or leave the Empire we will lose our Free City status."
 DEMANDUNLAWFULTERRITORYREQDESC:0 "The Emperor $ACTOR$ demands that we return the province of '$PROV|Y$' to the Holy Roman Empire. Denying this request will seriously impact our relation with the HRE."
 DEMANDUNLAWFULTERRITORYREQDENYEFFECTS:0 "Declining will have the following effects:\nThe emperor will receive a casus belli against you.\nProvince effects:\n$PROVEFFECT$\n\nOpinion modifier from members of the HRE:\n$OPINIONEFFECT$"
 TRANSFERTRADEPOWERDESC:0 "$ACTOR$ would like us to transfer $VAL|0%$ of our trade power in all our shared trade nodes to them. Do you accept this?"
 revoke_elector_opinion:0 "Скасували статус курфюрста"
 grant_freecity:0 "Дарували статус вільного міста"
 removed_our_freecity:0 "Скасували наш статус вільного міста"
 grant_electorate:0 "Дарували статус курфюрста"
 removed_our_electorate:0 "Скасували наш статус курфюрста"
 removed_electorate_same_religion:0 "Скасували статус курфюрста"
 removed_electorate_other_religion:0 "Скасували статус курфюрста"
 defended_allied_territory:0 "Захистили наші провінції"
 liberated_province:0 "Звільнили нашу провінцію"
 elector_voted_for_us:0 "Вони проголосували за нас"
 elector_stopped_voting_for_us:0 "Вони припинили голосувати за нас"
 vassal_broke_free:0 "Вони звільнилися від нас"
 vassal_abandoned:0 "Наш сюзерен покинув нас"
 they_force_vassalized_us:0 "Вони силою васалізували нас"
 they_force_unioned_us:0 "Вони примусили нас до унії"
 protectorate_broke_free:0 "Вони звільнилися від нас"
 protectorate_abandoned:0 "Наш сюзерен покинув нас"
 refused_military_access:0 "Вони відмовилися від права проходу"
 revoked_military_access:0 "Вони скасували надане нам право проходу"
 refused_fleet_access:0 "Вони відмовилися від права базування флоту"
 revoked_fleet_access:0 "Вони скасували надане нам право базування флоту"
 claimed_throne_of_imperial:0 "They claimed the throne of another imperial subject"
 claimed_throne_other_rm:0 "They used their royal marriage as pretext to claim a throne"
 claimed_throne_on_us:0 "They used their royal marriage as pretext to claim our throne"
 answered_call_to_empire_elector:0 "They came to the defense of the empire"
 answered_call_to_empire:0 "They came to the defense of the empire"
 refused_to_defend_empire:0 "They refused to defend the empire"
 refused_join_war:0 "They refused to join our war"
 refused_join_war_vs_us:0 "They refused to join the war against us"
 refused_religious_unity:0 "They refused a call for religious unity"
 refused_crusade:0 "They refused a call for crusade"
 excommunicated_us:0 "They excommunicated us"
 excommunicated:0 "They are excommunicated"
 excommunicated_theocracy:0 "They are excommunicated"
 lifted_excommunication:0 "They lifted the excommunication against us."
 released_vassal:0 "They liberated us"
 helped_support_rebels:0 "They supported our rebellion"
 opinion_left_empire:0 "Left the Holy Roman Empire"
 opinion_united_empire:0 "United the Holy Roman Empire"
 opinion_military_access:0 "They allow us military access"
 opinion_fleet_access:0 "They allow us fleet basing rights"
 republic_different_religions_group_border:0 "Neighboring Different religion"
 republic_different_religion_same_group_border:0 "Neighboring Heretic religion"
 different_religions_group_border:0 "Neighboring Different Religion"
 different_religion_same_group_border:0 "Neighboring Heretic Religion"
 misguided_heretic:0 "Tolerated heretics"
 misguided_heretic_border:0 "Neighboring Tolerated Heretics"
 republic_misguided_heretic:0 "Tolerated Heretics"
 republic_misguided_heretic_border:0 "Neighboring Tolerated Heretics"
 the_proclamation_of_year:0 "Restricted Colonial Wars"
 non_restricted_colonial_wars:0 "Non-restricted Colonial Wars"
 restricted_colonial_expansion_opinion:0 "Restricted Colonial Expansion"
 non_restricted_colonial_expansion_opinion:0 "Non-restricted Colonial Expansion"
 POWER_COST_CLAIM:0 "We have a legitimate claim: $VAL$\n"
 CANCEL_DIPLOMAT_DIALOG_TITLE:0 "Confirm canceling the diplomatic activity"
 CANCEL_DIPLOMAT_DIALOG_DESC:0 "$ACTIVITY$\n\nAre you sure you want him to return home?"
 PEACE_EFFECT_PRESTIGE_DISHONORABLE:0 "$WHO$ gets $PRESTIGE$ additional Prestige due to signing a separate peace while having more than $WS|Y$ War Score in the first $MONTHS$ months of the war."
 PEACE_EFFECT_PRESTIGE:0 "$WHO$ gains $VALUE$ Prestige."
 PEACE_EFFECT_AGGRESSIVE_EXP:0 "This peace will cause $WHO$ to suffer $VALUE$ Aggressive Expansion relations penalty."
 PEACE_EFFECT_OVEREX:0 "This peace will cause $WHO$ to suffer $VALUE$ overextension."
 ANNEX_NATION_ACCEPT_EFFECT:0 "Annexing them will have the following effects: "
 ANNEX_NATION_ESTIMATED_DONE2:0 "Annexation is estimated to be done $DATE|Y$, and will cost $VAL|Y$£dip£ per month, unless conditions change."
 INTEGRATE_NATION_ESTIMATED_DONE:0 "Integration is estimated to be done $DATE|Y$ ($VAL|+2$/month) due to: "
 NO_COALITION_AGAINST_RECIPIENT:0 "You cannot ask them to join a coalition against themselves."
 LEAVE_COALITION:0 "Leave Coalition"
 LEAVE_COALITION_REQ_DESC:0 "Do you wish to leave the coalition against §Y$TARGET$§W? You will no longer be called in if they go to war with another coalition member."
 LEAVE_COALITION_DESC:0 "Leave the coalition."
 LEAVE_COALITIONTITLE:0 "Leave Coalition"
 HAS_CASUS_BELLI_AGAINST:0 "Have the casus belli §Y$NAME$§! against §Y$WHO$§!"
 HAS_NOT_CASUS_BELLI_AGIANST:0 "Does not have the casus belli §Y$NAME$§! against §Y$WHO$§!"
 AE_FABRICATE_CLAIM:0 "If discovered we will gain §R$VAL$§! Aggressive Expansion"
 SUPPORTING_REBEL_DESC:0 "Supporting $REBEL|Y$ with $COST|2Y$¤ each month."
 PEACE_GRANT_INDEPENDANCE:0 "$DEFENDER$ will grant independence to $ATTACKER$."
 PEACE_DONT_GRANT_INDEPENDANCE:0 "§R$ATTACKER$ will remain subjects to $DEFENDER$.§!"
 WHITE_PEACE_INDEPENDANCE:0 "White Peace. §R$ATTACKER$ will remain subjects to $DEFENDER$.§!"
 PEACEOFFER_DEMANDED_CAPITAL:0 "You have demanded their capital and thus you may not demand any other provinces."
 PEACEOFFER_CANNOT_TAKE_LAST:0 "Cannot take $TARGET$'s last province and make them a subject at the same time."
 PEACEOFFER_CANNOT_RETURN_LAST:0 "Cannot force $TARGET$'s to return their last province."
 PEACEOFFER_WILL_LOSE_ALL_PROVINCES:0 "$TARGET$ will no longer exist after the war."
 PEACEOFFER_LEAGUE_WAR:0 "Cannot vassalise the leader of a League while they are in a League War."
 PEACEOFFER_RETURN_CORE_SELECTED:0 "Core $NAME$ is already to be returned to $COUNTRY$."
 PEACEOFFER_CEDE_SELECTED:0 "$NAME$ is already demanded."
 PEACEOFFER_REVOKE_CORE_SELECTED:0 "Core status for $NAME$ will be revoked."
 PEACEOFFER_WILL_BECOME_SUBJECT:0 "$NAME$ will become a subject."
 PEACEOFFER_CANNOT_COMBINE_CONCEDE_DEFEAT:0 "Cannot combine Concede Defeat with other options."
 PEACEOFFER_WAR_REPARATIONS_SELECTED:0 "Cannot make $NAME$ a subject and demand war reparations at the same time."
 PEACEOFFER_CANNOT_COMBINE_WITH:0 "Cannot combine this option with $NAME$."
 PEACEOFFER_NON_WARLEADER_CANNOT_ANNEX_WARLEADER:0 "Only the war leader may annex the other side's war leader."
 PEACEOFFER_CANNOT_MAKE_CORE:0 "Cannot select this province bacause $TAG$ cannot make it a core."
 PEACEOFFER_CANNOT_RELEASE_NATION_TWICE:0 "Cannot release $NEW_NATION|Y$ because it will already be released by $OTHER_RELEASER|Y$."
 PEACETREATY_REVOKE_CORE:0 "Відмова від нац. провінцій"
 PEACETREATY_RELEASE_VASSAL:0 "Звільнити васала"
 PEACEOFFER_GOLD_DESC:0 "Золото $VAL$"
 INTEGRATE_OWNS_MORE_PROVINCES:0 "$BIG$ має більше провінцій ніж $SMALL$."
 PEACEOFFER_DEMANDED_PROVINCE_CANNOT_TAKE_CAPITAL:0 "Це їхня столиця і оскільки ми зажадали інші провінції, ми не можемо вимагати й її."
 DIPLO_CHANGE_VASSALS:0 "Думка інших васалів зміниться на: "
 DIPLO_CHANGE_EMPIRE:0 "Зміна думки інших членів СРІ: "
 SUBJECT_NEW_WAR:0 "$SUBJECT$ втягне свого сюзерена - державу $OVERLORD$ у війну з такими державами: $LIST$."
 SUBJECT_NOT_NEW_VAR:0 "$OVERLORD$ не буде втручатися у війну між державами $SUBJECT$ та $SUBJECT_ENEMY$: $REASON$"
 PART_OF_HRE:0 "$COUNTRY|Y$ є частиною Священної Римської ІмперіЇ."
 POWER_PROJ_IRO:0 "§YМогутність§!\nЗмінюється завдяки таким факторам:"
 POWER_PROJ_DRO:0 "З такими ефектами:"
 power_projection:0 "Могутність"
 lacking_rival:0 "Недостатньо суперників"
 has_rival:0 "Має давніх суперників"
 warned_rival:0 "Попередили державу $TARGET$"
 subsidies_to_enemy_of_rival:0 "Субсидування держави $TARGET$"
 embargoing_rival:0 "Ембарго держави $TARGET$"
 guarantee_neighbour_of_rival:0 "Гарантії державі $TARGET$"
 took_province_from_rival:0 "Загарбали провінції держави $TARGET$"
 vassalized_rival:0 "Васалізували державу $TARGET$"
 rival_lost_province:0 "Держава $TARGET$ втратила провінції у нашій війні"
 lost_province_to_rival:0 "Держава $TARGET$ загарбала наші провінції"
 eclipsed_rival:0 "Занапастили державу $TARGET$"
 declared_war_at_rival:0 "Оголосили війну державі $TARGET$"
 joined_war_against_rival:0 "Вшанували заклик до зброї проти держави $TARGET$"
 refused_war_against_rival:0 "Відмовилися вшанувати заклик до зброї проти держави $TARGET$"
 privateering_rival:0 "Нацьковують каперів на державу $TARGET$"
 supporting_rebels_in_rival:0 "Підтримують повстанців в державі $TARGET$"
 WARN_LOW_ARMY_MAINTENANCE:0 "§YУтримання армії менше 100%!§!"
 WARN_LOW_NAVY_MAINTENANCE:0 "§YУтримання флоту менше 100%!§!"
 SUBSIDY_OPINION_EFFECT:0 "Це буде покращувати думку держави $COUNTRY$ про нас на $MONHTLY$ щомісяця, поки не досягне максимального значення $MAX$. Щомісячний приріст залежить від прибутку держави $COUNTRY$."
 SUBSIDY_POWERPROJ_EFFECT:0 "Завдяки субсидуванню ворога одного чи кількох ваших суперників, ($RIVALS$), ви здобудете $TOTAL$ балів могутності."
 MUST_WAIT_UNTIL_NEXT_ALLIANCE_OFFER:0 "Ви повинні зачекати хоча б один день, перед тим як зможете надіслати наступну пропозицію."
 GUARANTEEING_THEIR_INDEPENDENCE:0 "Гарантують їхню незалежність."
 PEACE_PROVINCE_CORING_COST:0 "Це коштуватиме державі $COUNTRY$ §Y$ADM$§! £adm£, щоб націоналізувати всі отриманні провінції."
 PEACE_TAKING_LAND_REQUIRES_DEMANDING_INDPENDENCE:0 "Неможливо вимагати території, не вимагаючи незалежність."
 MUST_WAIT_UNTIL_NEXT_PEACE_OFFER:0 "Ви повинні зачекати хоча б один день, перед тим як зможете надіслати наступну мирну пропозицію."
