l_english:
 ###ETH FLAVOR EVENTS###
 flavor_eth.29.t:0 "The Itinerant Capital of [Root.GetName]"
 son_competence_in_court_title:0 "Improve the Bureaucracy"
 son_competence_in_court_desc:1 "Bureaucracy is not a very exciting topic, but it is essential for every country which has great ambitions. Our current state of bureaucracy looks dire however. We need to get our administration together before we can even think of expansion."
 son_military_expertise_title:0 "Army Professionalism"
 son_military_expertise_desc:1 "Many rulers of the Sonni dynasty saw in every one of our peasants nothing but another potential soldier to be wasted in a senseless war. While this attitude helped us in the past to get more recruits, it surely was not cost efficient. We should drop this attitude and create a professional army, led by our [Root.Monarch.GetTitle] [Root.Monarch.GetHerselfHimself]."
 son_win_battles_title:0 "Embrace the Glory of Battle"
 son_win_battles_desc:0 "A professional army is only a pretty figurehead if we don't use them. We should unleash their might upon our enemies and embrace the glory of battle!"
 son_win_battles_bt:0 "The trigger of this mission gets revealed when the mission '§YArmy Professionalism§!' has been completed."
 son_win_battles_ct:0 "Win at least §Y30§! battles (currently §Y[Root.son_fight_counter.GetValue]§!/§Y30§!).\nWon battles by armies, which are lead by §Y[Root.Monarch.GetName] [Root.Monarch.Dynasty.GetName]§! count double."
 son_modernize_army_title:0 "Reform the Army"
 son_modernize_army_desc:0 "Although the usage of firearms and guns is sneaking into our military it is still far away from being common for our troops. Most of our soldiers still rely on spears and bows while the Maghrebi and the Europeans mastered firearms. If we want to not be overrun by our northern neighbors we need to reform the army and modernize their weapons."
 son_modernize_army_tt:0 "No country of the §YWestern§! technology group has a higher military technology than §Y[Root.GetName]§!."
 son_westernize_state_title:0 "Modernize [Root.GetName]"
 son_westernize_state_desc:1 "While our army is enjoying reforms and modernization our [Root.GovernmentName] still holds old laws and rules of medieval times, and our [Root.Monarch.GetTitle] is not perceived as the absolute ruler of [Root.GetName]. We should focus on reorganizing our government and embrace the many wonders of modern technology."
 son_stop_the_air_raids_title:0 "Stop the Air Raids"
 son_stop_the_air_raids_desc:0 "Ever since our foundation the [Root.GetAdjective] people had to fight off the raiders from [AIR.GetName]. Being defensive is however not the solution; the Tuareg will just continue raiding our villages.\nNo, to end this threat we need to go into the offense and eliminate the [AIR.GetAdjective] threat."
 son_take_djenne_title:0 "Підкорити [1134.GetName]"
 son_take_djenne_desc:1 "[1134.GetName] has been historically a very important center of trade on the Niger ever since its foundation. Atop of that it also houses the Great Mosque of Djenné and was once part of our rival Mali, but now an independent - and with that an easy - target.\nWe should take control over this important city for the glory of [Root.GetName]."
 son_expand_djenne_mosque_title:0 "Renovate the Great Mosque"
 son_expand_djenne_mosque_desc:0 "With our conquest of the city the Great Mosque of Djenné suffered from collateral damage. We must renovate the mosque in Allah's name!"
 son_contact_with_morocco_title:0 "Contact with Maghreb"
 son_contact_with_morocco_desc:1 "During the time of the Ghana Empire the Sahel and Niger regions received many visitors from Arabia and Maghreb. This continued during the lifetime of the Mali Empire, but nowadays the travellers and merchants from these regions rarely come to us anymore. We should restore the contact with our brethren in faith - at least with those in Maghreb as they are the closest to us."
 son_contact_with_morocco_tt:0 "Discover any province in §YMaghreb§!."
 son_invade_maghreb_title:0 "Invade Maghreb"
 son_invade_maghreb_desc:0 "Although we hoped for a better diplomatic relation with the people of the Maghreb, they are only interested in our gold and salt. Even worse: the Moroccan were even planning an invasion into our territory so they can seize the salt and gold production for themselves! For the sake of our own security we should turn the tables and go into the offense first!"
 son_consolidate_maghreb_title:0 "Consolidate Maghreb"
 son_consolidate_maghreb_desc:1 "Maghreb is a large region and has many valuable resources. We should expand our influence in this area and conquer the remaining provinces for our benefit."
 son_conquer_the_mossi_title:0 "Eliminate the Mossi Threat"
 son_conquer_the_mossi_desc:1 "The Mossi tribes in the south have been a thorn in our side for quite some time. Although they fight each other regularly, they and the Tuareg still manage to organize raids on our villages. If we want any peace from these heathens we have to show strength and eliminate these tribes."
 son_conquer_the_mossi_tt:0 "Кожна провінція §YМосі§! is owned by §Y[Root.GetName]§! or its non-Tributary Subjects."
 son_convert_the_mossi_title:0 "Convert the Mossi"
 son_convert_the_mossi_desc:0 "The [Root.GetClergyName] have studied the history of the Mossi and their raids against our people, and have suggested a solution: the total conversion of the Mossi to the true faith! These heathens must see the light of Allah!"
 son_convert_the_mossi_tt:0 "Кожна провінція §YМосі§! is §Y[Root.Religion.GetName]§!."
 son_convert_the_mossi_ct:0 "Кожна провінція §YМосі§! loses §G100§! Autonomy і отримує модифікатор '§YDevoted Followers§!' for §Y30§! years, що матиме такі ефекти:\nМісцевий сепаратизм: §G-10.0§!"
 son_invite_foreign_scholars_title:0 "Invite Scholars"
 son_invite_foreign_scholars_desc:0 "We are far away from our brethren in Arabia and so are our scholars. Therefore, our laws have changed independently from theirs. We should invite scholars from the east and hear their newest advancements in the laws of the [Root.Religion.GetName]."
 son_invite_foreign_scholars_ct:0 "Any country, which capital is NOT in the §YSahel§!, §YNiger§! or §YGuinea§! region and is following the §Y[Root.Religion.GetName]§! faith, is allied with §Y[Root.GetName]§!."
 son_invite_foreign_scholars_bt:0 "[Root.GetName] will be able to invite a §YScholar§! without diplomatic requirements.\n"
 son_invite_foreign_scholars_at:0 "The type of Scholar depends on what school has been invited on the moment of completing this mission."
 son_invite_foreign_scholars_tt:0 "Has their capital NOT in the §YSahel§!, §YNiger§! or §YGuinea§! region\n  Is §Y[Root.Religion.GetName]§!\n  Has an opinion of at least §Y150§! of §Y[Root.GetName]§!"
 son_power_to_the_ulema_title:0 "More Power to the [Root.GetClergyName]"
 son_power_to_the_ulema_desc:1 "Our [Root.GovernmentName] is heading in the direction of religious unity and enlightenment. But there are much more things to be done. The [Root.GetClergyName] manage the sacred laws of our country and oversee the conversion of the heathens, but they are limited by our government. We should grant them more freedom and privileges in order for them to advance our progress of law creation."
 son_convert_west_africa_title:0 "Convert West Africa"
 son_convert_west_africa_desc:0 "West Africa has always been unique when it comes to religion. When Іслам established its foothold in West Africa, the upper elites converted to the true faith, but did not force it upon their subjects. In rare cases they even granted the heathen peasants rights and tolerated their behavior.\nThe time for tolerance is over though, and now these heathens should be led on the right path too."
 son_convert_west_africa_tt:0 "Every province in the §YSahel§!, §YNiger§! or §YGuinea§! region, which is NOT uncolonized, is §Y[Root.Religion.GetName]§!."
 son_build_workshops_title:0 "Construct Workshops"
 son_build_workshops_desc:0 "The demand for our products is increasing and more merchants want to trade salt and other goods with us. We should construct workshops to increase the production efficiency."
 son_own_develop_clothes_and_salt_title:0 "Develop Salt and Cloth"
 son_own_develop_clothes_and_salt_desc:1 "Gold is seen as an immensely valuable resource in the world. However, in West Africa it is only second to another, much more important resource: salt. While gold is useful for our treasury, it is not edible, and as such salt is of high value here.\nThen there are cloths, which are of great importance to protect the body from the heat of the sun.\n\nWe should develop the production of both goods in order to supply our market and to expand our trade even beyond the Sahel and Niger."
 son_own_develop_clothes_and_salt_ct:0 "[Root.GetName] gets '§YSalt and Cloth Main Production§!' на §Y25 років§!, що матиме такі ефекти:\nГлобальна торгова сила: §G+25.0%§!\nКожна підконтрольна провінція which produces §YSalt§! or §YCloth§!:\nМісцевих товарів вироблено: §G+0.50§!"
 son_gold_of_west_africa_title:0 "Wealth of West Africa"
 son_gold_of_west_africa_desc:0 "Our home region is known for its rich sources of gold. We should develop the gold mining and establish marketplaces in order to distribute the gold to the many corners of the world."
 son_dominate_west_african_trade_title:0 "Protect West African Trade"
 son_dominate_west_african_trade_desc:1 "All of West African trade shall be done under our supervision. We can't allow foreigners and rivals to find a way of exploiting the trade of our home region."
 son_guarantee_the_fetishist_title:0 "Guarantee the Old Traditions"
 son_guarantee_the_fetishist_desc:0 "[Root.GetName], just like any other country in Africa, used to follow the old traditions and faith of the ancestors. While our upper class has embraced the light of Allah, our rural population still follows the pagan traditions. We should pay respect to our roots and guarantee the freedom of religion for our people."
 son_guarantee_the_fetishist_ct:0 "[Root.GetName] has at least §Y1§! Терпимість язичників."
 son_fetishist_alliances_title:0 "Pagan Alliances"
 son_fetishist_alliances_desc:0 "To better understand our past and our tradition it is important to learn how the heathens act. We should gather pagan allies or subjects and study their behavior."
 son_fetishist_alliances_ct:0 "Has its capital in §YAfrica§!"
 son_eliminate_other_muslims_title:0 "Protect our Legacy"
 son_eliminate_other_muslims_desc:0 "The Fetishist faith may be heathen to us and to the Іслам, but it is an important part of our identity; our people, and as such we must protect this legacy from religious zealots who want to destroy it."
 son_eliminate_other_muslims_tt:0 "No §YFetishist§! province in §YSahel§!, §YNiger§! or §YGuinea§! is owned by a non-Fetishist country other than §Y[Root.GetName]§! and its subjects."
 son_back_to_the_roots_title:0 "Об'єднати the Tribes"
 son_back_to_the_roots_desc:0 "Many countries which are followers of the old ways are splintered into tribes, waging wars against each other and against us, and lose their significance in the process. While the fate of these tribes is little of our concern, the traditions and history they carry with them is worth protecting and preserving. We should do their rural populations a favor and liberate them from these tribes."
 son_back_to_the_roots_ct:0 "[Root.GetName] has at least §Y3§! Терпимість язичників."
 son_european_gold_market_title:0 "The Market of Europe"
 son_european_gold_market_desc:1 "The Europeans markets are full of opportunities, and while developing our own trade nodes and gold production helps us financially, there are still more ways to earn more Ducats."
 son_first_branch_mission_title:0 "[Root.GetSelectableMissionTitle]"
 son_first_branch_mission_desc:0 "[Root.GetSelectableMissionDescription]"
 son_second_branch_mission_title:0 "[Root.GetSelectableMissionTitle]"
 son_second_branch_mission_desc:0 "[Root.GetSelectableMissionDescription]"
 son_third_branch_mission_title:0 "[Root.GetSelectableMissionTitle]"
 son_third_branch_mission_desc:0 "[Root.GetSelectableMissionDescription]"
 son_fourth_branch_mission_title:0 "[Root.GetSelectableMissionTitle]"
 son_fourth_branch_mission_desc:0 "[Root.GetSelectableMissionDescription]"
 SELECTABLE_MISSION_TITLE:0 "Branching Mission"
 SELECTABLE_MISSION_DESCRIPTION:0 "This mission is a §YBranching Mission§!. Through events or through other missions, this mission will be replaced with a new, final version."
 selectable_mission_trigger_tt:0 "This mission cannot be completed as it is a §YBranching Mission§!."
 son_religious_triggers_tt:0 "\nIf §Y[Root.GetName]§! chooses the §YReligious§! Path, the following triggers will be needed to complete this mission:"
 son_tolerance_triggers_tt:0 "\nIf §Y[Root.GetName]§! chooses the §YTolerance§! Path, the following triggers will be needed to complete this mission:"
 son_religious_effects_tt:0 "\nIf §Y[Root.GetName]§! chooses the §YReligious§! Path, the following effects will occur:"
 son_tolerance_effects_tt:0 "\nIf §Y[Root.GetName]§! chooses the §YTolerance§! Path, the following effects will occur:"
 ###KON MISSIONS###
 kon_develop_country_title:0 "Develop [Root.GetName]"
 kon_develop_country_desc:0 "Our [Root.GovernmentName] is on the verge to reach greatness. However, for achieving this we need more people and the infrastructure to support them. We should develop [1170.GetCapitalName] and the surrounding area."
 kon_colonize_coast_title:0 "Nzimbu Sources"
 kon_colonize_coast_desc:0 "Traditionally the shells of clams, the nzimbu, served [Root.GetName] as the currency. They are relatively easy to break, and because access to gold is rare in our home region we need these shells to continue minting the currency.\nFortunately there is a good source for more of these valuable shells: the islands next to the coast of [1167.GetName] are home to the clams. We should expand our territory and integrate this coast to increase our access to the nzimbu."
 kon_protect_trade_title:0 "Controller of Trade"
 kon_protect_trade_desc:0 "The economy of [Root.GetName] is based on nzimbu as currency and the inner trading. But only internal trade is not efficient enough, and as such we should expand trade to the inner tribes of Kongo, the great lake and the Ivory Coast."
 kon_seize_crown_land_title:0 "Seize the Mani Power"
 kon_seize_crown_land_desc:0 "[Root.GetName] is a confederacy of provinces, managed by the Mani of our country. They collect the taxes of the rural areas and every year present their earnings to the [Root.Monarch.GetTitle]. Should our [Root.Monarch.GetTitle] be happy with them then the Mani are able to hold onto their power for another year.\nWhile this system worked out very well in the past, it is a very outdated form of government, and if our [Root.GovernmentName] is to survive we need to seize the power of the Mani and centralize the state."
 kon_seize_crown_land_tt:1 "§GReduce§! the local autonomy of all owned provinces in the §YKongo§! and §YCentral Africa§! region to their minimum."
 kon_absolute_rule_title:0 "Absolute Rule"
 kon_absolute_rule_desc:1 "The world is changing, and so does our place too. The Europeans have brought new ideas. Not all of them are practical for us, but the concept of absolutism is one worth pursuing. It is in direct conflict with old traditional ways of state government, but our people saw the advancements the Europeans have achieved under this guide line.\nWe should embrace this concept and implement the absolute rulership in our realm too."
 kon_absolute_rule_ct:0 "§YAbsolutism§! is NOT active.\nThe conditions for this mission will change drastically when Absolutism gets active in the §YAge of Absolutism§! or the §YAge of Revolution§!."
 kon_annex_vassals_title:0 "Loango and Ndongo's Fate"
 kon_annex_vassals_desc:1 "The history of the realms of Ndongo and Loango is obscure and, just like our own history, based on legends. Despite that, these two states are vassal states of [Root.GetName] - at least in name that is. Both kingdoms are no longer fit to be ruled by their own rulers and should be integrated into our own [Root.GovernmentName] instead."
 kon_conquer_ksj_title:0 "The Warrior Threat"
 kon_conquer_ksj_desc:1 "Our home region is not only a place for the [Root.GetAdjective], but other tribes as well. Although we share certain similarities and live very close, our cultures still differ quite substantially. Two of these cultures are even seen as a threat to our borders, which are the raiding Yaka and the militarized Mbangala. We should subjugate them quickly before they get any chance to become a serious problem."
 kon_conquer_ksj_tt:0 "Every §YYaka§! province is owned by §Y[Root.GetName]§! or its non-Tributary Subjects."
 kon_conquer_ksj_ct:0 "Every §YMbangala§! province is owned by §Y[Root.GetName]§! or its non-Tributary Subjects."
 kon_conquer_ckw_title:0 "The Chokwe and the Lunda"
 kon_conquer_ckw_desc:0 "Deeper within the region of Kongo are the Chokwe and the Lunda, both tribes with their own unique culture and traditions.\nThe Chokwe are exceptionally good craftsmen and artists and their art work is a regional treasure.\nThe Lunda are known to our people for their efficient statesmanship and their deep connection to religion.\nOur [Root.GovernmentName] could benefit from the integration of both cultures into our own."
 kon_conquer_ckw_at:1 "Every §YChokwe§! province is owned by §Y[Root.GetName]§! or its non-Tributary Subjects."
 kon_conquer_ckw_bt:1 "Every §YLunda§! province is owned by §Y[Root.GetName]§! or its non-Tributary Subjects."
 kon_conquer_ckw_ct:0 "Every §YIvory§! producing province owned by §Y[Root.GetName]§! or its subjects gets '§YChokwe Craftsmenship§!' for §Y30 years§!, що матиме такі ефекти:\nМісцевих товарів вироблено: §G+1.0§!\nМісцеве зростання благополуччя: §G+0.25§!"
 kon_conquer_kub_title:0 "Kuban Conquest"
 kon_conquer_kub_desc:1 "According to the founding legends of Kuba, this jungle kingdom is ancient - at least 900 years old even. Their legends are however of little importance to us. What is more important is the art the Kuban are capable of creating. Their masks, their broadswords - the Ilwoon Sword - are both testimonies of their skill of art and warfare.\nWe should integrate the Kuban into our realm and make use of both of their iconic items."
 kon_conquer_kub_tt:0 "Every §YKuba§! province is owned by §Y[Root.GetName]§! or its non-Tributary Subjects."
 kon_conquer_lub_title:0 "Luban Iron"
 kon_conquer_lub_desc:1 "In order to maintain power our [Root.GovernmentName] needs strategic resources like copper and iron. While copper is not a big issue, the iron of Mpemba is not enough to sustain our economy and army. Fortunately the Luban in the east have rich iron sources. It would be useful to us if we ... liberate their iron."
 kon_conquer_lub_tt:0 "§Y[Root.GetName]§! gains for every subject §G4§! years worth of $COST|Y$¤ from the subject's §YIron§! or §YCopper§! production."
 kon_consolidate_central_africa_title:0 "Об'єднати the Congo Tribes"
 kon_consolidate_central_africa_desc:0 "The many tribes of the Congo had bad blood with each other ever since stories get told.\nThis shall end now! In the face of external threats and colonists trying to push into our home we have to unite the quarreling tribes!"
 kon_consolidate_central_africa_tt:1 "Every province of the §YCongo§! culture group (except for Sawabantu and Jukun culture) is owned by or subject of §Y[Root.GetName]§!."
 kon_greatest_power_kongo_title:1 "Africa's Hegemon"
 kon_greatest_power_kongo_desc:2 "With the consolidation of the Kongo region, the access to the Great Lakes, to East and Southern Africa are free. It is time that an empire arises in Southern Africa, which holds these regions together and protect them from the prying eyes of the Europeans - and we shall be this empire!"
 kon_greatest_power_kongo_tt:1 "Provinces of the culture groups §YSouthern Africa§!, §YEast Bantu§! and §YGreat Lakes§! will not suffer from the penalties of unaccepted culture.\n\n§YHegemon of Southern Africa§! gets §Rremoved§! should [Root.GetName] switch its culture group."
 kon_reform_army_title:0 "Found an Army"
 kon_reform_army_desc:0 "[Root.GetName] traditionally never had any kind of army. At best, there was the Royal Guard, which ensured the safety of our [Root.Monarch.GetTitle], but otherwise we always had to rely on a unprofessional peasant army.\nWhile it worked in the past, it is not a solid strategy for the future. We need to establish a permanent army."
 kon_obliterate_great_power_army_title:0 "Proof of Strength"
 kon_obliterate_great_power_army_desc:0 "Great powers have risen on this world and are now deciding the fate of Africa; our fate! Although we are no warrior kingdom we will be forced to show our strength through force by defeating another great power in a war. Else we will never be masters of our own fate."
 kon_obliterate_great_power_army_at:0 "Any §YGreat Power§! has less than §Y50§! war score against §Y[Root.GetName]§!."
 kon_obliterate_great_power_army_bt:0 "Any country with at least or more total development (subjects included) than [Root.GetName] has less than §Y50§! war score against §Y[Root.GetName]§!."
 kon_obliterate_great_power_army_tt:0 "§Y[Root.GetName]§! is the only remaining great power."
 kon_anzikus_copper_title:0 "The Makoko's Copper"
 kon_anzikus_copper_desc:1 "The king of Tyo, the so-called 'Makoko', rules over Anziku and its rich copper sources. Historically, we did not have any dispute with the people of Tyo, but their copper is of excellent quality and it is needed within our own kingdom for civil and military use. It would be beneficial if Tyo becomes an integrated part of [Root.GetName]."
 kon_collect_cults_title:0 "Meet the other Cults"
 kon_collect_cults_desc:0 "No religion is as diverse and complex than the religions and cults of Africa. All the tribes; all the kingdoms have different views of the cosmology of our world, yet these beliefs are rarely ever reason to fight each other. Instead we seek out the other tribes to learn more about their beliefs and even expand our own based on it."
 kon_fetishist_alliances_title:0 "Shamanistic Alliances"
 kon_fetishist_alliances_desc:1 "Our religion is based on cultural exchange and tribal diplomacy. We should gather allies and subjects to improve our ability to maintain the relations between the different cults."
 kon_fetishist_alliances_tt:0 "Is §YFetishist§! and is either a §Ysubject§! or an §Yally§! of §Y[Root.GetName]§! or has an opinion of §Y150§! of §Y[Root.GetName]§!."
 kon_repel_the_missionaries_title:0 "Repel the Christians"
 kon_repel_the_missionaries_desc:0 "Men with a very bright skin color showed up at our coasts and started spreading ideas of a man hung on a cross. At first they seemed like friendly storytellers, but then they brought the mindset of burning down our old traditions - and the people who follow them listened! We cannot allow these missionaries to continue like that!"
 kon_repel_the_missionaries_tt:1 "§Y[Root.GetName]§! will no longer be the target of foreign missionaries."
 kon_convert_west_africa_title:0 "Free the Cults"
 kon_convert_west_africa_desc:1 "Africa has seen the invasions through Muslims and Christians alike - both trying to eradicate our traditions and legacy and replacing them with their own ideas completely. This must end! We shall drive these zealots back to their homes and reclaim the continent for our brethren!"
 kon_convert_west_africa_bt:1 "Every settled province in the §YNiger§! and §YGuinea§! region is §YFetishist§!."
 kon_convert_west_africa_ct:0 "[Root.GetName] has decided to §YOppose§! the Europeans."
 kon_convert_the_country_title:0 "Embrace Християнство"
 kon_convert_the_country_desc:0 "We have decided to side with the Europeans, but they will never see us as equal until we have embraced the light of the Lord. We must become officially Catholic and convert king and folks alike."
 kon_churches_for_the_pope_title:0 "Churches for our People"
 kon_churches_for_the_pope_desc:1 "During our time of primitive worship of nature spirits and ghosts of ancestors we had no kind of house of worship. At best, we had shrines which were maintained by a shaman.\nThese times are fortunately over, and now it is our most important task to construct churches so that everyone of our people can get in touch with the Lord."
 kon_gain_cardinal_title:0 "Cardinal for [Root.GetName]"
 kon_gain_cardinal_desc:1 "While our people get more and more familiar with the writings of the Bible and the teachings of Christ, the catholic influence in Central Africa grows. If we want that to continue we will need an official appointed cardinal. It would be beneficial if we got into contact with the Pope or at least with one of the catholic countries with a cardinal."
 kon_gain_cardinal_at:0 "Either the §YPapal State§! or any country with a §Ycardinal§! is either §Yallied§! to [Root.GetName] or has at least §Y100§! opinion of [Root.GetName]."
 kon_gain_cardinal_bt:0 "The §YPapal State§! does NOT exist and no country has any cardinal."
 kon_spread_catholicism_title:0 "Spread the Word"
 kon_spread_catholicism_desc:0 "The Europeans brought diseases and unfair trade to us, but they also brought technology and advancement. But the most important good they brought was the light of the Lord. It is in the best interest for the people of Africa to receive this gift too and become part of the Catholic church."
 kon_build_navy_title:0 "[Root.GetAdjective] Navy"
 kon_build_navy_desc:1 "The world is changing. Men with pale skin and never seen armor visit our coasts and bring new ideas to our people, while other foreigners trade their goods with us. However, it is questionable if their intent is in our favor, and as such we must prepare to defend our home from these invaders from the sea by creating ships of war for ourselves."
 kon_find_europe_title:0 "Find the Europeans"
 kon_find_europe_desc:1 "These men from far away - these Europeans - told us all kind of stories of their homeland and reasons why they require slaves for their work. We should look for ourselves how true their stories are, and see this Europe with our own eyes."
 kon_find_europe_tt:0 "[Root.GetName] has discovered any province in §YEurope§!."
 kon_find_europe_ct:0 "[Root.GetName] had contact with the §YEuropeans§!."
 kon_face_off_against_europeans_title:0 "Defeat the Slavers"
 kon_face_off_against_europeans_desc:1 "The slavers from Europe have become more and more outrageous in their quest for slaves. They no longer make any difference between lower class and Mani and take whoever they want for their plantations in their colonies. Officially expelling them had little to no effect and even raids of our villages have been reported, where they kidnapped our people.\nWe cannot let it go any further! We must put a stand against these Europeans and defeat them in battle if we want that audacity to stop!"
 kon_face_off_against_europeans_bt:0 "Requirements get revealed when the mission '§YFind the Europeans§!' has been completed first."
 kon_face_off_against_europeans_ct:1 "§Y[Root.GetName]§! gains a permanent claim on every province in the §YNorthern§! and §YSouthern Africa§! subcontinents, which are held by an §YEuropean§! country."
 kon_banish_the_westerners_from_africa_title:0 "Banish the Europeans"
 kon_banish_the_westerners_from_africa_desc:2 "We will never be safe as long Europeans have any form of influence in any part of Southern Africa. We must banish this menace from our home region and drive them back to the cold north!"
 kon_banish_the_westerners_from_africa_tt:0 "Every province of the §YSouthern Africa§! subcontinent and every province of the §YNiger§! and §YGuinea§! region is NOT owned by a country, which capital is in §YEurope§!, or is owned by a European subject of §Y[Root.GetName]§!."
 kon_protector_of_africa_title:0 "Protector of Africa"
 kon_protector_of_africa_desc:0 "We have become much more than a [Root.GovernmentName] in Central Africa. We have risen to become the defender of Africa who protects the people from the opportunistic Europeans!"
 kon_become_proper_monarchy_title:0 "A proper Kingdom"
 kon_become_proper_monarchy_desc:1 "Our [Root.Monarch.GetTitle] is within our society a proper monarch already. In the eyes of these pale men we are however "barbarians"; tribes people. Of course these people have no idea about our culture, but as long they don't see us on the same eye height we will not be able to learn of their technology and ideas they bring."
 kon_accelerate_slave_trade_title:0 "The Slave Trade"
 kon_accelerate_slave_trade_desc:1 "Our realm exchanges many goods with the Europeans from ivory to copper. One trade good in particular has gained the most popularity amongst the Europeans: slaves. These people who get sold to the Europeans are the lowclass of our [Root.GovernmentName] who either managed to get themselves in imaginable debt or committed crimes.\nThe Europeans' demand for slaves has grown rapidly and organizing the slave market has become tricky. We should develop the slave centers and improve the local infrastructure there for a better management."
 kon_study_european_technology_title:0 "Modernize [Root.GetName]"
 kon_study_european_technology_desc:0 "The advancements of the Europeans astonishes our people and Mani alike. We sided with them and started this slave trade in order to learn from their technology and advance our own civilization. It is time to modernize our [Root.GovernmentName]!"
 kon_abolish_slavery_title:0 "Banish the Slavers"
 kon_abolish_slavery_desc:1 "The slave trade served its purpose. It opened for us the opportunity to modernize our state. Now its negative effects are outweighing the positives as the Europeans have become more and more outrageous in their demand for slaves, even organizing slave raids and capturing our people regardless of social status. We must abolish slavery and expel the Europeans from Africa if we want their audacity to stop!"
 kon_abolish_slavery_tt:0 "No §YEuropean§! country holds an §YAfrican§! province, which produces §YSlaves§!."
 kon_abolish_slavery_bt:0 "Requirements get revealed when the mission '§YModernize [Root.GetName]§!' has been completed first."
 kon_amongst_the_great_powers_title:0 "Amongst the Great Powers"
 kon_amongst_the_great_powers_desc:0 "We are no longer a tribe but one of the great empires of the world! We modernized into a great state, expelled the mighty colonizers and overthrow the barbaric slavery!"
 ###ZIM MISSIONS###
 zim_decline_of_zimbabwe_title:0 "Fate of Zimbabwe"
 zim_decline_of_zimbabwe_desc:0 "Zimbabwe is the capital of the once Great Zimbabwe empire and serves now as our center of governmental power. However, the fate of this city hangs in the balance when resource scarcity drove the people out of the city and made them move into the several other provinces of our realm.\nIn times like that it is upper most important that we keep our [Root.GovernmentName] as stable as possible."
 zim_decline_of_zimbabwe_tt:0 "The event '§YRegression of Zimbabwe§!' has fired."
 zim_restore_the_city_title:0 "Відновити Zimbabwe"
 zim_restore_the_city_desc:1 "The great city of Zimbabwe was constructed 200 years ago, and as such plays a major role in our history. It houses the many great stone houses of our people, holds many stories of our past and was even described as the golden city in the holy books of foreigners who visited us.\nNow the once great city is nothing but abandoned ruins; a town where not even the spirits of our ancestors would want to remain. We cannot allow this important city to decay into ruin!"
 zim_restore_old_empire_title:0 "Eclipse Great Zimbabwe"
 zim_restore_old_empire_desc:2 "Before the time of Mutapa, the Great Zimbabwe Empire dominated Southern Africa regarding culture, economics and military. The empire fell apart, however, as time passed on and our state has arisen to take their place. With the restoration of the old city it is our duty to reach the same height as this former empire - and to eclipse it even."
 zim_european_contact_title:0 "Contact with Europeans"
 zim_european_contact_desc:1 "Our realm has always been the attraction point for many foreigners from lands far away. The Europeans, while even more alien to us than the Muslims, are no exception and eventually reached our land too. But the contact with them was superficial at best. We have to establish a better way to stay in contact with the Europeans in order to trade and learn from them."
 zim_european_contact_tt:1 "Any §YChristian European§! country has either §Y75§! opinion of [Root.GetName], is §Ysubject§! or §Yoverlord§! of [Root.GetName], guarantees §Y[Root.GetName]§! or is an §Yally§! of [Root.GetName]."
 zim_develop_gold_title:0 "Legend of Ophir"
 zim_develop_gold_desc:1 "The Muslims of the north and travelers from the west claim we are the praised land of Ophir, a place from their holy writings where the cities are made out of gold. We should live up to this legend and increase our gold mining. If not for increasing our prestige then at least for our economy."
 zim_conquer_coast_title:0 "Підкорити Софалу"
 zim_conquer_coast_desc:0 "The harbor city Sofala is a major trading place and distributed our goods to Asia for centuries. It was never in our own possession though, and if we want to rebuild our connection to Asia we need to conquer this important city."
 zim_build_navy_title:0 "Construct a Trade Fleet"
 zim_build_navy_desc:1 "The Zimbabwe Empire used to have a flourishing trade relation with the Asians from the far east. But it was a very one-dimensional trade relation as the merchants had to come to us.\nThis is no longer a valid trade strategy though. Sofala has shown us that trade can only flourish for those who rule the waves. As such we have to adapt to these new circumstances and construct a trade fleet of our own."
 zim_build_navy_tt:0 "§Y[Root.GetName]§! gains a permanent claim on every coastal province of the §YHorn of Africa§! region."
 zim_dominate_upstream_trade_title:0 "The Wealth of Aden"
 zim_dominate_upstream_trade_desc:1 "Although we had a history of trade with the Asians from the Far East, it is very unlikely that we can ever restore this old trade relationship. Yet we have no reason to be apprehensive. The wealth of the East Asian trade flows through India and eventually reaches the Gulf of Hormuz and the Gulf of Aden. While Hormuz might be too far, the Gulf of Aden could be in our reach. All we have to do is to ... liberate the coast of the Horn of Africa."
 zim_dominate_upstream_trade_at:0 "Is a §Ycoastal§! province in the region of §YHorn of Africa§!."
 zim_dominate_upstream_trade_ct:0 "Gain §G2 years§! worth of Trade Income."
 zim_dominate_upstream_trade_tt:0 "Mutapa Trade Influence"
 zim_zanzibar_greatest_market_title:0 "Monopolize East Africa"
 zim_zanzibar_greatest_market_desc:0 "The trade flourishes and our treasury is filling, but that is not enough. The riches of the past still compete with our current wealth. This needs to be changed! We should control the flow of Ducats at the coast of East Africa, monopolize the important trade centers and steer as much exotic trade goods from India and Asia to our market as possible."
 ZIM_TRADE_DOMINANCE:0 "Mutapa Trade Dominance"
 zim_zanzibar_greatest_market_tt:2 "Due to the success of controlling the flow of wealth, [Root.GetName] restored its presense in the Far Eastern markets.\n[Root.GetName] gains §YMutapa Trade Dominance§! (Trade Power: §G15.0§!) in §YGulf of Aden§!, §YZanzibar§!, §YCape of Good Hope§!, §YGujarat§!, §YCoromandel§!, §YMalacca§!, §YCanton§!, §YHangzhou§! and §YBeijing§! до кінця гри."
