l_ukrainian:
 BOLD:0 "Сміливий"
 vassalize_orissa_title:0 "Підкорити Оріссу"
 vassalize_orissa_desc:0 "На наш погляд, Орісса надто незалежна. Ми повинні зробити все, щоб їхня політика враховувала наші інтереси."
 defeat_england_title:0 "Перемогти Англію"
 defeat_england_desc:0 "Англійці прийшли до нас, щоб замінити імператора. Вже зараз їхній вплив поширюється по всій Індії. Ми повинні вигнати їх раз і назавжди."
 defend_timurid_lands_title:0 "Захистити землі Тимуридів"
 defend_timurid_lands_desc:0 "Самозванці з династії Шибанідів називають себе спадкоємцями Чингісхана. Ми повинні довести всім, що це неправда. Жоден дюйм нашої землі не повинен потрапити в їхні руки."
 defend_timurid_lands_against_persia_title:0 "Зупинити просування Сефевідів"
 defend_timurid_lands_against_persia_desc:0 "Єретики-шиїти з династії Сефевідів розширюють свої володіння за рахунок імперії Тимуридів. Ми повинні довести, що є гідними спадкоємцями Тимура, і зупинити їх."
 timurid_break_the_persian_border_title:0 "Слідами Тимура"
 timurid_break_the_persian_border_desc:0 "Наша династія почалася із завоювання Персії Тимуром. Тепер ми повинні розширитися, щоб наша династія процвітала і надалі."
 conquer_sivas_title:0 "Завоювати Сівас"
 conquer_sivas_desc:0 "Самозванці з Румского султанату відмовляються визнати нашу перевагу. Ми повинні очолити велику армію і вирушити з нею на захід Малої Азії, щоб показати їм хто є справжнім правителем цих земель."
 annex_the_jalayrids_title:0 "Завоювати Джалайридів"
 annex_the_jalayrids_desc:0 "Джалайридський султанат знову відмовляється визнати перевагу держави Тимуридів. Ми повинні завоювати їх раз і назавжди."
 vassalize_the_akkoyunlu_title:0 "Підкорити Ак-Коюнлу"
 vassalize_the_akkoyunlu_desc:0 "У нагороду за вірну службу великий хан Тимур подарував племенам Ак-Коюнлу землі. Але вони зрадили нас, тому повинні бути покараними."
 vassalize_the_qara_qoyunlu_title:0 "Підкорити Кара-Коюнлу"
 vassalize_the_qara_qoyunlu_desc:0 "Коли Тимур підкорив тюркські племена Кара-Коюнлу, їхній хан втік до двору мамлюцьких султанів Єгипту. Зараз же повернувся, і намагається повернути собі ханство. Цей самозванець повинен бути покараним."
 vassalize_georgia_title:0 "Підкорити Грузію"
 vassalize_georgia_desc:0 "Наші війська вже утомилися знову і знову грабувати невірних грузинів. У них вже не залишилося нічого, що можна було б забрати. Давайте змусимо грузинського царя схилитися перед великим султаном, і підемо шукати інші місця, де можна чим-небудь поживитися."
 subjugate_tver_title:0 "Захопити Твер"
 subjugate_tver_desc:0 "До нас дійшли чутки, що тверський князь плете змову проти матінки Росії та православної віри. Він вже готовий продати Росію католикам, або мусульманам і, навіть невідомо, що є гіршим. Завоюємо ж їхні землі, щоб впевнитись, що вони під контролем надійної російської держави."
 annex_yaroslavl_title:0 "Анексувати Ярославль"
 annex_yaroslavl_desc:0 "Щоб вберегти себе від повернення монгольського ярма, ми повинні об'єднати наші князівства. Ярославль надто слабкий, щоб встояти на одинці, тому князівство Московське зобов'язане його захищати."
 annex_ryazan_title:0 "Анексувати Рязань"
 annex_ryazan_desc:0 "Нам здається, що князь Рязані встановив занадто тісні зв'язки з деякими південними ханами. Ми не можемо цього дозволити."
 russia_discovers_eastern_siberia_title:0 "Відкрити Східний Сибір"
 russia_discovers_eastern_siberia_desc:0 "Наші першопрохідці виявили в Сибіру землі, багаті на хутро і навіть золото. Люди говорять, що далі на схід земля буде ще багатшою. Наші першопрохідці готові розвідати їх на благо матінки Росії."
 access_to_the_baltic_sea_title:0 "Прорубати вікно в Європу"
 access_to_the_baltic_sea_desc:0 "Ми боїмося, що Росія поступово відстає від інших європейських держав. Не можна більше залишатися в минулому. Росія повинна отримати вихід до Балтійського моря, який стане нашим вікном у Європу."
 russian_colony_in_east_siberia_title:0 "Колонізувати Східний Сибір"
 russian_colony_in_east_siberia_desc:0 "Наші мореплавці відкрили великі незаймані землі Східного Сибіру. Щоб закріпитися там, доведеться збудувати кілька фортець."
 russia_discovers_western_siberia_title:0 "Заявити про права на Західний Сибір"
 russia_discovers_western_siberia_desc:0 "На схід від нас лежать землі Сибіру. Наші люди мають непереборне бажання приєднати їх до нашої держави. Давайте профінансуємо їхній похід, і нагадаємо світу, що всі ці землі належать матінці Росії"
 russian_colony_in_west_siberia_title:0 "Звести укріплення в Західному Сибірі"
 russian_colony_in_west_siberia_desc:0 "Ми почали витісняти татар із Сибіру. Щоб закріпитися в цих землях, нам слід побудувати кілька фортець."
 annex_the_qasim_khanate_title:0 "Приєднати Касимовське ханство"
 annex_the_qasim_khanate_desc:0 "До цього часу нам було вигідне існування незалежного Касимовського ханства. Але настав час повернути ці землі матінці Росії."
 defend_russia_against_the_mongols_title:0 "Захистити Росію від татар"
 defend_russia_against_the_mongols_desc:0 "Знову татарин загрожує матінці Росії. Ми повинні зробити все, щоб жоден росіянин не опинився під монгольським ярмом."
 cross_the_mongol_border_title:0 "Заявити свої права на степ"
 cross_the_mongol_border_desc:0 "Ми повинні битися з татарами з Золотої Орди. Ми повинні поставити наші прапори в самому серці ординських степів, тому що всі вони належать матінці Росії."
 subjugate_novgorod_title:0 "Підкорити Новгород"
 subjugate_novgorod_desc:0 "Хоча новгородський князь Олександр Невський свого часу захистив наші землі від тевтонських і шведських завойовників, тепер роль захисника перейшла до Московії. Ми повинні змусити Новгород змиритися з цим."
 annex_novgorod_title:0 "Приєднати Новгород"
 annex_novgorod_desc:0 "Новгородські бояри схилилися перед великим князем московським, але все ще володіють деякими вольностями. Москва повинна взяти їх під жорсткий контроль."
 russia_partitions_poland_title:0 "Розділ Польщі"
 russia_partitions_poland_desc:0 "Польща стає все більш незалежною. Нам необхідно посилити наш контроль над нею. Те ж саме збираються зробити Прусія і Австрія. Якщо їм вдасться отримати частину польської землі, то й ми постараємось не впустити свого."
 russia_partitions_lithuania_title:0 "Розгромити Литву"
 russia_partitions_lithuania_desc:0 "Литовські війська контролюють велику кількість російських земель. Литовська держава слабка і нездатна правити гордими русинами та білорусами. Це очевидно й іншим державам. Настав час негайних дій."
 CANCEL_MISSION:0 "Скасувати завдання"
 CANNOT_CANCEL_MISSION_IRO:0 "Ми не можемо скасувати це завдання до §Y$DATE$§W."
 CANCEL_MISSION_IRO:0 "Ми можемо скасувати це завдання, але це буде коштувати нам §R$PRESTIGE$§W престижу, і ми не зможемо скасувати інше завдання протягом наступних п'яти років."
 conquer_finland_title:0 "Завоювати Фінляндію"
 conquer_finland_desc:0 "Швеція продовжує становити загрозу для матінки Росії. Щоб захистити нашу країну, ми повинні завоювати Фінляндію. Вона стане нашим буфером у випадку війни зі шведами."
 subjugate_crimea_title:0 "Підкорити Крим"
 subjugate_crimea_desc:0 "Кримські татари надто довго чинили свавілля у своїх степах. Настав час Третьому Риму показати хто тут господар."
 subjugate_kazan_title:0 "Підкорити Казань"
 subjugate_kazan_desc:0 "Місто Казань розташоване на ключових торгових шляхах вздовж Волги. Для процвітання матінки Росії ми повинні приєднати Казань до нашої країни."
 subjugate_the_siberian_khanate_title:0 "Підкорити Сибірське ханство"
 subjugate_the_siberian_khanate_desc:0 "Наші землепрохідці повідомляють, що Сибірське ханство слабке і розділене. Якщо великий цар віддасть наказ, вони зможуть завоювати ці землі для матінки Росії."
 subjugate_astrakhan_title:0 "Підкорити Астрахань"
 subjugate_astrakhan_desc:0 "Астрахань розташована на березі Каспійського моря. Влада над цим містом дасть Росії контроль над всією торгівлею в цій області."
 defeat_the_byzantine_empire_title:0 "Найбажаніше місто у світі'"
 defeat_the_byzantine_empire_desc:0 "Великий пророк мріяв відправити воїнів віри на завоювання Риму. Ми повинні зробити те, чого колись не робив жоден Газі – завоювати це місто в ім'я Аллаха."
 conquer_southern_greece_title:0 "Завоювати Південну Грецію"
 conquer_southern_greece_desc:0 "Якщо невірні підуть на нас хрестовим походом, Південна Греція може стати для них зручним плацдармом. Ми повинні захистити наші південні кордони, щоб наша праведна держава процвітала надалі."
 conquer_serbia_title:0 "Завоювати Сербію"
 conquer_serbia_desc:0 "З того часу, як угорський король Сигізмунд на чолі французьких хрестоносців виступив проти наших військ, нам загрожує небезпека. І хоча в тій битві Аллах подарував нам перемогу, ми повинні просунутися вглиб Балкан, щоб надійніше укріпити наші кордони."
 conquer_bosnia_title:0 "Завоювати Боснію"
 conquer_bosnia_desc:0 "До нас дійшли чутки, що король Боснії вступив у змову з Папою, і підбурює народ на Балканах до повстання. Якщо буде на те воля Аллаха, ми порушимо всі плани змовників."
 control_medina_title:0 "Захистити Медіну"
 control_medina_desc:0 "Медіна є другим священним місто ісламу, тут розташована могила самого Пророка. Це місто потрібно захистити будь-якою ціною. І тільки великий османський султан зможе це зробити."
 control_mecca_title:0 "Захистити прочан"
 control_mecca_desc:0 "Паломництво в Мекку є одним із священних обов'язків кожного мусульманина. Караванам прочан постійно загрожують місцеві кочовики, тому ми встановити контроль над цією областю, і захистити паломників."
 vassalize_candar_title:0 "Підкорити Кандар"
 vassalize_candar_desc:0 "Баязид I Блискавичний був першим османським султаном, який намагався підкорити анатолійських беїв. Війною чи дипломатією ми повинні змусити бея Кандару схилитися перед нами."
 annex_candar_title:0 "Приєднати Кандар"
 annex_candar_desc:0 "Хоча бей Кандару визнав над собою владу султана, ходять чутки, що він може зрадити нас. Тому землі Кандару повинні повністю перейти під наше керівництво."
 vassalize_karaman_title:0 "Підкорити Караман"
 vassalize_karaman_desc:0 "Караманський бей насмілився оголосити себе рівним османському султанові лише тому, що один з його предків колись взяв собі за дружину дочку Мурада I. Ми повинні вказати цьому самозванцю його місце."
 annex_karaman_title:0 "Приєднати Караман"
 annex_karaman_desc:0 "Раніше ми вже змусили бея Карамана схилитися перед нами. Тепер прийшов час позбавити його будь-яких претензій та ілюзій. Ми повинні повністю включити ці землі до складу нашої імперії."
 vassalize_dulkadir_title:0 "Підкорити Дулкадір"
 vassalize_dulkadir_desc:0 "Дулкадір перебуває на кордоні між Малою Азією і Сирією. Таке важливе стратегічне положення не дозволяє османському султанові ігнорувати цю невелику державу. Ми повинні включити її до нашої сфери."
 retake_smyrna_title:0 "Завоювати Смірну"
 retake_smyrna_desc:0 "Айдинський бей вирішив вийти з-під контролю султана. Ми повинні показати йому нашу силу, і завоювати його землю."
 vassalize_wallachia_title:0 "Підкорити Валахію"
 vassalize_wallachia_desc:0 "Волоський князь править бідними землями, які султанові загалом не потрібні. Однак Волощина межує з нашими землями, тому було б не розумно дозволяти їм надалі залишатися незалежними."
 vassalize_transylvania_title:0 "Підкорити Трансільванію"
 vassalize_transylvania_desc:0 "Виганяючи франків-хрестоносців, ми зуміли захопити ще більше балканських земель. Ми досягли кордонів князівства Трансільванія, і воно має схилитися перед нами заради безпеки нашої держави."
 defeat_the_knights_title:0 "Завоювати останній бастіон хрестоносців"
 defeat_the_knights_desc:0 "Волею Аллаха воїни ісламу змогли вигнати хрестоносців-франків зі Святої землі. Однак невірні закріпилися на острові Родос, звідки загрожують святому місту Єрусалиму новим хрестовим походом. Ми повинні надійно від них захиститися."
 take_crete_from_venice_title:0 "Завоювати Крит"
 take_crete_from_venice_desc:0 "Острів Крит використовується піратами невірних як база, звідки їхні судна виходять на полювання за нашими кораблями. Ми повинні завоювати острів, і захистити нашу морську торгівлю."
 muslim_asia_minor_title:0 "Навернути безбожників"
 muslim_asia_minor_desc:0 "Мала Азія знаходиться в самому ядрі нашої імперії, звідси султан набирає найбільше новобранців для армії. Співтовариства християн та інших невірних можуть загрожувати цим землям. Слід послати до них вчителів, і відкрити їм волю Аллаха."
 vassalize_the_mameluks_title:0 "Перемогти мамлюків"
 vassalize_the_mameluks_desc:0 "Єгипет – це батьківщина шиїтів з династії Фатимідів. Ми знаємо, що навіть сьогодні їх шиїтська єресь все ще знаходить офіційну підтримку в Єгипті. Ми повинні змусити султана мамлюків схилитися перед нами, і переконатися, що він дотримується істинного шляху."
 annex_egypt_title:0 "Анексувати Єгипет"
 annex_egypt_desc:0 "Султан мамлюків залишається небезпечним для нас супротивником, і все ще забрудненим шиїтською єрессю. Ми повинні зробити все від нас залежне, щоб покінчити з його незалежністю."
 take_kaffa_title:0 "Завоювати Кафу"
 take_kaffa_desc:0 "Фортеця Кафи довгий час служить християнським піратам базою на Чорному морі. Щоб припинити грабунок наших торговців, ми повинні взяти місто під свій контроль."
 control_scania_title:0 "Завоювати Сконе"
 control_scania_desc:0 "Сконе належить данському королеві, і це дозволяє йому накладати на шведські кораблі непомірне мито за прохід через Зунд. Заради блага Швеції ми повинні забрати в нього цю провінцію."
 control_halland_title:0 "Завоювати Галланд"
 control_halland_desc:0 "Данія досі володіє Галландом, і це становить значну загрозу нашому королівству. Звідси данці можуть влаштовувати спустошливі набіги на південну Швецію, і загрожувати шведським судам, які залишають Балтійське море. Ми не можемо більше з цим миритися."
 control_estonia_title:0 "Завоювати Естонію"
 control_estonia_desc:0 "У нас дуже значна протяжність берегової лінії. А це означає, що безпека королівства багато в чому залежить від контролю над Балтійським морем. Естонські порти повинні перейти в руки шведів."
 control_latvia_title:0 "Завоювати Лівонію"
 control_latvia_desc:0 "Лівонія, і її ключовий порт Рига, є вкрай важливими для контролю над балтійською торгівлею. Для нашої ж безпеки ми повинні захопити ці землі."
 swedish_pommerania_title:0 "Шведська Померанія"
 swedish_pommerania_desc:0 "Якщо ворожі нам сили зможуть закріпитися на південному узбережжі Балтійського моря, то Швеція опиниться у великій небезпеці. Краще нам прив'язати своїх коней до ворожого паркану, ніж вони прив'яжуть до нашого."
 control_gotland_title:0 "Завоювати Готланд"
 control_gotland_desc:0 "Готланд знаходиться в ключовому стратегічному місці у центрі Балтійського моря. Якщо Швеція хоче залишатися в числі Великих Держав, вона повинна володіти цим островом."
 vassalize_norway_swe_title:0 "Захистити Норвегію"
 vassalize_norway_swe_desc:0 "З розпадом Кальмарскої унії Норвегія була кинута напризволяще – одна у ворожому світі. Ми як добрі сусіди просто зобов'язані захистити Норвегію."
 annex_norway_swe_title:0 "Відстояти Норвегію"
 annex_norway_swe_desc:0 "На щастя, Норвегія перебуває під нашим захистом. Але місцеві князьки не погоджують з нами свої дії належним чином. Ми повинні вжити заходів."
 no_territory_to_denmark_title:0 "Ні шматка землі данцям"
 no_territory_to_denmark_desc:0 "Боягузливий король Данії захопив землі, які по праву мають належати нам. Ми не заспокоїмося доти, доки всі землі Швеції не об'єднаються."
 reconquer_finland_title:0 "Повернути Фінляндію"
 reconquer_finland_desc:0 "Хоча підлі Івани завдяки своїй боягузливій тактиці захопили Фінляндію, ми повинні знову перемогти цього жахливого ведмедя. Ми повинні скористатися наявною можливістю, і звільнити Фінляндію, щоб повернути її до цивілізованого світу."
 swedish_colony_in_north_america_title:0 "Швеція в Новому Світі"
 swedish_colony_in_north_america_desc:0 "До нас дійшли новини про відкриття дивовижних земель у Північній Америці. Не можна упустити вигоду, яку обіцяють американські колонії."
 fortify_the_eastern_border_title:0 "Зміцнити східні кордони"
 fortify_the_eastern_border_desc:0 "Росія вже досягла кордонів Фінляндії, тому ми повинні вкласти кошти у будівництво нових фортець на цих землях."
 colonize_lapland_title:0 "Принести цивілізацію саамам"
 colonize_lapland_desc:0 "Саами північної Швеції відстають у своєму розвитку. Вони не є ні шведами, ні християнами. Наш обов'язок – зробити їх такими."
 control_jylland_title:0 "Почати війну на південному узбережжі"
 control_jylland_desc:0 "Ми залучені у війну з Данією. Щоб перемогти їх, ми повинні боротися. Нам необхідно переправити свої армії через Балтику, і взяти Ютландію під свій контроль."
 control_osel_title:0 "Завоювати Езель"
 control_osel_desc:0 "Король Данії Вальдемар II здобув великі перемоги над естонськими язичниками, однак після повстання Юрієвої ночі їх землі стали частиною Лівонського ордену. Тепер ми повинні повернути острів Езель, і закріпитися на ньому."
 colonize_iceland_title:0 "Колонізувати Ісландію"
 colonize_iceland_desc:0 "Колонії великих вікінгів у Ісландії занепали, і зараз острів залишається безлюдним. Ми повинні повернутися, і знову заснувати там поселення."
 retake_scania_title:0 "Повернути Сконе"
 retake_scania_desc:0 "Область Сконе завжди була частиною данського королівства, однак король Швеції забрав у нас ці землі. Ми повинні звільнити всіх данців, які перебувають під шведським ярмом."
 retake_halland_title:0 "Повернути Галланд"
 retake_halland_desc:0 "Завоювавши Галланд, шведи опинилися занадто близько від Копенгагена. Ми повинні вигнати шведів, і повернути те, що належить нам по праву."
 denmark_slesvig_holstein_relations_title:0 "Покращити відносини з Гольштейном"
 denmark_slesvig_holstein_relations_desc:0 "Данія завжди турбувалася про долю імперського князівства Гольштейн. Ми повинні покращити відносини з ними."
 denmark_oldenburg_relations_title:0 "Покращити відносини з Ольденбургом"
 denmark_oldenburg_relations_desc:0 "Королівська родина Данії завжди була тісно пов'язаною з правителями Ольденбурга. І зараз ми повинні добитися ще кращих відносин з ними."
 vassalize_norway_title:0 "Захистити Норвегію"
 vassalize_norway_desc:0 "З розпадом Кальмарскої унії Норвегія була кинута напризволяще – одна у ворожому світі. Ми як добрі сусіди просто зобов'язані захистити Норвегію."
 annex_norway_title:0 "Спадщина Кальмару"
 annex_norway_desc:0 "Кальмарська унія зробила короля Данії єдиним істинним королем Норвегії. З часу розірвання унії ми постійно чекали можливості повернути Данії норвезький трон. Цей час настав."
 defend_denmark_title:0 "Відстояти Данію"
 defend_denmark_desc:0 "З часів розпаду Кальмарскої унії бунтівні провінції Швеції продовжували відкидати владу данського короля. Більше того, тепер вони захопили частину володінь свого законного сюзерена. Ми не віддамо їм наші землі."
 danish_controlled_cot_title:0 "Данська торгівля"
 convert_ezochi_to_shintoism_title:0 "Показати їм шлях синтоїзму"
 convert_ezochi_to_shintoism_desc:0 "На жаль, населення провінції Камікава не дотримується нашої віри. Ми повинні наставити цих людей на шлях істинний. Це допоможе встановити в країні Висхідного сонця рівновагу."
 conquer_southern_korea_title:0 "Завоювати Корею"
 conquer_southern_korea_desc:0 "Самовпевнені правителі Кореї проголосили, що небесний мандат ставить їх вище японського імператора. Ми повинні почати вторгнення на півострів, і захопити його південну частину, щоб покарати корейську зарозумілість."
 colonize_the_northern_islands_title:0 "Колонізувати північні острови"
 colonize_the_northern_islands_desc:0 "Син неба вимагає, щоб острова на північ від Японії були заселені безземельними ронінами. Це необхідно для миру і спокою нашої імперії."
 monopolize_japanese_cot_desc:0 "Занадто довго гайдзини контролювали нашу торгівлю. Настав час взяти в руки наші власні торгові відносини."
 establish_footholding_in_manchuria_title:0 "Закріпитися в Маньчжурії"
 establish_footholding_in_manchuria_desc:0 "Дикі землі Маньчжурії мають величезний потенціал, якщо ми зможемо цивілізувати їхніх жителів. Необхідно створити тут наш плацдарм."
 annex_the_mongol_khanate_title:0 "Знищити фальшивих імператорів"
 annex_the_mongol_khanate_desc:0 "Монгольський варвар оголосив себе істинним імператором Китаю з династії Юань. Але у Серединного царства може бути лише один імператор. Ми повинні знищити цих самозванців раз і назавжди."
 annex_dai_viet_title:0 "Відновити прадавні кордони"
 annex_dai_viet_desc:0 "З часів династії Хань населення Дай В'ету визнавало небесний мандат великого імператора. Настав час знову їм про це нагадати."
 ming_oirat_relations_title:0 "Відносини з ойратами"
 ming_oirat_relations_desc:0 "Ойратська орда продовжує нападати на наші західні кордони, іноді пошкоджуючи навіть Велику стіну. Ми повинні покращити наші стосунки з ними, щоб вони проводили свої набіги на когось іншого."
 vassalize_tibet_title:0 "Повернути Тибет"
 vassalize_tibet_desc:0 "Імператори з династії Юань змусили правителів Тибету схилитися перед Серединною державою. Тепер ми змусимо їх зробити те ж саме."
 annex_tibet_title:0 "Приєднати Тибет"
 annex_tibet_desc:0 "Правителі Тибету не бажають йти істинним шляхом конфуціанства. Ми повинні принести порядок у ці землі, включивши їх до складу Китаю."
 defend_korea_title:0 "Захистити Корею"
 defend_korea_desc:0 "Японці вторглися у Корею, і тепер намагаються перетворити південну частину півострова в базу для ненависних піратів вокоу. Ми повинні зробити все можливе, щоб у них нічого не вийшло."
 colonize_taiwan_title:0 "Колонізувати Тайвань"
 colonize_taiwan_desc:0 "Острів Тайвань населений нечисленними племенами дикунів. Ми повинні підготувати ці землі для китайських поселенців."
 colonize_deren_title:0 "Дійти до Чорної ріки"
 colonize_deren_desc:0 "Священна Чорна ріка, яку деякі варвари називають Амуром, є зручною природною межею. Ми повинні заснувати тут поселення, щоб розширити наші кордони."
 china_discovers_india_title:0 "Відкрити Індію"
 china_discovers_india_desc:0 "Хоча більшість людей задоволені пояснення, що наш шовк іде у якісь варварські землі, деякі цікаві євнухи бажають знати більше. Вони просять нас спорядити експедицію до Індії."
 start_the_conquest_of_ming_china_title:0 "Об'єднати племена Маньчжурії"
 start_the_conquest_of_ming_china_desc:0 "Ми повинні раз і назавжди об'єднати населення Маньчжурії. Багато маньчжурців уже стали союзниками китайців, знайшовши прихисток у тіні Великої стіни. Ми повинні відправити свої війська на південь, і звільнити інших маньчжурців від рабства."
 conquer_danzig_title:0 "Повернути Данциг"
 conquer_danzig_desc:0 "Згідно з Каліським мирним договором територія навколо Данцига відійшла Тевтонському ордену, юридично залишаючись у власності польської корони. Нещодавно хрестоносці перестали виконувати свої зобов'язання, і ми повинні повернути те, що належить нам по праву."
 conquer_warmia_title:0 "Завоювати Вармію"
 conquer_warmia_desc:0 "Хоча саме Тевтонський орден приніс у Вармію християнство, вона вважалася частиною королівства Польського. Навіть через сотні років ми досі пам'ятаємо, що ці землі повинні належати нам."
 poland_mazovia_relations_title:0 "Відносини з Мазовією"
 poland_mazovia_relations_desc:0 "Розділивши Польщу між синами, король Болеслав III привів королівство до тривалого періоду роздробленості. І хоча Польща зараз більшою об'єдналася, герцогство Мазовецьке залишається незалежним. Слід покращити з ним стосунки."
 vassalize_mazovia_title:0 "Підкорити Мазовію"
 vassalize_mazovia_desc:0 "Мазовія повинна повернутися до польської корони. Герцог повинен визнати над собою владу нашого монарха."
 annex_mazovia_title:0 "Повернути Мазовію"
 annex_mazovia_desc:0 "Ми повинні повернути старі добрі часи польської слави. Мазовецьке герцогство має знову стати повноцінною частиною Польщі."
 conquer_smolensk_title:0 "Завоювати Смоленськ"
 conquer_smolensk_desc:0 "Велика фортеця у Смоленську – це ворота до Литви. Ми повинні заволодіти нею, щоб захистити нашу Річ Посполиту."
 retake_podolia_title:0 "Відкинути турок"
 retake_podolia_desc:0 "Турки змогли просунутися до південних кордонів нашої держави. Ми не можемо їм цього дозволити, і повинні відкинути їх."
 poland_lithuania_relations_title:0 "Польсько-литовські відносини"
 poland_lithuania_relations_desc:0 "Після смерті останнього короля з династії Пястів, Казимира Великого, основою зовнішньої політики Польщі стало встановлення міцних династичних зв'язків з Литвою. Недавно цю традицію було порушено, і нам необхідно її відновити."
 vassalize_lithuania_title:0 "Захистити Литву"
 vassalize_lithuania_desc:0 "Литва останнім часом стала слабшою за Польщу. Якщо вони перебуватимуть у більш тісному союзі з нами, це буде однаково корисно для безпеки обох держав."
 annex_lithuania_title:0 "Утворити Річ Посполиту"
 annex_lithuania_desc:0 "Польща і Литва протягом багатьох років були тісно пов'язаними між собою. Тепер дворянство обох країн просить про об'єднання двох держав у співдружність."
 vassalize_the_teutonic_order_title:0 "Нагадати лицарям про їхній обов'язок"
 vassalize_the_teutonic_order_desc:0 "Лицарі Тевтонського ордену прийшли у Прусію на запрошення польського короля. Але тепер вони стали справжньою проблемою. Ми повинні нагадати лицарям про те, що ці землі є законною власністю польської корони."
 retake_minsk_title:0 "Повернути Мінськ"
 retake_minsk_desc:0 "Росіяни забрали Мінськ. Ми не можемо допустити, щоб така важлива фортеця залишалася під їхнім контролем. Мінськ потрібно повернути."
 fortify_the_southern_border_title:0 "Зміцнити південний кордон"
 fortify_the_southern_border_desc:0 "Держава Габсбургів підійшло надто близько до наших південних кордонів. Ми повинні посилити наші фортеці, щоб захистити Польщу."
 defend_polands_western_border_title:0 "Захистити західний кордон"
 defend_polands_western_border_desc:0 "Ми не віддамо ні шматка нашої землі мерзенним прусакам."
 defend_polands_northern_border_title:0 "Захистити північний кордон"
 defend_polands_northern_border_desc:0 "Ми не віддамо ні шматка нашої землі мерзенним росіянам."
 vassalize_navarra_title:0 "Підкорити Наварру"
 vassalize_navarra_desc:0 "Королівства Кастилії та Франції кинули оком на землі Наварри. Якщо ця територія приєднається до якоїсь з двох країн, це матиме катастрофічні наслідки для Арагону. Ми повинні їх випередити."
 conquer_sardinia_title:0 "Наші права на Сардинію"
 conquer_sardinia_desc:0 "Папа Римський подарував Якову II Справедливому королівство Сардинію в 1297 році. Ми ніколи не забували про цей щедрий дарунок, і тепер настав час висунути вимоги на нашу законну власність."
 diplo_annex_sicily_title:0 "Приєднати Сицилію"
 diplo_annex_sicily_desc:0 "З того часу, як Педро III вигнав герцогів Анжуйських із Сицилії, ми вважали її невід'ємною частиною Арагону. Настав час знову заявити про наші права на ці землі."
 diplo_annex_naples_title:0 "Приєднати Неаполь"
 diplo_annex_naples_desc:0 "Хоча король Неаполя визнав нас сюзереном, ми більш не можемо терпіти його незалежність."
 conquer_naples_title:0 "Завоювати Неаполь"
 conquer_naples_desc:0 "Король Неаполя продовжує стверджувати, що він є істинним королем Сицилії. Для нас це неприйнятно, тому Неаполь потрібно завоювати."
 defend_kaffa_title:0 "Захистити Кафу"
 defend_kaffa_desc:0 "Ми перебуваємо в стані війни з османськими турками. Для нас життєво важливо не втратити наші бази в Чорному морі, а тому ми будемо захищати Кафу до останнього."
 retake_kaffa_title:0 "Повернути Кафу"
 retake_kaffa_desc:0 "Втрата Кафи є не більше ніж тимчасовою невдачею. Ми досі вважаємо цю провінцію невід'ємною частиною нашої держави, і тому ми повинні повернути її якомога швидше."
 conquer_hainaut_title:0 "Завоювати Ено"
 conquer_hainaut_desc:0 "Після шлюбу Маргарити Бургундської, дочки Пилипа II Сміливого, і Вільгельма з Ено, у нас виникло зацікавлення цими землями. Ми вважаємо, що зараз настав час приєднати провінцію Ено до наших володінь."
