l_ukrainian:
 FAVORSGAINED_TITLE: "Накопичено прихильність"
 WEMILALLHONOUR_SETUP: "Ми дотримуємося умов нашого військового союзу"
 WEMILALLHONOUR_HEADER: "$MESSENGER$"
 WEMILALLHONOUR_1: "Виконання зобов'язань!"
 WEMILALLHONOUR_2: "$MONARCHTITLE$, ми вирішили, що держава"
 WEMILALLHONOUR_3: "$ACTOR$"
 WEMILALLHONOUR_4: "гідна нашої підтримки у війні проти держави"
 WEMILALLHONOUR_5: "$VERSUS$."
 WEMILALLHONOUR_6: "Ми ведемо війну проти держав(и) $TARGETLIST$."
 WEMILALLHONOUR_LOG: "Ми приєдналися до держави $ACTOR$ у війні проти держав(и) $TARGETLIST$."
 WEMILALLHONOUR_BTN1: "Гаразд"
 WEMILALLHONOUR_BTN2: "Гаразд"
 WEMILALLHONOUR_BTN3: "Перейти"
 WEMILALLHONOUR_MAP: ""
 WEMILALLSUPPORTIND_TITLE: "Підтримка війни за незалежність"
 WEMILALLSUPPORTIND_SETUP: "Ми приєднуємось до війни за незалежність на боці метрополії"
 WEMILALLSUPPORTIND_HEADER: "$MESSENGER$"
 WEMILALLSUPPORTIND_1: "Війна за незалежність!"
 WEMILALLSUPPORTIND_2: "$MONARCHTITLE$, ми приєдналися до держави"
 WEMILALLSUPPORTIND_3: "$ACTOR$"
 WEMILALLSUPPORTIND_4: "в їхній справедливій війні за незалежність проти держави"
 WEMILALLSUPPORTIND_5: "$VERSUS$"
 WEMILALLSUPPORTIND_6: "Ми тепер воюємо проти держав(и) $TARGETLIST$."
 WEMILALLSUPPORTIND_LOG: "Ми приєдналися до держави $ACTOR$ у війні проти держав(и) $TARGETLIST$."
 WEMILALLSUPPORTIND_BTN1: "Гаразд"
 WEMILALLSUPPORTIND_BTN2: "Гаразд"
 WEMILALLSUPPORTIND_BTN3: "Перейти"
 WEMILALLSUPPORTIND_MAP: ""
 OTHERMILALLHONOUR_TITLE: "Вшанували військовий альянс"
 OTHERMILALLHONOUR_SETUP: "Одна держава дотримується умов військового союзу з іншою"
 OTHERMILALLHONOUR_HEADER: "Вісник держави"
 OTHERMILALLHONOUR_1: "$RECIPIENT$"
 OTHERMILALLHONOUR_2: " повідомляє, що вони вирішили дотриматися"
 OTHERMILALLHONOUR_3: "військового союзу,"
 OTHERMILALLHONOUR_4: "укладеного з державою"
 OTHERMILALLHONOUR_5: "$ACTOR$."
 OTHERMILALLHONOUR_6: "Тепер вони ведуть війну проти держав(и) $TARGETLIST$."
 OTHERMILALLHONOUR_LOG: "Держава $RECIPIENT$ приєдналася до держави $ACTOR$ у війні проти держав(и) $TARGETLIST$."
 OTHERMILALLHONOUR_BTN1: "Гаразд"
 OTHERMILALLHONOUR_BTN2: "Гаразд"
 OTHERMILALLHONOUR_BTN3: "Перейти"
 OTHERMILALLHONOUR_MAP: ""
 MILALLDISHONOUR_TITLE: "Відмова вшанувати альянс"
 MILALLDISHONOUR_SETUP: "Держава не дотримується умов нашого військового союзу"
 MILALLDISHONOUR_HEADER: "Наш канцлер повідомляє:"
 MILALLDISHONOUR_1: "Військовий союз розірвано!"
 MILALLDISHONOUR_2: "$MONARCHTITLE$, віроломна держава"
 MILALLDISHONOUR_3: "$RECIPIENT$"
 MILALLDISHONOUR_4: "відмовилася приєднатися до нашої праведної та шляхетної війни!"
 MILALLDISHONOUR_5: "Вони повинні бути щасливі, що ми зараз трохи зайняті."
 MILALLDISHONOUR_6: "Але ми ніколи не забудемо такої мерзенної поведінки!"
 MILALLDISHONOUR_LOG: "Держава $RECIPIENT$ відмовилася дотриматися умов військового союзу, укладеного з нами."
 MILALLDISHONOUR_BTN1: "Неприємно"
 MILALLDISHONOUR_BTN2: "Неприємно"
 MILALLDISHONOUR_BTN3: "Перейти"
 MILALLDISHONOUR_MAP: ""
 WEMILALLDISHONOUR_TITLE: "Відмова вшанувати альянс"
 WEMILALLDISHONOUR_SETUP: "Ми не дотримуємося умов військового союзу"
 WEMILALLDISHONOUR_HEADER: "$MESSENGER$"
 WEMILALLDISHONOUR_1: "Розрив військового союзу!"
 WEMILALLDISHONOUR_2: "$MONARCHTITLE$, ми вирішили, що війна, оголошена державою"
 WEMILALLDISHONOUR_3: "$ACTOR$,"
 WEMILALLDISHONOUR_4: "не відповідає в цей момент нашим інтересам."
 WEMILALLDISHONOUR_5: ""
 WEMILALLDISHONOUR_6: "Ми з величезним задоволеннями повідомили їм, що в цій війні вони можуть розраховувати тільки на свої сили."
 WEMILALLDISHONOUR_LOG: "Ми відмовилися дотриматися умов військового союзу, укладеного з державою $ACTOR$."
 WEMILALLDISHONOUR_BTN1: "Гаразд"
 WEMILALLDISHONOUR_BTN2: "Гаразд"
 WEMILALLDISHONOUR_BTN3: "Перейти"
 WEMILALLDISHONOUR_MAP: ""
 OTHERMILALLDISHONOUR_TITLE: "Відмова вшанувати альянс"
 OTHERMILALLDISHONOUR_SETUP: "Одна держава не дотримується умов військового союзу з іншою"
 OTHERMILALLDISHONOUR_HEADER: "Вісник держави"
 OTHERMILALLDISHONOUR_1: "$RECIPIENT$"
 OTHERMILALLDISHONOUR_2: " повідомляє, що вони вирішили"
 OTHERMILALLDISHONOUR_3: "не дотримуватися умов\nвійськового союзу,"
 OTHERMILALLDISHONOUR_4: "укладеного з державою"
 OTHERMILALLDISHONOUR_5: "$ACTOR$."
 OTHERMILALLDISHONOUR_6: "Дурні! Чим більше вони будуть роз'єднані, тим швидше потраплять під нашу владу."
 OTHERMILALLDISHONOUR_LOG: "Держава $RECIPIENT$ відмовилася дотримуватися умов військового союзу, укладеного з державою $ACTOR$."
 OTHERMILALLDISHONOUR_BTN1: "Гаразд"
 OTHERMILALLDISHONOUR_BTN2: "Гаразд"
 OTHERMILALLDISHONOUR_BTN3: "Перейти"
 OTHERMILALLDISHONOUR_MAP: ""
 CURIACONTROLLER_TITLE: "Контроль Папи"
 CURIACONTROLLER_SETUP: "Ми починаємо контролювати Папу"
 CURIACONTROLLER_HEADER: "Новини Святого престолу:"
 CURIACONTROLLER_1: "Гідний вибір!"
 CURIACONTROLLER_2: "$MONARCHTITLE$, тепер ми"
 CURIACONTROLLER_3: "контролюємо Папу."
 CURIACONTROLLER_4: "Це великий день для нашої нації!"
 CURIACONTROLLER_5: "$EFFECT$"
 CURIACONTROLLER_6: ""
 CURIACONTROLLER_7: "$EFFECT$"
 CURIACONTROLLER_LOG: "Ми стали контролювати Папу."
 CURIACONTROLLER_BTN1: "Гаразд"
 CURIACONTROLLER_BTN2: "Гаразд"
 CURIACONTROLLER_BTN3: "Перейти"
 CURIACONTROLLER_MAP: ""
 COLONYBURNED_TITLE: "Спалено колонію"
 COLONYBURNED_SETUP: "Знищено одну з наших колоній"
 COLONYBURNED_HEADER: "$MESSENGER$"
 COLONYBURNED_1: "Знищено колонію!"
 COLONYBURNED_2: "$MONARCHTITLE$, сумні новини з колоній!"
 COLONYBURNED_3: "Держава $ACTOR$"
 COLONYBURNED_4: "вчинила злочин проти прогресу,"
 COLONYBURNED_5: "знищивши нашу колонію в провінції $PROVINCE$!"
 COLONYBURNED_6: "Наш народ вимагає помсти!"
 COLONYBURNED_LOG: "Наша колонія в провінції $PROVINCE$ була знищена державою $ACTOR$."
 COLONYBURNED_BTN1: "Неприємно"
 COLONYBURNED_BTN2: "Неприємно"
 COLONYBURNED_BTN3: "Перейти"
 COLONYBURNED_MAP: ""
 COLONYBURNEDUS_TITLE: "Спалено колонію"
 COLONYBURNEDUS_SETUP: "Ми знищуємо чужу колонію"
 COLONYBURNEDUS_HEADER: "$MESSENGER$"
 COLONYBURNEDUS_1: "Колонію знищено!"
 COLONYBURNEDUS_2: "$MONARCHTITLE$, наша могутня армія знищила колонію держави"
 COLONYBURNEDUS_3: "$RECIPIENT$"
 COLONYBURNEDUS_4: "у провінції"
 COLONYBURNEDUS_5: "$PROVINCE$."
 COLONYBURNEDUS_6: "Вона просто не може належати цим мерзотникам!"
 COLONYBURNEDUS_LOG: "Ми знищили колонію держави $RECIPIENT$ у провінції $PROVINCE$."
 COLONYBURNEDUS_BTN1: "Гаразд"
 COLONYBURNEDUS_BTN2: "Гаразд"
 COLONYBURNEDUS_BTN3: "Перейти"
 COLONYBURNEDUS_MAP: ""
 COLONYBURNEDOTHER_TITLE: "Спалено колонію"
 COLONYBURNEDOTHER_SETUP: "Одна держава знищує колонію іншої"
 COLONYBURNEDOTHER_HEADER: "Вісник держави"
 COLONYBURNEDOTHER_1: "$ACTOR$"
 COLONYBURNEDOTHER_2: " повідомляє, що вони"
 COLONYBURNEDOTHER_3: "спалили колонію держави $RECIPIENT$."
 COLONYBURNEDOTHER_4: "Держава $RECIPIENT$ більше не має колоністів у провінції $PROVINCE$!"
 COLONYBURNEDOTHER_5: ""
 COLONYBURNEDOTHER_6: "Це означає, що тепер ми можемо пошукати щастя в цій землі."
 COLONYBURNEDOTHER_LOG: "Держава $ACTOR$ знищила колонію держави $RECIPIENT$ у провінції $PROVINCE$."
 COLONYBURNEDOTHER_BTN1: "Гаразд"
 COLONYBURNEDOTHER_BTN2: "Гаразд"
 COLONYBURNEDOTHER_BTN3: "Перейти"
 COLONYBURNEDOTHER_MAP: ""
 COLONYTAKEN_TITLE: "Захоплено колонію"
 COLONYTAKEN_SETUP: "Держава захоплює одну з наших колоній"
 COLONYTAKEN_HEADER: "$MESSENGER$"
 COLONYTAKEN_1: "Захоплено колонію!"
 COLONYTAKEN_2: "$MONARCHTITLE$, сумні новини! Держава"
 COLONYTAKEN_3: "$ACTOR$"
 COLONYTAKEN_4: "незаконно заволоділа нашою колонією в провінції"
 COLONYTAKEN_5: "$PROVINCE$!"
 COLONYTAKEN_6: "Вони навіть не захотіли сісти з нами за стіл переговорів, як це зробили б справжні джентльмени."
 COLONYTAKEN_LOG: "Наша колонія в провінції $PROVINCE$ була захоплена державою $ACTOR$."
 COLONYTAKEN_BTN1: "Неприємно"
 COLONYTAKEN_BTN2: "Неприємно"
 COLONYTAKEN_BTN3: "Перейти"
 COLONYTAKEN_MAP: ""
 COLONYTAKENUS_TITLE: "Захоплено колонію"
 COLONYTAKENUS_SETUP: "Ми захоплюємо колонію"
 COLONYTAKENUS_HEADER: "$MESSENGER$"
 COLONYTAKENUS_1: "Захоплено колонію!"
 COLONYTAKENUS_2: "$MONARCHTITLE$, пересилюючи себе ми захопили колонію держави"
 COLONYTAKENUS_3: "$RECIPIENT$."
 COLONYTAKENUS_4: "Їхня нездатність захистити колоністів у провінції"
 COLONYTAKENUS_5: "$PROVINCE$"
 COLONYTAKENUS_6: "змусила нас запропонувати їм своє заступництво."
 COLONYTAKENUS_LOG: "Ми захопили колонію держави $RECIPIENT$ у провінції $PROVINCE$."
 COLONYTAKENUS_BTN1: "Гаразд"
 COLONYTAKENUS_BTN2: "Гаразд"
 COLONYTAKENUS_BTN3: "Перейти"
 COLONYTAKENUS_MAP: ""
 COLONYTAKENOTHER_TITLE: "Захоплено колонію"
 COLONYTAKENOTHER_SETUP: "Одна держава захоплює колонію іншої"
 COLONYTAKENOTHER_HEADER: "Вісник держави"
 COLONYTAKENOTHER_1: "$ACTOR$"
 COLONYTAKENOTHER_2: " повідомляє, що вони захопили колонію держави"
 COLONYTAKENOTHER_3: "$RECIPIENT$."
 COLONYTAKENOTHER_4: "Держава $ACTOR$ тепер контролює провінцію"
 COLONYTAKENOTHER_5: "$PROVINCE$."
 COLONYTAKENOTHER_6: "Держави $ACTOR$ слід остерігатися: їхнє прагнення до захоплення нових земель можуть зашкодити нашим інтересам."
 COLONYTAKENOTHER_LOG: "Держава $ACTOR$ захопила колонію держави $RECIPIENT$ в провінції $PROVINCE$."
 COLONYTAKENOTHER_BTN1: "Гаразд"
 COLONYTAKENOTHER_BTN2: "Гаразд"
 COLONYTAKENOTHER_BTN3: "Перейти"
 COLONYTAKENOTHER_MAP: ""
 STABINCREASE_TITLE: "Підвищення стабільності"
 STABINCREASE_SETUP: "Наша стабільність підвищується"
 STABINCREASE_HEADER: "Наш губернатор повідомляє:"
 STABINCREASE_1: "Гарні новини!"
 STABINCREASE_2: "$MONARCHTITLE$, стан справ у нашій державі покращився через"
 STABINCREASE_3: "зростання стабільності."
 STABINCREASE_4: "Всі громадяни нашої нації певні, що тепер Господь благоволить нашим землям більше, ніж раніше."
 STABINCREASE_5: ""
 STABINCREASE_6: ""
 STABINCREASE_LOG: "Наша стабільність підвищилася."
 STABINCREASE_BTN1: "Гаразд"
 STABINCREASE_BTN2: "Гаразд"
 STABINCREASE_BTN3: "Перейти"
 STABINCREASE_MAP: ""
 STABDROP_TITLE: "Зниження стабільності"
 STABDROP_SETUP: "Наша стабільність знижується"
 STABDROP_HEADER: "Наш губернатор повідомляє:"
 STABDROP_1: "Погані новини!"
 STABDROP_2: "$MONARCHTITLE$, люди втрачають довіру до вашого керування через"
 STABDROP_3: "зниження стабільності!"
 STABDROP_4: "Деякі марновірні дурні говорять, що наша країна втратила божественне благословення."
 STABDROP_5: "Зниження стабільності привело до зменшення доходів і торгового впливу, а також до зниження захисту від шпигунів. Крім того, зріс ризик повстань."
 STABDROP_6: ""
 STABDROP_LOG: "Наша стабільність понизилася."
 STABDROP_BTN1: "Неприємно"
 STABDROP_BTN2: "Неприємно"
 STABDROP_BTN3: "Перейти"
 STABDROP_MAP: ""
 REGENT_TITLE: "Регентська рада"
 REGENT_SETUP: "До влади в нашій державі приходить регент"
 REGENT_HEADER: "Наш губернатор повідомляє:"
 REGENT_1: "Регентство!"
 REGENT_2: "Наш старий монарх помер занадто рано. Його спадкоємець поки не готовий взяти владу у свої руки, а тому"
 REGENT_3: "Регентська рада"
 REGENT_4: " з вищого дворянства тепер керує нашою державою."
 REGENT_5: ""
 REGENT_6: "Поки ми очікуємо коронації нашого нового монарха, наші дипломатичні можливості обмежені."
 REGENT_LOG: "Нашою державою починає керувати регент."
 REGENT_BTN1: "Гаразд"
 REGENT_BTN2: "Гаразд"
 REGENT_BTN3: "Перейти"
 REGENT_MAP: ""
 REGENTOTHER_TITLE: "Регентська рада"
 REGENTOTHER_SETUP: "До влади в іншій державі приходить регент"
 REGENTOTHER_HEADER: "Вісник держави"
 REGENTOTHER_1: "$ACTOR$"
 REGENTOTHER_2: " повідомляє, що їх новий монарх ще занадто юний, \nтому їх державою буде керувати"
 REGENTOTHER_3: "регент."
 REGENTOTHER_4: ""
 REGENTOTHER_5: ""
 REGENTOTHER_6: "Це на певний час послабило їхні дипломатичні можливості. Чи не сприятливий момент завдати їм удару?"
 REGENTOTHER_LOG: "Державою $COUNTRY$ починає правити регент."
 REGENTOTHER_BTN1: "Гаразд"
 REGENTOTHER_BTN2: "Гаразд"
 REGENTOTHER_BTN3: "Перейти"
 REGENTOTHER_MAP: ""
 DISBAND_TITLE: "Полк розформовано"
 DISBAND_SETUP: "Розформовується полк"
 DISBAND_HEADER: "$MESSENGER$"
 DISBAND_1: "Розформовано полк!"
 DISBAND_2: "$MONARCHTITLE$, ми розформували полк"
 DISBAND_3: "$UNIT$."
 DISBAND_4: "Без сумніву, мерзотники, з яких тільки й складається наша армія, витратять всю своє платню в тавернах..."
 DISBAND_5: ""
 DISBAND_6: ""
 DISBAND_LOG: "Ми розформували полк '$UNIT$'."
 DISBAND_BTN1: "Гаразд"
 DISBAND_BTN2: "Гаразд"
 DISBAND_BTN3: "Перейти"
 DISBAND_MAP: ""
 COLONYDAMAGED_TITLE: "Колонію пошкоджено тубільцями"
 COLONYDAMAGED_SETUP: "Тубільці пошкодили нашу колонію"
 COLONYDAMAGED_HEADER: "$MESSENGER$"
 COLONYDAMAGED_1: "Колонія зазнала збитків!"
 COLONYDAMAGED_2: "$MONARCHTITLE$, дикуни провінції"
 COLONYDAMAGED_3: "$PROVINCE$"
 COLONYDAMAGED_4: "нанесли збитки нашій колонії!"
 COLONYDAMAGED_5: "Частина колоністів вбита, кілька будинків знищено."
 COLONYDAMAGED_6: "Чи варто намагатися залучити цих дикунів до цивілізації?"
 COLONYDAMAGED_LOG: "Наша колонія в провінції $PROVINCE$ зазнала збитків від тубільців."
 COLONYDAMAGED_BTN1: "Тільки не це!"
 COLONYDAMAGED_BTN2: "Тільки не це!"
 COLONYDAMAGED_BTN3: "Перейти"
 COLONYDAMAGED_MAP: ""
 NATIVERISING_TITLE: "Тубільці атакували колонію"
 NATIVERISING_SETUP: "Тубільці атакують нашу колонію"
 NATIVERISING_HEADER: "$MESSENGER$"
 NATIVERISING_1: "Тубільці атакують!"
 NATIVERISING_2: "$MONARCHTITLE$, невдячні дикуни із провінції"
 NATIVERISING_3: "$PROVINCE$"
 NATIVERISING_4: "підняли повстання й атакували наше мирне поселення."
 NATIVERISING_5: ""
 NATIVERISING_6: ""
 NATIVERISING_LOG: "Наша колонія в провінції $PROVINCE$ була атакована тубільцями!"
 NATIVERISING_BTN1: "Тільки не це!"
 NATIVERISING_BTN2: "Тільки не це!"
 NATIVERISING_BTN3: "Перейти"
 NATIVERISING_MAP: ""
 REPAIDLOAN_TITLE: "Виплачено позику"
 REPAIDLOAN_SETUP: "Ми виплачуємо позику іншій державі"
 REPAIDLOAN_HEADER: "$MESSENGER$"
 REPAIDLOAN_1: "Виплачено позику!"
 REPAIDLOAN_2: "$MONARCHTITLE$, ми великодушно вирішили повернути позику в розмірі $SUM$, взяту в держави"
 REPAIDLOAN_3: "$CREDITOR$."
 REPAIDLOAN_4: "Справи з людьми такого роду кепсько впливають на нашу репутацію."
 REPAIDLOAN_5: ""
 REPAIDLOAN_6: ""
 REPAIDLOAN_LOG: "Ми повернули позику, взяту в держави $CREDITOR$."
 REPAIDLOAN_BTN1: "Гаразд"
 REPAIDLOAN_BTN2: "Гаразд"
 REPAIDLOAN_BTN3: "Перейти"
 REPAIDLOAN_MAP: ""
 REPAIDLOANOTHER_TITLE: "Виплачено позику"
 REPAIDLOANOTHER_SETUP: "Держава виплачує нам позику"
 REPAIDLOANOTHER_HEADER: "$MESSENGER$"
 REPAIDLOANOTHER_1: "Виплачено позику!"
 REPAIDLOANOTHER_2: "$MONARCHTITLE$, держава $DEBTOR$ повернула нам позику, сума якої становить"
 REPAIDLOANOTHER_3: "$SUM$."
 REPAIDLOANOTHER_4: "Нарешті!"
 REPAIDLOANOTHER_5: ""
 REPAIDLOANOTHER_6: "Ми сильно їм допомогли - вони повинні бути нам вдячні. "
 REPAIDLOANOTHER_LOG: "Держава $DEBTOR$ повернула нам позику."
 REPAIDLOANOTHER_BTN1: "Гаразд"
 REPAIDLOANOTHER_BTN2: "Гаразд"
 REPAIDLOANOTHER_BTN3: "Перейти"
 REPAIDLOANOTHER_MAP: ""
 REPAIDALLLOAN_TITLE: "Погасити заборгованість"
 REPAIDALLLOAN_SETUP: "Коли ми погасимо позики"
 REPAIDALLLOAN_HEADER: "$MESSENGER$"
 REPAIDALLLOAN_1: "Були погашені позики, на загальну суму $NUM$."
 REPAIDALLLOAN_2: "$MONARCHTITLE$, ми великодушно вирішили виплатити всі борги"
 REPAIDALLLOAN_3: "у кількості $NUM$"
 REPAIDALLLOAN_4: " загальною сумою $SUM$¤."
 REPAIDALLLOAN_5: ""
 REPAIDALLLOAN_6: ""
 REPAIDALLLOAN_LOG: "Ми погасили позики."
 REPAIDALLLOAN_BTN1: "Гаразд"
 REPAIDALLLOAN_BTN2: "Гаразд"
 REPAIDALLLOAN_BTN3: "Перейти"
 REPAIDALLLOAN_MAP: ""
 CANCELLOAN_TITLE: "Відмова виплачувати позику"
 CANCELLOAN_SETUP: "Ми відмовляємося виплатити позику"
 CANCELLOAN_HEADER: "$MESSENGER$"
 CANCELLOAN_1: "Позику анульовано!"
 CANCELLOAN_2: "$MONARCHTITLE$! Оскільки відсотки за позикою,"
 CANCELLOAN_3: "яку нам надала держава $CREDITOR$,"
 CANCELLOAN_4: "так високі, ми не станемо її повертати. "
 CANCELLOAN_5: "Позикодавець буде дуже розчарований."
 CANCELLOAN_6: "Втім, ми вважаємо, що вони вже отримали від нас цілком достатньо."
 CANCELLOAN_LOG: "Ми відмовилися повертати позику, взяту в держави $CREDITOR$."
 CANCELLOAN_BTN1: "Гаразд"
 CANCELLOAN_BTN2: "Гаразд"
 CANCELLOAN_BTN3: "Перейти"
 CANCELLOAN_MAP: ""
 CANCELLOANOTHER_TITLE: "Відмова виплачувати позику"
 CANCELLOANOTHER_SETUP: "Одна держава відмовляється виплатити нам позику"
 CANCELLOANOTHER_HEADER: "$MESSENGER$"
 CANCELLOANOTHER_1: "Позику анульовано!"
 CANCELLOANOTHER_2: "$MONARCHTITLE$, віроломна держава $DEBTOR$"
 CANCELLOANOTHER_3: "відмовилася повернути позику,"
 CANCELLOANOTHER_4: "взяту в нас."
 CANCELLOANOTHER_5: "Вони за це відповідатимуть!"
 CANCELLOANOTHER_6: "Ми повинні негайно їх провчити, інакше інші наслідуватимуть їхній приклад."
 CANCELLOANOTHER_LOG: "Держава $DEBTOR$ відмовилася повернути нам позику."
 CANCELLOANOTHER_BTN1: "Неприємно"
 CANCELLOANOTHER_BTN2: "Неприємно"
 CANCELLOANOTHER_BTN3: "Перейти"
 CANCELLOANOTHER_MAP: ""
 DECLINELOAN_TITLE: "Відмова від позики"
 DECLINELOAN_SETUP: "Ми відмовляємося від запропонованої позики"
 DECLINELOAN_HEADER: "$MESSENGER$"
 DECLINELOAN_1: "Пропозицію позики відхилено!"
 DECLINELOAN_2: "$MONARCHTITLE$, ми відмовилися від пропозиції"
 DECLINELOAN_3: "держави $OTHER$"
 DECLINELOAN_4: "взяти позику."
 DECLINELOAN_5: ""
 DECLINELOAN_6: "Ми досить багаті, й не бажаємо ганьбити своє добре ім'я, пов'язуючи себе з цими лихварями."
 DECLINELOAN_LOG: "Ми відмовилися взяти позику в держави $OTHER$."
 DECLINELOAN_BTN1: "Гаразд"
 DECLINELOAN_BTN2: "Гаразд"
 DECLINELOAN_BTN3: "Перейти"
 DECLINELOAN_MAP: ""
 DECLINELOANOTHER_TITLE: "Відмова від позики"
 DECLINELOANOTHER_SETUP: "Держава відмовляється від запропонованої нами позики"
 DECLINELOANOTHER_HEADER: "$MESSENGER$"
 DECLINELOANOTHER_1: "Позику не беруть!"
 DECLINELOANOTHER_2: "$MONARCHTITLE$, дурні з держави"
 DECLINELOANOTHER_3: "$OTHER$ відмовилися від позики, "
 DECLINELOANOTHER_4: "яку ми їм пропонували."
 DECLINELOANOTHER_5: ""
 DECLINELOANOTHER_6: "Вони ще про це пошкодують."
 DECLINELOANOTHER_LOG: "Держава $OTHER$ відмовилася взяти в нас позику."
 DECLINELOANOTHER_BTN1: "Гаразд"
 DECLINELOANOTHER_BTN2: "Гаразд"
 DECLINELOANOTHER_BTN3: "Перейти"
 DECLINELOANOTHER_MAP: ""
 ACCEPTLOAN_TITLE: "Погодилися взяти позику"
 ACCEPTLOAN_SETUP: "Ми приймаємо запропоновану нам позику"
 ACCEPTLOAN_HEADER: "$MESSENGER$"
 ACCEPTLOAN_1: "Пропозицію позики прийнято!"
 ACCEPTLOAN_2: "$MONARCHTITLE$, ми великодушно вирішили"
 ACCEPTLOAN_3: "взяти позику,"
 ACCEPTLOAN_4: "запропоновану нам державою"
 ACCEPTLOAN_5: "$OTHER$."
 ACCEPTLOAN_6: " Можливо, потім ми її навіть виплатимо."
 ACCEPTLOAN_LOG: "Ми взяли позику, запропоновану нам державою $OTHER$."
 ACCEPTLOAN_BTN1: "Гаразд"
 ACCEPTLOAN_BTN2: "Гаразд"
 ACCEPTLOAN_BTN3: "Перейти"
 ACCEPTLOAN_MAP: ""
 ACCEPTLOANOTHER_TITLE: "Погодилися взяти позику"
 ACCEPTLOANOTHER_SETUP: "Держава приймає запропоновану нами позику"
 ACCEPTLOANOTHER_HEADER: "$MESSENGER$"
 ACCEPTLOANOTHER_1: "Пропозицію позики прийнято!"
 ACCEPTLOANOTHER_2: "$MONARCHTITLE$, держава $OTHER$"
 ACCEPTLOANOTHER_3: "прийняла нашу щедру пропозицію"
 ACCEPTLOANOTHER_4: "і взяла в нас позику."
 ACCEPTLOANOTHER_5: ""
 ACCEPTLOANOTHER_6: "І якщо вони тільки спробують ошукати нас - вони гірко про це пошкодують."
 ACCEPTLOANOTHER_LOG: "Держава $OTHER$ взяла позику, яку ми їм запропонували."
 ACCEPTLOANOTHER_BTN1: "Гаразд"
 ACCEPTLOANOTHER_BTN2: "Гаразд"
 ACCEPTLOANOTHER_BTN3: "Перейти"
 ACCEPTLOANOTHER_MAP: ""
 ACCEPTEDCULTUREGAINED_TITLE: "Визнано культуру"
 ACCEPTEDCULTUREGAINED_SETUP: "Ми визнаємо нову культуру"
 ACCEPTEDCULTUREGAINED_HEADER: "$MESSENGER$"
 ACCEPTEDCULTUREGAINED_1: "Визнано культуру!"
 ACCEPTEDCULTUREGAINED_2: "$MONARCHTITLE$, наші піддані з культури "
 ACCEPTEDCULTUREGAINED_3: "$CULTURE$,"
 ACCEPTEDCULTUREGAINED_4: "остаточно довели нам свою вірність. А тому із цього моменту ми"
 ACCEPTEDCULTUREGAINED_5: "будемо вважати їх"
 ACCEPTEDCULTUREGAINED_6: "невід'ємною частиною нашого культурного простору. Їхня мова та звичаї стали частиною нашого національного надбання."
 ACCEPTEDCULTUREGAINED_LOG: "Нами було визнано нову культуру: $CULTURE$."
 ACCEPTEDCULTUREGAINED_BTN1: "Гаразд"
 ACCEPTEDCULTUREGAINED_BTN2: "Гаразд"
 ACCEPTEDCULTUREGAINED_BTN3: "Перейти"
 ACCEPTEDCULTUREGAINED_MAP: ""
 ACCEPTEDCULTURELOST_TITLE: "Втрачено культуру"
 ACCEPTEDCULTURELOST_SETUP: "Ми втрачаємо культуру"
 ACCEPTEDCULTURELOST_HEADER: "$MESSENGER$"
 ACCEPTEDCULTURELOST_1: "Втрачено культуру!"
 ACCEPTEDCULTURELOST_2: "$MONARCHTITLE$, ми більше не збираємося піклуватися про людей культури"
 ACCEPTEDCULTURELOST_3: "$CULTURE$."
 ACCEPTEDCULTURELOST_4: "І вони більше не є частиною нашого національного надбання. Їхня чужинська говірка не гідна наших палаців! Відправте їх на польові роботи!"
 ACCEPTEDCULTURELOST_5: ""
 ACCEPTEDCULTURELOST_6: ""
 ACCEPTEDCULTURELOST_LOG: "У нас втратила статус визнаної культура: $CULTURE$."
 ACCEPTEDCULTURELOST_BTN1: "Неприємно"
 ACCEPTEDCULTURELOST_BTN2: "Неприємно"
 ACCEPTEDCULTURELOST_BTN3: "Перейти"
 ACCEPTEDCULTURELOST_MAP: ""
 LEADERDIED_TITLE: "Помер командувач"
 LEADERDIED_SETUP: "Помирає один з наших командувачів"
 LEADERDIED_HEADER: "$MESSENGER$"
 LEADERDIED_1: "Помер командир!"
 LEADERDIED_2: "$MONARCHTITLE$, погані новини!"
 LEADERDIED_3: "$TYPE$ $NAME$ покинув цей світ."
 LEADERDIED_4: "Цей доблесний воїн служив нам вірою й правдою. Він гідний пишного похорону."
 LEADERDIED_5: ""
 LEADERDIED_6: ""
 LEADERDIED_LOG: "$TYPE$ $NAME$ був похований."
 LEADERDIED_BTN1: "Неприємно"
 LEADERDIED_BTN2: "Неприємно"
 LEADERDIED_BTN3: "Перейти"
 LEADERDIED_MAP: ""
 GENERAL: "Генерал"
 ADMIRAL: "Адмірал"
 CONQUISTADOR: "Землепроходець"
 EXPLORER: "Мореплавець"
 PAP_BONUS_FROM_CONV: "Наш вплив на Папу збільшиться на §Y+$VAL$§!.\n"
 MISSSUCC_TITLE: "Успішне навернення"
 MISSSUCC_SETUP: "Наш проповідник добивається успіху"
 MISSSUCC_HEADER: "$MESSENGER$"
 MISSSUCC_1: "Навернення пройшло успішно!"
 MISSSUCC_2: "$MONARCHTITLE$, ми нарешті"
 MISSSUCC_3: "навернули всіх єретиків провінції "
 MISSSUCC_4: "$PROV$"
