l_ukrainian:
 exploration_events.1.t:0 "Розвідка у провінції $PROVINCENAME$"
 custom_idea_production_efficiency:0 "Стимуляція виробництва"
 custom_idea_production_efficiency_desc:0 "Метод батога і пряника добре працює з ослами, але наша ідея щодо заохочення виробництва пішла далі. Щоб збільшити виробництво, треба бути винахідливими. Іншими словами, ніколи не варто недооцінювати ні батіг, ні пряник."
 custom_idea_global_unrest:0 "Гарантовані свободи"
 custom_idea_global_unrest_desc:0 "Ми гарантуємо своїм підданим свободу, через що заколотникам важче знайти підтримку серед населення."
 custom_idea_stability_cost_modifier:0 "Цілісність країни"
 custom_idea_stability_cost_modifier_desc:0 "Люди стверджують, що вони хочуть пригод і слави у своєму житті, але коли справа доходить до бійки, вони молять лише про стабільність. Впевненість у завтрашньому дні – ось що дозволяє людям спокійно спати."
 custom_idea_missionaries:0 "Церковно-приходські школи"
 custom_idea_missionaries_desc:0 "В місіонерських школах навчають нести істинну віру в світ. Державні школи в цьому плані не відрізняються від звичайних, але тепер країна сама виховуватиме тих, кому доведеться проповідувати нашу віру серед язичників і віруючих."
 custom_idea_inflation_reduction:0 "Стандартизація монет"
 custom_idea_inflation_reduction_desc:0 "Монети, вироблені на спеціальному монетному дворі, виглядають і важать однаково, що спричинило фурор в торгівлі. Купці більше не відчувають себе обдуреними – принаймні не тому, що монети, якими вони торгують, містять менше золота або срібла. Тепер по всій країні використовуються однакові монети."
 custom_idea_inflation_action_cost:0 "Фінансові положення"
 custom_idea_inflation_action_cost_desc:0 "Ретельне регулювання фінансів веде до економічного добробуту."
 custom_idea_interest:0 "Фінансова біржа"
 custom_idea_interest_desc:0 "Ми можемо здорово підтримати економіку держави, видаючи людям позики під хороший відсоток. Наші купці і чиновники будуть багатіти день від дня, запливаючи жиром і грішми."
 custom_idea_build_cost:0 "Конкуренція серед будівельників"
 custom_idea_build_cost_desc:0 "Розширення ринків будівництва збільшить конкуренцію між будівельниками, отже, вони будуть знижувати ціни на свої послуги. Конкуренція – двигун прогресу. Це означає, що ми зможемо знайти нові, дешеві, але більш міцні матеріали, а також людей, готових працювати за копійки."
 custom_idea_build_power_cost:0 "Державні архітектори"
 custom_idea_build_power_cost_desc:0 "Державні архітектори укладають контракти з кожним будівельником і ретельно вивіряють плани будівництва. Тільки після цього робітники зможуть приступити до роботи. Це позбавить нас від зайвого головного болю і зменшить вартість будівництва."
 custom_idea_global_missionary_strength:0 "Захисники віри"
 custom_idea_global_missionary_strength_desc:0 "Наші місіонери проповідують з таким завзяттям, якого ніхто раніше не бачив, і ніщо не зможе вислизнути від їх погляду, наповненого праведним гнівом."
 custom_idea_prestige:0 "Меценатство"
 custom_idea_prestige_desc:0 "Схвалення, допомога і підтримка художників перетворить нас на прогресивну і освічену націю."
 custom_idea_prestige_decay:0 "Нескінченний престиж"
 custom_idea_prestige_decay_desc:0 "Завдяки спадщини минулого, наш престиж ніколи не впаде!"
 custom_idea_legitimacy:0 "Легітимне правління"
 custom_idea_legitimacy_desc:0 "Ніхто і ніколи не сумнівався в легітимності нашої влади, а якщо такі й були, їх вже ніхто і ніколи не зможе відшукати."
 custom_idea_devotion:0 "Релігійні традиції"
 custom_idea_devotion_desc:0 "Наша держава має давню та величну традицію служіння богу, яка зміцнює благочестя наших правителів та забезпечує, що ми поводимось належним чином у відповідності до духовних законів."
 custom_idea_horde_unity:0 "Об'єднання кланів"
 custom_idea_horde_unity_desc:0 "Наша держава побудована на величних традиціях різноманітних кланів, які об'єдналися для створення великої орди. Це дозволяє нам залишатися разом навіть у самі скрутні часи, коли інші не в силах знайти спільну мову."
 custom_idea_republican_tradition:0 "Республіканський етос"
 custom_idea_republican_tradition_desc:0 "Життя, дихання і смерть. Все, що ми робимо, ми робимо заради блага республіки."
 custom_idea_technology_cost:0 "Наукова спадщина"
 custom_idea_technology_cost_desc:0 "Наша держава залишила значущий слід в науковому розвитку світу, але цього не достатньо! Настав час повернути собі першість! Ми повинні ретельніше вивчати нашу історію, наукові досягнення предків, адже без минулого не може бути і майбутнього. І ми віримо, що майбутнє – за наукою!"
 custom_idea_idea_cost:0 "Придворні філософи"
 custom_idea_idea_cost_desc:0 "Захищаючи вільнодумних філософів, які перебувають на службі при дворі, ми зможемо бути впевнені, що наш народ буде готовий протистояти будь-яким можливим викликам долі."
 custom_idea_advisor_cost:0 "Придворні традиції"
 custom_idea_advisor_cost_desc:0 "Сини наших радників будуть йти по стопах своїх батьків, так що ми ніколи не будемо відчувати брак людей при дворі."
 custom_idea_advisor_pool:0 "Великий двір"
 custom_idea_advisor_pool_desc:0 "Чим більше королівський двір, тим більше потрібно радників. Наш, ймовірно, є найбільшим з усіх, враховуючи, скільки людей бажає отримати роботу та місце при дворі."
 custom_idea_tolerance_own:0 "Справедлива держава"
 custom_idea_tolerance_own_desc:0 "Держава і церква є одним цілим, релігійні догми і учення повинні стати обов'язковими для всіх громадян."
 custom_idea_tolerance_heretic:0 "Терпимість до єретиків"
 custom_idea_tolerance_heretic_desc:0 "Священики та інші благочестиві люди можуть не розділяти нашу віру, але на нашому до них відношенні це ніяк не позначиться."
 custom_idea_tolerance_heathen:0 "Прийняття секуляризму"
 custom_idea_tolerance_heathen_desc:0 "Відокремивши державу від релігійних установ, ми відстоїмо право наших підданих на свободу віросповідання. Якщо держава не буде встрявати в релігійні конфлікти і підтримувати певну віру, то люди будуть мати право вільно проводити свої релігійні практики. Ми вважаємо, що чужовірці та єретики будуть щасливі."
 custom_idea_heir_chance:0 "Збільшення попиту"
 custom_idea_heir_chance_desc:0 "Правитель завжди повинен мати спадкоємця, а недавні дослідження знайшли кілька нових способів для збільшення шансів народження дитини у королівського подружжя. Опікунство, збільшення кількості династичних шлюбів, запрошення фавориток – все це може збільшити шанс на появу законного спадкоємця."
 custom_idea_enemy_core_creation:0 "Місцевий патріотизм"
 custom_idea_enemy_core_creation_desc:0 "В пориві відданості країні наші піддані зупинять будь-кого, хто посміє зазіхнути на їх рідні землі."
 custom_idea_core_creation:0 "Патріотична пропаганда"
 custom_idea_core_creation_desc:0 "Підкоряючи провінції іншої країни, ми часто стикаємося з безладами, які можуть викликати чуму повстання. Завдяки новій програмі пропаганди, ми переконаємо жителів прийняти нашу країну, наш шлях і наші традиції швидше, ніж раніше."
 custom_idea_vassal_income:0 "Торгові договори"
 custom_idea_vassal_income_desc:0 "Укладання торгових договорів з нашими васалами забезпечить збільшення їх доходів, так як купці і торговці будуть змушені слідувати єдиним правилам. Це, в свою чергу, збільшить і наш дохід за рахунок збільшення виплат від васальних держав, тому у виграші будуть обидві сторони."
 custom_idea_religious_unity:0 "У вірі єдині"
 custom_idea_religious_unity_desc:0 "Незважаючи на численні відмінності в традиціях, культурі і безлічі інших речей, нас об'єднує віра: одна релігія, одна потужна причина, щоб залишатися разом."
 custom_idea_global_autonomy:0 "Посилення уряду"
 custom_idea_global_autonomy_desc:0 "Провінції завжди прагнули автономії більше, ніж ми могли їм надати. Але останнім часом їх бажання самоврядування стало згасати."
 custom_idea_accepted_culture_threshold:0 "Культурна приналежність"
 custom_idea_accepted_culture_threshold_desc:0 "Завоювання нових провінцій призвело до міжнаціональних сутичок, тому ми повинні прийняти їх традиції і накинути на себе мантію толерантності. З цього моменту ми всі будемо жити в мирі, незалежно від своєї культури."
 custom_idea_culture_conversion_cost:0 "Культурна асиміляція"
 custom_idea_culture_conversion_cost_desc:0 "Інші культури містять у собі елементи, які ми б не хотіли бачити в суспільстві. Ми повинні захистити себе від них, а для того, щоб повною мірою асимілювати інші культури, ми повинні зрозуміти їх слабкості і показати всім шанувальникам цих культур недоліки їх шляху."
 custom_idea_naval_morale:0 "Морський статут"
 custom_idea_naval_morale_desc:0 "Оскільки ми постійно збільшуємо флот і навчаємо нових моряків, нам потрібен чіткий кодекс поведінки, набір правил, щоб екіпажі кораблів знали, що прийнятно, а що ні. Це була неоднозначна ідея, однак у підсумку виявилося, що це досить непогано позначилося на бойовому дусі нашого флоту."
 custom_idea_trade_efficiency:0 "Розвиток торгівлі"
 custom_idea_trade_efficiency_desc:0 "Торгівля та обмін існували здавна, проте не завжди були ефективними. Люди звикли прямо обмінювати товари та послуги на інші товари та послуги. Однак зараз, завдяки інноваційним методам торгівлі, товари та послуги обмінюються за допомогою спеціальних засобів, таких як гроші."
 custom_idea_global_trade_power:0 "Меркантилістська система"
 custom_idea_global_trade_power_desc:0 "Економічна теорія та практика, яка принесла нам багато вдалих угод з іншими країнами, була прийнята в якості офіційної економічної доктрини."
 custom_idea_global_prov_trade_power_modifier:0 "Навчання меркантилізму"
 custom_idea_global_prov_trade_power_modifier_desc:0 "Щоб переконатися в тому, що наші купці, торговці та інші бізнесмени є фахівцями в своїй галузі, ми організували спеціальні навчальні курси в провінціях. Кожен, хто пройде їх, зможе пізнати велике мистецтво торгівлі."
 custom_idea_trade_steering:0 "Теорія меркантилізму"
 custom_idea_trade_steering_desc:0 "Деякі кажуть, що управління торгівлею – це мистецтво, інші – що це наука. Багато вчених зараз зайняті вивченням контролю над торгівлею і передають знання нашим купцям. Дивно, але це дозволило нам значно краще регулювати торговий оборот."
 custom_idea_global_tariffs:0 "Бюро з колоніальним питань"
 custom_idea_global_tariffs_desc:0 "Бюро з колоніальних питань дозволяє нам долати більшість стандартних проблем колоній за допомогою кваліфікованих і спеціально навчених колоністів."
 custom_idea_diplomatic_reputation:0 "Харизматичні дипломати"
 custom_idea_diplomatic_reputation_desc:0 "Використання дипломатів, які зможуть зачарувати будь-кого, потенційно збільшить нашу дипломатичну репутацію."
 custom_idea_diplomatic_upkeep:0 "Управління закордонних справ"
 custom_idea_diplomatic_upkeep_desc:0 "Тепер нове управління подбає про усі наші закордонні справи і утримання дипломатів."
 custom_idea_merchants:0 "Державна школа бізнесу"
 custom_idea_merchants_desc:0 "Математика, дипломатична майстерність, лідерство, харизма... все це важливі навички, якими повинен володіти успішний купець. Замість того, щоб посилати на завдання людей, які мають лише базові знання про торгівлю, ми можемо забезпечити нашу країну торговцями вищого класу."
 custom_idea_colonists:0 "Досвідчені колоністи"
 custom_idea_colonists_desc:0 "Люди, які колись виїхали з нашої великої країни, щоб приєднатися до інших в пошуках нових земель, мають великий досвід у створенні колоній та забезпеченні їх процвітання. Використовуючи слова і золото, нам вдалося вмовити деяких переселенців працювати на нас в якості колоністів."
 custom_idea_diplomats:0 "Дипломатична освіта"
 custom_idea_diplomats_desc:0 "Хоча у нас завжди були прекрасні дипломати, навчати тих небагатьох обраних, які будуть служити нам ще краще, ніколи не буде зайвим. Еліта, найкращі та найяскравіші представники нашого народу будуть навчатися, щоб потім проявити себе і представляти нашу державу в різних дипломатичних угодах."
 custom_idea_naval_maintenance_modifier:0 "Морські обов'язки"
 custom_idea_naval_maintenance_modifier_desc:0 "Пообіцявши золото, привілеї та довгострокові відпустки, ми залучили безліч людей, охочих побачити світ та отримати за це гроші. Капітани наберуть повні екіпажі в найкоротші терміни!"
 custom_idea_naval_forcelimit_modifier:0 "Національні верфі"
 custom_idea_naval_forcelimit_modifier_desc:0 "Кораблям необхідно мати надійні і безпечні місця, де вони можуть стояти, поки не використовуються, і де можуть отримати якісний ремонт, будь то лагодження пари дірок або відновлення втраченої величі після більш серйозних ушкоджень. Наші національні верфі стануть таким місцем."
 custom_idea_ship_durability:0 "Укріплені корпуси"
 custom_idea_ship_durability_desc:0 "Щоб судно трималося на плаву, його вага повинна бути меншою за вагу води, що витісняється корпусом. Нещодавнє удосконалення корпусів наших суден зробило кораблі більш легкими і довговічними."
 custom_idea_war_exhaustion:0 "Національна гордість"
 custom_idea_war_exhaustion_desc:0 "Війна завжди спустошлива для ресурсів держави, її народу і, в першу чергу, для її солдат. Залучаючи всіх, від малого до старого, чоловіків і жінок, багатих і бідних, щоб захистити країну від ворога, ми пробудимо патріотичні почуття, які об'єднають націю і дозволять їй переносити тяготи війни більш стійко."
 custom_idea_war_exhaustion_cost:0 "Тактична війна"
 custom_idea_war_exhaustion_cost_desc:0 "Задовго до початку війни ми будемо складати плани битв, з'ясовувати наші переваги і недоліки, пропонувати і розглядати різні стратегії, щоб втрати серед наших солдатів і ресурсів були якнайменші."
 custom_idea_navy_tradition_decay:0 "Морські закони"
 custom_idea_navy_tradition_decay_desc:0 "Будь-який фахівець скаже вам, що набір негласних законів, який визначає як поводитися і діяти в різних обставинах, не залишить місця для невпевненості і сумнівів. Подібний підхід був застосований і до нашого флоту, і хоч моряки і почали бурчати, але все ж зобов'язалися виконувати нові закони."
 custom_idea_navy_tradition:0 "Морська гордість"
 custom_idea_navy_tradition_desc:0 "Новий порядок, створений, щоб надати нашим морякам і солдатам почуття гордості і відданості, призвів до зростання наших морських традицій."
 custom_idea_leader_naval_fire:0 "Морські каноніри"
 custom_idea_leader_naval_fire_desc:0 "Наш флот отримав нові стандартизовані команди під керівництвом досвідчених офіцерів, які називаються морськими канонірами. Ці люди мають величезний досвід в морських битвах і знають, як краще використовувати гармати тактично і стратегічно."
 custom_idea_leader_naval_shock:0 "Використання відкидних гаків"
 custom_idea_leader_naval_shock_desc:0 "Грейфери використовуються, щоб перетягувати вантажі на борт судна. Новий проект відкидних гаків дає можливість протистояти небажаним навантаженням."
 custom_idea_leader_naval_maneuver:0 "Визначні корабели"
 custom_idea_leader_naval_maneuver_desc:0 "Дбайливо збираючи найкращих кораблебудівників, яких тільки може запропонувати наша держава, ми отримуємо можливість збудувати нам сучасний флот,  незрівнянний у майстерності та маневреності."
 custom_idea_spy_offence:0 "Операції під прикриттям"
 custom_idea_spy_offence_desc:0 "Перебуваючи під прикриттям, наші шпигуни захищені від підозр і зможуть виконувати операції по саботажу з куди меншими зусиллями."
 custom_idea_spy_defense:0 "Проникнення в тил ворога"
 custom_idea_spy_defense_desc:0 "Наші розвідники намагатимуться проникнути в шпигунські мережі ворога, щоб плутати інформацію та слідкувати за тим, щоб ворожий уряд не отримував секретну інформацію про нашу країну."
 custom_idea_ship_recruit_speed:0 "Досвідчені кораблебудівники"
 custom_idea_ship_recruit_speed_desc:0 "Великий флот вимагає безліч верфей і досвідчених корабелів. При будівництві кожного нашого судна, військового чи торгового, наші кораблебудівники отримують цінний досвід, який призводить до збільшення швидкості будування кораблів всіх видів."
 custom_idea_blockade_efficiency:0 "Стандартизація блокад"
 custom_idea_blockade_efficiency_desc:0 "Нещодавнє введення стандартизації блокад вже показало свої позитивні якості, зробивши наші блокади набагато ефективнішими."
 custom_idea_embargo_efficiency:0 "Ефективні ембарго"
 custom_idea_embargo_efficiency_desc:0 "Зниження торгового впливу інших країн ще ніколи не було такою простою справою."
 custom_idea_prestige_from_naval:0 "Морська велич"
 custom_idea_prestige_from_naval_desc:0 "Наші вороги вже давно бояться нашої армії, а тепер ще і будуть тремтіти від страху перед нашим флотом!"
 custom_idea_range:0 "Якісна провізія"
 custom_idea_range_desc:0 "Гарантуючи, що наші колоністи будуть мати доступ до найякіснішої провізії, ми легко зможемо збільшити максимальні відстані, на які вони зможуть виходити в море без поповнення припасів."
 custom_idea_global_colonial_growth:0 "Обіцянка земель"
 custom_idea_global_colonial_growth_desc:0 "Просто пообіцявши людям власний шматочок землі, ми переконаємо нових поселенців вирушати в наші колонії."
 custom_idea_ae_impact:0 "Витончена пропаганда"
 custom_idea_ae_impact_desc:0 "Ми вдосконалили нашу пропаганду, щоб населення ігнорувало, або, принаймні, приймало наше агресію."
 custom_idea_privateer_efficiency:0 "Компетентні капери"
 custom_idea_privateer_efficiency_desc:0 "Перехід від простих піратів до повноправних каперів зазвичай тривалий і важкий, проте нам вдалося швидко подолати його."
 custom_idea_diplomatic_annexation_cost:0 "Підтримка асиміляції"
 custom_idea_diplomatic_annexation_cost_desc:0 "Замість того, щоб насильно асимілювати людей, ми показуємо їм, що у нас є спільні інтереси, а іноді навіть культурні та релігійні подібності. Це дозволяє набагато ефективніше інтегрувати їх у нашу країну."
 custom_idea_heavy_ship_cost:0 "Захист дубових лісів"
 custom_idea_heavy_ship_cost_desc:0 "Переконавшись, що наші дубові ліси перебувають під захистом держави, ми забезпечимо собі доступ до дешевого дубу для кораблів."
 custom_idea_light_ship_cost:0 "Морська інженерія"
 custom_idea_light_ship_cost_desc:0 "Намалювати проект на папері – це ще не все, морський інженер повинен також знати про проектування, будівництво, технічне обслуговування і експлуатацію судна."
 custom_idea_galley_cost:0 "Національний арсенал"
 custom_idea_galley_cost_desc:0 "Створивши національний арсенал, ми зможемо швидко і дешево будувати галери за типовими проектами."
 custom_idea_transport_cost:0 "Державний морський архітектор"
 custom_idea_transport_cost_desc:0 "Створивши при дворі посаду морського архітектора, ми зменшимо витрати на будівництво транспортних кораблів."
 custom_idea_heavy_ship_power:0 "Вправи зі стрільби"
 custom_idea_heavy_ship_power_desc:0 "Стрільба бортом вимагає добре підготовлений екіпаж, який зможе синхронно перезаряджати зброю і вести вогонь. Постійні вправи забезпечать наші суди такими екіпажами."
 custom_idea_light_ship_power:0 "Подвійні постріли"
 custom_idea_light_ship_power_desc:0 "Легкі кораблі дуже швидкі, але мають набагато менше портів для гармат, ніж інші кораблі. З новою практикою завантаження двох ядер в одну гармату легкі кораблі втратять в дальності і влучності стрільби, проте на близьких дистанціях вони будуть руйнівними."
 custom_idea_galley_power:0 "Гарматний замок"
 custom_idea_galley_power_desc:0 "Кремінний механізм, що використовується в мушкетах і рушницях, був адаптований для гармат і отримав назву – гарматний замок. Це набагато безпечніше, ніж старі пальники."
 custom_idea_land_morale:0 "Полкова гордість"
 custom_idea_land_morale_desc:0 "Вселяючи гордість за свої полки в серця солдатів, ми збільшимо їх бойовий дух і змусимо битися значно відважніше."
 custom_idea_discipline:0 "Військова поліція"
 custom_idea_discipline_desc:0 "Ніхто не хоче бути покараним, тому введення військової поліції в армії призвело до зниження кількості судових позовів і зміцнило дисципліну солдатів."
 custom_idea_land_maintenance_modifier:0 "Організована військова бюрократія"
 custom_idea_land_maintenance_modifier_desc:0 "Розширення та організація військової бюрократії – непросте завдання, але вкрай необхідне."
 custom_idea_mercenary_cost:0 "Формалізація вербування найманців"
 custom_idea_mercenary_cost_desc:0 "Набір найманців – це завжди повільна і складна справа, тому ми вважали за краще спиратися на наших власних солдатів. Однак, формалізувавши процес найму, ми навчилися уникати багатьох проблем, що дозволило спростити вербування."
 custom_idea_merc_maintenance_modifier:0 "Титули для найманців"
 custom_idea_merc_maintenance_modifier_desc:0 "Надаючи титули командирам найманців, ми гарантуємо собі кращих солдатів за справедливою ціною, що сильно заощадить нам гроші."
 custom_idea_mercenary_manpower:0 "Центри вербування найманців"
 custom_idea_mercenary_manpower_desc:0 "Створення центрів вербування по всій країні значно збільшить число компаній, що бажають служити у нас."
 custom_idea_land_forcelimit_modifier:0 "Створення регулярної армії"
 custom_idea_land_forcelimit_modifier_desc:0 "Регулярна армія означає, що ми більше не будемо покладатися на найманців або приватні армії під час війни і зможемо створити великі армії з великим числом солдатів."
 custom_idea_global_manpower_modifier:0 "Призов селян"
 custom_idea_global_manpower_modifier_desc:0 "Неважливо, багаті чи бідні ви, ви завжди можете битися. Призов селян не сподобається нашим досвідченим воїнам, однак це збільшить кількість доступних рекрутів."
 custom_idea_manpower_recovery_speed:0 "Місцеві центри вербування"
 custom_idea_manpower_recovery_speed_desc:0 "Центри вербування дозволяють набирати солдатів безпосередньо в кожній провінції. Замість того, щоб змусити їх йти до нас, ми самі прийдемо за ними."
 custom_idea_reinforce_speed:0 "Організована логістика"
 custom_idea_reinforce_speed_desc:0 "Управління поставками перебувало в хаотичному стані, поки ми не створили організовану систему логістики."
 custom_idea_hostile_attrition:0 "Тактика спаленої землі"
 custom_idea_hostile_attrition_desc:0 "Наші військові мають чіткий наказ при відступі знищувати все, що може бути корисно ворогові, наприклад, джерела харчування і транспорт."
 custom_idea_army_tradition:0 "Підвищення за заслуги"
 custom_idea_army_tradition_desc:0 "Ми відмовилися від старого способу просування по службі за кровною приналежністю на користь підвищень за заслуги."
 custom_idea_army_tradition_decay:0 "Створення офіцерських шкіл"
 custom_idea_army_tradition_decay_desc:0 "Ті, хто показав велике завзяття чи старанність в управлінні військами, тепер можуть записатися в офіцерську школу, яка навчить їх, яким повинен бути справжній офіцер і джентльмен."
 custom_idea_leader_land_fire:0 "Навчання стрільбі"
 custom_idea_leader_land_fire_desc:0 "Дайте людині гвинтівку, і він буде в змозі захистити себе протягом дня. Навчіть його поводитися з гвинтівкою, і він ніколи більше не буде беззахисний."
 custom_idea_leader_land_shock:0 "Кавалерійські офіцери"
 custom_idea_leader_land_shock_desc:0 "Вершникам лідери потрібні так само, як і піхотинцям, а надання людині звання офіцера-кавалериста тільки зробить його краще."
 custom_idea_leader_land_manuever:0 "Військові розвідники"
 custom_idea_leader_land_manuever_desc:0 "Розвідники відправляються в невідомі регіони, щоб отримати важливу інформацію про ворожі сили, навколишнє середовище і місцевість."
 custom_idea_leader_siege:0 "Облогові тактики"
 custom_idea_leader_siege_desc:0 "Той, хто вирішив, що облога – розумний спосіб вести війну, або геній, або ідіот. Тим не менш, використовуючи найкращі тактики, наші армії будуть краще почувати себе під час облог."
 custom_idea_regiment_recruit_speed:0 "Швидке вербування"
 custom_idea_regiment_recruit_speed_desc:0 "Чим швидше ми будемо вербувати нових солдатів, тим швидше війська отримають підкріплення."
 custom_idea_prestige_from_land:0 "Пам'ятники перемоги"
 custom_idea_prestige_from_land_desc:0 "Наші перемоги повинні відмічатися величними пам'ятниками, які зображують того, хто допоміг нам перемогти або вів нас шляхом слави."
 custom_idea_defensiveness:0 "Стандарти будівництва фортець"
 custom_idea_defensiveness_desc:0 "Одна з найважливіших речей, що захищає країну – це форти. Створивши стандарти конструкцій, ми значно ускладнимо ворогам захоплення контролю над провінціями."
 custom_idea_siege_ability:0 "Сапери"
 custom_idea_siege_ability_desc:0 "Облоги виграються терпінням і винахідливістю. Сапери пристосовані до облоги і мають свої особливі обов'язки, такі як полегшення пересування, захист і виживання союзних військ, а також протидія ворогам."
 custom_idea_vassal_forcelimit_bonus:0 "Васальна рекрутингова система"
 custom_idea_vassal_forcelimit_bonus_desc:0 "Плюс наявності васалів в тому, що вони значно збільшують наші армії, а з новою системою вербування вигода від цього буде ще більше."
 custom_idea_infantry_power:0 "Сержанти-ветерани"
 custom_idea_infantry_power_desc:0 "Сержанти є істинними лідерами в армії. Іноді щоб запобігти війні достатньо зупинити суперечку між селянами."
 custom_idea_cavalry_power:0 "Якісні коні"
 custom_idea_cavalry_power_desc:0 "Будь-який вершник скаже вам, що якість бойового коня так само важлива, як і спортивного, а іноді і більше."
 custom_idea_artillery_power:0 "Високоякісні боєприпаси"
 custom_idea_artillery_power_desc:0 "Чим краще боєприпаси, тим сильніше наші рушниці і гармати."
 custom_idea_infantry_cost:0 "Масовий призов"
 custom_idea_infantry_cost_desc:0 "Обов'язковий призов на військову службу значно знизить вартість піхоти."
 custom_idea_cavalry_cost:0 "Земельні наділи для кавалеристів"
 custom_idea_cavalry_cost_desc:0 "Коні їдять траву, трава росте на землі. Надавши вершникам земельні наділи, ми забезпечимо себе більш дешевими, але в той же час чудовими кіньми."
 custom_idea_artillery_cost:0 "Уніфікація калібрів"
 custom_idea_artillery_cost_desc:0 "Внутрішній діаметр стовбура визначає розміри снарядів. Уніфікувавши калібри, ми зможемо виробляти більше гармат і боєприпасів до них."
 tribal_kingdom_ruler_nahuatl:0 "Тлатоані"
 tribal_despotism_ruler_nahuatl:0 "Тлатоані"
 tribal_federation_ruler_nahuatl:0 "Тлатоані"
 tribal_democracy_ruler_nahuatl:0 "Тлатоані"
 feudal_monarchy_ruler_nahuatl:0 "Тлатоані"
 despotic_monarchy_ruler_nahuatl:0 "Тлатоані"
 SACRIFICE_RULER:0 "Принести у жертву правителя"
 SACRIFICE_HEIR:0 "Принести у жертву спадкоємця"
 nahuatl_extra_sacrifice:0 "Необхідні жертви"
 nahuatl_sorcerer:0 "Сільський чаклун"
 desc_nahuatl_sorcerer:0 "Ходять чутки, що села в провінції тероризує чаклун."
 cholula_temples:0 "Храми Чолули"
 desc_cholula_temples:0 "Храмовий комплекс Чолули – один з найстаріших у Центральній Америці і має особливе значення в поклонінні Кетцалькоатлю, пернатому змію. Беззбройним прочанам завжди буде дозволено відвідати це святе місце, незалежно від походження та соціального статусу."
 nahuatl_allowed_spying_pochtecas:0 "Шпигунство Почтека"
 desc_nahuatl_allowed_spying_pochtecas:0 "Закриваючи очі на найбільш нахабні спроби членів зарубіжних торгових гільдій, Почтека, шпигувати за нашою державою, ми позбавляємо себе всякої можливості протистояти майбутнім диверсій."
 nahuatl_angered_pochtecas:0 "Невдоволені гільдії Почтека"
 desc_nahuatl_angered_pochtecas:0 "Ми зробили все можливе, щоб позбавити зарубіжні гільдії можливості шпигувати за нами. Вчинивши так, ми розлютили самих торговців, що, безумовно, позначиться на наших торгових доходах."
 nahuatl_earth_quake_devestation:0 "Розруха після землетрусу"
 desc_nahuatl_earth_quake_devestation:0 "Ця провінція серйозно постраждала від великого землетрусу і зараз знаходиться в процесі відновлення."
 nahuatl_grace_of_xipe_totec:0 "Милість Шипе-Тотека"
 desc_nahuatl_grace_of_xipe_totec:0 "Завдяки заступництву Шипе-Тотека, наш народ зумів пережити сильний землетрус. Він став для нас ще одним нагадуванням, що ми ніколи не повинні відмовлятися від нашої обов'язків давати сонцю силу через жертвоприношення. Тільки так ми зможемо врятувати себе і богів від кінця часів."
 nahuatl_grace_of_huitzilopochtli:0 "Милість Уїцилопочтлі"
 desc_nahuatl_grace_of_huitzilopochtli:0 "Завдяки заступництву Уїцилопочтлі, наш народ зумів пережити сильний землетрус. Воні став для нас ще одним нагадуванням, що ми ніколи не повинні відмовлятися від нашої обов'язки давати сонцю силу через жертвоприношення. Тільки так ми зможемо врятувати себе і богів від кінця часів."
