l_ukrainian:
 # Country formation decisions
 TTS:0 "Дві Сицилії"
 flavor_tus.EVTOPTA23:0 "Let us enjoy the Papacy!"
 flavor_tus.EVTNAME24:0 "Death of the [medici_pope_home.GetAdjective] Pope"
 flavor_tus.EVTDESC24:0 "The late Pope was a contentious figure, and with his passing ends a colorful chapter in the Papacy's history. Relations with [medici_pope_home.GetName] have returned to their old state, and everything has gone back to the way things used to be. More or less."
 flavor_tus.EVTOPTA24:0 "Requiescat in pace."
 flavor_tus.EVTNAME25:1 "Our Pope is Dead"
 flavor_tus.EVTDESC25:0 "Our special relationship with the Papacy has come to an end as the life of our Pope has come to an end. The close connection with [PAP.Capital.GetCapitalName], no matter its duration, was certainly colorful and, hopefully, fruitful."
 flavor_tus.EVTOPTA25:0 "Requiescat in pace, Papa."
 emp_lan_next_pope_medici_tt:0 "The next elected Pope will have a special relationship with our country."
 opinion_our_pope_on_throne:0 "Our Pope is on the Throne"
 opinion_pope_tuscan_homeland:0 "The Pope's Homeland"

 WORLD_CRUSADE_WAR_NAME:0 "$ORDER$$FIRST$ Great Holy War against $SECOND$"
 cb_world_crusade:0 "Great Holy War"
 cb_world_crusade_desc:0 "This world is blasphemous and corrupt; we must seek to cleanse this world of vice and sin!"
 flavor_efr.EVTNAME1:0 "[Root.Monarch.GetName]’s Claim to East Frisia"
 flavor_efr.EVTDESC1:0 "Since 1381, East Frisia’s independence has been questionable at best. Ocko II, the last official Count of East Frisia, loaned his title to Count William V of Holland. When the traitorous Ocko II was forcibly removed from power by our peasant militia in the Battle of the Wild Fields, the status of [Root.Monarch.GetName] as Count of East Frisia went unrecognised by the Empire.\n\n[dutch_east_frisia_claimant.Monarch.GetName], [dutch_east_frisia_claimant.Monarch.GetTitle] of [dutch_east_frisia_claimant.GetName], insists that [Root.Monarch.GetName] is little more than a peasant leading a revolt against [Root.Monarch.GetHerHis] liege and has no right to claim sovereignty over East Frisia. Seeking approval from the Emperor could help to strengthen our claim and keep [dutch_east_frisia_claimant.GetName] at bay."
 flavor_efr.EVTOPTA1:0 "Present our offer to the Emperor."
 flavor_efr.EVTOPTB1:0 "I bow to no Emperor."
 flavor_efr.EVTNAME2:0 "East Frisia Offers to Join the Empire"
 flavor_efr.EVTDESC2:0 "An envoy from the leader of the peasants in East Frisia has arrived asking [Root.Monarch.GetTitle] [Root.Monarch.GetName] to support [EFR.Monarch.GetName]’s claim to the County of East Frisia. In return for our support, [Root.Monarch.GetSheHe] has offered to kneel before the Emperor as a Prince of the Holy Roman Empire.\n\nOfficially, the county of East Frisia is held by [dutch_east_frisia_claimant.Monarch.GetName] of Holland. The Holy Roman Empire has made no official stance on the matter, and a single word from the Emperor could bring an end to this conflict."
 flavor_efr.EVTOPTA2:0 "Welcome to the Empire."
 flavor_efr.EVTOPTB2:0 "Support the [dutch_east_frisia_claimant.GetAdjective] claim to East Frisia."
 flavor_efr.EVTNAME3:0 "East Frisia and the Empire"
 flavor_efr.EVTDESC3.1:0 "With [From.Monarch.GetName]’s approval, [Root.Monarch.GetName] is a nameless peasant leader no more. [Root.Monarch.GetSheHeCap] is Imperial Count [Root.Monarch.GetName] of East Frisia. With the Emperor’s approval and recognition, the [dutch_east_frisia_claimant.GetAdjective] claims on East Frisia have faded into weakness beyond recognition."
 flavor_efr.EVTDESC3.2:0 "The Emperor has decided to support [dutch_east_frisia_claimant.GetName] and their claim and refuse our entry into the Holy Roman Empire. While we are yet to see what [dutch_east_frisia_claimant.Monarch.GetName] will do with [dutch_east_frisia_claimant.Monarch.GetHerHis] claim, this surely will not end well for our nation."
 flavor_efr.EVTDESC3.3:0 "For too long the peasant leader in East Frisia has been allowed to rule his petty lands uncontested. Now, with [From.Monarch.GetTitle] [From.Monarch.GetName]'s support, our distant claim to East Frisia has been strengthened and the [From.Monarch.GetTitle] has given us [From.Monarch.GetHerHis] blessing to invade the petty republic in East Frisia."
 flavor_efr.EVTOPTA3:0 "Long live the Count."
 flavor_efr.EVTOPTB3:0 "The Emperor is a bloated fool!"
 flavor_efr.EVTOPTC3:0 "Let us end [EFR.Monarch.GetName]’s rule."
 great_privilege_opinion:0 "Великий привілей"
 burgundy_refused_membership_opinion:0 "Refused Imperial Entry"
 bur_france_may_get_mad_tt:0 "Це може привести до §Rвійни§! з §YФранцією§!!"
 lowland_privilege_tt:0 "§YІмператор§! може §Rвимагати§! §YНижні країни§!!"
 marry_the_emperor_tt:0 "Ми опинимось в §Yособистій унії§! з державою §Y[Emperor.GetName]§!."
 marry_strong_ally_tt:0 "Ми опинимось в §Yособистій унії§! з державою §Y[bur_strongest_ally.GetName]§!."
 marry_french_tt:0 "Ми опинимось в §Yособистій унії§! з державою §Y[FRA.GetName]§!."
 bur_france_gets_france_tt:0 "§YКожну провінцію§!, що належить §YБургундії§! в §Yрегіоні Франція§!, буде передано державі §Y[FRA.GetName]§!."
 release_imperial_tt:1 "§§YКожну провінцію§!, що належить §YБургундії§! в СРІ will be §Yreleased§! as §YPrinces of the HRE§!."
 demand_lowlands_tt:0 "Demand that the §YLowlands§! be released as §YPrinces of the HRE§!."
 east_frisia_empire_tt:0 "§YEast Frisia§! will become a part of the Holy Roman Empire\nThe type of Government changes to §YMonarchy§!."
 become_helvetic_tt:0 "§YSwitzerland§! will become a §YRevolutionary Republic§!."
 genevan_province_tt:0 "§YGeneva§! will ask for control of all §YSavoyard§! provinces of §YSwiss culture§!."
 westphalia_peace_trigger_tt:0 "Either §YReligious Peace§! is achieved in the Empire, or the §YLeague War§! has happened and §Y[Root.Religion.GetName]§! is the official religion of the Holy Roman Empire."
 westphalia_peace_reward1_tt:1 "If §YReligious Peace§! is achieved or the Empire has been dismantled:"
 westphalia_peace_reward2_tt:0 "If §Y[Root.Religion.GetName]§! is the official religion of the Holy Roman Empire:"
 legislative_sejm:0 "Legislative Sejm"
 legislative_sejm_desc:0 "By granting more legislative powers to the Sejm, we ensure that only the best candidates from within our nation are selected to be in line for the throne."
 integrated_sejmiks:0 "Integrate the Sejmiks"
 integrated_sejmiks_desc:0 "The Sejmiks are the local parliaments assigned to rule the various regions within our nation. By integrating the Sejmiks into our government, we ensure that people of all cultures feel properly represented in the Sejm."
 penal_colonies_reform:0 "Exile Colonial Companies"
 penal_colonies_reform_desc:0 "The New World is a place of great opportunity, and for us it is an opportunity to establish Exile Colonies and rid our nation of convicts and minorities. By allowing colonial companies to claim sovereignty over our undesirables, we will create harmony in the Old World and expand our influence in the New World."
 john_calvin_modifier:0 "Духовний лідер"
 john_calvin_modifier_desc:0 "Жан Кальвін служить цій нації як її духовний лідер."
 mercenary_monopoly_modifier:0 "Mercenary Monopoly"
 mercenary_monopoly_modifier_desc:0 "This nation has achieved a complete monopoly of the mercenary market."
 colonial_assimilation_of_natives_mod:0 "Assimilation of natives"
 desc_colonial_assimilation_of_natives_mod:0 "This country has been effective in integrating native people with its colonies."
 colonial_accommodation_mod:0 "Native Colonial Integration"
 desc_colonial_accommodation_mod:0 "Native people are joining this colony."
 flavor_swi.EVTNAME4:0 "The Swiss Confederations"
 flavor_swi.EVTDESC4:0 "[Root.GetName] itself is not officially recognized as a nation, not even by itself. The Swiss cities are reichsfrei of the Holy Roman Empire and answer directly to the Emperor. The [Root.GetAdjective] Confederation is merely a cooperative military and trade agreement between Swiss Cities. Several such agreements exist amongst the Swiss, including our neighbor: [TTL.GetName].\n\n[TTL.GetName] is a confederation of independent Cantons in mutual cooperation, and perhaps by offering to work alongside them, we may begin to unite all Swiss Cantons into a single state."
 flavor_swi.EVTOPTA4:0 "Expand the confederation."
 flavor_swi.EVTOPTB4:0 "Focus on strengthening the Cantons."
 flavor_swi.EVTNAME5:0 "John Calvin"
 flavor_swi.EVTDESC5:0 "As the reformation tears its way through Europe, the unity between the Swiss Cantons is beginning to break down. As each Canton chooses its allegiance in the conflict between the Protestants and the Catholics, the conflict of religious warfare continues to stain our land with Swiss blood.\n\nA preacher by the name of John Calvin has been preaching on the streets of Geneva. Throughout Europe, he has been preaching his unique interpretation of the reformation, attesting that all humans are born in total depravity from the moment they are born and it is only through the grace of God that they may be free from vice and sin.\n\nAs of late he has been gaining quite the sizable following within our nation, a following large enough that he may well supercede the authority of [Root.Monarch.GetName]."
 flavor_swi.EVTOPTA5:0 "The people of Geneva may follow who they please."
 flavor_swi.EVTOPTB5:0 "Banish this zealot from our nation!"
 flavor_swi.EVTNAME6:0 "Calvin Returns Geneva"
 flavor_swi.EVTDESC6:0 "In spite of his banishment from the city, we have been told that John Calvin has reappeared on the streets of [4720.GetName] spreading his faith. Many are expecting another swift banishment, but perhaps [Root.Monarch.GetName] feels more sympathetic regarding the nature of Calvin’s faith."
 flavor_swi.EVTOPTA6:0 "He is not worth the effort."
 flavor_swi.EVTOPTB6:0 "Again? Remove this heretic!"
 flavor_swi.EVTNAME7:0 "Calvin Becomes Spiritual Leader of Geneva"
 flavor_swi.EVTDESC7:0 "The reformer John Calvin has been spreading his unique religious views in Geneva for many years. As our nation turns more and more against the Catholic church, the desire for a spiritual leader in Geneva grows. The majority of the Grand Council has voted to create such a title and has appointed John Calvin to the position. [Root.Monarch.GetName] has the authority to intercede in the council’s decision and remove Calvin from power, but doing so would greatly upset the Reformed population living in [4720.GetName]."
 flavor_swi.EVTOPTA7:0 "Invite Calvin to be spiritual leader of [Root.GetName] instead!"
 flavor_swi.EVTOPTB7:0 "We will simply do nothing."
 flavor_swi.EVTOPTC7:0 "We must remove this black seed before it blossoms into a coup!"
 flavor_swi.EVTNAME8:0 "The Diminishing Power of the [Root.Monarch.GetTitle]"
 flavor_swi.EVTDESC8:0 "For years now, the seat of power in our nation has been shared by our secular leader [Root.Monarch.GetName] and our spiritual leader John Calvin. As the Reformed faith has grown to be an overwhelming majority in our country, those who still believe in the power of the [Root.Monarch.GetTitle] have become few in number, and more people recognize Calvin as our head of state. Outside of our borders, Calvin has gained followers from all over Europe and many of his influential followers come to [Root.Capital.GetName] to meet with Calvin without even sparing [Root.Monarch.GetName] a passing glance."
 flavor_swi.EVTOPTA8:0 "This is how democracy dies..."
 flavor_swi.EVTOPTB8:0 "This madness has gone far enough, there is no Spiritual Leader of [Root.GetName]!"
 flavor_swi.EVTNAME9:0 "Champions of the Hundred Years War"
 flavor_swi.EVTDESC9:0 "While the English and French butt heads in their pointless war, the Swiss mercenaries providing their services in the conflict are beginning to grow quite a reputation. For most nations, being a soldier is merely a part-time job, but our highly-trained mercenaries fighting in the war are shocking both the French and the English with their masterful tactics and brutal methods in bringing victory after victory for their contractors."
 flavor_swi.EVTOPTA9:0 "Soon all of Europe shall tremble at the mere sight of Swiss Mercenaries!"
 flavor_swi.EVTNAME10:0 "The Mercenary Monopoly"
 flavor_swi.EVTDESC10:0 "Throughout European history, the most desirable mercenaries have been those who call Switzerland their home, and those from Swabia. Now that there are no more independent Swabian states from which to purchase Condottieri, the demand for Swiss mercenaries has only increased. This monopoly we hold on mercenaries will allow us to charge even greater rates for our armies and the lack of Swabians to challenge our dominance will only further the frightening reputation of our mercenaries."
 flavor_swi.EVTOPTA10:0 "Чудово."
 flavor_swi.EVTNAME11:0 "The Helvetic Republic"
 flavor_swi.EVTDESC11:0 "As we spread the revolution through Switzerland, we are presented with the unique opportunity to reorganize the Swiss Federation into a government more akin to our own. By establishing a Helvetic Republic out of the ashes of the Swiss Cantons, we may bring an end to the conflict between our nations and spread the revolution to Switzerland."
 flavor_swi.EVTOPTA11:0 "Sounds good. Set it up!"
 flavor_swi.EVTOPTB11:0 "We have other plans for the Swiss..."
 flavor_swi.EVTDESC1101:0 "As the fires of the [From.GetAdjective] revolution burn their way through Switzerland, the old ways are swiftly fading into a new modern and centralized government. We can no longer call ourselves the Swiss Federation, for no longer are our Cantons independent and free. The continued occupation of revolutionary forces has caused a drastic shift in our government, and we too must now pledge our loyalty to the Revolution."
 flavor_swi.EVTOPTA1101:0 "We answer to a new kind of [Root.Monarch.GetTitle] now..."
 flavor_swi.EVTOPTB1101:0 "Revolutionary zealots will not rule our country!"
 flavor_swi.2.t:0 "The Swiss Cities and Savoy"
 flavor_swi.2.d:0 "The balance of power in Geneva is held in part by the [SAV.Monarch.GetTitle] of [SAV.GetName], and in part by the Grand Council of Geneva. At any moment though, [SAV.Monarch.GetTitle] [SAV.Monarch.GetName] may wish to exert more pressure on our nation and dissolve the democratic powers afforded to Geneva. There are other powerful cities under the same rulership, and perhaps by forging the right alliances, our influence over the Swiss states of Savoy may grow greater than even [SAV.Monarch.GetTitle] [SAV.Monarch.GetName]..."
 flavor_swi.2.a:0 "Send envoys to the Swiss cities."
 flavor_swi.2.b:0 "We do not wish to anger our [SAV.Monarch.GetTitle]."
 flavor_swi.201.t:0 "Geneva Requests an Alliance with Swiss Cities"
 flavor_swi.201.d:0 "We received word today that the Grand Council currently ruling Geneva has reached out to some of the other Swiss cities officially ruled by [Root.Monarch.GetTitle] [Root.Monarch.GetName]. If we allow the Grand Council to grow their influence among the Swiss cities, the rightful rulership of [Root.GetName] in the region will begin to come into question, and the cities will likely conspire against us. We could, of course, put a stop to the Grand Council’s power with a little show of force against [GNV.Monarch.GetTitle] [GNV.Monarch.GetName]."
 flavor_swi.201.a:0 "We shall let this slide for now..."
 flavor_swi.201.b:0 "Forbid the alliance, and bring me [GNV.Monarch.GetName]’s head!"
 flavor_swi.202.t:0 "The Savoyard Response"
 flavor_swi.202.d:0 "The response of [SAV.Monarch.GetTitle] [SAV.Monarch.GetName] to our reasonable request has shook the officials within our nation. To our shock and horror, the head of [Root.Monarch.GetTitle] [Root.Monarch.GetName] was delivered to the Grand Council Chambers by a Savoyard official. This response from the [SAV.Monarch.GetTitle] will surely do little to ease the tension between our nations."
 flavor_swi.202.a:0 "We will avenge our [Root.Monarch.GetTitle]."
 flavor_swi.203.t:0 "The Fate of Geneva"
 flavor_swi.203.d:0 "The Dukes of Savoy throughout all of history struggled to keep the Grand Council of Geneva satisfied, and once again we find ourselves agitated by the state of affairs in the [SAV.GetAdjective] [SAV.GovernmentName] and we wish to break free. Our recent positive relations with Switzerland has given us the opportunity to slip away from Savoy to join the Swiss Confederation. While this will upset our former overlord, the Swiss are well-equipped to protect our interests."
 flavor_swi.203.a:0 "Let’s reach out to the Swiss."
 flavor_swi.203.c:0 "Let’s not anger the [SAV.Monarch.GetTitle] of [SAV.GetName]."
 flavor_swi.204.d:0 "An official from the Grand Council of Geneva has approached us today requesting to join the Swiss Federation. Geneva is a subject state of [SAV.Monarch.GetTitle] [SAV.Monarch.GetName] of Savoy, and as such, accepting such a proposal would greatly upset [SAV.GetAdjective] officials and may lead to war."
 flavor_swi.204.a:0 "Welcome to the Federation, [From.GetName]."
 incidents_bur_inheritance.0.t:0 "Marie of Burgundy"
 incidents_bur_inheritance.0.d:0 "It seems the line of [Root.Monarch.Dynasty.GetName] has grown rotten and withered with [Root.Monarch.GetName]’s final seed. [Root.Monarch.GetName] [Root.Monarch.Dynasty.GetName] has been incapable of producing an heir in all of his years as the last remaining male of the [Root.Monarch.Dynasty.GetName] line.\n\nHowever, the [Root.Monarch.GetTitle] did produce a talented and beautiful Princess by the name of Marie. [Root.Monarch.GetHerHisCap] father Philippe [Root.Monarch.Dynasty.GetName] famously despised Marie and insisted that no woman should sit the throne of Burgundy, but [Root.Monarch.GetName] is not his father and times are growing desperate. Should [Root.Monarch.GetName] die without producing an heir, Marie will become [Root.Monarch.GetHerHis] de facto successor either way, but if [Root.Monarch.GetName] forsook the pursuit of a male heir and favored Marie as the rightful heir to Burgundy, her claim would be strengthened and we may be able to negotiate our way through this succession crisis with minimal strife.\n\nFemale heirs are seen as quite the prize for ambitious men, and Marie's succession may lead to Burgundy falling under a union with a foreign power."
 incidents_bur_inheritance.0.a:0 "The House [Root.Monarch.Dynasty.GetName] has a bright future with Marie."
 incidents_bur_inheritance.0.b:0 "My father was right. No woman can rule [Root.GetName]."
 incidents_bur_inheritance.1.t:0 "The Burgundian Succession"
 incidents_bur_inheritance.1.desc:1 "It is as we had always feared, the Duke of [Root.GetName] has passed from this life to the heavens without producing an eligible male heir. With the Duke’s untimely demise, [Root.Monarch.GetName] [Root.Monarch.Dynasty.GetName] has ascended as the [Root.Monarch.GetTitle] of Burgundy. However, with [Root.Monarch.GetHerHis] claim relatively weak in the eyes of many noble lords and ladies, Burgundy is seen as ripe for the taking by the ambitious [FRA.Monarch.GetTitle] of [FRA.GetName] and [Emperor.Monarch.GetTitle] of the Holy Roman Empire.\n\n[Root.Monarch.GetName] is a brave and intelligent young woman but if Burgundy is to survive this crisis without falling into conflict with one of the major powers, then [Root.Monarch.GetName] must marry into a prestigious royal family to seek their support and protection. Of course, [Root.Monarch.GetName] will be wed in a traditional patrilineal marriage so Burgundy will essentially be subject to a foreign nation, but in this time of great chaos, what choice do we have?"
 incidents_bur_inheritance.1.a:0 "Come what may, Burgundy shall remain Burgundian."
 incidents_bur_inheritance.1.b:0 "The French aren't here to stop us anymore."
 incidents_bur_inheritance.1.c:0 "The [Emperor.Monarch.Dynasty.GetName] Prince will do nicely."
 incidents_bur_inheritance.1.d:0 "[bur_strongest_ally.GetName] will defend us again."
 incidents_bur_inheritance.1.e:0 "Let us reintegrate with the French."
 incidents_bur_inheritance.101.t:0 "[From.GetName] Defiant"
 incidents_bur_inheritance.101.d.emp:1 "In spite of our strong claim on the [BUR.GovernmentName] of [BUR.GetName], [Emperor.Monarch.GetName] [Emperor.Monarch.Dynasty.GetName] has refused to make any concessions to us and has declared [Emperor.GetHerselfHimself] the true successor to all of [BUR.GetName]. This is most unexpected, as [BUR.GetName] was little more than a petty duchy in revolt against the [FRA.GetAdjective] Crown. If we ignore the [Emperor.Monarch.GetTitle]’s decision, we risk weakening our grip on the French mantle."
 incidents_bur_inheritance.101.d.indi:1 "In spite of our strong claim on the [BUR.GovernmentName] of [BUR.GetName], [BUR.Monarch.GetName] [BUR.Monarch.Dynasty.GetName] has refused to make any concessions to us and has declared [BUR.Monarch.GetHerselfHimself] independent from any foreign power. This is most unexpected, as the line of [BUR.Monarch.Dynasty.GetName] came to produce no male heir, we had expected that the [BUR.GovernmentName] would reintegrate with the [FRA.GetAdjective] [FRA.GovernmentName], with the Lowlands returning to the Empire. This unexpected course of action has, however, given us quite the strong claim to the [BUR.GovernmentName] and we could simply end the illegitimate reign of [BUR.Monarch.GetName] [BUR.Monarch.Dynasty.GetName] by force."
 incidents_bur_inheritance.101.a:0 "Our time is now."
 incidents_bur_inheritance.101.b:0 "This isn't worth the effort."
 incidents_bur_inheritance.102.t:0 "The Emperor Demands the Lowlands"
 incidents_bur_inheritance.102.d:0 "With the death of the Duke of [BUR.GetName], the reforms that he passed which led to the close integration of the Lowlands with the rest of the [Root.GetAdjective] [Root.GovernmentName] have come back to haunt us. The [Emperor.Monarch.GetTitle] has sent an envoy, demanding that the Lowlands be separated from the [BUR.GovernmentName] of [BUR.GetName] and returned to their Princehood status within the Holy Roman Empire.\n\nHowever, [Root.Monarch.GetName] is a cunning and wise [Root.Monarch.GetTitle], and has proposed to revoke the reforms of the previous ruler of [BUR.GetName] and introduce a Great Privilege. The Privilege would enforce that all cities in the Lowlands recognise [BUR.GetName] as their rightful [BUR.Monarch.GetTitle] but also remain loyal to the [Emperor.Monarch.GetTitle] of the Holy Roman Empire. Our scheme could of course backfire and the [Emperor.Monarch.GetTitle] could use this as a provocation for war, but there is also a chance that [Emperor.Monarch.GetTitle] [Emperor.Monarch.GetName] will be satisfied for now..."
 incidents_bur_inheritance.102.a:0 "We do not bow to this “[Emperor.Monarch.GetTitle]”."
 incidents_bur_inheritance.102.b:0 "Grant the Great Privilege."
 incidents_bur_inheritance.102.c:0 "Abandon the Lowlands."
 incidents_bur_inheritance.103.t:0 "Burgundy Inherited!"
 incidents_bur_inheritance.103.d.fra:1 "The Dukes of Burgundy have always been a thorn in the side of House [Root.Monarch.Dynasty.GetName] of France, but with the death of the final male in the Burgundian line, Marie de Bourgogne has offered to reintegrate with France. This decision means that the rebellious Burgundian duchy is a thing of the past and our rule over France is secure, although the [Emperor.Monarch.GetTitle] of the Holy Roman Empire may grow agitated over our control of the Lowlands."
 incidents_bur_inheritance.103.d.emp:1 "With the death of the Duke of Burgundy, our close royal ties to the Burgundians have come into great fruition. Many Burgundian territories exist within the Empire, and Marie de Bourgogne has decided to fully integrate with the Empire by offering to wed a [Root.Monarch.Dynasty.GetName] Prince! The French are expecting we return the Burgundian lands that were once held by the French throne, but we of course could deny their claims and keep Burgundy as an integral part of the Empire."
 incidents_bur_inheritance.103.d.oth:1 "With the death of the Duke of Burgundy, our close royal ties to the Burgundians have come into great fruition. Out of all the options available to her, Marie ‘the Fair’ of Burgundy has elected to marry a member of the [Root.Monarch.Dynasty.GetName] line, and though Marie is technically still Duchess of Burgundy, all of her heirs will be of our line and we are already so influential in the region that it may as well be considered [Root.GetAdjective] anyway."
 incidents_bur_inheritance.103.a:0 "Чудово."
 incidents_bur_inheritance.104.t:0 "The Great Privilege"
 incidents_bur_inheritance.104.d:0 "The response from the [BUR.GetAdjective] [BUR.Monarch.GetTitle] was not at all what we expected. [BUR.Monarch.GetSheHeCap] has chosen not to return the land they stole from the Empire, but to instead enact a complex law that dictates that the lowlands are simultaneously a part of the Empire, and subject to the [BUR.Monarch.GetTitle] of [BUR.GetName]. Our hands are tied, should we interfere, we risk damaging our reputation as Emperor but should we do nothing, we risk losing the lowlands forever."
 incidents_bur_inheritance.104.a:0 "I suppose there’s nothing we can do..."
 incidents_bur_inheritance.104.b:0 "Laws be damned, I want [BUR.GetName] out of the Empire!"
 incidents_bur_inheritance.2.t:0 "Burgundy Inherited!"
 incidents_bur_inheritance.2.d:1 "With the death of the Duke of Burgundy, Burgundian royal ties to the Empire have come into great fruition. Many Burgundian territories exist within the Empire, and Marie de Bourgogne has decided to fully integrate with the Empire by offering to wed a [Emperor.Monarch.Dynasty.GetName] Prince! The French are expecting the return of Burgundian lands that were once held by the French throne, but [Emperor.Monarch.GetTitle] [Emperor.Monarch.GetName] could of course could deny their claims and keep Burgundy as an integral part of the Empire."
 incidents_bur_inheritance.2.a:0 "Keep our union with Burgundy."
 incidents_bur_inheritance.2.b:0 "Make concessions to France."
 incidents_bur_inheritance.2.c:0 "Integrate Burgundy into the Empire."
 incidents_bur_inheritance.3.t:0 "The Lowland Crisis"
 incidents_bur_inheritance.3.d:0 "With the death of the Duke of Burgundy, the Lowlands have completely slipped out of our reach. If we are to reinforce the Empire and keep foreigners out of Imperial affairs, we must press our claims on the lowlands, or risk losing them forever."
 incidents_bur_inheritance.3.a:0 "Demand lowland independence."
 incidents_bur_inheritance.3.b:0 "Press our claim on Burgundy."
 incidents_bur_inheritance.3.c:0 "Abandon the claims."
 incidents_bur_inheritance.301.t:0 "The Emperor Demands the Low Countries"
 incidents_bur_inheritance.301.d:0 "When we inherited Burgundy, we also became sovereign over Burgundy’s territories in the lowlands. These territories are traditionally part of the Holy Roman Empire, and unsurprisingly, our inheritance has provoked [Emperor.GetName] to demand the territories from us. We could refuse, of course, but the [Emperor.Monarch.GetTitle] has made it clear that this is a demand, and failing to meet it will give [Emperor.Monarch.GetHerHim] cause to draw the sword of the Empire."
 incidents_bur_inheritance.301.a:0 "All of Burgundy is ours!"
 incidents_bur_inheritance.301.b:0 "A reasonable request."
 incidents_bur_inheritance.302.t:0 "The Emperor Demands Burgundy"
 incidents_bur_inheritance.302.d:0 "There are many claimants to the [BUR.GovernmentName] of [BUR.GetName], and when we inherited the [BUR.GovernmentName] we had expected that the [Emperor.Monarch.GetTitle] of the Holy Roman Empire would demand [Emperor.Monarch.GetHerHis] traditional claims in the lowlands. What we did not expect however, was that [Emperor.Monarch.GetName] would demand that the entirety of [BUR.GetName]. The [Emperor.Monarch.GetTitle] has made it clear that peace is not an option, and war would be upon us unless we totally surrendered Burgundy to the Empire."
 incidents_bur_inheritance.302.a:0 "All of Burgundy is ours."
 incidents_bur_inheritance.302.b:0 "Burgundy is a thorn in my side anyway..."
 incidents_bur_inheritance.4.t:0 "[From.GetName] Defiant"
 incidents_bur_inheritance.4.d:1 "In spite of our strong claim on the [BUR.GovernmentName] of [BUR.GetName], [BUR.Monarch.GetName] [BUR.Monarch.Dynasty.GetName] has refused to make any concessions to us and has declared [BUR.Monarch.GetHerselfHimself] independent from any foreign power. This is most unexpected, as the line of [BUR.Monarch.Dynasty.GetName] came to produce no male heir, we had expected that the [BUR.GovernmentName] would reintegrate with the [FRA.GetAdjective] [FRA.GovernmentName], with the Lowlands returning to the Empire. This unexpected course of action has, however, given us quite the strong claim to the [BUR.GovernmentName] and we could simply end the illegitimate reign of [BUR.Monarch.GetName] [BUR.Monarch.Dynasty.GetName] by force."
 incidents_bur_inheritance.4.a:0 "Demand the low countries."
 incidents_bur_inheritance.5.t:0 "The Duchess of Burgundy Dies"
 incidents_bur_inheritance.5.d:0 "Sad news reaches us today as we learn that our beloved Marie, Duchess of Burgundy, has passed from this life into the next. A sweet and kind-hearted girl, Marie will be sorely missed in the [burgundy_senior_partner.GetAdjective] court, but now that she has passed, it would seem that we are to be inherited by [burgundy_senior_partner.GetName]. Many nobles of the realm are already bending the knee to the [burgundy_senior_partner.Monarch.GetTitle] of [burgundy_senior_partner.GetName], but many others are beginning to flock around a distant cousin to Marie and one of few surviving members of the Burgundian royal family. Should we submit, our [Root.GovernmentName] will be no more and we shall be annexed into the [burgundy_senior_partner.GetAdjective] [burgundy_senior_partner.GovernmentName]. Should we recognise the weak claim of the Burgundian pretender, we shall no-doubt enter a state of war with [burgundy_senior_partner.GetName]."
 incidents_bur_inheritance.5.a:0 "Alas, we have no choice."
 incidents_bur_inheritance.5.b:0 "I’d rather die than be [burgundy_senior_partner.GetAdjective]!"
 incidents_bur_inheritance.501.d:0 "Sad news reaches [Root.Capital.GetName] today as we learn that our beloved Marie, Duchess of Burgundy, has passed from this life into the next. A sweet and kind-hearted girl, and a loving wife to the [Root.Monarch.Dynasty.GetName] Prince, Marie will be sorely missed in the [burgundy_senior_partner.GetAdjective] court. Marie was a passionate horse-rider and accompanied her husband on his routine hunts, but her kind heart and passion for riding could not save her when her five-hundred-kilogram horse fell atop her and shattered her spine.\n\nThe marriage between a prince of the [Root.Monarch.Dynasty.GetName] family and Duchess Marie I of Burgundy united our nations together in a blissful union, but now that Marie has passed from this life into the next, none are there to dispute our claim to the Duchy of Burgundy and already the nobles of Burgundy are turning to [Root.Monarch.GetTitle] [Root.Monarch.GetName] [Root.Monarch.Dynasty.GetName] as their rightful liege."
 incidents_bur_inheritance.501.a:0 "I could kiss that horse!"
 incidents_bur_inheritance.502.d:0 "Sad news reaches [Root.Capital.GetName] today as we learn that our beloved Marie, Duchess of Burgundy, has passed from this life into the next. A sweet and kind-hearted girl, and a loving wife to the [Root.Monarch.Dynasty.GetName] Prince, Marie will be sorely missed in the [burgundy_senior_partner.GetAdjective] court. Marie was a passionate horse-rider and accompanied her husband on his routine hunts, but her kind heart and passion for riding could not save her when her five-hundred-kilogram horse fell atop her and shattered her spine.\n\nTo our surprise, the lords and ladies of Burgundy have not immediately begun bending the knee to our [Root.Monarch.GetTitle], but have instead recognised a distant cousin of Marie’s as their rightful ruler. This is ridiculous, the law makes it clear that a [Root.Monarch.Dynasty.GetName] must succeed upon Marie’s death. It appears the mad nobles of Burgundy only recognise the language of violence and we shall have to enforce our lawful claim with blood."
 incidents_bur_inheritance.502.a:0 "This is more effort than it's worth."
 incidents_bur_inheritance.502.b:0 "I'll have my union if I have to burn down all of [BUR.Capital.GetCapitalName]!"
 incidents_bur_join_empire.1.t:0 "Imperial Entrance"
