l_ukrainian:
 #Estate Privileges and related
 estate_nobles_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_church_reduce_war_exhaustion_desc:0 "[Root.ChurchNZ_CAP] скаржаться на страждання, спричинені багатьма війнами [Root.Get_UV] [Root.GetUsableNameDE]. Вони благають нас дозволити держави відновитися перед спробами подальших завоювань."
 estate_church_recover_stability_desc:0 "[Root.ChurchNZ_CAP] прагнуть стабільності. Вони закликають нас відновити порядок [Root.Get_UV] [Root.GetUsableNameDE]."
 estate_church_increase_stability_desc:0 "[Root.ChurchNZ_CAP] вважають, що стабільність [Root.GetUsableNameOGO] має першорядне значення. Вони наполягають на тому, що ми повинні поліпшити управління країною, щоб покінчити з нестабільністю в нашій державі."
 estate_church_reduce_overextension_desc:0 "[Root.ChurchNZ_CAP] заявляють, що можливості управління нашою країною вичерпані. Вони стверджують, що ми повинні зробити паузу, щоб консолідуватися, перш ніж робити подальші завоювання."
 estate_church_restore_devotion_desc:0 "[Root.ChurchNZ_CAP] стривожені відсутністю побожності з боку [Root.Monarch.GetTitleOGO]. Вони вимагають відновлення належних релігійних обрядів [Root.Get_UV] [Root.GetUsableNameDE]."
 estate_church_root_out_heresy_desc:0 "[Root.ChurchNZ_CAP] вважають нашу нездатність протистояти єретичним віруванням, що практикуються [Root.Get_UV] [agenda_country.GetUsableNameDE], плямою на честі нашої держави. Вони вимагають негайних дій, щоби повернути їх до світла."
 estate_church_relations_with_pope_desc:0 "[Root.ChurchNZ_CAP] оплакують погане ставлення Папи до нашої держави. Вони закликають нас підтвердити нашу репутацію добрих християн, зміцнивши наші стосунки з містом [PAP.Capital.GetCapitalName]."
 estate_church_restore_the_holy_see_desc:0 "Той факт, що Папа більше не може знаходитися в Римі, шокує [Root.ChurchRD]. Вони благають нас відновити Святий Престол, повернувши Вічне місто під його контроль."
 estate_church_crush_religious_revolts_desc:0 "[Root.ChurchNZ_CAP] вимагають, щоби ми розтрощили єретиків, які повстали, щоб кинути виклик їхній владі над духовними справами."
 estate_church_protect_brethren_desc:0 "[Root.ChurchNZ_CAP] жахаються переслідуванню своїх братів-[Root.Religion.ReligionOGO] у провінції [agenda_province.GetName] від рук їхніх [agenda_country.GetAdjective]их господарів. Вони вимагають негайно вжити заходів, щоб звільнити їх від гніту!"
 estate_church_propagate_religion_desc:0 "[Root.ChurchNZ_CAP] наполягають, щоби ми використовували наше панівне становище у торговому вузлі [agenda_trade_node.GetTradeNodeName] для поширення істинної віри по всьому регіону."
 estate_church_relations_with_dotf_desc:0 "[agenda_country.GetUsableName] – великий бастіон [Root.Religion.ReligionNameCHOGO]. [Root.GetClergyName] бажають зміцнення з ними зв'язків, щоб їхня справа також стала нашою власною."

 estate_maratha_hire_advisor_desc:0 "[Root.MarathaNZ_CAP] воліють, щоб [Root.Monarch.GetTitleKHTO] найня[Root.Monarch.GetMEndVLa] нового військового радника."
 estate_maratha_fire_advisor_desc:0 "[Root.Mil_Advisor.GetTitle] [Root.Mil_Advisor.GetName] образи[Root.Mil_Advisor.GetAMEndVLa] [Root.MarathaRD]. Вони вимагають, щоби ми [Root.Mil_Advisor.GetHerHis] звільнили!"
 estate_maratha_condottieri_rivals_desc:0 "Наші суперники з [agenda_country.GetUsableNameOGO] прагнуть розширити свою владу за допомогою війни з [agenda_enemy_country.GetUsableNameKYM]. [Root.MarathaNZ_CAP] закликають нас не допустити цього, направивши сили на підтримку [agenda_enemy_country.GetAdjective]ої справи."
 estate_maratha_support_independence_desc:0 "[Root.MarathaNZ_CAP] звернули свою увагу на важке становище [agenda_country.GetUsableNameOGO], жорстоко підкореної нашими суперниками [agenda_rival_country.GetUsableNameKYM]. Вони спонукають відстояти справу справедливості та підтримати незалежність [agenda_country.GetAdjective]ої держави."
 estate_maratha_retake_core_desc:0 "[Root.MarathaNZ_CAP] жалкують про те, що провінція [agenda_province.GetName] – невіддільна частина нашої держави, не знаходиться під нашим контролем. Вони вимагають, щоби ми повернули землю, яка по праву наша!"
 estate_maratha_crush_revolts_desc:0 "[Root.MarathaNZ_CAP] вимагають, щоби ми відновили порядок і придушили повстання, які палають у нашій державі."
 estate_maratha_regain_liberty_desc:0 "[Root.MarathaNZ_CAP] страждають під владою наших [agenda_country.GetAdjective]их володарів. Вони вимагають дій, щоб відновити [Root.GetAdjective]у свободу!"
 estate_maratha_convert_province_culture_desc:0 "[Root.MarathaNZ_CAP] шукали нову землю для свого народу. Вони вважають провінцію [agenda_province.GetName] ідеальним місцем для [Root.Culture.GetName]их поселенців, якщо місцевих жителів можна буде переконати в перевагах нашого шляху."
 estate_maratha_protect_our_culture_desc:0 "[Root.MarathaNZ_CAP] стверджують, що наші брати по [Root.Culture.GetName]ій культурі з провінції [agenda_province.GetName] стикаються зі значним гнобленням з боку своїх [agenda_country.GetAdjective]их господарів. Вони вимагають, щоби ми захопили провінцію і повернули їх у нашу державу!"
 estate_maratha_vassalise_vulnerable_country_desc:0 "[Root.MarathaNZ_CAP] не можуть не спокуситися вразливою мішенню, якою є наші сусіди [agenda_country.GetUsableName]. Вони наполягають на військовій кампанії, щоб підпорядкувати їх нашій волі!"
 estate_maratha_expand_into_x_desc:0 "[Root.MarathaNZ_CAP] заздрісно поглядають на [agenda_province.GetAreaAdjective]у область, яка, як вони стверджують, стане прекрасним доповненням до нашої держави. Вони закликають провести військову кампанію, щоб отримати її частину."
 estate_maratha_complete_conquest_of_x_desc:0 "[Root.MarathaNZ_CAP] розглядають [agenda_province.GetAreaAdjective]у область як невіддільну частину [Root.GetUsableNameOGO] й обурені тим фактом, що вона не повністю в наших руках. Вони закликають нас захопити решту області!"
 estate_maratha_annex_subject_desc:0 "[Root.MarathaNZ_CAP] жадають земель наших [agenda_country.GetAdjective]их підданих. Вони вимагають, щоби ми повністю інтегрували їх у нашу державу."
 estate_maratha_build_an_army_desc:0 "[Root.MarathaNZ_CAP] вважають нашу армію ганьбою для нашої держави. Вони настійно закликають до її нарощування, щоб наші сили служили достатнім стримувальним фактором для ворогів, які можуть жадати наших земель."
 estate_maratha_bigger_army_than_rival_desc:0 "[Root.MarathaNZ_CAP] стурбовані тим, що наша армія у випадку війни не впорається з [agenda_country.GetAdjective]ою. Вони наполягають на збільшені нашого рекрутування, щоб наші збройні сили більше не поступалися нашим суперникам."
 estate_maratha_build_up_manpower_reserves_desc:0 "[Root.MarathaNZ_CAP] стурбовані скороченням чисельності наших рекрутів і попереджають, що [Root.GetUsableName] опиниться без захисту, якщо наші вороги спробують скористатися ситуацією. Вони закликають нас тимчасово об'єднатися й дозволити нашим резервам відновитися."
 estate_maratha_recover_abysmal_prestige_desc:0 "[Root.MarathaNZ_CAP] стривожені наскільки глибоко ми дозволили впасти іміджу нашої держави. Вони вимагають узгоджених зусиль, щоб відновити нашу репутацію серед нашої рівні!"
 estate_maratha_improve_prestige_desc:0 "[Root.MarathaNZ_CAP] бажають, щоби ми поліпшили своє становище серед інших держав, збільшивши пишність двору [Root.Monarch.GetTitleOGO]."

 estate_nobles_hire_advisor_desc:0 "[Root.NoblesNZ_CAP] воліють, щоб [Root.Monarch.GetTitleKHTO] найняRoot.Monarch.GetMEndVLa] нового військового радника."
 estate_nobles_fire_advisor_desc:0 "[Root.Mil_Advisor.GetTitle] [Root.Mil_Advisor.GetName] образи[Root.Mil_Advisor.GetAMEndVLa] [Root.NoblesRD]. Вони вимагають, щоби ми [Root.Mil_Advisor.GetHerHis] звільнили!"
 estate_nobles_get_allies_desc:0 "[Root.NoblesNZ_CAP] стурбовані дипломатичною ізоляцією [Root.GetUsableNameOGO]. Вони виступають за те, щоби ми знаходили більше союзників для нашої держави."
 estate_nobles_befriend_rival_of_rival_desc:0 "[Root.NoblesNZ_CAP] стурбовані загрозою, яка йде від наших суперників [rival_country.GetUsableNameOGO]. Вони рекомендують нам, у свою чергу, знайти спільну мову з їхніми суперниками – [agenda_country.GetUsableNameKYM], щоби протистояти їм разом."
 estate_nobles_restore_legitimacy_desc:0 "[Root.NoblesNZ_CAP] стурбовані тим, що [Root.Monarch.GetTitleKHTO] не може завоювати повагу свого народу. Вони вимагають, щоб легітимність [Root.Monarch.GetTitleOGO] було відновлено – так чи інакше..."
 estate_nobles_relations_with_X_desc:0 "[Root.NoblesNZ_CAP] розглядають [agenda_country.GetUsableName] як цінного потенційного союзника. Вони рекомендують нам прагнути до тісніших зв'язків з ними."
 estate_nobles_break_coalition_desc:0 "[Root.NoblesNZ_CAP] глибоко стурбовані союзом держав, які виступили проти нас. Вони благають нас зробити все, що в наших силах, щоб заспокоїти наших супротивників, а якщо це не вдасться, зломити їхній опір, розтрощивши їх у битві."
 estate_nobles_condottieri_rivals_desc:0 "Наші суперники з [agenda_country.GetUsableNameOGO] прагнуть розширити свою владу за допомогою війни з [agenda_enemy_country.GetUsableNameKYM]. [Root.NoblesNZ_CAP] закликають нас не допустити цього, направивши сили на підтримку [agenda_enemy_country.GetAdjective]ої справи."
 estate_nobles_support_independence_desc:0 "[Root.NoblesNZ_CAP] звернули увагу на важке становище [agenda_country.GetUsableNameOGO], жорстоко підкореної нашими суперниками [agenda_rival_country.GetUsableNameKYM]. Вони спонукають відстояти справу справедливості та підтримати незалежність [agenda_country.GetAdjective]ої держави."
 estate_nobles_retake_core_desc:0 "[Root.NoblesNZ_CAP] шкодують про те, що провінція [agenda_province.GetName] – невіддільна частина нашої держави, не знаходиться під нашим контролем. Вони вимагають, щоби ми повернули землю, яка по праву наша!"
 estate_nobles_crush_revolts_desc:0 "[Root.NoblesNZ_CAP] вимагають, щоби ми відновили порядок і придушили повстання, що охопили нашу державу."
 estate_nobles_regain_liberty_desc:0 "[Root.NoblesNZ_CAP] страждають під владою наших [agenda_country.GetAdjective]их володарів. Вони вимагають дій, щоб відновити [Root.GetAdjective]у свободу!"
 estate_nobles_convert_province_culture_desc:0 "[Root.NoblesNZ_CAP] шукали нову землю для свого народу. Вони вважають провінцію [agenda_province.GetName] ідеальним місцем для [Root.Culture.GetName]их поселенців, якщо місцевих жителів можна буде переконати в перевагах нашого шляху."
 estate_nobles_protect_our_culture_desc:0 "[Root.NoblesNZ_CAP] стверджують, що наші [Root.Culture.GetName]і брати з провінції [agenda_province.GetName] стикаються зі значним гнобленням з боку своїх [agenda_country.GetAdjective]их господарів. Вони вимагають, щоби ми захопили провінцію та повернули їх у нашу державу!"
 estate_nobles_vassalise_vulnerable_country_desc:0 "[Root.NoblesNZ_CAP] не можуть не спокуситися вразливою мішенню, якою є наші сусіди [agenda_country.GetUsableName]. Вони наполягають на військовій кампанії, щоби підпорядкувати їх нашій волі!"
 estate_nobles_expand_into_x_desc:0 "[Root.NoblesNZ_CAP] заздрісно позирають на [agenda_province.GetAreaAdjective]у область, яка, як вони стверджують, стане прекрасним доповненням до нашої держави. Вони закликають провести військову кампанію та здобути її частину."
 estate_nobles_complete_conquest_of_x_desc:0 "[Root.NoblesNZ_CAP] розглядають [agenda_province.GetAreaAdjective]у область як невіддільну частину [Root.GetUsableNameOGO] та обурені тим фактом, що вона нам не належить. Вони закликають нас захопити решту області!"
 estate_nobles_annex_subject_desc:0 "[Root.NoblesNZ_CAP] жадають земель наших [agenda_country.GetAdjective]их підданих. Вони вимагають, щоби ми повністю інтегрували їх у нашу державу."
 estate_nobles_build_an_army_desc:0 "[Root.NoblesNZ_CAP] вважають нашу армію ганьбою для нашої держави. Вони терміново закликають до її нарощування, щоб наші сили служили достатнім фактором, який стримує ворогів, що можуть жадати наших земель."
 estate_nobles_bigger_army_than_rival_desc:0 "[Root.NoblesNZ_CAP] стурбовані тим, що наша армія у випадку війни не впорається з [agenda_country.GetAdjective]ою. Вони наполягають на збільшені нашого рекрутування, щоб наші збройні сили більше не поступалися нашим суперникам."
 estate_nobles_build_up_manpower_reserves_desc:0 "[Root.NoblesNZ_CAP] стурбовані скороченням наших рекрутів і попереджають, що [Root.GetUsableName] опиниться без захисту, якщо наші вороги спробують скористатися ситуацією. Вони закликають нас об'єднатися й дозволити нашим резервам відновитися."
 estate_nobles_recover_abysmal_prestige_desc:0 "[Root.NoblesNZ_CAP] стривожені, наскільки глибоко ми дозволили впасти іміджу нашої держави. Вони вимагають узгоджених зусиль, щоб відновити нашу репутацію серед інших держав!"
 estate_nobles_improve_prestige_desc:0 "[Root.NoblesNZ_CAP] бажають, щоби ми поліпшили своє становище серед інших держав, збільшивши пишність двору [Root.Monarch.GetTitleOGO]."

 estate_rajput_hire_advisor_desc:0 "[Root.RajputNZ_CAP] воліють, щоб [Root.Monarch.GetTitleKHTO] найня[Root.Monarch.GetMEndVLa] нового військового радника."
 estate_rajput_fire_advisor_desc:0 "[Root.Mil_Advisor.GetTitle] [Root.Mil_Advisor.GetName] образи[Root.Mil_Advisor.GetAMEndVLa] [Root.RajputRD]. Вони вимагають, щоби ми [Root.Mil_Advisor.GetHerHis] звільнили!"
 estate_rajput_condottieri_rivals_desc:0 "Наші суперники з [agenda_country.GetUsableNameOGO] прагнуть розширити свою владу за допомогою війни з [agenda_enemy_country.GetUsableNameKYM]. [Root.RajputNZ_CAP] закликають нас не допустити цього, направивши сили на підтримку [agenda_enemy_country.GetAdjective]ої справи."
 estate_rajput_support_independence_desc:0 "[Root.RajputNZ_CAP] звернули увагу на важке становище [agenda_country.GetUsableNameOGO], жорстоко підкореної нашими суперниками [agenda_rival_country.GetUsableNameKYM]. Вони спонукають відстояти справу справедливості та підтримати незалежність [agenda_country.GetAdjective]ої держави."
 estate_rajput_retake_core_desc:0 "[Root.RajputNZ_CAP] шкодують, що провінція [agenda_province.GetName], невіддільна частина нашої держави, не знаходиться під нашим контролем. Вони вимагають, щоби ми повернули землю, яка по праву наша!"
 estate_rajput_crush_revolts_desc:0 "[Root.RajputNZ_CAP] вимагають, щоби ми відновили порядок і придушили повстання, які роздирають нашу державу."
 estate_rajput_regain_liberty_desc:0 "[Root.RajputNZ_CAP] страждають під владою наших [agenda_country.GetAdjective]их володарів. Вони вимагають дій, щоб відновити [Root.GetAdjective]у свободу!"
 estate_rajput_convert_province_culture_desc:0 "[Root.RajputNZ_CAP] шукали нову землю для свого народу. Вони вважають провінцію [agenda_province.GetName] ідеальним місцем для [Root.Culture.GetName]их поселенців, якщо місцевих жителів можна буде переконати в перевагах нашого шляху."
 estate_rajput_protect_our_culture_desc:0 "[Root.RajputNZ_CAP] стверджують, що наші [Root.Culture.GetName]і брати з провінції [agenda_province.GetName] стикаються зі значним гнобленням з боку своїх [agenda_country.GetAdjective]их господарів. Вони вимагають, щоби ми захопили провінцію й повернули їх у нашу державу!"
 estate_rajput_vassalise_vulnerable_country_desc:0 "[Root.RajputNZ_CAP] не можуть не спокуситися вразливою мішенню, якою є наші сусіди [agenda_country.GetUsableName]. Вони наполягають на військовій кампанії для підпорядкування їх нашій волі!"
 estate_rajput_expand_into_x_desc:0 "[Root.RajputNZ_CAP] заздрісно поглядають на [agenda_province.GetAreaAdjective]у область, яка, як вони стверджують, стане прекрасним доповненням до нашої держави. Вони закликають провести військову кампанію, щоб захопити її частину."
 estate_rajput_complete_conquest_of_x_desc:0 "[Root.RajputNZ_CAP] розглядають [agenda_province.GetAreaAdjective]у область як невіддільну частину [Root.GetUsableNameOGO] та обурені тим фактом, що вона не належить нам. Вони закликають нас захопити решту області!"
 estate_rajput_annex_subject_desc:0 "[Root.RajputNZ_CAP] жадають земель наших [agenda_country.GetAdjective]их підданих. Вони вимагають, щоби ми повністю інтегрували їх у нашу державу."
 estate_rajput_build_an_army_desc:0 "[Root.RajputNZ_CAP] вважають нашу армію ганьбою для нашої держави. Вони настійно закликають до її нарощування, щоб наші сили служили достатнім стримуючим фактором для ворогів, які можуть жадати наших земель."
 estate_rajput_bigger_army_than_rival_desc:0 "[Root.RajputNZ_CAP] стурбовані тим, що наша армія у випадку війни не впорається з [agenda_country.GetAdjective]ою. Вони наполягають на збільшені нашого рекрутування, щоб наші збройні сили більше не поступалися нашим суперникам."
 estate_rajput_build_up_manpower_reserves_desc:0 "[Root.RajputNZ_CAP] стурбовані скороченням наших рекрутів і попереджають, що [Root.GetUsableName] опиниться без захисту, якщо наші вороги спробують скористатися ситуацією. Вони закликають нас тимчасово об'єднатися й дозволити нашим резервам відновитися."
 estate_rajput_recover_abysmal_prestige_desc:0 "[Root.RajputNZ_CAP] стривожені наскільки глибоко ми дозволили впасти іміджу нашої держави. Вони вимагають узгоджених зусиль, щоб відновити нашу репутацію серед інших держав!"
 estate_rajput_improve_prestige_desc:0 "[Root.RajputNZ_CAP] бажають, щоби ми підвищили своє становище серед інших держав, збільшивши пишність двору [Root.Monarch.GetTitleOGO]."

 estate_burghers_hire_advisor_desc:0 "[Root.BurghersNZ_CAP] воліють, щоб [Root.Monarch.GetTitleKHTO] найня[Root.Monarch.GetMEndVLa] нового дипломатичного радника."
 estate_burghers_fire_advisor_desc:0 "[Root.Dip_Advisor.GetTitle] [Root.Dip_Advisor.GetName] образи[Root.Dip_Advisor.GetADEndVLa] [Root.BurghersRD]. Вони вимагають, щоби ми [Root.Dip_Advisor.GetHerHis] звільнили!"
 estate_burghers_pay_off_loans_desc:0 "[Root.BurghersNZ_CAP] стурбовані станом фінансів нашої держави. Вони тиснуть на нас, щоби ми стримували наші витрати та зменшили розмір наших боргів."
 estate_burghers_restore_republican_tradition_desc:0 "[Root.BurghersNZ_CAP] стурбовані станом нашої республіки. Вони закликають до дій зі зміцнення наших інституцій і відновлення громадської віри в демократію."
 estate_burghers_restore_currency_desc:0 "[Root.BurghersNZ_CAP] стурбовані інфляцією [Root.Get_UV] [Root.GetUsableNameDE]. Вони закликають приборкати її, перш ніж вона вийде з-під контролю!"
 estate_burghers_recovery_from_hyperinflation_desc:0 "[Root.BurghersNZ_CAP] гірко скаржаться на труднощі, викликані швидкою девальвацією нашої валюти. Вони вимагають дій щодо відновлення стабільних цін!"
 estate_burghers_increase_trade_power_in_X_desc:0 "[Root.BurghersNZ_CAP] закликають нас збільшити нашу комерційну присутність у торговому вузлі [agenda_trade_node.GetTradeNodeName], ці дії, як вони стверджують, значно підвищать добробут держави."
 estate_burghers_access_sea_desc:0 "[Root.BurghersNZ_CAP] прагнуть виходу до моря, відсутність якого шкодить їхнім торговим інтересам. Вони вимагають військових дій, щоб здобути порт для нашої держави."
 estate_burghers_build_a_fleet_desc:0 "[Root.BurghersNZ_CAP] оплакують жалюгідний стан нашого флоту. Вони закликають нас значно його розширити за допомогою амбітної програми суднобудування, щоби забезпечити захист їхніх торговельних інтересів."
 estate_burghers_bigger_fleet_than_rival_desc:0 "[Root.BurghersNZ_CAP] дуже стурбовані силою [agenda_country.GetAdjective]ого флоту й побоюються, що він легко доб'ється морської переваги у війні, тим самим підірвавши безпеку наших торгових шляхів. Вони закликають нас збільшити наш флот, щоб не відстати від наших суперників"
 estate_burghers_improve_dip_rep_desc:0 "[Root.BurghersNZ_CAP] стурбовані поганою репутацією [Root.GetUsableNameOGO] через нечесність у дипломатичних справах. Вони наполягають на відновленні честі нашої держави в очах інших."
 estate_burghers_get_cash_desc:0 "[Root.BurghersNZ_CAP] дуже стурбовані жалюгідним станом нашої скарбниці. Вони закликають нас зменшити наші витрати, щоб наша скарбниця поповнилася."
 estate_burghers_discover_X_in_america_desc:0 "[Root.BurghersNZ_CAP] почули казки про благодатну землю під назвою [agenda_province.GetAreaName], яка, вочевидь, лежить просто за далеким обрієм у регіоні [agenda_province.GetColonialRegionName]. Вони просять, щоби ми відправили експедицію для її виявлення."
 estate_burghers_colonise_X_desc:0 "Дослідники [Root.BurghersRD] визначили [agenda_province.GetAreaAdjective]у область, як родючу територію, добре придатну для колонізації. Вони просять відправити туди експедицію, щоби претендувати на ці землі від імені [Root.GetUsableNameOGO]."
 estate_burghers_colonise_more_X_desc:0 "Наші поселенці з провінції [agenda_owned_province.GetName] повідомляють про квітучу колонію та землю, придатну для подальшого заселення. [Root.BurghersNZ_CAP] просять, щоби ми відправили колоністів заявити права на іншу частину [agenda_province.GetAreaAdjective]ої області від імені [Root.GetUsableNameOGO]."
 estate_burghers_colonial_nation_desc:0 "Наші поселення в регіоні [agenda_province.GetColonialRegionName] швидко ростуть. [Root.BurghersNZ_CAP] виступають за те, щоби ми підтримали цей ріст і допомогли їм створити свою власну адміністрацію, з тим щоб вони могли перетворитися в регіональний форпост [Root.GetTitleOGO], здатний впевнено стояти на своїх ногах."
 estate_burghers_expand_trade_company_desc:0 "[Root.BurghersNZ_CAP] підкреслюють переваги, які дає зовнішня торгівля нашій державі. Вони закликають нас використовувати наші ресурси – у тому числі й нашу військову міць для розширення торгової компанії [agenda_province.TradeCompany.GetName]."
 estate_burghers_trade_post_in_india_desc:0 "[Root.BurghersNZ_CAP] захоплені розповідями про багатства Індії. Вони вимагають, щоби ми створили торговий пост на субконтиненті, щоб вони могли розпочати там свою торгівлю."
 estate_burghers_trade_post_in_malacca_desc:0 "Острови прянощів Сходу чарівні, вважають [Root.BurghersNZ]. Вони вимагають, щоби ми заснували в цьому регіоні торговий пост, а вони могли контролювати торгові потоки, що звідти виходять."
 estate_burghers_trade_post_in_china_desc:0 "[Root.BurghersNZ_CAP] захоплені розповідями про багатства Китаю. Вони вимагають, щоби ми створили торговий пост на його узбережжі, щоб вони могли розпочати там свою торгівлю."
 estate_burghers_silk_trade_desc:0 "Серед можливостей, які пропонують наші аванпости на Сході, – можливість встановити контроль над джерелами високоякісного шовку. [Root.BurghersNZ_CAP] переконують нас зробити їхнє здобуття нашим пріоритетом."
 estate_burghers_spice_trade_desc:0 "Серед можливостей, які пропонують наші аванпости на Сході, – можливість встановити контроль над землями, де вирощують прянощі. [Root.BurghersNZ_CAP] переконують нас зробити їхнє здобуття нашим пріоритетом."
 estate_burghers_tea_trade_desc:0 "Чай має важливе значення для цивілізації – або, принаймні, так вважають [Root.BurghersNZ]. Вони наполягають на тому, що ми повинні отримати контроль над його виробництвом, щоб його постачанню до [Root.GetUsableNameOGO] ніколи нічого не загрожувало."
 estate_burghers_reduce_corruption_desc:0 "[Root.BurghersNZ_CAP] скаржаться на несправедливість, викликану корупцією, що вразила нашу державу. Вони настійливо закликають нас вжити заходів щодо обмеження такої незаконної практики."
 estate_burghers_protect_against_piracy_desc:0 "[Root.BurghersNZ_CAP] скаржаться на свої втрати від піратства в торговому вузлі [agenda_trade_node_sea.GetName]. Вони благають нас вжити заходів щодо вигнання піратів і каперів, які грабують їхні торгові кораблі."

 estate_vaisyas_hire_advisor_desc:0 "[Root.VaisyasNZ_CAP] воліють, щоб [Root.Monarch.GetTitleKHTO] найня[Root.Monarch.GetMEndVLa] нового дипломатичного радника."
 estate_vaisyas_fire_advisor_desc:0 "[Root.Dip_Advisor.GetTitle] [Root.Dip_Advisor.GetName] образи[Root.Dip_Advisor.GetADEndVLa] [Root.VaisyasRD]. Вони вимагають, щоби ми [Root.Dip_Advisor.GetHerHis] звільнили!"
 estate_vaisyas_pay_off_loans_desc:0 "[Root.VaisyasNZ_CAP] стурбовані станом фінансів нашої держави. Вони тиснуть на нас, щоби ми стримували наші витрати та зменшили розмір наших боргів."
 estate_vaisyas_restore_republican_tradition_desc:0 "[Root.VaisyasNZ_CAP] стурбовані станом нашої республіки. Вони закликають до зміцнення наших інституцій і відновлення громадської віри в демократію."
 estate_vaisyas_restore_currency_desc:0 "[Root.VaisyasNZ_CAP] стурбовані інфляцією [Root.Get_UV] [Root.GetUsableNameDE]. Вони закликають її приборкати, перш ніж вона вийде з-під контролю!"
 estate_vaisyas_recovery_from_hyperinflation_desc:0 "[Root.VaisyasNZ_CAP] гірко скаржаться на труднощі, викликані швидкою девальвацією нашої валюти. Вони вимагають дій з відновлення стабільних цін!"
 estate_vaisyas_increase_trade_power_in_X_desc:0 "[Root.VaisyasNZ_CAP] закликають нас збільшити нашу комерційну присутність у торговому вузлі [agenda_trade_node.GetTradeNodeName]. Ці дії, як вони стверджують, значно підвищать добробут держави."
 estate_vaisyas_access_sea_desc:0 "[Root.VaisyasNZ_CAP] прагнуть виходу до моря, відсутність якого шкодить їхнім торговим інтересам. Вони вимагають військових дій, для здобуття порту для нашої держави."
 estate_vaisyas_build_a_fleet_desc:0 "[Root.VaisyasNZ_CAP] оплакують жалюгідний стан нашого флоту. Вони закликають нас значно його розширити за допомогою амбітної програми суднобудування, щоб забезпечити захист їхніх торговельних інтересів."
 estate_vaisyas_bigger_fleet_than_rival_desc:0 "[Root.VaisyasNZ_CAP] дуже стурбовані силою [agenda_country.GetAdjective]ого флоту і побоюються, що він легко доб'ється морської переваги у війні, тим самим підірвавши безпеку наших торгових шляхів. Вони закликають нас збільшити наш флот, щоб не відставати від суперників"
 estate_vaisyas_improve_dip_rep_desc:0 "[Root.VaisyasNZ_CAP] стурбовані поганою репутацією [Root.GetUsableNameOGO] через нечесність у дипломатичних справах. Вони наполягають на відновленні честі нашої держави в очах інших."
 estate_vaisyas_get_cash_desc:0 "[Root.VaisyasNZ_CAP] дуже стурбовані жалюгідним станом нашої скарбниці. Вони закликають нас зменшити наші витрати, щоб наша скарбниця поповнилася."
 estate_vaisyas_discover_X_in_america_desc:0 "[Root.VaisyasNZ_CAP] почули казки про благодатну землю під назвою [agenda_province.GetAreaName], яка, вочевидь, лежить просто за далеким обрієм у регіоні [agenda_province.GetColonialRegionName]. Вони просять, щоби ми відправили експедицію для її виявлення."
 estate_vaisyas_colonise_X_desc:0 "Дослідники [Root.VaisyasRD] визначили [agenda_province.GetAreaAdjective]у область, як родючу територію, добре придатну для колонізації. Вони просять відправити туди експедицію, щоб претендувати на ці землі від імені [Root.GetUsableNameOGO]."
 estate_vaisyas_colonise_more_X_desc:0 "Наші поселенці з провінції [agenda_owned_province.GetName] повідомляють про квітучу колонію та землю, придатну для подальшого заселення. [Root.VaisyasNZ_CAP] просять, щоби ми відправили колоністів заявити права на іншу частину [agenda_province.GetAreaAdjective]ої області від імені [Root.GetUsableNameOGO]."
 estate_vaisyas_colonial_nation_desc:0 "Наші поселення в регіоні [agenda_province.GetColonialRegionName] швидко ростуть. [Root.VaisyasNZ_CAP] виступають за те, щоби ми підтримали цей ріст і допомогли їм створити свою власну адміністрацію, з тим щоб вони могли перетворитися в регіональний форпост [Root.GetTitleOGO], здатний впевнено стояти на своїх ногах."
 estate_vaisyas_reduce_corruption_desc:0 "[Root.VaisyasNZ_CAP] скаржаться на несправедливість, викликану корупцією, що вразила нашу державу. Вони настійливо закликають нас вжити заходів з обмеження такої незаконної практики."
 estate_vaisyas_protect_against_piracy_desc:0 "[Root.VaisyasNZ_CAP] скаржаться на свої втрати від піратства в торговому вузлі [agenda_trade_node_sea.GetName]. Вони благають нас вжити заходів щодо вигнання піратів і каперів, які грабують їхні торгові кораблі."

 estate_cossacks_hire_advisor_desc:0 "[Root.CossacksNZ_CAP] воліють, щоб [Root.Monarch.GetTitleKHTO] найня[Root.Monarch.GetMEndVLa] нового військового радника."
 estate_cossacks_fire_advisor_desc:0 "[Root.Mil_Advisor.GetTitle] [Root.Mil_Advisor.GetName] образи[Root.Mil_Advisor.GetAMEndVLa] [Root.CossacksRD]. Вони вимагають, щоби ми [Root.Mil_Advisor.GetHerHis] звільнили!"
 estate_cossacks_three_privileges_desc:0 "[Root.CossacksNZ_CAP] скаржаться на постійні порушення їхніх прав, які, як вони стверджують, вони відчувають з боку [Root.Monarch.GetTitleOGO]. Вони вимагають підтвердження свого статусу у формі надання їм ширших привілеїв."
 estate_cossacks_reply_of_the_zaporozhian_desc:0 "[agenda_country.GetUsableName] у нас як більмо на оці. [Root.CossacksNZ_CAP] вимагають, щоби ми зайняли позицію і заявили про свою готовність протистояти їхній ворожості за допомогою добре продуманого дипломатичної догани."
