l_ukrainian:
 mil_tech_cost_modifier:0 "Вартість військ. технологій"
 thu_partition_of_leipizg:0 "Поділ Лейпціга"
 thu_partition_of_leipizg_desc:0 "Найбільш впливові представники дому Веттинів – Ернст і Альбрехт – прийшли до угоди, згідно з якою землі Веттинів будуть розділені мирно. Майбутнім альбернинцям відійдуть Тюрінгія, Мейсен і північні Плейсенські землі з Остерландом, а Ернст отримав Саксонію-Віттенберг, Фогтланд і округ Кобургу, якими буде правити ернестинська лінія. Історично Лейпцізький поділ привів до занепаду Веттинів і подальшому посиленню Бранденбургу, але ми, повноправні правителі Тюрінгії, не допустимо подібного."
 thu_erfurt_fortifications:0 "Укріплення Ерфурту"
 thu_erfurt_fortifications_desc:0 "Ерфурт уже має значні укріплення, але ми могли б перетворити його в наймогутнішу фортецю Німеччини. Багато армій приходить до нас, не всі йдуть повертаються, і ніхто не піде з перемогою."
 thu_protector_of_reformers:0 "Захисник реформатів"
 thu_protector_of_reformers_desc:0 "Наша політика чудова підтримкою й захистом віянь реформації Мартіна Лютера, у той час як інші перешкоджали їхньому посиленню або навіть розпалювали багаття інквізиції. Але подібними методами вони не придушать вільнодумство."
 thu_university_of_jena:0 "Саланський університет"
 thu_university_of_jena_desc:0 "Нашим першорядним завданням має стати розвиток університету в Дженні до світоча освіти у всій Німеччині. Студенти – майбутнє нашої держави, і небагато самостійності й волі думки їм точно не зашкодить, а тільки допоможе в розвитку наук і мистецтв. Кілька поранень на дуелях це зовсім невелика ціна для оплоту освіти й вільної думки."
 thu_saxon_duchies:0 "Саксонські герцогства"
 thu_saxon_duchies_desc:0 "У зв'язку з великою кількістю чоловіків в Ернестинській гілці Веттинів, численні герцогства в протягом багатьох поколінь були розділені між молодшими членами династії. Але найбільш важливо, що при вимиранні правлячого роду, спадкоємці із сусідніх князівств швидко візьмуть владу у свої руки без звичайних для інших земель династичних проблем."
 thu_weimar_clacissicism:0 "Веймарський класицизм"
 thu_weimar_clacissicism_desc:0 "Місто Веймар по праву заслужив звання одного з найбільших німецьких центрів освіти. Він став домом для великих письменників і художників, таких як Ґете й Шиллер, що прославляють свою малу батьківщину по всій Європі. З такими великими розумами й культурною спадщиною Веймар буде притягати усе більше достойних людей з усієї Європи."
 thu_expansive_marriage_policies:0 "Шлюбна експансія"
 thu_expansive_marriage_policies_desc:0 "З такою великою кількістю побічних гілок дім Веттинів завжди має більшу кількість потенційних наречених, готових послужити родині. Дурні можуть назвати наш дім 'розплідником', але династичні шлюби по праву є одним з найсильніших засобів європейської дипломатії."
 BTI_ideas:0 "Сименські ідеї"
 BTI_ideas_start:0 "Сименські традиції"
 BTI_ideas_bonus:0 "Сименські амбіції"
 bti_legacy_of_queen_judith_desc:0 "Легендарна Юдит по переказах близько п'яти століть назад знищила Імперію Аксуму, що загрожувала нашим землям. Ми повинні відродити армії Юдит для захисту великої спадщин Дому Ізраїлевого! Хоч нас і мало, але ми сильні, ми – вибраний народ!"
 bti_legacy_of_queen_judith:0 "Легенда про королеву Юдит"
 bti_mountain_kingdom:0 "Гористе королівство"
 bti_mountain_kingdom_desc:0 "Гори Симену послужили нам гарну службу в численних війнах із сильнішими сусідами. Організація нашої оборони з врахуванням цих природних укріплень зробить наш захист ефективнішим."
 bti_kebra_nagast:0 "Кебра Негаст"
 bti_kebra_nagast_desc:0 "Кебра Негаст, або Слава Царів, книга, яка пояснює походження правителів Ефіопії від царя Соломона й цариці Савської. Тексту в його нинішньому виді щонайменше 700 років, і там докладно описана зустріч цариці Савської з царем Соломоном, а також поява Ковчега завіту в Ефіопії. Ця прадавня історія зберігає пам'ять про народження Дому Ізраїлевого й нашої культури – не можна допустити його втрати!"
 bti_builders_and_artists:0 "Будівельники й ремісники"
 bti_builders_and_artists_desc:0 "Наші сусіди, що сповідують іслам і християнство, у своїх королівствах давно заборонили євреям володіти землею, що привело наших братів і сестер по вірі шукати нових способів заробітку. По всій Ефіопії чоловіки народу Ізраїлевого займаються будівництвом, а жінки вправно прикрашають замки й церкви. Ми могли б запропонувати їм повернуться додому, до братів по вірі, де немає місця гнобленню, і тоді отримаємо чималі вигоди з недалекоглядності сусідніх країн."
 bti_gideon_dynasty:0 "Династія Гідеонів"
 bti_gideon_dynasty_desc:0 "Наша священна династія царів є спадкоємцями Садока, первосвященика часів самого царя Соломона. Нащадки Садока правили Сименом і місцевими євреями багато століть, і мужньо боролися з будь-якими ворогами. Наше право на цю землю – незаперечне."
 bti_lost_tribe:0 "Загублені племена Дому Ізраїлевого"
 bti_lost_tribe_desc:1 "Юдеї розкидані по містах всього світу, де зайняли нішу лихварів і торговців, і найчастіше піддаються жорстоким гонінням, але вони повинні довідатися, що у світі ще є місце, де їх чекають, і де їм буде забезпечена повна свобода та безпека. Заохочуймо юдеїв з усіх сусідніх регіонів селитися в нашій країні та служити нам."
 bti_haskalah:0 "Хаскала"
 bti_haskalah_desc:0 "Освіта назавжди змінила Європу, а єврейські інтелектуали приймають у цьому активну участь. Давайте ж перенесемо європейський досвід до нас і отримаємо секуляризацію, масове вивчення івриту і єврейської історії."
 LNA_ideas:0 "Ланнаські ідеї"
 LNA_ideas_start:0 "Ланнаські традиції"
 LNA_ideas_bonus:0 "Ланнаські амбіції"
 lna_legacy_of_mangrai:0 "Спадщина Менграя"
 lna_legacy_of_mangrai_desc:0 "Перед смертю від удару блискавкою, легендарний король Менграй завоював і приєднав до Ланне більше, ніж усі наступні королі. Ми повинні наслідувати його приклад."
 lna_million_ice_paddies:0 "Мільйон рисових полів"
 lna_million_ice_paddies_desc:0 "Якщо Панна – тисяча рисових полів, то Ланна – мільйон рисових полів. Наша земля благословенна й у нас ніколи не буде нестачі їжі."
 lna_waters_of_the_naga:0 "Води Нага"
 lna_waters_of_the_naga_desc:0 "Говорять, що води Меконгу виходять із щедрих земель. Якою б не була правда, ці води забезпечують наші землі родючістю й достатком."
 lna_the_white_elephant:0 "Білий слон"
 lna_the_white_elephant_desc:0 "Одного разу на спину білого слона поклали священні буддійські реліквії й відправили його в гори. Там, де слон упав намертво, король повелів побудувати великий храм."
 lna_red_and_black:0 "Червоні й чорні васали"
 lna_red_and_black_desc:0 "Наша держава вже давно отримує данину від дрібних царств на сході й на півдні, настав час асимілювати їх і взяти під повний контроль."
 lna_elephant_charge:0 "Бойові слони"
 lna_elephant_charge_desc:0 "Слони завжди були потужною зброєю у війнах. Ми будемо мудрими, якщо використаємо їх для знищення й розсіювання військ наших ворогів"
 lna_dynastic_spread:0 "Поширення династії"
 lna_dynastic_spread_desc:0 "Ми повинні сплести нашу королівську родину з династіями інших країн. Це наблизить нас до наших цілей, і ми отримаємо надійних друзів."
 PGR_ideas:0 "Пагаруюнзькі ідеї"
 PGR_ideas_start:0 "Пагаруюнзькі традиції"
 PGR_ideas_bonus:0 "Пагаруюнзькі амбіції"
 pgr_tantric_legacy:0 "Тантрична спадщина"
 pgr_tantric_legacy_desc:0 "Засновник пагаруюнзької держави – Адітья Варман, двоюрідний брат правителя Маджапахитської імперії. Під час свого правління він зміцнював езотеричний буддизм і залишив спадщину у вигляді релігійних рукописів і книг. Ми повинні зберегти цю велику спадщину й стримати натиск мусульманських султанатів, що розростаються на островах Індонезії."
 pgr_gold_trade:0 "Торгівля золотом"
 pgr_gold_trade_desc:0 "Наше царство процвітає завдяки золотодобуванню, мудрій політиці й налагодженим торговельним зв'язками в архіпелазі. Багато представників народу мінангкабау були купцями ще при Шрівіджаї, Ачеху і Малакці. Торгівля в нас у крові."
 pgr_istano_basa:0 "Істано Баса"
 pgr_istano_basa_desc:0 "Істано Баса Пагаруюнг, наш царський палац, був побудований у традиційному архітектурному стилі Румах Гаданг народу мінангкабау. Це справжній центр нашої держави і культури народу в цілому, істинне підтвердження священної влади династії Пагаруюнг на цих землях – і воно залишиться серцем країни на століття."
 pgr_rajo_tigo_selo:0 "Райо-Тіго-Сіло"
 pgr_rajo_tigo_selo_desc:0 "Королівська влада Істани Басі Пагаруюнга була розділена на три галузі: Король миру(Раджа Алам), Король Традицій(Раджа Адат) і Король Віри(Раджа Ібадат). У сукупності вони називаються – Королі Трьох Престолів(Райо Тіга Сіло). Їхнє спільне керування забезпечує наші сильні дипломатичні позиції у світі, в той час як дикунами правлять тирани!"
 pgr_high_education:0 "Розвинена освіта"
 pgr_high_education_desc:0 "Наш народ не настільки численний, як яванці, проте ми маємо величезний вплив і владу, а значить освіта стає одним з найважливіших пріоритетів у країні. Народ мінанг дає не тільки діловитих купців, але й талановитих поетів, державних службовців і вчених. Ключ до величі Пагаруюнга в прийнятті нових технологій."
 pgr_rumah_gadang:0 "Румах Гаданг"
 pgr_rumah_gadang_desc:0 "Наша традиційна архітектура будівництва Румах Гаданг прекрасно відбиває культуру й цінності мінангкабау. Румах Гаданг служить як місце проживання, місце для сімейних зустрічей, церемоній. Багаті орнаменти й чудові види вже стали символом Пагаруюнга й нашої архітектури."
 pgr_matrilinear_culture:0 "Матрилінійна культура"
 pgr_matrilinear_culture_desc:0 "Адат Перпатіх поєднує в собі різні правила життя й звичаї народу мінангкабау. Майно й земля передаються в спадок від матері до дочки, у той час як релігійні й політичні питання перебувають у повному веденні чоловіків. Традиції захищають значимість Адат Перпатіх у суспільстві, тому якою б не була бідною жінка, завжди знайдеться кому про неї подбати. Це гарантує стійкість і неконфліктність нашого суспільства."
 CMI_ideas:0 "Хмонзькі ідеї"
 CMI_ideas_start:0 "Хмонзькі традиції"
 CMI_ideas_bonus:0 "Хмонзькі амбіції"
 cmi_sacrificing_to_the_spirits:0 "Жертви духам"
 cmi_sacrificing_to_the_spirits_desc:0 "У нашій культурі досі сильні стародавні традиції. Пожертвуймо вином, м'ясом та рисом, щоб зміцнити віру нашого народу у праведне поклоніння нашим предкам – духам та богам природи."
 cmi_dragon_boats:0 "Свято драконових човнів"
 cmi_dragon_boats_desc:0 "Наше щорічне свято драконових човнів – данина прадавньої традиції. Організовані вождями й царями, ці чудові й вишукані свята відволічуть думки наших людей від проблем."
 cmi_unity_of_the_tribes:0 "Єдність племен"
 cmi_unity_of_the_tribes_desc:0 "Народ Мяо ділиться на кілька племен, які об'єднують спільні культура, історія й мова. Об'єднані Хмонг, Яо, Чи, білі, червоні, чорні й сині Мяо становлять потужну й добре злагоджену армію."
 cmi_miao_silver:0 "Срібло Мяо"
 cmi_miao_silver_desc:0 "Мяо прославилися своєю унікальною технікою сплаву срібла, таємницю якого ми надійно оберігаємо. Наші чудові ювелірні прикраси рознесуть славу про нас по всьому світу."
 cmi_customary_marriage_laws:0 "Весільні звичаї"
 cmi_customary_marriage_laws_desc:0 "Наші традиції диктують, що не можна одружитися за межами свого племені. Хоч це й обмежує свободу людей, але натомість зміцнює внутрішньоплемінні відносини."
 cmi_mountain_retreats:0 "Гірські відступи"
 cmi_mountain_retreats_desc:0 "Мяо – гірський народ. Ми повинні добре вивчити місцевість і використовувати її при захисті від іноземних ворогів."
 cmi_legacy_of_the_miao_rebellions:0 "Спадщина повстань Мяо"
 cmi_legacy_of_the_miao_rebellions_desc:0 "Мяо завжди боролися з китайськими володарями. Ми довели нашу силу, як могутні й мужні воїни, у багатьох повстань проти Китаю. Ми повинні використовувати досвід цих повстань."
 CAT_ideas:0 "Каталонські ідеї"
 CAT_ideas_start:0 "Каталонські традиції"
 CAT_ideas_bonus:0 "Каталонські амбіції"
 cat_consulate_of_the_sea:0 "Морське консульство"
 cat_consulate_of_the_sea_desc:0 "'Правила судноплавства Барселони', відомі як 'Книга морського консульства' є збірником законів і правил, введених у протягом 14-15 століть. Ця унікальна книга є однією із найбільш ранніх збірників морського права, а також знаком розвинених морських традицій Каталонії."
 cat_consell_de_cent:0 "Рада Сотні"
 cat_consell_de_cent_desc:0 "З 1265 року 'Рада Сотні' є основною структурою міського самоврядування в Барселоні. Міська влада опирається на трьох консультантів, що обираються радою, і сотню мешканців міста."
 cat_catalan_constitutions:0 "Конституція Каталонії"
 cat_catalan_constitutions_desc:0 "Хоч наша країна є досить молодою, наші інститути влади опираються на багатовікові юридичні й управлінські традиції. Продовжуючи прадавні традиції римського права, Конституція Каталонії була оприлюднена в 1283 році у всіх каталонських судах."
 cat_fortifying_catalonia:0 "Каталонські укріплення"
 cat_fortifying_catalonia_desc:0 "Каталонії завжди загрожували безліч ворогів і небезпек. Узбережжя постійно піддаються рейдам з боку берберських піратів, а вторгнення через Піренеї не раз ставили на межу існування Каталонії. Ми повинні зробити все можливе, щоб зміцнити нашу батьківщину й забезпечити повну безпеку молодої держави використовуючи особливості місцевої географії."
 cat_miquelets:0 "Мікелети"
 cat_miquelets_desc:0 "Під час війни каталонці збираються в стихійні загони місцевого ополчення. Ці загони, відомі як 'мікелети', організують на рівні церковних приходів, і не залежать від центральної або місцевої влади. Скликаються вони по звуку сільського дзвона – сометена. Деякі вважають їх простими розбійниками, але мікелети завжди готові захистити Каталонію від іноземців, чи то турки, чи французи, чи кастильці, які зарозуміло називають себе еспанцями."
 cat_lliures_morts:0 "'Воля або смерть"
 cat_lliures_morts_desc:0 "'Viurem lliures o morirem' (Живи вільно або вмри) – девіз каталонської армії, зображуваний на її чорних прапорах. Із цим девізом наші воїни вистоять у будь-якій битві, проти найбільш численного й сильного ворога, але відстоїть свободу народу."
 cat_catalan_forges:0 "Кузні Піренеїв"
 cat_catalan_forges_desc:0 "Колись наші предки в Піренеях були піонерами у сфері металургії. Ми повинні повернути Каталонію на передові позиції цієї галузі, заохочуючи технічний прогрес та будівництво нових мануфактур."
 laotian_ideas:0 "Лаоські ідеї"
 laotian_ideas_start:0 "Лаоські традиції"
 laotian_ideas_bonus:0 "Лаоські амбіції"
 lao_phra_lak_phra_lam:0 "Пха Лак Пха Лам"
 lao_phra_lak_phra_lam_desc:0 "У нашому народному епосі є переказ про двох братів, Лакшмана й Рамі, елементи якого присутні у всіх аспектах нашої культури: архітектурі, живопису, танцях і театрі. Два брати стали втіленням самовідданості, моралі, етики й істинними послідовниками Дхарми. Вони являють приклад для наслідування для всіх представників нашого народу, від селян до правителів."
 lao_nithan_khun_borom:0 "Нітхан Кхун Буром"
 lao_nithan_khun_borom_desc:0 "Легендарний прабатько нашого народу – Кхун Буром був посланий царем богів – Індрою, правити тайським народом. Кхун Буром правив тайцями 25 років, навчив їх обробці землі та мистецтвам. Потім Кхун Буром розділив Тайську державу на 7 частин і роздав синам. Так з'явився Лаос, створений з волі богів."
 lao_satsana_phi:0 "Сатсана Пхі"
 lao_satsana_phi_desc:0 "Пхі – духи, які захищають наш народ. Прадавня віра в цих духів давно переплелася з більш впливовими релігіями, такими як буддизм та гіндуїзм, що породило синкретичну культуру Лаосу, яка залучає послідовників багатьох конфесій."
 lao_elephant_cavalry:0 "Лаоська слонова кавалерія"
 lao_elephant_cavalry_desc:0 "Слонів завжди використовували у військових цілях, але лише в Лаосі це набуло такого розмаху. Тут слони стали ключовою частиною військового мистецтва, а їхнє число в рядах армії досягає декількох тисяч. Вони дозволяють нам проводити руйнівні штурми навіть у джунглях Південно-східної Азії."
 lao_southern_silk_road:0 "Південний Шовковий шлях"
 lao_southern_silk_road_desc:0 "Народ Лао живе на перетині азійської сухопутної торгівлі. На Півдні вона йде по Меконгу до самого В'єнтьяна. На Півночі й Північно-заході сухопутні торговельні шляхи йдуть із Бірми й Лан-На в Юньнань, де вони вливаються в китайський Південний Шовковий шлях. Ми повинні отримати користь з багатств, що течуть повз нас, і побудувати торгову державу, яке зможе процвітати завдяки сусідам."
 lao_hill_warriors:0 "Гірська оборона Лаосу"
 lao_hill_warriors_desc:0 "Наш народ живе у високогір'ях, оточений численними й небезпечними державами, які із задоволенням заявлять свої права на наші землі, якщо ми виявимося занадто слабкими."
 CHA_ideas:0 "Чамські ідеї"
 CHA_ideas_start:0 "Чамські традиції"
 CHA_ideas_bonus:0 "Чамські амбіції"
 cha_my_son_temples:0 "Храми Мішону"
 cha_my_son_temples_desc:0 "Великий храмовий комплекс Мішону, зведений нашими предками, був невід'ємною частиною традицій і обрядів держави. Ці храми були першими індуїстськими будівлями в Тямпі, й належали гірському клану Тямпи. Інший великий комплекс, По Нагар, розташовувався на узбережжі. У давні часи ми втратили цю спадщину, відступивши під натиском завойовників, і споруди прийшли в занепад. Зараз ми згадуємо про них і прагнемо повернути минулу гідність."
 cham_seafaring_people:0 "Народ мореплавців"
 cham_seafaring_people_desc:0 "Морська й річкова торгівля є основою нашої економіки. Наші моряки давно стали органічною частиною Індійського океану, китайської й малайської торгівлі. Це як корабель, що несе багатсва світу в нашу країну. На узбережжі діє підтримувана система колодязів, а отже наші та іноземні торговці завжди зможуть поповнити життєвоважливі запаси."
 cha_indian_influences:0 "Зв'язки з Південною Індією"
 cha_indian_influences_desc:0 "Уся культура й історія нашого народу пов'язана з Великим індійським світом. Наші культурні зв'язки дуже допомагають при торгівлі з мореплавцями тамілами й телугу."
 cha_che_man_legacy:0 "Спадщина Че Мана."
 cha_che_man_legacy_desc:0 "Коли багато років тому в'єти витиснули нас на південь, наш народ під проводом Джайя Сімхавармана, або Че Мана, був змушеним співпрацювати з ними, щоб не допустити завоювання всього Індокитаю монголами Хубілая. Можливо нам варто знову відкласти розбіжності вбік, або ж знайти нових друзів, щоб хоч якось захиститися."
 cha_agarwood:0 "Алоєве дерево"
 cha_agarwood_desc:0 "Кораблі, що курсують по наших ріках, привозять рідкісне алоєве дерево, масла якого цінуються в Китаї й Кореї як ліки, пахощі й навіть мають ритуальне значення. При неправильному використанні вони можуть бути досить небезпечними для людини. Ми повинні підтримувати монополію на цей товар, і не допускати конкурентів до кращих сортів."
 cha_resisting_foreign_rule:0 "Опір іноземному завоюванню"
 cha_resisting_foreign_rule_desc:0 "Ми з усіх боків оточені різноманітними релігіями, культурами й суспільствами. І якщо в минулому ми процвітали від взаємовигідного співробітництва із сусідами, то тепер більшість бажає підкорити Чампу. Не варто чекати удачі – потрібно зміцнити міста й готуватися до сюрпризів від завойовників."
 cha_cham_migrations:0 "Міграції чамів"
 cha_cham_migrations_desc:0 "Наш народ у більшості регіонів, що колись були частиною Чампи, поступово заміщається інородцями й займає все більш маргінальну нішу. Під цим напором вони змушені перебиратися на нові землі, хтось у володіння кхмерів, хтось на острови. Це зовсім не схоже на організоване переселення, але якщо ми запропонуємо їм вільну землю, то чами звісно віддадуть перевагу життю під нашим захистом."
 BAD_ideas:0 "Баденські ідеї"
 BAD_ideas_start:0 "Баденські традиції"
 BAD_ideas_bonus:0 "Баденські амбіції"
 bad_hot_springs:0 "Гарячі джерела"
 bad_hot_springs_desc:0 "Баден отримав своє ім'я від гарячих мінеральних джерел, відомих і популярних ще із часів Римської Імперії. Дотепер збереглись руїни терм. Люди приходять, щоб пкупатися в заспокійливих водах, і залишають нас оновленими й підбадьореними."
 bad_zahringen:0 "Спадщина дому Церингенів"
 bad_zahringen_desc:0 "Якщо хтось ще пам'ятає, то в старожитні часи Баденом правив славний дім Церингенів, чий родовід прослідковується від самого заснування Імперії. Саме вони добилися для наших правителів титулу маркграфів, що зберігся й донині."
 bad_small_nation_diplomacy:0 "Активна дипломатія"
 bad_small_nation_diplomacy_desc:0 "Баден завжди був маленькою державою, часто розділеню між гілками правлячої династії, які не мають значних сил. Усі ці умови привели нас до необхідності розвитку дипломатичних зв'язків по всій Європі, щоб зберегти незалежність."
 bad_cuius_regio_euis_religio:0 "Cuius Regio, Eius Religio"
 bad_cuius_regio_euis_religio_desc:0 "Багато представників нашої династії підтримали різні сторони в ході Реформації. Всюди це приводить до розпаду держав, але наша родина маркграфів виявилася мудрішою, і стала дотримуватися принципу 'Живи й дай жити іншим', що піде на користь Бадену, незважаючи на неминучі розбіжності."
 bad_reuiniting_the_nation:0 "Возз'єднання Бадену"
 bad_reuiniting_the_nation_desc:0 "Століттями різними частинами Бадена правили різні гілки нашого дому. Але тепер залишилася тільки одна лінія, яка об'єднала регіон і знову зробила Баден могутнім!"
 bad_expanding_the_nation:0 "Дипломатична експансія"
 bad_expanding_the_nation_desc:0 "Потрібно платити, щоб отримати впливових друзів! З допомогою спритної дипломатії та грі на протиріччях між придворними фракціями, ми зможемо мирно підкорити й приєднати території сусідів. Настав час розширити нашу країну десь у п'ять разів!"
 bad_grand_duchy:0 "Велике герцогство Баденське"
 bad_grand_duchy_desc:0 "З нашими амбіціями та зміцненням держави, нам потрібен і відповідний за статусом титул. Проголосимо Баден Великим Герцогством й піднімемося над графами, герцогами та маркграфами Німеччини!"
 SDY_ideas:0 "Садійські ідеї"
 SDY_ideas_start:0 "Садійські традиції"
 SDY_ideas_bonus:0 "Садійські амбіції"
 sdy_land_of_glory:0 "Земля слави"
 sdy_land_of_glory_desc:0 "Садія процвітає з тих пір, як її заснував великий Бірпал, і наша держава стала значною силою в регіоні. Наш народ не є корінним на цій землі, але ми вже давно обжили й освоїли її, тепер це наш дім, а наша історія тут куди багатша й старша, ніж в ахомських сусідів. Це наша земля, ми будемо захищати її до останнього чоловіка, або жінки і віддамо перевагу смерті над безчестям."
 sdy_crossroad_of_religions:0 "Перетинання релігій"
 sdy_crossroad_of_religions_desc:0 "Наша країна знаходиться на перехресті Тибету, Бірми та Індії, а значить ми тут повною мірою відчуваємо їхній вплив. На високогір'ї розташовані буддійські монастирі, і багато де зберігаються послідовники язичницьких культів. Сам же народ Сутії загалом перейняв гіндуїзм від наших південних сусідів. Наша держава сприймається як укриття для безлічі конфесій, що дозволить нам досягти успіху в настільки різнорідному регіоні."
 sdy_hills_and_jungles:0 "Пагорби й джунглі"
 sdy_hills_and_jungles_desc:0 "Маючи переважно пагорби, ліси і високогір'я Східних Гімалаїв, наша країна є джерелом рідкісної краси для одних, але й негостинною лінією оборони для інших. Ми повинні продовжувати укріплення наших рубежів, використовуючи природні перешкоди."
 sdy_temples:0 "Храми Садії"
 sdy_temples_desc:0 "Природа зберегла свою первозданну міць у нашій країні, і завжди готова повернути занедбане й забуте. Воістину сильна держава повинна звести величні храми і пам'ятники богам, показавши славу нашої держави простолюду та іноземцям."
 sdy_dihang:0 "Диханг"
 sdy_dihang_desc:0 "Води великої ріки Диханг роблять довгу подорож до повороту на Південний захід, у низов'я, де називається вже Брахмапутрою. Ріка забезпечує нас усім: водою, їжею, транспортом. Вона зв'язує між собою всі ключові місця долини, і дає нам можливість перетнути її всю за день."
 sdy_army_reform:0 "Реформа садійської армії"
 sdy_army_reform_desc:0 "Є теорія, що 'китайський порох' винайшли саме в нашій країні. Якщо це й правда так, то ми давно розгубили хватку й не користуємося своєю спадщиною. Нам варто перейняти тактики держав далекого заходу й зробити піхоту основою військової сили."
 sdy_black_tea:0 "Чорний чай"
 sdy_black_tea_desc:0 "Чай споконвіків вирощують у цій частині світу, і наша земля ідеально підходить для чайних плантацій. Тим більше що із приходом до нас купців з Індії й Китаю попит на чайний лист виріс до астрономічних розмірів. Потрібно дозволити іноземцям вкладатися в нові й нові чайні плантації, і Садія розбагатіє."
 MLB_ideas:0 "Маніпурські ідеї"
 MLB_ideas_start:0 "Маніпурські традиції"
 MLB_ideas_bonus:0 "Маніпурські амбіції"
 mlb_sanamahism:0 "Санамахізм"
 mlb_sanamahism_desc:0 "Брахманічні й буддійські вірування ніколи не мали особливо багато послідовників у нашому рідному краї. Народ Маніпуру твердо дотримуєтсья віри наших предків, що має більше 360 божеств. Традиційна віра не дасть нам багато друзів серед каст, ченців і інших значних релігійних громад, але в цих пагорбах наші традиції роблять нас сильнішими."
 mlb_martial_traditions:0 "Бойові традиції"
 mlb_martial_traditions_desc:0 "Невелика держава, розташована в долині й оточена войовничими сусідами, постійно має ризик згинути у черговій війні або зазнати масштабних руйнувань. Правителі Манипуру завжди готові очолити наше славне військо й повести його проти народів Шану або Качару."
 mlb_kingdom_of_the_meitei:0 "Царство Мейтей"
 mlb_kingdom_of_the_meitei_desc:0 "На відміну від більшості місцевих держав, Маніпур має тисячолітню історію. Наші легенди й літописи розповідають про прадавніх царів, які об'єднали мейтей, наг та інші народи в єдину країну, спадкоємцем якої й став Маніпур."
 mlb_mayek:0 "Мейтей-Майок"
 mlb_mayek_desc:0 "Там де інші переймали найбільш прості, зручні й політично вигідні варіанти писемності й літературних традицій, наш народ завжди підтримував власне традиційне письмо. Мейтейська література й мова чітко відокремлюють нас від сусідів, і не мають майже нічого спільного ні з шанською на Сході, ні з бенгальською на Заході."
 mlb_unite_the_hill_tribes:0 "Об'єднання племен з пагорбів"
 mlb_unite_the_hill_tribes_desc:0 "Долини і пагорби Маніпуру завжди були різнорідними, й керувалися численними вождями й ватажками. Ми повинні покінчити з цим, в разі необхідності застосувавши силу, і зробити Маніпур більш централізованою державою."
 mlb_bengali_influence:0 "Бенгальський вплив"
 mlb_bengali_influence_desc:0 "Наша держава завжди проводила досить ізоляціоністську політику, але можливо прийшов час зміцнити наші зв'язки із заходом. Кількість прихильників гіндуїзму серед наших підданих все зростає, як і вивчення їхньої писемності й мови. Все це прискорить розширення нашого впливу в регіоні."
 mlb_far_reaching_diplomacy:0 "Далекі союзники"
 mlb_far_reaching_diplomacy_desc:0 "Ми досить непогано протистоїмо іноземним загарбникам, але ніхто не зможе вижити без друзів. Можливо нам варто шукати союзників серед країн далекого Заходу, залучати їх у регіон і використовувати у своїх інтересах."
 somali_ideas:0 "Сомалійські ідеї"
