l_ukrainian:
 embraced_absolutism:0 "Підтримані ідеї абсолютизму"
 republican_dictatorship.3.b:0 "Ні. Не варто поспішати, краще послухати думку генералів."
 republican_dictatorship.4.t:0 "[Root.Monarch.GetName] просунув свого генерала"
 republican_dictatorship.4.d:0 "Хоч багато військових як і раніше зберігають деяку відданість до колишньої адміністрації, [Root.Monarch.GetTitle] нагороджує найбільших своїх прихильників. Деякі генерали цінують [Root.Monarch.GetName] за його рішучість, і бачать необхідність у сильному лідерові, особливо в ці неспокійні часи.\n\n Просування навіть талановитої людини не будуть добре сприймати, але нам потрібні вірні генерали. Чи повинні ми скористатися цією можливістю, чи варто дистанціюватися від цих призначень?"
 republican_dictatorship.4.a:0 "Ніщо не може завадити мені. Ніщо."
 republican_dictatorship.4.b:0 "Краще нехай генералів призначають військові."
 republican_dictatorship.5.t:0 "Люди вимагають демократії"
 republican_dictatorship.5.d:0 "'Ми вигнали королів! Деспот повинен піти!'\n\nЛюди, побачивши що старі порядки скинуті, починають відкрито розглядати правителя [Root.Monarch.GetName] як ще одного монарха, схованого за зовнішнім лиском республіки. Вони вимагають реальні відчутні зміни, і тільки тоді, можливо, вони дозволять йому продовжити своє правління. Можливо нам варто поступитися їм, і тоді вони заспокояться... поки не зрозуміють, що їхнє життя може обірватися прикрим самогубством з десятьма колотими ранами."
 republican_dictatorship.5.a:0 "[Root.Monarch.GetName] - людина з народу!"
 republican_dictatorship.5.b:0 "Держава [Root.GetName] ніколи не повинна була бути республікою."
 republican_dictatorship.6.t:0 "Делегування адміністративних повноважень"
 republican_dictatorship.6.d:0 "Адміністративні питання ніколи не були сильною стороною правителя [Root.Monarch.GetName]. [Root.Monarch.GetTitle] може ухвалювати рішення, але багато тонкощів політики залишалися без уваги. Найм підлеглих для роботи із цими питаннями трохи пом'якшив проблему, але це привело до росту бюрократії, що суттєво ускладнило контроль над адміністрацією. Хоча ставки великі, нам доведеться послабити центральне керівництво, тому що наполягання на збереженні контролю поставило б нас у прямий конфлікт із місцевими чиновниками."
 republican_dictatorship.6.a:0 "[Root.Monarch.GetTitle] не має все робити сам."
 republican_dictatorship.6.b:0 "Позбудьтеся тих, хто це запропонував."
 republican_dictatorship.7.t:0 "Делегування дипломатичних повноважень"
 republican_dictatorship.7.d:0 "[Root.Monarch.GetTitle] не йде шляхом поступок, і [Root.Monarch.GetName] не є виключенням. На жаль, у міжнародній дипломатії компроміс іноді необхідний. Маючи правителя, який не в змозі відчувати дипломатичну ситуацію, нам необхідно найняти послів і дипломатів, схильних до зовнішньої політики, і делегувати їм частину повноважень. Ми звичайно, ніколи б не поступилися навіть частиною прав, які нам надає титул [Root.Monarch.GetTitle]а, але на благо республіки [Root.GetName] ми готові на все."
 republican_dictatorship.7.a:0 "Підемо на компроміс, але тільки цього разу."
 republican_dictatorship.7.b:0 "Я не можу цього дозволити."
 republican_dictatorship.8.t:0 "Делегування військових повноважень"
 republican_dictatorship.8.d:0 "Армія іноді може бути занадто консервативною, а [Root.Monarch.GetName] не дуже добре розбирається у військових питаннях. На щастя, [Root.Monarch.GetSheHe] шукає більш ініціативних людей. Армійське керівництво тепер вимагає все більше й більше свободи, і це рішення видається гарною ідеєю, але не чи втратимо ми контроль над армією нашої країни? У бкдь-якому випадку це буде мати серйозні наслідки для посади [Root.Monarch.GetTitle]а."
 republican_dictatorship.8.a:0 "Ми повинні керувати республікою, нехай інші її захищають."
 republican_dictatorship.8.b:0 "Ми повинні повернути контроль!"
 republican_dictatorship.9.t:0 "Провали місцевого самоврядування"
 republican_dictatorship.9.d:0 "Призначивши на важливі позиції надійних людей, ми випадково виявили, що [Root.Owner.Monarch.GetTitle] має своїх родичів на всіх посадах. Тоді як це створило прошарок вірних нам намісників, народ міста [Root.GetCapitalName] вважає, що ці чиновники абсолютно некомпетентні. В їхніх очах республіка [Root.Owner.GetName] повертається в ті часи, коли влада була поділена між однією родиною, а простолюдини були безправними."
 republican_dictatorship.9.a:0 "Люди можуть бути спокійними. Намісників замінять."
 republican_dictatorship.9.b:0 "Ці обвинувачення необґрунтовані."
 republican_dictatorship.10.t:0 "Сумніви місцевих військових"
 republican_dictatorship.10.d:0 "Поки дотримуються деякі республіканські принципи, правитель [Root.Owner.Monarch.GetName] може не витрачати час і гроші заради любові простого люду, але деякі військові лідери вважають це ознакою слабості. Взагалі в республіці [Root.GetName] почала збиратися змова проти [Root.Owner.Monarch.GetTitle]а. Змовники запевняють, що нація не зможе вижити без сильного лідера. За їхніми словами, якщо нічого не почати, то республіка [Root.Owner.GetName] може скотитися до анархії й популізму, що загубить усі їх старання по звеличуванню держави."
 republican_dictatorship.10.a:0 "Знову все доведеться робити самому!"
 republican_dictatorship.10.b:0 "Ми повинні розгромити цих реакціонерів!"
 hardened_oak:0 "Міцний дуб"
 desc_hardened_oak:0 "Досвідчений суднобудівник знайшов спосіб зміцнити корпуси наших кораблів."
 patriotic_curriculum:0 "Патріотичне виховання"
 desc_patriotic_curriculum:0 "Морські академії тепер навчають курсантів вірності присязі та вітчизні."
 maintenance_curriculum:0 "Навчання обслуговуванню"
 desc_maintenance_curriculum:0 "Морські академії тепер навчають курсантів ремонту й обслуговуванню кораблів."
 galley_veterans:0 "Ветерани галер"
 desc_galley_veterans:0 "Тактичні хитрощі, винайдені нашими ветеранами, були стандартизовані в техніку галерного бою."
 heavy_ship_veterans:0 "Ветерани лінійних кораблів"
 desc_heavy_ship_veterans:0 "Тактичні хитрощі, винайдені нашими ветеранами, були стандартизовані в техніку лінійного бою."
 grieving_sailors:0 "Зажурені моряки"
 desc_grieving_sailors:0 "Занепад торгового флоту вплинув на марновірних моряків, тепер вони думають, що ми прокляті."
 repairing_decayed_ships:0 "Ремонт гнилих кораблів"
 desc_repairing_decayed_ships:0 "Ми докладемо всі зусилля, щоб відшкодувати збиток, нанесений нашим кораблям під час далеких плавань."
 rotting_wood:0 "Гниле дерево"
 desc_rotting_wood:0 "Наша подорож у далекі землі на погано відремонтованих кораблях викликала повсюдне гниття деревини."
 shipyard_fire:0 "Згорілі верфі"
 desc_shipyard_fire:0 "Пожежа на верфях сповільнила виробництво."
 skilled_diplomat:0 "Вмілий дипломат"
 desc_skilled_diplomat:0 "Посол показав унікальні навички, і був призначений на один з найважливіших іноземних напрямів."
 just_causes:0 "Праве діло"
 desc_just_causes:0 "Важка робота наших дипломатів переконала світ, що наші претензії слушні, а дії виправдані."
 popular_noble:0 "Популярна знать"
 desc_popular_noble:0 "Один з наших найвідоміших дворян показав небачену щедрість."
 vassals_feel_safe:0 "Васали в безпеці"
 desc_vassals_feel_safe:0 "Через силу наших армій і наша повага до їхніх прав, васали почувають себе в безпеці під нашим крилом."
 firm_hand:0 "Сильна рука"
 desc_firm_hand:0 "Правильне застосування важелів тиску на васалів дозволило нам вичавити з них трохи більше."
 emissary_authority:0 "Авторитет послів"
 desc_emissary_authority:0 "Документи, які ми даємо нашим послам, засвідчують їхній авторитет і службу національній ідеї."
 suspected_diplomats:0 "Підозрювані дипломати"
 desc_suspected_diplomats:0 "Деякі з наших дипломатів були помічені у зв'язках з ворожими агентами, і ми їх ретельно перевіряємо."
 slow_negotiations:0 "Повільні переговори"
 desc_slow_negotiations:0 "Наші васали розглядають деякі з вимог як відкриту образу, що ускладнює наші переговори з ними."
 hostile_rhetoric:0 "Ворожа риторика"
 desc_hostile_rhetoric:0 "Один з наших послів дозволив собі недоречні заяви, у результаті чого сусіди сприймають нас як загрозу."
 free_freethinkers:0 "Вільні вільнодумці"
 desc_free_freethinkers:0 "Вільнодумці завжди прагнули до знань, а зупинка їх переслідування привела до сплеску активності в салонах і університетах нашої столиці."
 fair_laws:0 "Справедливі закони"
 desc_fair_laws:0 "Віра в справедливість виявилася популярною серед більшості нашого населення."
 ineffective_missionary:0 "Неефективні місіонери"
 desc_ineffective_missionary:0 "Прихильність до гуманізму означає, що нашим місіонерам тепер складніше повернути невірних у лоно дійсної віри."
 fair_dealing:0 "Слушний розподіл"
 arrogant_administrators:0 "Зарозумілі адміністратори"
 honest_broker:0 "Чесний ділок"
 rogue_nation:0 "Нації розбійників"
 ideagroups.1700.t:0 "Міцний дуб для наших кораблів"
 ideagroups.1700.d:0 "Досвідчений суднобудівник знайшов спосіб зміцнити корпуси наших кораблів, щоб вони могли витримати бурі й довге плавання. Техніка утримується в таємниці, але протягом короткого часу ми змогли збільшити свій вплив на морі."
 ideagroups.1700.a:0 "Ми не боїмося моря."
 ideagroups.1701.t:0 "Адмірал гідний свого титулу"
 ideagroups.1701.d:0 "Відмінний морський офіцер привернув нашу увагу не тільки своєю майстерністю, але й вмінням передавати ці знання іншим. Де ми можемо використовувати цей чудовий талант?"
 ideagroups.1701.a:0 "У морі, щоб розбити наших ворогів!"
 ideagroups.1701.b:0 "Нехай навчає молодиків в академії."
 ideagroups.1702.t:0 "Покращення освіти"
 ideagroups.1702.d:0 "З'явилася можливість найняти для військово-морської академії нового інструктора, і канцлер попросив нас написати курс навчання моряків. У яке русло варто направити їхню енергію?"
 ideagroups.1702.a:0 "Потрібно робити з них патріотів."
 ideagroups.1702.b:0 "Нехай вивчають будову кораблів."
 ideagroups.1703.t:0 "Тактичні інновації"
 ideagroups.1703.d:0 "Роки плавань у морі дали нам загартованих ветеранів, здатних виконувати дивні подвиги в бою. Деякі з цих методів можуть бути стандартизовані й використані, щоб дати нам перевагу над нашими ворогами."
 ideagroups.1703.a:0 "Греби, греби, греби моя галера."
 ideagroups.1703.b:0 "Наші лінійні кораблі повинні очистити моря від цих покидьків."
 ideagroups.1704.t:0 "Піймані контрабандисти"
 ideagroups.1704.d:0 "Ми правимо морями й контролюємо торговельні шляхи. Тому надто важливо, щоб домашні води були чистими від незаконної торгівлі контрабандою або іноземними товарами, які можуть зашкодити нашому внутрішньому ринку."
 ideagroups.1704.a:0 "Перемога є перемога, навіть над покидьками."
 ideagroups.1704.b:0 "Використовуйте контрабанду."
 ideagroups.1705.t:0 "Королівський гість"
 ideagroups.1705.d:0 "Популярність наших талановитих суднобудівників і військово-морських академій поширилася по всьому світу, і чужоземний принц попросив дозволу здійснити поїздку в академію, і поспілкуватися з нашими людьми. Це честь, від якої не слід відмовлятися!"
 ideagroups.1705.a:0 "Ура!"
 ideagroups.1706.t:0 "Патріотичні пожертвування"
 ideagroups.1706.d:0 "Впливовий торговець прагне віддячити за наші зусилля по патрулюванню моря й захисту торговців та дослідників. Торговельна компанія побудувала нові кораблі для нашого військово-морського флоту, і готова пожертвувати їх короні."
 ideagroups.1706.a:0 "Прекрасно."
 ideagroups.1707.t:0 "Нещастя на морі"
 ideagroups.1707.d:0 "Весь наш торговельний флот був втрачений у морі, поринувши в морську безодню. Новини про катастрофу крокують від доку в док, а моряки, будучи дуже забобонними, сприйняли все близько до серця."
 ideagroups.1707.a:0 "Нехай сумують."
 ideagroups.1707.b:0 "Отже, ми втратили деяку рішучість."
 ideagroups.1708.t:0 "Втрачені новобранці"
 ideagroups.1708.d:0 "Швидке розширення наших портів і доків привело до того, що молоді люди залишають ферми й шукають роботу на кораблях торговельних компаній. Нам стає все важче знайти людей, згідних йти на війну."
 ideagroups.1708.a:0 "Може море забере їх."
 ideagroups.1709.t:0 "Гниле дерево"
 ideagroups.1709.d:0 "Наші подорожі в чужі води на погано підготовлених кораблях привело до того, що деревина згнила швидше, ніж очікувалося. Вологість, гнилизна й терміти... це ціна за пошук нових ринків."
 ideagroups.1709.a:0 "Виправте це."
 ideagroups.1709.b:0 "Дотримуйтеся термінів."
 ideagroups.1710.t:0 "Верфі у вогні"
 ideagroups.1710.d:0 "Це було лише справою часу, коли небезпечна суміш зі смоли, дерева й пороху привела б до пожежі. Ремонт займе якийсь час, поки верфі повернуться до первісного виду."
 ideagroups.1710.a:0 "Прокляття!"
 ideagroups.1800.t:0 "Вмілий дипломат"
 ideagroups.1800.d:0 "Один з наших послів має надзвичайну здатність розуміти настрій і бажання союзників, які нас оточують. Це дозволить уникнути наслідків неправильних кроків або неправильних слів. Як ми використаємо талант цього генія?"
 ideagroups.1800.a:0 "Використовуйте його для вирішення делікатних питань."
 ideagroups.1800.b:0 "Залишіть його при дворі, нехай він розповість всі таємниці."
 ideagroups.1801.t:0 "Наше діло праве"
 ideagroups.1801.d:0 "Важка робота наших дипломатів переконала світ, що наші претензії слушні, а дії виправдані. І наші сусіди можуть не побоюватися нас. Все, що ми робимо, ми робимо в інтересах всього світу."
 ideagroups.1801.a:0 "Нам потрібно виправдати сподівання."
 ideagroups.1802.t:0 "Популярна знать"
 ideagroups.1802.d:0 "Один з наших найвідоміших дворян повернувся з подорожі, де він оповідав іноземним правителям історії про нашу велич і щедрість, доводячи це своїм прикладом. Адже тільки найкраща держава могла надіслати такого високого гостя."
 ideagroups.1802.a:0 "Ну, вони хоча б хорошої думки про нього."
 ideagroups.1803.t:0 "Васали почувають себе в безпеці"
 ideagroups.1803.d:0 "Сила наших армій і наша повага до прав васалів зробили свою справу, і васали відчувають себе в безпеці під нашим крилом. Для збереження цих відносин, вони збільшили свої щорічні виплати."
 ideagroups.1803.a:0 "Пастух стриже своїх овець, а не вбиває."
 ideagroups.1804.t:0 "Справедливий розподіл"
 ideagroups.1804.d:0 "Імперія з колоніями та васалами нагадує гучну родину, і це вимагає тверду, але справедливу руку, щоб тримати все під контролем. Ця політика викликала підтримку наших автономій, і зблизила нас."
 ideagroups.1804.a:0 "Це завжди було для вашого ж добра."
 ideagroups.1805.t:0 "Сильна рука"
 ideagroups.1805.d:0 "Правильне застосування важелів тиску дозволило нам вичавити трохи більше з наших васалів. Їм це не подобається, але не вони тут господарі."
 ideagroups.1805.a:0 "Було ваше, стало наше."
 ideagroups.1806.t:0 "Перо як продовження меча"
 ideagroups.1806.d:0 "Ми надали нашим дипломатам особливі документи. Вони надають їм право говорити від нашого імені. Із цими документами їх не зупинять ні на кордоні, ні на території самої країни."
 ideagroups.1806.a:0 "Запізніле рішення."
 ideagroups.1807.t:0 "Зарозумілі адміністратори"
 ideagroups.1807.d:0 "Служби, які відповідають за наші автономії стали настільки ізольованими від тамтешнього керівництва, що тепер не бачать жодного сенсу вислухувати жителів провінцій. Гнів у колоніях і підлеглих державах вже стає загрозою."
 ideagroups.1807.a:0 "Та за кого вони себе мають?"
 ideagroups.1808.t:0 "Піймані шпигуни"
 ideagroups.1808.d:0 "Деякі з наших дипломатів були залучені у велику диверсійну операцію. Тепер кожен посол або дипломати викритий у шпигунстві, підлягає найсуворішим випробуванням, після закінчення своїх місій. Нам буде потрібен час, щоб відновити свою репутацію."
 ideagroups.1808.a:0 "Відсутність довіри засмучує мене."
 ideagroups.1809.t:0 "Образливі вимоги"
 ideagroups.1809.d:0 "Тиск, який ми чинимо на наших васалів, може здатися розумним у столиці, але не з боку цих дрібних князів, яких ми взяли під свій захист. Очевидно, переговори затягнуться надовго."
 ideagroups.1809.a:0 "Ми можемо почекати."
 ideagroups.1810.t:0 "Ворожа риторика"
 ideagroups.1810.d:0 "Один з наших послів зробив кілька нерозумних висловлювань на недавньому бенкеті. Його злі, ворожі слова зіпсували нам міжнародну репутацію, тепер сусіди вважають нас загрозою своїй безпеці."
 ideagroups.1810.a:0 "Нехай ховаються по своїх норах."
 ideagroups.1810.b:0 "Ми можемо залагодити ситуацію."
 ideagroups.1900.t:0 "Вільнодумці не переслідуються"
 ideagroups.1900.d:0 "Наша політика підтримки філософів, адміністраторів і вчених принесла свої плоди, і привела до сплеску активності в салонах і університетах нашої столиці."
 ideagroups.1900.a:0 "Чудово!"
 ideagroups.1901.t:0 "Справедливі закони для всіх"
 ideagroups.1901.d:0 "Прихильність до справжньої справедливості, для якої немає відмінностей між націями, релігією або традиціями - виявилася популярною серед більшості нашого населення. Недовіра до влади була значно знижена."
 ideagroups.1901.a:0 "Закон єдиний для всіх."
 ideagroups.1902.t:0 "Чесний ділок"
 ideagroups.1902.d:0 "Ми отримали репутацію нації, яка поважає інтереси своїх громадян і захищає права інших. Наша чесна торгівля зробила свою справу, і сусіди вважають нас благонадійними."
 ideagroups.1902.a:0 "Вони мені подобаються!"
 ideagroups.1903.t:0 "Кабінет згоди"
 ideagroups.1903.d:0 "Наша гуманістична політика скоротила відмінності між нашими радниками, тому що вони більше не можуть опиратися на релігійні й етнічні відмінності в країні. Всі працюють для держави, всі вірують у державу, й всі довіряють державі."
 ideagroups.1903.a:0 "Згода зрівнює."
 ideagroups.1904.t:0 "Прийняття - двигун прогресу"
 ideagroups.1904.d:0 "Дрібні розбіжності всередині нашого народу вже давно гальмують наш розвиток. З моменту відкриття адміністрації для всіх громадян, ми помітили небувалий успіх у розвитку місцевої економіки."
 ideagroups.1904.a:0 "Терпимість робить нас багатшими."
 ideagroups.1905.t:0 "Лагідна відповіді зменшує гнів"
 ideagroups.1905.d:0 "Наша віра подарувала нам мир і безпеку, тому в нас немає необхідності гнобити інших. Навіть ті, хто загруз у найбільш темних глибинах язичницьких вірувань, можуть побачити любов нашого бога до всього людства."
 ideagroups.1905.a:0 "Ми - одна нація."
 ideagroups.1906.t:0 "Світоч миру"
 ideagroups.1906.d:0 "Наша віра подарувала нам мир і безпеку, тому в нас немає необхідності гнобити інших. Навіть ті, хто загруз у найбільш темних глибинах язичницьких вірувань, можуть побачити любов нашого бога до всього людства."
 ideagroups.1906.a:0 "Ми одна нація."
 ideagroups.1907.t:0 "Хватка надто слабка"
 ideagroups.1907.d:0 "Зусилля, спрямовані на покращення стосунків з нашими недавно завойованими ворогами, і прояв поваги до їхніх свобод, привели лише до сплеску 'патріотизму' серед всілякої черні. Цей вогонь може спалити нас, але ми могли б спробувати загасити його поки не пізно."
 ideagroups.1907.a:0 "Нехай собі балакають."
 ideagroups.1907.b:0 "Відправити туди війська."
 ideagroups.1908.t:0 "Вільнодумство віддаляє від Бога"
 ideagroups.1908.d:0 "Терпимість до чужої думки є чеснотою, але єретики ризикують душами своїх парафіян. Ще більше ускладнює ситуацію те, що придушення цих відступників йде врозріз із нашими гуманістичними ідеалами."
 ideagroups.1908.a:0 "Сподіваємось, в довгостроковій перспективі це не завдасть шкоди..."
 ideagroups.1908.b:0 "Випалити єретичну пропаганду."
 ideagroups.1909.t:0 "Неефективні місіонери"
 ideagroups.1909.d:0 "Офіційна відданість гуманізму означає, що нашим місіонерам складніше переконувати невіруючих у гріховності їхнього шляху. Без батога і пряника, проповідники повинні покладатися тільки на свій особистий дар переконання."
 ideagroups.1909.a:0 "От невдача."
 ideagroups.1910.t:0 "Бій з минулим"
 ideagroups.1910.d:0 "Освіта й прийняття свободи громадян у державі означає, що наші сусіди затаврували нас країною-ізгоєм, і прагнуть підірвати традиційні права корони, церкви й гільдій."
 ideagroups.1910.a:0 "Вперед, навіть якщо ми одні."
