l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 TRADE_FAVORS_FOR_GOLD_DESC2:2 "Витратьте $FAVOR|Y$ прихильності в обмін на $PERCENT|%$ від їхнього річного доходу ($CASH|Y$¤)."
 TRADE_FAVORS_FOR_GOLD_DESC:2 "Ми просимо державу $RECIPIENT|Y$ надати нам $PERCENT|%$ від їхнього річного доходу ($CASH|Y$¤) в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_GOLD_REQDESC:0 "$ACTOR$ просить нас передати їм $CASH|Y$¤ в обмін на прихильність. Ви згодні?"
 WE_TRADE_FAVORS_FOR_MEN_TITLE:0 "Обмін прихильності на рекрутів"
 WE_TRADE_FAVORS_FOR_MEN_SETUP:0 "Коли ми просимо державу надати нам рекрутів за прихильність."
 WE_TRADE_FAVORS_FOR_MEN_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_MEN_1:0 "Обміняли прихильність на рекрутів"
 WE_TRADE_FAVORS_FOR_MEN_2:0 "$MONARCHTITLE$, ми попросили державу $RECIPIENT$"
 WE_TRADE_FAVORS_FOR_MEN_3:0 "дати нам солдатів ($MEN|Y$) на $MONTHS$ міс."
 WE_TRADE_FAVORS_FOR_MEN_4:0 "в обмін на $FAVOR|Y$ прихильності."
 WE_TRADE_FAVORS_FOR_MEN_LOG:0 "Ми попросили державу $RECIPIENT$ дати нам солдатів в обмін на прихильність."
 WE_TRADE_FAVORS_FOR_MEN_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_MEN_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_MEN_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_MEN_TITLE:0 "Обмін прихильності на рекрутів"
 TRADE_FAVORS_FOR_MEN_SETUP:0 "Коли держава просить дати їй солдатів в обмін на прихильність."
 TRADE_FAVORS_FOR_MEN_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_MEN_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_MEN_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_MEN_3:0 "просить нас дати їй солдатів ($MEN|Y$) на $MONTHS$ міс."
 TRADE_FAVORS_FOR_MEN_4:0 "в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_MEN_5:0 "Ми раді допомогти нашим союзникам!"
 TRADE_FAVORS_FOR_MEN_LOG:0 "Держава $ACTOR$ просить дати їй солдатів в обмін на прихильність."
 TRADE_FAVORS_FOR_MEN_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_MEN_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_MEN_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_MEN_TITLE:0 "Обмін прихильності на рекрутів"
 OTHER_TRADE_FAVORS_FOR_MEN_SETUP:0 "Коли держава просить іншу державу дати їй солдатів в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_MEN_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_MEN_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_MEN_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_MEN_3:0 "просить державу $RECIPIENT$ дати їй солдатів ($MEN|Y$) на $MONTHS$ міс."
 OTHER_TRADE_FAVORS_FOR_MEN_4:0 "в обмін на $FAVOR|Y$ прихильності."
 OTHER_TRADE_FAVORS_FOR_MEN_6:0 "Охоплює почуття невпевненості в завтрашньому дні..."
 OTHER_TRADE_FAVORS_FOR_MEN_LOG:0 "Держава $ACTOR$ просить державу $RECIPIENT$ дати їй солдатів в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_MEN_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_MEN_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_MEN_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_MEN_DECLINED_TITLE:0 "Прохання про солдатів в обмін на прихильність відхилено"
 TRADE_FAVORS_FOR_MEN_DECLINED_SETUP:0 "Коли держава відмовляється дати солдатів іншій державі в обмін на прихильність."
 TRADE_FAVORS_FOR_MEN_DECLINED_HEADER:0 "Прохання про солдатів відхилено"
 TRADE_FAVORS_FOR_MEN_DECLINED_1:0 "Держава $RECIPIENT$"
 TRADE_FAVORS_FOR_MEN_DECLINED_2:0 "відмовилась дати солдатів ($MEN|Y$) на $MONTHS$ міс."
 TRADE_FAVORS_FOR_MEN_DECLINED_3:0 "в обмін на $FAVOR|Y$ прихильності"
 TRADE_FAVORS_FOR_MEN_DECLINED_4:0 "від держави $ACTOR$."
 TRADE_FAVORS_FOR_MEN_DECLINED_6:0 "Ми не забудемо цього безчестя!"
 TRADE_FAVORS_FOR_MEN_DECLINED_LOG:0 "Держава $RECIPIENT$ відхилила наше прохання."
 TRADE_FAVORS_FOR_MEN_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_MEN_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_MEN_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_MEN_CANNOT_NO_MEN:0 "Держава $COUNTRY$ не отримала $MEN|Y$ солдатів"
 TRADE_FAVORS_FOR_MEN_CANNOT_COST:0 "Вам потрібно принаймні §Y$COST$§! прихильності від держави §Y$COUNTRY$§!, щоб просити її про солдатів."
 TRADE_FAVORS_FOR_MEN_CANNOT_OPINION:0 "Вам потрібно принаймні §Y$OPINION$§! думки від держави §Y$COUNTRY$§!, щоб просити її про солдатів."
 TRADE_FAVORS_FOR_MEN_DESC2:0 "Витратьте $FAVOR|Y$ прихильності в обмін на солдатів ($MEN|Y$) на $MONTHS$ міс."
 TRADE_FAVORS_FOR_MEN_DESC:0 "Ми просимо державу $RECIPIENT|Y$ дати нам солдатів ($MEN|Y$) на $MONTHS$ міс. в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_MEN_REQDESC:0 "$ACTOR$ просить нас дати їм $MEN|Y$ солдатів в обмін на прихильність. Ви згодні?"
 WE_TRADE_FAVORS_FOR_SAILORS_TITLE:0 "Обмін прихильності на моряків"
 WE_TRADE_FAVORS_FOR_SAILORS_SETUP:0 "Коли ми просимо державу надати нам моряків в обмін на прихильність."
 WE_TRADE_FAVORS_FOR_SAILORS_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_SAILORS_1:0 "Обміняли прихильність на моряків"
 WE_TRADE_FAVORS_FOR_SAILORS_2:0 "$MONARCHTITLE$, ми попросили державу $RECIPIENT$"
 WE_TRADE_FAVORS_FOR_SAILORS_3:0 "дати нам моряків ($SAILORS|Y$) на $MONTHS$ міс."
 WE_TRADE_FAVORS_FOR_SAILORS_4:0 "в обмін на $FAVOR|Y$ прихильності."
 WE_TRADE_FAVORS_FOR_SAILORS_LOG:0 "Ми попросили державу $RECIPIENT$ дати нам моряків в обмін на прихильність."
 WE_TRADE_FAVORS_FOR_SAILORS_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_SAILORS_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_SAILORS_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_SAILORS_TITLE:0 "Обмін прихильності на моряків"
 TRADE_FAVORS_FOR_SAILORS_SETUP:0 "Коли держава просить нас дати їй моряків в обмін на прихильність."
 TRADE_FAVORS_FOR_SAILORS_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_SAILORS_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_SAILORS_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_SAILORS_3:0 "просить нас дати їй моряків ($SAILORS|Y$) на $MONTHS$ міс."
 TRADE_FAVORS_FOR_SAILORS_4:0 "в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_SAILORS_5:0 "Ми раді допомогти нашим союзникам!"
 TRADE_FAVORS_FOR_SAILORS_LOG:0 "Держава $ACTOR$ просить нас дати їй моряків в обмін на прихильність."
 TRADE_FAVORS_FOR_SAILORS_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_SAILORS_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_SAILORS_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_SAILORS_TITLE:0 "Обмін прихильності на моряків"
 OTHER_TRADE_FAVORS_FOR_SAILORS_SETUP:0 "Коли держава просить іншу державу дати їй моряків в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_SAILORS_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_SAILORS_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_SAILORS_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_SAILORS_3:0 "просить державу $RECIPIENT$ дати їй моряків ($SAILORS|Y$) на $MONTHS$ міс."
 OTHER_TRADE_FAVORS_FOR_SAILORS_4:0 "в обмін на $FAVOR|Y$ прихильності."
 OTHER_TRADE_FAVORS_FOR_SAILORS_6:0 "Охоплює почуття невпевненості в завтрашньому дні..."
 OTHER_TRADE_FAVORS_FOR_SAILORS_LOG:0 "Держава $ACTOR$ просить державу $RECIPIENT$ дати їй моряків в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_SAILORS_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_SAILORS_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_SAILORS_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_TITLE:0 "Прохання про матросів в обмін на прихильність відхилено"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_SETUP:0 "Коли держава відмовляється дати моряків іншій державі в обмін на прихильність."
 TRADE_FAVORS_FOR_SAILORS_DECLINED_HEADER:0 "Прохання про моряків в обмін на прихильність відхилено"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_1:0 "Держава $RECIPIENT$"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_2:0 "відмовилась дати моряків ($SAILORS|Y$) на $MONTHS$ міс."
 TRADE_FAVORS_FOR_SAILORS_DECLINED_3:0 "в обмін на $FAVOR|Y$ прихильності"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_4:0 "від держави $ACTOR$."
 TRADE_FAVORS_FOR_SAILORS_DECLINED_6:0 "Ми не забудемо цього безчестя!"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_LOG:0 "Держава $RECIPIENT$ відхилила наше прохання."
 TRADE_FAVORS_FOR_SAILORS_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_SAILORS_CANNOT_NO_SAILORS:0 "Держава $COUNTRY$ не отримала $SAILORS|Y$ моряків"
 TRADE_FAVORS_FOR_SAILORS_CANNOT_NO_SAILORS_AT_ALL:0 "Держава $COUNTRY$ не отримала жодного моряка"
 TRADE_FAVORS_FOR_SAILORS_CANNOT_COST:0 "Вам потрібно принаймні §Y$COST$§! прихильності від держави §Y$COUNTRY$§!, щоб просити її про моряків."
 TRADE_FAVORS_FOR_SAILORS_CANNOT_OPINION:0 "Вам потрібно принаймні §Y$OPINION$§! думки від держави §Y$COUNTRY$§!, щоб просити її про моряків."
 TRADE_FAVORS_FOR_SAILORS_DESC2:0 "Витратьте $FAVOR|Y$ прихильності в обмін for $MONTHS$ months' supply ($SAILORS|Y$) of Sailors."
 TRADE_FAVORS_FOR_SAILORS_DESC:0 "Ми просимо державу $RECIPIENT|Y$ дати нам моряків ($SAILORS|Y$) на $MONTHS$ міс. в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_SAILORS_REQDESC:0 "$ACTOR$ просить нас дати їм $SAILORS|Y$ моряків в обмін на прихильність. Ви згодні?"
 mechanic_free_concentrate_development_yes:0 "Може концентрувати розвиток без втрат."
 mechanic_free_concentrate_development_no:0 "Втрачує бали розвитку через його концентрацію."
 WE_TRADE_FAVORS_FOR_HEIR_TITLE:0 "Прохання про призначення родича спадкоємцем"
 WE_TRADE_FAVORS_FOR_HEIR_SETUP:0 "Коли ми просимо державу призначити члена нашої династії своїм спадкоємцем за прихильність."
 WE_TRADE_FAVORS_FOR_HEIR_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_HEIR_1:0 "Прохання про призначення родича спадкоємцем"
 WE_TRADE_FAVORS_FOR_HEIR_2:0 "$MONARCHTITLE$, ми попросили державу $RECIPIENT$"
 WE_TRADE_FAVORS_FOR_HEIR_3:0 "призначити родича нашого короля своїм законним спадкоємцем"
 WE_TRADE_FAVORS_FOR_HEIR_4:0 "в обмін на $FAVOR|Y$ прихильності."
 WE_TRADE_FAVORS_FOR_HEIR_LOG:0 "Ми попросили державу $RECIPIENT$ призначити члена нашої династії своїм спадкоємцем за в обмін на прихильність."
 WE_TRADE_FAVORS_FOR_HEIR_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_HEIR_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_HEIR_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_HEIR_TITLE:0 "Прохання про призначення родича спадкоємцем"
 TRADE_FAVORS_FOR_HEIR_SETUP:0 "Коли держава просить нас призначити члена їхньої династії нашим спадкоємцем в обмін на прихильність."
 TRADE_FAVORS_FOR_HEIR_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_HEIR_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_HEIR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_HEIR_3:0 "поросить нас призначити родича їхнього короля нашим спадкоємцем"
 TRADE_FAVORS_FOR_HEIR_4:0 "в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_HEIR_5:0 "Ми раді допомогти нашим союзникам!"
 TRADE_FAVORS_FOR_HEIR_LOG:0 "Держава $ACTOR$ попросила нас призначити члена їхньої династії нашим спадкоємцем в обмін на прихильність."
 TRADE_FAVORS_FOR_HEIR_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_HEIR_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_HEIR_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_HEIR_TITLE:0 "Прохання про призначення родича спадкоємцем"
 OTHER_TRADE_FAVORS_FOR_HEIR_SETUP:0 "Коли держава просить іншу державу призначити члена своєї династії спадкоємцем в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_HEIR_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_HEIR_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_HEIR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_HEIR_3:0 "просить державу $RECIPIENT$ призначити члена своєї династії своїм законним спадкоємцем"
 OTHER_TRADE_FAVORS_FOR_HEIR_4:0 "в обмін на $FAVOR|Y$ прихильності."
 OTHER_TRADE_FAVORS_FOR_HEIR_6:0 "Охоплює почуття невпевненості в завтрашньому дні..."
 OTHER_TRADE_FAVORS_FOR_HEIR_LOG:0 "Держава $ACTOR$ просить державу $RECIPIENT$ призначити члена своєї династії спадкоємцем в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_HEIR_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_HEIR_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_HEIR_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_HEIR_DECLINED_TITLE:0 "Прохання про призначення нашого члена династії спадкоємцем в обмін на прихильність було відхилено"
 TRADE_FAVORS_FOR_HEIR_DECLINED_SETUP:0 "Коли держава відмовляється призначити спадкоємцем члена династії з іншої держави в обмін на прихильність."
 TRADE_FAVORS_FOR_HEIR_DECLINED_HEADER:0 "Прохання про призначення спадкоємця за прихильність відхилено"
 TRADE_FAVORS_FOR_HEIR_DECLINED_1:0 "Держава $RECIPIENT$"
 TRADE_FAVORS_FOR_HEIR_DECLINED_2:0 "відхилила прохання про призначення члена династії держави $ACTOR$ спадкоємцем"
 TRADE_FAVORS_FOR_HEIR_DECLINED_3:0 "в обмін на $FAVOR|Y$ прихильності"
 TRADE_FAVORS_FOR_HEIR_DECLINED_6:0 "Ми не забудемо цього безчестя!"
 TRADE_FAVORS_FOR_HEIR_DECLINED_LOG:0 "Держава $RECIPIENT$ відхилила наше прохання."
 TRADE_FAVORS_FOR_HEIR_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_HEIR_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_HEIR_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_HEIR_CANNOT_RELIGION:0 "§Y$COUNTRY$§! не може мати спадкоємця з іншої релігійної групи."
 TRADE_FAVORS_FOR_HEIR_CANNOT_NON_MONARCHY:0 "§Y$COUNTRY$§! не є монархією."
 TRADE_FAVORS_FOR_HEIR_CANNOT_REGENCY:0 "§Y$COUNTRY$§! наразі має регентську раду."
 TRADE_FAVORS_FOR_HEIR_CANNOT_ALREADY_HAVE_ONE:0 "§Y$COUNTRY$§! вже мають дійсного спадкоємця."
 TRADE_FAVORS_FOR_HEIR_CANNOT_COST:0 "Вам потрібно принаймні §Y$COST$§! прихильності від держави §Y$COUNTRY$§!, щоб попросити їх призначити члена нашої династії своїм спадкоємцем."
 TRADE_FAVORS_FOR_HEIR_CANNOT_OPINION:0 "Вам потрібно принаймні §Y$OPINION$§! думки від держави §Y$COUNTRY$§!, щоб попросити їх призначити члена нашої династії своїм спадкоємцем."
 TRADE_FAVORS_FOR_HEIR_DESC2:0 "Витратьте $FAVOR|Y$ прихильності в обмін на призначення члена нашої династії їхнім спадкоємцем."
 TRADE_FAVORS_FOR_HEIR_DESC:3 "Ми попросимо державу $RECIPIENT|Y$ призначити члена нашої правлячої династії своїм спадкоємцем в обмін на $FAVORS|Y$ прихильності. Це матиме певні наслідки, тому остерігайтеся, оскільки це може призвести до розриву союзів, якщо вони вже крихкі!\n\n- Між державою $RECIPIENT|Y$ і вами буде укладено $TRUCEYEARS$-річне перемир'я.\n- Держави однієї релігії отримають проти вас $AE|R$ агресивного розширення.\n- Держави з такою ж правлячою династією, що й у вас, погіршать свою думку про вас на $OPINIONLOSS|R$."
 TRADE_FAVORS_FOR_HEIR_REQDESC:0 "$ACTOR$ просить нас призначити члена їхньої правлячої династії нашим спадкоємцем в обмін на прихильність. Ви згодні?"
 X_IS_SUBJECT_OF_Y:0 "$COUNTRY|Y$ є суб'єктом держави $OVERLORD|Y$."
 DIPLOMACYACTION_CATEGORY_favors:0 "Прихильність"
 WE_TRADE_FAVORS_FOR_TRUST_TITLE:0 "Обмін прихильності на довіру"
 WE_TRADE_FAVORS_FOR_TRUST_SETUP:0 "Коли ми просимо державу збільшити свою довіру до нас в обмін на прихильність."
 WE_TRADE_FAVORS_FOR_TRUST_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_TRUST_1:0 "Обміняли прихильність на довіру"
 WE_TRADE_FAVORS_FOR_TRUST_2:0 "$MONARCHTITLE$, ми попросили державу $RECIPIENT$"
 WE_TRADE_FAVORS_FOR_TRUST_3:0 "передати нам $TRUST|Y$ довіри"
 WE_TRADE_FAVORS_FOR_TRUST_4:0 "в обмін на $FAVOR|Y$ прихильності."
 WE_TRADE_FAVORS_FOR_TRUST_LOG:0 "Ми попросили державу $RECIPIENT$ передати нам довіру за прихильність."
 WE_TRADE_FAVORS_FOR_TRUST_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_TRUST_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_TRUST_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_TRUST_TITLE:0 "Обмін прихильності на довіру"
 TRADE_FAVORS_FOR_TRUST_SETUP:0 "Коли держава просить у нас довіри в обмін на прихильність."
 TRADE_FAVORS_FOR_TRUST_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_TRUST_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_TRUST_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_TRUST_3:0 "Просить нас про $TRUST|Y$ довіри"
 TRADE_FAVORS_FOR_TRUST_4:0 "в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_TRUST_5:0 "Ми раді допомогти нашим союзникам!"
 TRADE_FAVORS_FOR_TRUST_LOG:0 "Держава $ACTOR$ попросила нас підвищити довіру до неї в обмін на прихильність."
 TRADE_FAVORS_FOR_TRUST_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_TRUST_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_TRUST_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_TRUST_TITLE:0 "Обмін прихильності на довіру"
 OTHER_TRADE_FAVORS_FOR_TRUST_SETUP:0 "Коли держава просить іншу державу підвищити довіру до неї в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_TRUST_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_TRUST_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_TRUST_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_TRUST_3:0 "просить державу $RECIPIENT$ підвищити довіру на $TRUST|Y$"
 OTHER_TRADE_FAVORS_FOR_TRUST_4:0 "в обмін на $FAVOR|Y$ прихильності."
 OTHER_TRADE_FAVORS_FOR_TRUST_6:0 "Охоплює почуття невпевненості в завтрашньому дні..."
 OTHER_TRADE_FAVORS_FOR_TRUST_LOG:0 "Держава $ACTOR$ просить державу $RECIPIENT$ підвищити довіру в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_TRUST_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_TRUST_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_TRUST_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_TRUST_DECLINED_TITLE:0 "Прохання обміну довіри на прихильність відхилено"
 TRADE_FAVORS_FOR_TRUST_DECLINED_SETUP:0 "Коли держава відмовляється збільшити довіру до іншої держави в обмін на прихильність."
 TRADE_FAVORS_FOR_TRUST_DECLINED_HEADER:0 "Прохання про довіру за прихильність відхилено"
 TRADE_FAVORS_FOR_TRUST_DECLINED_1:0 "Держава $RECIPIENT$"
 TRADE_FAVORS_FOR_TRUST_DECLINED_2:0 "відхилила прохання підвищити довіру на $TRUST|Y$"
 TRADE_FAVORS_FOR_TRUST_DECLINED_3:0 "в обмін на $FAVOR|Y$ прихильності"
 TRADE_FAVORS_FOR_TRUST_DECLINED_4:0 "від держави $ACTOR$."
 TRADE_FAVORS_FOR_TRUST_DECLINED_6:0 "Ми не забудемо цього безчестя!"
 TRADE_FAVORS_FOR_TRUST_DECLINED_LOG:0 "Держава $RECIPIENT$ відхилила наше прохання."
 TRADE_FAVORS_FOR_TRUST_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_TRUST_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_TRUST_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_TRUST_CANNOT_COST:0 "Вам потрібно принаймні §Y$COST$§! прихильності від держави §Y$COUNTRY$§!, щоб попросити у них довіри."
 TRADE_FAVORS_FOR_TRUST_CANNOT_ALREADY_MAX:0 "Ви вже повністю довіряєте державі §Y$COUNTRY$§!."
 TRADE_FAVORS_FOR_TRUST_CANNOT_OPINION:0 "Вам потрібно принаймні §Y$OPINION$§! думки від держави §Y$COUNTRY$§!, щоб обміняти прихильність на довіру."
 TRADE_FAVORS_FOR_TRUST_DESC2:0 "Витратьте $FAVOR|Y$ прихильності в обмін на $TRUST|Y$ довіри."
 TRADE_FAVORS_FOR_TRUST_DESC:0 "Ми просимо державу $RECIPIENT|Y$ передати нам $TRUST|Y$ Trust в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_TRUST_REQDESC:0 "$ACTOR$ просить нас збільшити довіру до них на $TRUST|Y$ в обмін на прихильність. Ви згодні?"
 WE_TRADE_FAVORS_FOR_WAR_PREP_TITLE:0 "Прохання про підготовку до війни"
 WE_TRADE_FAVORS_FOR_WAR_PREP_SETUP:0 "Коли ми просимо державу підготуватися до війни в обмін на прихильність."
 WE_TRADE_FAVORS_FOR_WAR_PREP_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_WAR_PREP_1:0 "Попросили підготуватися до війни"
 WE_TRADE_FAVORS_FOR_WAR_PREP_2:0 "$MONARCHTITLE$, ми попросили державу $RECIPIENT$"
 WE_TRADE_FAVORS_FOR_WAR_PREP_3:0 "підготуватися до війни"
 WE_TRADE_FAVORS_FOR_WAR_PREP_4:0 "в обмін на $FAVOR|Y$ прихильності."
 WE_TRADE_FAVORS_FOR_WAR_PREP_LOG:0 "Ми попросили державу $RECIPIENT$ підготуватися до війни в обмін на прихильність."
 WE_TRADE_FAVORS_FOR_WAR_PREP_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_WAR_PREP_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_WAR_PREP_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_WAR_PREP_TITLE:0 "Прохання про підготовку до війни"
 TRADE_FAVORS_FOR_WAR_PREP_SETUP:0 "Коли держава просить нас підготуватися до війни в обмін на прихильність."
 TRADE_FAVORS_FOR_WAR_PREP_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_WAR_PREP_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_WAR_PREP_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_WAR_PREP_3:0 "Просить нас підготуватися до війни"
 TRADE_FAVORS_FOR_WAR_PREP_4:0 "в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_WAR_PREP_5:0 "Ми раді допомогти нашим союзникам!"
 TRADE_FAVORS_FOR_WAR_PREP_LOG:0 "Держава $ACTOR$ просить нас підготуватися до війни в обмін на прихильність."
 TRADE_FAVORS_FOR_WAR_PREP_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_WAR_PREP_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_WAR_PREP_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_TITLE:0 "Прохання про підготовку до війни"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_SETUP:0 "Коли держава просить іншу державу підготуватися до війни в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_3:0 "просить державу $RECIPIENT$ підготуватися до війни"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_4:0 "в обмін на $FAVOR|Y$ прихильності."
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_6:0 "Охоплює почуття невпевненості в завтрашньому дні..."
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_LOG:0 "Держава $ACTOR$ просить державу $RECIPIENT$ підготуватися до війни в обмін на прихильність."
