l_ukrainian: 
 TUT_PART_BAS_SHORT:0 "Основи"
 TUT_CAM_CHAPTER03_DESC:0 "Цей розділ навчить вас §Mдосліджувати§! і §Mколонізувати§! нові землі."
 TUT_CAM_CHAPTER03_BUTTON:0 "Новий Світ"
 TUT_CAM_CHAPTER03_PAGE01_TITLE:0 "§YДослідження (1/8)§!"
 TUT_CAM_CHAPTER03_PAGE01_TEXT:0 "Дослідження та колонізація важлива частина Europa Universalis IV. Відкриття нових земель та заснування в них колоній - відносно мирний шлях розширення вашої імперії. "
 TUT_CAM_CHAPTER03_PAGE01_OBJECTIVES:0 "Клацніть §MДалі§! для продовження"
 TUT_CAM_CHAPTER03_PAGE02_TITLE:0 "§YДослідження (2/8)§!"
 TUT_CAM_CHAPTER03_PAGE02_TEXT:0 "Невідомі землі приховані як §MTerra Incognita§!. Вам необхідно мати §Mдослідника§! або §Mконкістадора§! для переміщення юнітів у територію Terra Incognita. Перш ніж наймати мореплавців чи конкістадорів, необхідно розблокувати ідею §MПодорож у Новий Світ§!."
 TUT_CAM_CHAPTER03_PAGE02_OBJECTIVES:0 "Виберіть ваш флот у провінції §MАндалусія§! для продовження."
 TUT_CAM_CHAPTER03_PAGE03_TITLE:0 "§YTerra Incognita (3/8)§!"
 TUT_CAM_CHAPTER03_PAGE03_TEXT:0 "Дослідники очолюють флоти, а Конкістадори - армії. На чолі обраного флоту знаходиться Explorer Христофор Колумб.\n\n§Yвіддайте наказ вашим кораблям рухатися в території §MTerra Incognita§Y, натиснувши ПКМ на невідому землю.\n\nНе забудьте зняти гру з пузи.§!"
 TUT_CAM_CHAPTER03_PAGE03_OBJECTIVES:0 "Відправте ваш флот у подорож на захід і §Mслідуйте за стрілочкою§! для продовження.§W"
 TUT_CAM_CHAPTER03_PAGE04_TITLE:0 "§YВиснаження (4/8)§!"
 TUT_CAM_CHAPTER03_PAGE04_TEXT:0 "Дослідження може бути небезпечним через виснаження. Якщо кораблі знаходяться на плаву поза зоною підтримки, то вони зазнають пошкоджень від виснаження. У звичайній грі дослідження проводитимуться з меншою інтенсивністю, вам необхідно буде повертати кораблі в порти для ремонту. Для навчання морське виснаження дещо знижене."
 TUT_CAM_CHAPTER03_PAGE04_OBJECTIVES:0 "Відправте ваш флот у подорож на захід і §Mслідуйте за стрілочкою§! для продовження.§W"
 TUT_CAM_CHAPTER03_PAGE05_TITLE:0 "§YНеколонізована земля (5/8)§!"
 TUT_CAM_CHAPTER03_PAGE05_TEXT:0 "Ви можете відпратити §Mколоніста§! в неколонізовану землю для її подальшого заселення. Дальність створення колонії залежить від §Mколоніальної дистанції§!. На неколонізованій території може проживати плем'я місцевих §Mтуземців§!, яке може ускладнити процес колонізації. Ймовірніше за все, туземці із високою агресивністю нападатимуть на вашу колонію."
 TUT_CAM_CHAPTER03_PAGE05_OBJECTIVES:0 "Клацніть §MТортуга§! для продовження."
 TUT_CAM_CHAPTER03_PAGE06_TITLE:0 "§YНеколонізована земля (6/8)§!"
 TUT_CAM_CHAPTER03_PAGE06_TEXT:0 "Колонії можуть бути засновані тільки тими націями, що мають доступ до §Mколоністів§!. Ви можете отримати колоністів шляхом розблокування ідей груп §Mдослідницьких§! та §Mекспансійних§!. Коли ви відправили колоніста на вільну територію, вам необхідно зачекати доки він туди добереться. Щойно прибувши, колоніст розпочне побудову і розширення поселення.\n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_CAM_CHAPTER03_PAGE06_OBJECTIVES:0 "Клацніть §MВідправити§! для продовження."
 TUT_CAM_CHAPTER03_PAGE07_TITLE:0 "§YКолонії (7/8)§!"
 TUT_CAM_CHAPTER03_PAGE07_TEXT:0 "Новоутвореній колонії необхідно деякий час, щоб вона виросла і могла сама себе забезпечувати. Кількість поселенців у колонії ростиме щомісячно, аж поки не досягне тисячі - тоді колонія стає містом. Присутність колоніста у колонії збільшує зростання популяції поселенців."
 TUT_CAM_CHAPTER03_PAGE07_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_CAM_CHAPTER03_PAGE08_TITLE:0 "§YЗавершення навчальної частини гри (8/8)§!"
 TUT_CAM_CHAPTER03_PAGE08_TEXT:0 "Вітаємо! Це повідомлення означає завершення розділу Новий Світ із Кампанії Еспанської імперії, а також і на завершення навчання в цілому. Тепер ви повністю збагнули основи Europa Universalis IV!\n\n§YЯкщо ви щось призабудете під час звичайної кампанії - ви можете скористатися системою підказок.§!"
 TUT_CAM_CHAPTER03_PAGE08_OBJECTIVES:0 "Отримуйте §Mзадоволення§! від гри."
 TT_TUTORIAL_DISABLED:0 "§MВимкнено під час цієї частини тренувального навчання.§!" 
