l_ukrainian:
 NO_EDICT_PLAIN:0 "Немає едиктів"
 desc_wokou_pirate_stronghold_friendly:0 "На превеликий жаль всіх наших сусідів у цій провінції знаходиться піратська фортеця під нашим захистом."
 wokou_pirate_stronghold_hostile:0 "Ворожа піратська фортеця"
 desc_wokou_pirate_stronghold_hostile:0 "Серйозні успіхи дозволили влаштуватися їм у цій провінції. Однак вони зовсім не зацікавлені ділитися своєю владою над морськими шляхами."
 desc_empire_of_china_nomadic_border:0 "Зростання потужної Орди на наших кордонах кидає похмуру тінь на наше право володіння Небесним мандатом. Заради процвітання країни ми повинні заспокоїти цих прикордонних кочовиків."
 wokou_closed_ending:0 "Укріплене узбережжя"
 desc_wokou_closed_ending:0 "Ми покінчили з піратським пануванням уздовж узбережжя і заборонили всім рибалкам носити зброю."
 wokou_no_effort_ending:0 "Кінець Вако"
 desc_wokou_no_effort_ending:0 "Інтенсивне зростання піратської активності в наших провінціях скінчилося."
 wokou_turned_to_navy:0 "Пірати перетворилися в моряків"
 desc_wokou_turned_to_navy:0 "Ми наділили необхідними повноваженнями лідерів піратських банд на наших землях і навели порядок, надавши їм титули і місце в нашій ієрархії. В результаті наш флот став сильнішим, ніж будь-коли."
 urbanization_in_order:0 "Порядне товариство"
 desc_urbanization_in_order:0 "Ми зробили все можливе, щоб зберегти порядок і традиції в епоху швидкого зростання міського населення і урбанізації. Ми ввели суворі правила щодо того, хто може рухатися, де, або виконувати певну роботу. В результаті ми дивимося вперед, як єдине, хоча дещо й розшароване, суспільство."
 urbanization_middle_road:0 "Урбанізація"
 desc_urbanization_middle_road:0 "В останні десятиліття спостерігається помітне зростання наших міст у результаті збільшення врожайності та швидкої міграції населення з сільської місцевості в міста-фортеці, що знаходяться під нашим контролем."
 urbanization_social_mobility:0 "Соціальна мобільність"
 desc_urbanization_social_mobility:0 "Населення наших міст стрімко зростає, оскільки все більше і більше людей шукають нове життя під стінами наших замків. Це надало позитивнішу динаміку в соціальній мобільності, і ми намагаємося підтримати цю тенденцію, зробивши на ній акцент у нашій власній політиці."
 movement_restrictions:0 "Обмеження пересування"
 desc_movement_restrictions:0 "Ми вирішили насильно регулювати переселення людей у країні. Були створені реєстри і тепер переселення вимагає дозволу наших чиновників."
 urban_growing_pains:0 "Некероване зростання"
 desc_urban_growing_pains:0 "Величезний приплив людей з сільської місцевості в це місто, швидше за все, буде дуже корисним у довгостроковій перспективі, але в даний час воно відчуває проблеми у всьому, починаючи від правопорядку і до основних санітарних умов."
 support_of_ikkos:0 "Підтримка Ікко-Іккі"
 desc_support_of_ikkos:0 "У нас є підтримка палких Ікко-ікки, буддійських громад з великою автономією і впливом як у нашій країні, так і у наших сусідів."
 ikkos_empowered:0 "Храмові міста"
 desc_ikkos_empowered:0 "Храмові міста буддистів вільних земель є особливістю нашої держави, яку ми не можемо втратити. Вони справляють значний вплив на нашу країну і серйозно сприяють зростанню нових міських центрів."
 ikkos_crushed:0 "Затвердження повноважень"
 desc_ikkos_crushed:0 "Ми розгромили храмові громади буддистів вільних земель та відновили свою одноосібну владу в країні."
 incident_end_dejima:0 "Закриті порти"
 desc_incident_end_dejima:0 "Ми свідомо обмежували і контролювали, наскільки можливо, західний вплив на звичайних людей країни. Хоча ми допускаємо торгівлю заради вигоди, ми не приймемо жодної з їхніх згубних ідей."
 incident_end_trade_with_west:0 "Західна торгівля"
 desc_incident_end_trade_with_west:0 "Хоча ми і намагаємося тримати її під суворим контролем, ми виграємо від торгівлі з європейськими морськими країнами в нашому регіоні."
 incident_end_open_ports:0 "Приплив західних ідей"
 desc_incident_end_open_ports:0 "Ми відкрили наші порти не тільки для західної торгівлі, але й для західної науки та ідей. Тільки шляхом ретельного вивчення ми зможемо взяти найкращі ідеї та інтегрувати їх зі своїми, залишивши найгірші частини свого суспільства на узбіччі."
 neo_confucian_administration:0 "Нео-конфуціанська адміністрація"
 desc_neo_confucian_administration:0 "Ухвалення нео-конфуціанської ідеології вченими та чиновниками в нашій країні привело до революції в бюрократичній ефективності. Завдяки перевазі заслуг над походженням, ми зміцнили контроль над більшістю наших провінцій."
 neo_confucianism_middle_road:0 "Поширення знань"
 desc_neo_confucianism_middle_road:0 "Виникнення інтересу до нео-конфуціанської ідеології призвело до набагато більшого розповсюдження знань у нашій країні. Хоча з часом ідеали змінюються, бурхливе зростання грамотності та філософських роздумів залишило серйозний відбиток на нашому суспільстві."
 traditionalist_administration:0 "Традиціоналізм"
 desc_traditionalist_administration:0 "Ми виступаємо як сильні прихильники традиціоналізму та честі перед обличчям надмірного застосування раціоналізму в урядовому апараті та суспільстві в цілому. Заслуги – велика річ, але без древніх зв'язків традиції та лояльності, держава не може функціонувати!"
 supported_loyal_retainers:0 "Підтримка лояльної знаті"
 desc_supported_loyal_retainers:0 "Перед обличчям нових людей в адміністрації ми вирішили чітко показати, що ми, як і раніше, віддаємо перевагу старим лояльним сім'ям, які завжди підтримували нас."
 shinto_rational_administration:0 "Меритократія"
 desc_shinto_rational_administration:0 "Ми робимо все можливе для того, щоб підвищити вплив заслуг у владі, замість призначення посад по праву народження."
 shinto_self_made_men:0 "Піднесена людина"
 desc_shinto_self_made_men:0 "Ми заохочуємо появу нових людей, які самі прийшли до влади в нашій державі."
 shinto_support_for_court:0 "Підтримка імператорського двору"
 desc_shinto_support_for_court:0 "Ми протегуємо установам Імператорського двору. Джерелу всієї небесної влади в цих землях."
 nanban_production_investments:0 "Інвестиції у виробництво"
 desc_nanban_production_investments:0 "Ми заохочуємо наших ремісників вчитися виробляти екзотичні товари, які жителі Заходу зараз продають у наших портах."
 nanban_dependent_on_imports:0 "Залежність від імпорту"
 desc_nanban_dependent_on_imports:0 "Ми залишили виробництво багатьох промислових товарів іншим, дозволяючи нашим торговцям компенсувати цю різницю."
 rangaku_incident_modifier:0 "Ранґаку"
 desc_rangaku_incident_modifier:0 "Ми заохочуємо вивчення західних рукописів. У той час, як деякі бояться, що це завдає шкоди згуртованості нашого суспільства, інші стверджують, що речі, яким ми можемо навчитися у Заходу, настільки цінні, що ми не можемо дозволити собі зробити інакше."
 perfecting_the_musket:0 "Удосконалення мушкета"
 desc_perfecting_the_musket:0 "Наші зброярі мають репутацію виробників високої якості, на відміну від більшості інших."
 guns_commonplace:0 "Поширення вогнепальної зброї"
 desc_guns_commonplace:0 "Зброя тепер настільки поширена, що наші армії стали досить досвідченими в її використанні. Ми витратили значні ресурси на цю нову технологію, не відмовляючись від старих традицій."
 traditional_warfare:0 "Приклад Бусідо"
 desc_traditional_warfare:0 "Ми вдосконалили традиції та шляхетність, як способів ведення війни, так і воїнів."
 firearm_restrictions:0 "Обмеження вогнепальної зброї"
 desc_firearm_restrictions:0 "Ми зробили все можливе, щоб поширення вогнепальної зброї обмежувалося тільки нашими професійними солдатами."
 shinto_events.isolation.tt:0 "Цей вибір просуне вас у напрямку §Yізоляції§! наприкінці цього §Yінцідента§!."
 shinto_events.open.tt:0 "Цей вибір просуне вас у напрямку §Yвідкритості§! наприкінці цього §Yінцідента§!."
 shinto_events.much.openness.tt:0 "Цей вибір різко просуне вас у напрямку §Yвідкритості§! наприкінці цього §Yінцидента§!."
 shinto_events.much.isolation.tt:0 "Цей вибір різко просуне вас у напрямку §Yізоляції§! наприкінці цього §Yінцидента§!."
 sashidashi_modifier:0 "Здійснений Сашідаші"
 desc_sashidashi_modifier:0 "За наказом сьоґуна ми провели підрахунок всіх людей та майна в нашій країні."
 shinto_local_christian_mission:0 "Місцева християнська місія"
 desc_shinto_local_christian_mission:0 "Ми дозволили християнській спільноті рости в цій провінції. У той час, як збільшення припливу людей та благодійних організацій християн допоможе провінції розвиватися, це також призведе до посилення релігійної напруженості."
 pirate_fighting:0 "Боротьба з піратством"
 pirate_haven:0 "Піратська бухта"
 christian_ruler:0 "Християнський правитель"
 desc_christian_ruler:0 "Хоча наша країна й слідує, багато в чому, синтоїстськими шляхами, наш правитель хрестився та протегує християнству при дворі."
 shinto_christian_decision_title:0 "Хрещений правитель"
 shinto_christian_decision_desc:0 "Християнська громада в наших землях стає все сильніше, і деякі вважають, що прийшов час вітати цього західного Бога особисто. Якщо наш правитель звернеться в християнство, деякі можуть порахувати це образою традицій, але це також може принести значні вигоди."
 shinto_kirishitan_realm:0 "Християнська держава"
 desc_shinto_kirishitan_realm:0 "Християни стали звичайним явищем у нашому королівстві і при нашому дворі. Члени нашої королівської сім'ї часто моляться християнському богу, і багато хто з наших міністрів тепер є християнами. Ми інтегрували цю іноземну віру з нашими сінтоїськими, буддійськими та конфуціанськими традиціями."
 christianity_defeated:0 "Християнство переможене"
 desc_christianity_defeated:0 "Ми захистили наші споконвічні традиції і скоротили руйнівне поширення християнських ідей серед наших людей."
 significant_christian_presence:0 "Значна християнська присутність"
 desc_significant_christian_presence:0 "Християнство стало однією з релігій країни, так само, як і синтоїзм і буддизм, і, хоча ці релігійні громади все ще є значною меншістю, воно відродило обмін ідеями і філософією в нашій державі."
 rise_of_the_daimyo:0 "Піднесення даймьо"
 desc_rise_of_the_daimyo:0 "Ми затвердили свої власні сили перед обличчям наростаючих спроб централізації сьоґунату."
 growing_power_of_the_shogunate:0 "Зростаюча сила сьоґунату"
 desc_growing_power_of_the_shogunate:0 "Нам вдалося знайти компроміс між вірними прихильниками і відкритими бунтівниками проти сьоґунату. Зберігаючи простір для маневрів, ми будемо процвітати."
 adherence_to_shogunate:0 "Прихильність сьоґунату"
 desc_adherence_to_shogunate:0 "Ми зуміли відповідати зростаючим вимогам сьоґунату і тепер вважаємося одними з найпочесніших даймьо в Японії."
 shinto_religious_tensions:0 "Релігійне напруження"
 desc_shinto_religious_tensions:0 "Ми дозволяємо християнським місіонерам поширювати свою віру на наших землях. Хоча, як здається, є багато одурманених цією новою вірою, є й інші, що глибоко її заперечують."
 shinto_harsh_initial_stance_on_christianity:0 "Обмежувальна початкова позиція християнства"
 desc_shinto_harsh_initial_stance_on_christianity:0 "Наші перші контакти з християнськими місіонерами не зіграли на їхню користь. Ми жорстко обмежили будь-яку християнську місіонерську діяльність у нашій країні."
 in_defence_of_shintoism:0 "Сувора позиція щодо місіонерів"
 desc_in_defence_of_shintoism:0 "Ми продовжили прислухатися до порад традиціоналістів, обмежуючи християн у поширенні їхньої віри в нашій країні та шануючи шляхи наших предків."
 shinto_strenghtened_local_traders:0 "Посилення синтоїстських ремісників"
 desc_shinto_strenghtened_local_traders:0 "Замість того, щоб дозволити християнським товарам і торговцям наводнити нашу країну, ми вирішили зміцнити наших місцевих торговців і одновірців."
 cadastral_survey_modifier:0 "Земельний кадастр"
 desc_cadastral_survey_modifier:0 "Ми дозволили нашому сюзерену провести огляд володінь нашої держави, збільшивши його безпосередній вплив на наших землях."
 nanban_port:0 "Порт Нанбан"
 desc_nanban_port:0 "Цей порт є центром торгівлі з європейськими судами."
 nanban_trade_restrictions:0 "Нанбанські торгові обмеження"
 desc_nanban_trade_restrictions:0 "Ми встановили ряд жорстких обмежень на торгівлю з Заходом."
 shinto_converted_to_christianity:0 "Християнська Японія"
 desc_shinto_converted_to_christianity:0 "Ми змінили державну релігію Японії на християнство, і тепер отримуємо підтримку багатьох християнських меншин, існуючих у країні."
 shinto_converted_to_mahayana:0 "Буддійська Японія"
 desc_shinto_converted_to_mahayana:0 "Тепер офіційною державною релігією Японії є буддизм чистої землі, який дозволив інтегрувати громади ікко-ікки в нашу країну настільки, наскільки це можливо. Буддійські меншини по всій Японії допомагають нам здійснити перехід до землі їхньої мрії."
 shinto_incident_wokou_start.tt:0 "Це розпочне інцидент §YВако§!."
 shinto_incident_urbanisation.tt:0 "Це розпочне інцидент §YУрбанізація§!."
 shinto_incident_ikko.tt:0 "Це розпочне інцидент §YІкко-ікки§!."
 shinto_incident_confucianism.tt:0 "Це розпочне інцидент §YНеоконфуціанство§!."
 shinto_incident_nanban.tt:0 "Це розпочне інцидент §YНамбан§!."
 shinto_incident_tanegashima.tt:0 "Це розпочне інцидент §YПоширення вогнепальної зброї§!."
 shinto_incident_kirishitan.tt:0 "Це розпочне інцидент §YХристиянство§!."
 shinto_incident_shogunate_authority.tt:0 "Це розпочне інцидент §YУправління сьоґунату§!."
 shinto_events.1.t:0 "Пірати Вако та торгівля Бахан"
 shinto_events.1.d:0 "У неспокійні часи місцеві рибалки і моряки часто вдавалися до піратства і робили набіги на прибережні землі наших сусідів. Остання хвиля подібних набігів завершилася підписанням угоди ери Какіцу, згідно з якою, деякі даймьо отримали право направляти певне число торгових експедицій в іноземні порти.\nВтім часи і співвідношення сил змінюються, і 'торгівля Бахан' знову стала поширеним заняттям серед наших підданих. Деякі лорди самі почали або фінансувати, або брати активну участь у рейдах. Тим часом жертви цих піратів 'Вако' почали пропонувати титули і нагороди тим, хто зможе зупинити цю загрозу."
 shinto_events.1.a:0 "Ми мусимо самі контролювати торгівлю Бахан!"
 shinto_events.1.b:0 "Ми мусимо зупинити цих злодіїв!"
 shinto_events.2.t:0 "Реакція на набіги Вако"
 shinto_events.2.d:0 "Піратство і число нальотів продовжують зростати. Учасники різняться – від простих рибалок і другорядних лордів – до самих мешканців, постраждалих від нальотів на узбережжя. Згодом впливові кола, як вдома, так і за кордоном, стали патронувати над успішними піратськими ватажками, і тепер наші острови і береги буквально рояться від піратських фортець.\nЗараз сусідні держави стали діяти жорсткіше. Вони готуються до прибуття піратів і активно полюють на піратських ватажків. [Root.Monarch.GetTitle] отримали вельми однозначні загрози від зарубіжних посланників, що, якщо ми не будемо діяти рішуче, вони будуть розглядати наші кораблі, як ворожі і припускати, що вони піратські."
 shinto_events.2.a:0 "Ми мусимо шукати фінансування у іноземних інвесторів."
 shinto_events.2.b:0 "Ми можемо закрити очі на все це."
 shinto_events.2.b.tt:0 "Це розсердить всі країни в морських межах досяжності."
 shinto_events.2.c:0 "Дозвольте нам стати на захист іноземних держав."
 shinto_events.2.c.tt:0 "Це догодить всім країнам у морських межах досяжності."
 shinto_events.3.t:0 "Піратська фортеця в провінції [save_wokou_target.GetName]"
 shinto_events.3.d:0 "Лорди провінції [save_wokou_target.GetName] стали відомі як безстрашні корсари, а їхнє багатство і відданість принесли їм небачені вплив і владу. На острові неподалік від наших берегів один особливо успішний піратський лідер побудував фортецю, що повністю утримується за рахунок його рейдів. Захоплення такої фортеці, ймовірно, обійдеться нам дорого, але він відкрито знущається над нашими власними морськими амбіціями."
 shinto_events.3.a:0 "А яке нам діло, що він наживається на чужинцях?"
 shinto_events.3.b:0 "Можливо, він зможе послужити нашій державі..."
 shinto_events.3.c:0 "Ми маємо вирвати ці бур'яни розкладання з нашого саду!"
 shinto_events.4.t:0 "Кайзокушу перетворено в суйгун"
 shinto_events.4.d:0 "З часом нам вдалося перетворити Вако з беззаконних та розрізнених груп піратів у повноцінний флот під нашим командуванням. [Root.Monarch.GetTitle] прийняли на службу їхніх лідерів, які здобули вплив і владу в нашій державі. Команди і кораблі, що знаходяться під нашим командуванням тепер професійна та досвідчена сила, здатна робити нальоти, битися на морі й навіть здійснювати невеликі вторгнення на ворожу територію.\nУсюди – від тихих [saved_neighbor.GetAdjective]їх міст – до багатолюдних портів держави [save_wokou_target.GetName], наш флот вселяє страх і повагу."
 shinto_events.4.a:0 "Ми перетворили піратів на моряків."
 shinto_events.5.t:0 "Кінець Вако"
 shinto_events.5.d:0 "Багато хто сумнівався в нашому ентузіазмі в боротьбі з цим лихом морів і узбереж. Деякі і зовсім говорили, що піратство і грабежі закладено в [Root.GetAdjective]их рибалок самою природою, і що ми закривали очі на цю знехтувану практику.\nОднак, з часом наші сусіди навчилися захищати свої береги, вистежувати і показово карати тих, хто насмілювався порушувати мир. Частота набігів вако значно знизилася після раптового сплеску кілька років тому, що мало вплинуло на [Root.GetAdjective]ий народ."
 shinto_events.5.a:0 "Порядок відновлено."
 shinto_events.6.t:0 "Захищені береги"
 shinto_events.6.d:0 "Наші жорсткі зусилля по боротьбі з потенційними піратами, грабіжниками та контрабандистами серед населення наших узбереж призвели до майже повної зміни морської політики. [Root.Monarch.GetTitle] видали указ, відповідно до якого рибалкам заборонено володіти зброєю, а всі судна регулярно обшукують. Суворі закони і положення тепер застосовуються до всіх, хто буде пересуватися морем, а наша нова берегова охорона дозволила нам повністю контролювати наші володіння. Колишні жертви прибережних набігів у захваті і, у свою чергу, віддають нам великі почесті і нагороди за надання допомоги у збереженні миру."
 shinto_events.6.a:0 "Порядок відновлено."
 shinto_events.7.t:0 "Йокамачі"
 shinto_events.7.d:0 "У все більш ворожому світі безпека всередині замку – це одночасно і захищеність, і можливий заробіток. Протягом багатьох років самураї покидали свої сільські домівки та селилися в містах під стінами замків своїх панів, разом із торговцями і ремісниками. Наша столиця, [Root.Capital.GetCapitalName], не виняток, і її зростання стало джерелом занепокоєння для наших управлінців.\nНа розвиток інфраструктури, ймовірно, знадобляться нові кошти, якщо ми хочемо знизити ризик пожеж і епідемій."
 shinto_events.7.a:0 "Вони отримають те, що вимагають."
 shinto_events.7.b:0 "Ввести обмеження на переселення в столицю [Root.Capital.GetCapitalName]."
 shinto_events.8.t:0 "Селяни мігрують у столицю [Root.Capital.GetCapitalName]"
 shinto_events.8.d:0 "Зі зростанням чисельності сільського населення, з кожним поколінням зменшується розмір індивідуального земельного наділу фермера. Навіть з урахуванням зростання врожайності, деякі фермери не в змозі прожити за рахунок своїх ділянок. Замість цього, багато хто з них приходить до міста, посилюючи проблеми столиці [Root.Capital.GetCapitalName].\nЗемлевласники скаржаться та благають нас посилити громадський порядок. Вони рішуче рекомендують нам ввести закони, що обмежують переміщення людей у нашій державі."
 shinto_events.8.a:0 "Постановити, що жодна людина не може переміщатися без дозволу."
 shinto_events.8.b:0 "Ми не можемо зупинити зростання міст."
 shinto_events.9.t:0 "Торгові монополії"
 shinto_events.9.d:0 "Зростання міст призвело до швидкого збільшення влади давніх ремісничих гільдій Дза. В цілому хаотична ситуація в нашій країні також означала, що вони все частіше покладаються на власні сили в питаннях безпеки. Зараз храми, землевласники і самураї об'єднані в гільдії. Але вони нажили й ворогів.\nДеякі люди благають, щоб [Root.Monarch.GetTitle] виступили проти гільдій і відкрили економіку для будь-якого, у кого є до того здібності. Інші стверджують, що ми повинні принаймні надавати монополії та привілеї іншим, не пов'язаним з гільдіями людям."
 shinto_events.9.a:0 "Ми скасуємо старі правила, які їх годують!"
 shinto_events.9.b:0 "Монополії добре працюють, але ми не повинні надавати такі права, ґрунтуючись лише на традиціях."
 shinto_events.9.c:0 "Ми повинні захищати домовленості наших предків."
 shinto_events.10.t:0 "Соціальна стабільність"
 shinto_events.10.d:0 "Щоб уникнути можливих загроз порядкам, які встановилися в нашому суспільстві, що стрімко урбанізується, ми ввели ряд строгих законів. Ці правила і положення обмежують небажану соціальну і навіть фізичну мобільність. Таким чином, нам вдалося зберегти честь і стабільність, які оберігали наше суспільство протягом багатьох років."
 shinto_events.10.a:0 "Порядок відновлено."
 shinto_events.11.t:0 "Зростання міських класів"
 shinto_events.11.d:0 "Наша держава пройшла період швидкої урбанізації відносно без втрат. Такі міста, як [Root.Capital.GetCapitalName], розрослися і стали значно більшими. Все більше населення живе за рахунок торгівлі, ремесел і військового вміння, а не праці на земельному наділі."
 shinto_events.11.a:0 "Нас чекають часи процвітання."
 shinto_events.12.t:0 "Соціальна мобільність"
 shinto_events.12.d:0 "Зростання населення і стрімка урбанізація призвели до значної соціальної мобільності в нашому суспільстві. Ми заохотили подібні тенденції заради створення динамічнішого і, можливо, нестабільного суспільства. Вже зараз можна бачити, як через кілька поколінь найпоширенішою працею буде не робота в полі, а служба в адміністрації, торгівля або військове ремесло."
 shinto_events.12.a:0 "Часи змінюються."
 shinto_events.13.t:0 "Буддизм Чистої Землі"
 shinto_events.13.d:0 "У смутні часи все більше людей звертається до релігії в пошуку підтримки і захисту. Буддизм існував пліч-о-пліч із синтоїзмом вже давно, але останнім часом кількість послідовників різко зросла. Все більше буддистських традицій входять у повсякденне життя [Root.GetAdjective]ого народу.\nНадія на порятунок і соціальна мобільність у середовищі послідовників Буддизму Чистої Землі приваблює безліч людей. По всій країні відкриваються нові храми, що утримуються на пожертви багатих і бідних."
 shinto_events.13.a:0 "Цей запал надихає! Давайте протегувати цим храмам. "
 shinto_events.13.b:0 "Важко щось протиставити твердим переконанням віруючих."
 shinto_events.13.c:0 "Обмежимо все, що наділяє бідних владою."
 shinto_events.14.t:0 "Дзінайматі"
 shinto_events.14.d:0 "Спільноти віруючих, Ікко-Іккі, почали селитися в невеликих містечках навколо великих буддистських храмів. Ці міста не тільки володіють релігійним впливом, а й мають свої війська, що складаються з найрізноманітніших людей – від самураїв і дрібних землевласників – до озброєних селян і ченців. Комуни Ікко-Іккі представляють собою альтернативну владу не тільки сьоґунату, а й будь-якому даймьо, контролюючому навколишні землі.\nОдна така спільнота виникла навколо храму в провінції [ikko_province.GetName], і, хоча ми могли б скористатися їхньою підтримкою, така потужна суміш релігійного завзяття, озброєних людей і самоврядування становить загрозу даймьо."
 shinto_events.14.a:0 "Ми повинні випалити це осине гніздо."
 shinto_events.14.b:0 "Спробуємо співпрацювати разом з цими арміями правовірних."
 shinto_events.14.c:0 "Розпорядитися побудувати більше навколохрамових міст."
 shinto_events.15.t:0 "Соціальна напруженість"
 shinto_events.15.d:0 "Ікко-ікки в наших володіннях стали сильніші, чисельніші і, найголовніше, сміливіші. Наші чиновники повідомляють, що часом податківці з числа Іккі встигають раніше них збирати податки з сіл, а торговці більше не відчувають себе в безпеці, подорожуючи по землях, підконтрольних фанатикам. Ікко-ікки стали настільки могутні, що багато хто почав сумніватися в необхідності таких значних привілеїв для них."
 shinto_events.15.b:0 "Вони не можуть поширюватися за межі своїх нинішніх кордонів."
 shinto_events.15.c:0 "Це їхнє право."
 shinto_events.15.a:0 "Прийшов час розчавити цих селян!"
 shinto_events.16.t:0 "Кінець релігійного самоврядування"
 shinto_events.16.d:0 "Ми нарешті зуміли приструнити Ікко-ікки і міста, що знаходяться під їхнім контролем. Селяни були роззброєні, і знову лише наші представники мають право брати мито, збирати податки і виводити військо проти зовнішніх агресорів."
 shinto_events.16.a:0 "Порядок відновлено."
 shinto_events.17.t:0 "Паралельна влада"
 shinto_events.17.d:0 "Схоже, спільноти Іккі так тут і залишаться. Хоч ми і намагалися зберегти владу за собою, значні привілеї були подаровані дзінаіматі і, схоже, вони продовжать відігравати суттєву роль у нашому суспільстві."
 shinto_events.17.a:0 "Амітабха."
 shinto_events.18.t:0 "Підтримка Ікко-Іккі"
 shinto_events.18.d:0 "Ми постійно опікувалися зростанню храмових громад, і таким чином ми прийшли до асоціації з Ікко-Іккі. Лідери буддійських храмових громад мають великий вплив у нашому суспільстві, але й [Root.Monarch.GetTitle] знайшли в них затятих прихильників."
 shinto_events.18.a:0 "Амітабха."
 shinto_events.19.t:0 "Моральне керівництво в добу сум'яття"
 shinto_events.19.d:0 "Багато з великих японських даймьо самі проклали собі шлях до вершин влади або залежать від відданості такого роду людей. Однак, наші старі моральні норми наполягають на важливості лінії спадкоємства, відданості і соціального устрою, в основі якого лежить Імператорський двір. Конфуціанські мислителі якраз вивчають вчення Чжу Сі, сподіваючись знайти в них настанови з управління країною.\nЦей недавній інтерес до нео-конфуціанства висловився в чотирьох книгах, заснованих на стародавній класиці, що формулює прийнятні норми моралі, що однаково підходять для місцевих правителів і простолюдинів."
 shinto_events.19.a:0 "Давайте протегувати закладам Імператорського двору."
 shinto_events.19.b:0 "Ми маємо прагнути залучити мислителів цього нового напрямку моральної філософії."
 shinto_events.20.t:0 "Походження і привілеї"
 shinto_events.20.d:0 "Поширення нео-конфуціанських ідеалів у нашому суспільстві привело до того, що ряд людей невисокого походження отримав серйозний вплив в інтелектуальній сфері. Один з найвидатніших учених цих років – син ронина, і, поряд з іншими конфуціанськими вченими, він, за допомогою публічних лекцій і поширення книг, написаних простою мовою, намагається зробити навчання доступнішим.\nБагато в чому – це виклик старому громадському порядку, де навчання було привілеєм, доступним сім'ям знатного походження."
 shinto_events.20.a:0 "Це ініціатива, яку ми мусимо підтримати."
 shinto_events.20.b:0 "Ми не можемо допустити, щоб суспільному порядку погрожували таким чином!"
 shinto_events.21.t:0 "Меритократія"
 shinto_events.21.d:0 "З малих років [Root.Monarch.GetName] вивчає конфуціанські тексти і слухає нео-конфуціанські лекції. Тепер [Root.Monarch.GetSheHe] [Root.Monarch.GetTitle] держави [Root.GetName] і має можливість втілити ці філософські принципи в життя. Амбіційність проекту полягає у викоріненні некомпетентних людей, що володіють владою в нашій країні виключно через своє походження і родинні зв'язки.\nБезумовно, наші вірні васали, ймовірно, побачать у цьому невдячність і необґрунтовану ворожість."
 shinto_events.21.a:0 "Керівним принципом повинна бути заслуга."
 shinto_events.21.b:0 "Ми повинні підтримувати лояльних нам людей."
 shinto_events.22.t:0 "Нео-конфуціанська адміністрація"
 shinto_events.22.d:0 "Ми шукали нову філософію правління в навчанні Чжу Сі та китайських традиціях не-оконфуціанства. Ідеали, які стали міцною основою не тільки для нашої бюрократії, а й для нашого суспільства в цілому. Раціональне мислення, широке поширення грамотності і перевагу гідностей над походженням дозволили [Root.GetAdjective]ому народу побудувати сильну державу навіть в епоху потрясінь."
