l_english:
#TODO
 #Scripted effects and triggers here should probably be ported into coded triggers and effects for the sake of localization... 

 ME_GENERAL____:0 "§YГенерал§! додатково набуде "
 ME_GENERAL_2_3_2_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2_3_2_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3_2_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3_2_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3_3_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2_3_3_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3_3_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3_3_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3__:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_3_3__1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3__2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3__3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3_1_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3_3_1_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3_1_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3_1_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3_2_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3_3_2_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3_2_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3_2_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3_3_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3_3_3_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3_3_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_3_3_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "

 
 ME_add_0.5_years_of_trade_income:0 "Плюс §G6§! місяців доходів від §Yторгівлі§!."
 ME_add_0.75_years_of_trade_income:0 "Плюс §G9§! місяців доходів від §Yторгівлі§!."
 ME_add_1_years_of_trade_income:0 "Плюс §G1§! рік доходів від §Yторгівлі§!."
 ME_add_1.5_years_of_trade_income:0 "Плюс §G9§! ісяців доходів від §Yторгівлі§!."
 ME_add_2_years_of_trade_income:0 "Плюс §G2§! роки доходів від §Yторгівлі§!."
 ME_add_3_years_of_trade_income:0 "Плюс §G3§! роки доходів від §Yторгівлі§!."
 ME_add_4_years_of_trade_income:0 "Плюс §G4§! роки доходів від §Yторгівлі§!."
 ME_add_5_years_of_trade_income:0 "Плюс §G5§! років доходів від §Yторгівлі§!."
 ME_add_6_years_of_trade_income:0 "Плюс §G6§! років доходів від §Yторгівлі§!."
 ME_add_7_years_of_trade_income:0 "Плюс §G7§! років доходів від §Yторгівлі§!."
 ME_add_8_years_of_trade_income:0 "Плюс §G8§! років доходів від §Yторгівлі§!."
 ME_add_9_years_of_trade_income:0 "Плюс §G9§! років доходів від §Yторгівлі§!."
 ME_add_10_years_of_trade_income:0 "Плюс §G10§! років доходів від §Yторгівлі§!."
 ME_ADD_ARMY_TRADITION_OR_MIL_POWER:0 "Усі надлишкові бали §Yіійськових традицій§! будуть перетворені на §G3§! бали §Yвійськової сили§! за 1 бал §Yвійськових традицій§!."
 
 EVENT_INSIGHT_OPT_1:0 "§MВаріант 1§!:"
 EVENT_INSIGHT_OPT_2:0 "§MВаріант 2§!:"
 EVENT_INSIGHT_OPT_3:0 "§MВаріант 3§!:"
 EVENT_INSIGHT_OPT_4:0 "§MВаріант 4§!:"
 EVENT_INSIGHT_OPT_5:0 "§MВаріант 5§!:"
