l_ukrainian:
 ONE_TIME_COST:0 "Одноразова виплата"
 HRE_VOTE:0 "Голосувати"
 PAPACY_AGE:0 "Вік:"
 SORT_BY_AGE:0 "Сортувати за віком"
 SORT_BY_HOME:0 "Сортувати за рідними провінціями"
 CONTENTVIEW_HEADER:0 "Встановлений контент"
 CONTENTVIEW_ACTIVE:0 "Увімкнено"
 CONTENTVIEW_INACTIVE:0 "Вимкнено"
 CONTENTVIEW_BROWSE:0 "Огляд..."
 CONTENTVIEW_DLC:0 "DLC"
 CONTENTVIEW_MOD:0 "Мод"
 TRADE_GOODS:0 "Виробництво"
 TRADEGOODS_LEADER_BONUS:0 "Бонус лідера виробництва:"
 MUSIC_CUR_PLAYING:0 "Зараз грає: '$MUSIC|Y$'."
 MUSIC_NO_CUR_PLAYING:0 "Зараз не грає жодної мелодії."
 TARIFF_BASE_MODIFIER:0 "Базовий модифікатор тарифів: $VAL|%1+$"
 PROV_TRADEPOWER_DESCR:0 "Торгова сила впливає на те, яку частку торгівлі контролює власник провінції, пов'язаної з певним торговим вузлом."
 PROV_TRADEVALUE_DESCR:1 "Розраховується шляхом множення загального числа товарів на їхню вартість. Торгова цінність збільшує дохід від виробництва у провінції."
 PROV_GOODSPROD_DESCR:0 "Вироблені товари збільшують торгову цінність провінції, оскільки з'являється більше товарів для продажу."
 HRE_VOTE_ELECTOR_YOU:0 "Ви"
 HRE_CAST_VOTE_DESC:0 "Ви можете вибрати, чию саме кандидатуру на імператорський престол ви будете підтримувати."
 SUPPORT_EFFICIENCY:0 "Ефективність підтримки"
 REBEL_SUPPORT_EFFICIENCY_DESC:0 "Ефективність підтримки повстанців визначає наскільки ефективною буде ваша підтримка шансу на прогрес у підготовці їхнього повстання."
 SLIDER_VALUE:0 "Значення повзунка"
 GAME_BOOT_IN:0 "Гру буде завантажено через $MIN$ хвилин."
 GAME_START_IN:0 "Гра почнеться через $MIN$ хвилин."
 GAME_ENDS_IN:0 "Гра завершиться через $MIN$ хвилин."
 GAME_START_WHEN_ALL_READY:0 "Гра почнеться щойно всі гравці будуть готові."
 INFANTRY_FRACTION:0 "Піхота: $VAL|+%1$"
 CAVALRY_FRACTION:0 "Кавалерія: $VAL|+%1$"
 ARTILLERY_FRACTION:0 "Артилерія: $VAL|+%1$"
 BASE_LAND_MAINTENANCE_FACTOR:0 "Базовий фактор підтримки"
 SUPPORT_REBELS_TOTAL_REVOLT_SIZE:0 "Загальний розмір повстання: $VAL|+$"
 SUPPORT_REBELS_TOTAL_INF_COST:0 "Загальна вартість підготовки піхоти: $VAL|-2$¤"
 SUPPORT_REBELS_TOTAL_CAV_COST:0 "Загальна вартість підготовки кавалерії: $VAL|-2$¤"
 SUPPORT_REBELS_TOTAL_ART_COST:0 "Загальна вартість підготовки артилерії: $VAL|-2$¤"
 REBEL_REINFORCE_NOT_TYPE:0 "$REBEL$ належать до '$TYPE|Y$' типу повстанців і вони не можуть поповнювати свої ряди."
 REBEL_REINFORCE_NOT_SUPPORT:0 "У повстанців $REBEL$ немає прихильників, які могли би платити за підкріплення їхнього війська."
 REBEL_REINFORCE_DESC:0 "Їхні загони отримують підкріплення від місцевих жителів у розмірі $VAL|+1%$."
 COUNTRY_LOCKED_BY_SERVER:0 "Держава $COUNTRY$ заблокована сервером."
 FE_IRONMAN:0 "Режим 'Ironman'"
 IRONMAN_SAVE_LABEL:0 "Збереження 'Ironman'"
 IRONMAN_START:0 "Почати 'Ironman'"
 RANDOM_COUNTRY:0 "Випадкова держава"
 CUSTOM_NATION:0 "Конструктор націй"
 FE_CUSTOM_NATION_DIFFICULTY:0 "Вибір складності"
 FE_CUSTOM_NATION_MAP:0 "Налаштування світу"
 FE_CUSTOM_NATION_TAX:0 "Налаштування провінцій"
 FE_CUSTOM_NATION_ADD_TO_SAVE:0 "Конструктор держав у збереженнях"
 FE_RANDOM_NATION_NAMING:0 "Випадкові нації"
 CN_RANDOM_HISTORICAL:0 "Історичні"
 CN_RANDOM_DYNAMIC:0 "Динамічні"
 CN_RANDOM_NATION_NAMING_TOOLTIP1:0 "Ця опція визначає, як буде названо та звідки отримають свої прапори випадково згенеровані держави."
 CN_RANDOM_NATION_NAMING_TOOLTIP2:0 "§YДинамічні:§! Випадково згенеровані держави отримають динамічно згенеровані назви та прапори.\n§YІсторичні:§! Випадково згенеровані держави отримають назви та прапори історичних держав."
 CN_VERY_EASY:0 "Дуже легко ($VAL$)"
 CN_EASY:0 "Легко ($VAL$)"
 CN_NORMAL:0 "Нормально ($VAL$)"
 CN_HARD:0 "Важко ($VAL$)"
 CN_VERY_HARD:0 "Дуже важко ($VAL$)"
 CN_DIFFICULTY_TOOLTIP:0 "Ця опція визначає кількість балів, доступних для створення держави. Чим більше балів, тим легшим є старт."
 CN_TAX_TOOLTIP1:0 "Ця опція визначає загальний базовий податок та кількість новобранців в усіх провінціях."
 CN_TAX_TOOLTIP2:0 "§YНормальні значення:§! Всі провінції матимуть історичні значення податку та новобранців.\n§YВипадкові значення:§! Всі провінції матимуть випадкові значення податку та новобранців.\n§YРівні значення:§! Всі провінції матимуть рівні значення податку та новобранців."
 CN_ADD_TO_SAVE_TOOLTIP1:0 "Дозволяє додавати нові держави у збережених іграх"
 CN_ADD_TO_SAVE_TOOLTIP2:0 ""
 CN_TAX_NORMAL:0 "Нормальні"
 CN_TAX_RANDOM:0 "Випадкові"
 CN_TAX_FLAT:0 "Рівні"
 CN_MAP_TOOLTIP1:0 "Ця опція визначає, які держави буде відтворено на мапі."
 CN_MAP_TOOLTIP2:0 "§YНормальний світ:§! світ буде заселено історичними державами, §Gувімкнено§! можливість створення власних держав гравцями.  \n§YІсторичний світ:§! світ буде заселений лише історичними державами, можливість створення власних держав гравцями §Rвимкнено§!.  \n§YВипадковий світ:§! світ заселять §Yвипадково згенеровані та створені гравцями держави§!.  \n§YСтворений гравцями світ:§! світ заселять §Yлише держави, створені гравцями§!, решта провінцій залишиться не колонізованою. Всі держави на початку гри отримають по колоністу."
 CN_MAP_NORMAL:0 "Нормальний світ"
 CN_MAP_RANDOM:0 "Випадковий світ"
 CN_MAP_EMPTY:0 "Створений світ"
 CN_MAP_NO_CUSTOM:0 "Історичний світ"
 CANT_SELECT_OPTION_FOR_SAVE:0 "§RНеможливо зберегти гру, якщо вибрано цю опцію! Почніть нову гру, якщо хочете грати з цими налаштуваннями.§!"
 CUSTOM_NATIONS_DISABLED:0 "§RНеможливо створити свою державу, оскільки сервер відключив конструктор націй!§!"
 CUSTOM_NATIONS_ALREADY_CREATED:0 "§RЦю опцію неможливо змінити, оскільки гравці вже завершили створення своїх держав!§!"
 CUSTOM_NATIONS_REQUIRES_EL_DORADO:0 "§RЗміна цієї опції вимагає наявності доповнення El Dorado!§!"
 FE_BONUSES_DESC:0 "Різні налаштування §Yскладності§! надають різноманітні бонуси для всіх гравців, або для всіх держав під керуванням ШІ. Якщо цю опцію встановлено на нормальне значення, жодна держава не отримає бонусів. На легкому рівні ШІ буде більш поблажливим до гравця, тоді як на важкому – ШІ буде набагато агресивнішим щодо гравця."
 FE_BONUSES_SCORE:0 "$NAME|Y$ дає бонус $SCORE$ до рахунку."
 FE_BONUSES_DESC2:0 "Якщо вибрати §Y$NAME$§!, всі держави під керуванням ШІ, отримають такі бонуси:"
 FE_BONUSES_DESC3:0 "Якщо вибрати §Y$NAME$§!, всі держави під керуванням гравців, отримають такі бонуси:"
 FE_LUCK_DESC:0 "Опція §Yудачливі держави§! дає певним державам під керуванням ШІ спеціальні бонуси."
 FE_LUCK_DESC2:0 "§YІсторичні§!: бонуси буде надано десяти історично успішним державам. У цьому режимі світ розбудовується більш історично.\n§YВипадкові§!: бонуси буде надано десяти випадковим державам (причому перевага надаватиметься великим і розвиненим державам). Світ буде розвиватися більш непередбачувано.\n§YНемає§!: жодна держава не отримає бонусів.\n\n"
 FE_LUCK_DESC3:0 "§YУдачливі§! держави мають більш здібних правителів та отримують такі бонуси:\n"
 FE_IRONMAN_DESC:0 "§YРежим 'Ironman'§! створено для гравців, що не бояться викликів, які може кинути гра. В цьому режимі не можна перезавантажити старе збереження, коли справи пішли кепсько."
 FE_IRONMAN_DESC2:0 "В §Yрежимі 'Ironman'§! діють такі обмеження:\n–  Кількість файлів збережень обмежено до одного на гру.\n–  Примусові та часті автозбереження.\n–  Неможливо використовувати коди в консолі.\n–  Неможливо змінювати державу за яку граєш."
 FE_HOTJOIN_DESC:1 "Регулює можливість приєднання до гри інших гравців, після її початку. Цю опцію можна змінювати й під час гри."
 FE_COOP_DESC:1 "Регулює можливість декільком гравцям керувати однією державою одночасно. Цю опцію можна змінювати й під час гри."
 AI:0 "ШІ"
 PLAYER_AI_PREFS_DISABLED:0 "Ця опція доступна лише в мережевій грі."
 PLAYER_AI_PREFS_HEADER:0 "Налаштування ШІ"
 PLAYER_AI_PREFS_DESC:0 "У цьому вікні ви можете налаштувати поведінку ШІ для держави, яку ви залишили під час мережевої гри.\nНалаштування зберігаються у файлі збереження, тому якщо інші гравці продовжать гру без вас, ШІ буде керувати вашою державою дотримуючись цих налаштувань."
 PLAYER_AI_PREFS_OPTION_TITLE_start_wars:0 "Починати війни"
 PLAYER_AI_PREFS_OPTION_TITLE_keep_alliances:1 "Зберегти союзників та суперників"
 PLAYER_AI_PREFS_OPTION_TITLE_keep_treaties:0 "Зберегти всі договори"
 PLAYER_AI_PREFS_OPTION_TITLE_quick_peace:0 "Намагатися швидко укласти мир"
 PLAYER_AI_PREFS_OPTION_TITLE_move_traders:0 "Переміщення торговців"
 PLAYER_AI_PREFS_OPTION_TITLE_take_decisions:0 "Приймати рішення"
 PLAYER_AI_PREFS_OPTION_TITLE_embrace_institutions:0 "Запроваджувати інституції"
 PLAYER_AI_PREFS_OPTION_TITLE_manage_estates:0 "Керувати станами"
 PLAYER_AI_PREFS_OPTION_TITLE_develop_provinces:0 "Розвивати провінції"
 PLAYER_AI_PREFS_OPTION_TITLE_disband_units:0 "Розпускати війська"
 PLAYER_AI_PREFS_OPTION_TITLE_change_fleet_missions:0 "Змінювати місії флоту"
 PLAYER_AI_PREFS_OPTION_TITLE_send_missionaries:0 "Посилати місіонерів"
 PLAYER_AI_PREFS_OPTION_TITLE_convert_cultures:0 "Змінювати культуру"
 PLAYER_AI_PREFS_OPTION_TITLE_promote_cultures:0 "Просувати культури"
 PLAYER_AI_PREFS_OPTION_TITLE_braindead:0 "Безмозкий"
 PLAYER_AI_PREFS_OPTION_TITLE_timeout:0 "Дата завершення"
 PLAYER_AI_PREFS_OPTION_DESC_start_wars:0 "Дозволяє ШІ починати війни"
 PLAYER_AI_PREFS_OPTION_DESC_keep_alliances:1 "З цією опцією ШІ не змінюватиме суперників, намагатиметься зберегти поточні альянси та шануватиме заклики до зброї"
 PLAYER_AI_PREFS_OPTION_DESC_keep_treaties:0 "З цією опцією ШІ не скасовуватиме будь-які дипломатичні стосунки"
 PLAYER_AI_PREFS_OPTION_DESC_quick_peace:0 "ШІ намагатиметься укласти мир за першої ж нагоди"
 PLAYER_AI_PREFS_OPTION_DESC_move_traders:0 "Дозволяє ШІ переміщати торговців в інші торгові вузли"
 PLAYER_AI_PREFS_OPTION_DESC_take_decisions:0 "Дозволяє ШІ приймати рішення"
 PLAYER_AI_PREFS_OPTION_DESC_embrace_institutions:0 "Дозволяє ШІ запроваджувати інституції"
 PLAYER_AI_PREFS_OPTION_DESC_manage_estates:0 "Дозволяє ШІ вживати будь-які дії для керування вашими станами"
 PLAYER_AI_PREFS_OPTION_DESC_develop_provinces:0 "Дозволяє ШІ розвивати свої провінції"
 PLAYER_AI_PREFS_OPTION_DESC_disband_units:0 "Дозволяє ШІ розпускати війська"
 PLAYER_AI_PREFS_OPTION_DESC_change_fleet_missions:0 "Дозволяє ШІ змінювати місії свого флоту"
 PLAYER_AI_PREFS_OPTION_DESC_send_missionaries:0 "Дозволяє ШІ посилати місіонерів"
 PLAYER_AI_PREFS_OPTION_DESC_convert_cultures:0 "Дозволяє ШІ змінювати культуру в своїх провінціях"
 PLAYER_AI_PREFS_OPTION_DESC_promote_cultures:0 "Дозволяє ШІ змінювати культури, які ви просунули"
 PLAYER_AI_PREFS_OPTION_DESC_braindead:0 "Дозволяє повністю вимкнути ШІ (це скасовує усі інші налаштування)"
 PLAYER_AI_PREFS_OPTION_DESC_timeout:0 "Коли вийде час, налаштування ШІ повернуться на стандартні (default)."
 PLAYER_AI_PREFS_TIMEOUT_NEVER:0 "Ніколи"
 DEFAULT:0 "За замовчуванням"
 ACHIEVEMENTS_DISABLED_BECAUSE:0 "Досягнення відключені, тому що:\n"
 ACHIEVEMENTS_DISABLED_MODIFIED_SAVE:0 "§Y- Ви не підключені до мережі, або збереження належить іншому користувачеві, його було змінено, або збережено з несумісним DLC.§!"
 ACHIEVEMENTS_DISABLED_MODIFIED_GAME:0 "§Y- Гру було запущено з модом, або змінено іншим шляхом.§!"
 ACHIEVEMENTS_DISABLED_WRONG_PLAYER:0 "§Y- Збереження було розраховане на гру за державу $COUNTRY$.§!"
 ACHIEVEMENTS_DISABLED_NOT_IRONMAN:0 "§Y- Гру не було запущено в режимі 'Ironman'.§!"
 ACHIEVEMENTS_DISABLED_CUSTOM_DEVELOPMENT:0 "§Y- Значення 'Розвитку провінцій' у конструкторі націй повинно бути встановлено на 'Нормальні значення'.§!"
 ACHIEVEMENTS_DISABLED_CUSTOM_NATION_SETUP:0 "§Y- Значення 'Налаштування світу' у конструкторі націй не може бути встановлено на 'Випадковий світ'.§!"
 ACHIEVEMENTS_DISABLED_WRONG_DIFFICULTY:1 "§Y- 'Складність' повинна бути 'Нормально', або 'Важко'.§!"
 ACHIEVEMENTS_DISABLED_WRONG_AI_DIFFICULTY:0 "§Y- 'Складність ШІ' повинна бути 'Нормально', або 'Важко'.§!"
 ACHIEVEMENTS_DISABLED_WRONG_LUCK:0 "§Y- Опція 'Удачливі держави' повинна бути встановлена на 'Історичні'.§!"
 ACHIEVEMENTS_DISABLED_MULTIPLAYER:0 "§Y- Досягнення не можливо заробити у режимі мережевої гри.§!"
 ACHIEVEMENTS_DISABLED_ENDGAME_TAGS_BLOCKED:0 "§Y- Опція 'Обмежене формування держави' повинна бути встановлена на 'Так'.§!"
 AUTOSAVING:0 "Автозбереження..."
 SAVEITEM_PLAYER_COUNTRY:0 "Гравець: $COUNTRY$"
 SAVEITEM_DATE:0 "Дата: $DATE$"
 SAVEITEM_IRONMAN:0 "Ironman: $YESNO$"
 SAVEITEM_SYNCED:0 "Синхронізація зі Steam Cloud: $YESNO$"
 SAVEITEM_FILESIZE:0 "Розмір файлу: $SIZE$"
 SAVEITEM_DELETE_FILE:0 "§YКлацніть тут, щоб видалити збереження.§!"
 SAVEITEM_MISSING_DLC:0 "Відсутні DLC:"
 SAVEITEM_CANNOT_START_MISSING_DLC:0 "§RЦю партію не можна продовжувати, поки відсутні DLC не буде увімкнено знову.§!"
 SAVEITEM_MISSING_MOD:0 "Відсутні моди:"
 SAVEITEM_UNSAFE_VERSION:0 "Гру було збережено у застарілій версії ЄУ4."
 SAVEITEM_UNSAFE_EXPLANTION:0 "Цю гру було збережено в іншій версії ЄУ4, або з використанням DLC чи мода, вимкненого на даний момент."
 UNSAFE_EXPLANATION:0 "Показати/сховати ігри, які було збережено у іншій версії ЄУ4, або з використанням DLC чи мода, вимкненого на даний момент."
 AUTOSAVE_TOCLOUD:0 "Автозбереження в Steam Cloud"
 COMPRESS_AUTOSAVES:0 "Стиснення автозбережень"
 RICH_PRESENCE:0 "Розширена присутність"
 AUTOPAUSE_ON_EVENTS:0 "Пауза під час подій"
 TRANSFER_SAVEGAME:0 "Перерахунок збереження: $NAME|Y%$"
 LOADING_SAVEGAME:0 "Завантаження збереження: $NAME|Y%$"
 CONFIRMUNSYNCTITLE:0 "Файл не було синхронізовано"
 CONFIRMUNSYNCTEXT:0 "Бажаєте вилучити §Y$NAME$§! зі Steam Cloud?"
 CLOUDSAVE_SPACE_NEEED:0 "Для збереження гри необхідно $NEEDED$."
 CLOUDSAVE_UNSYNC_LABEL:0 "Виберіть файл(и) для видалення зі Steam Cloud\nЦе не зачепить файл(и) на локальному диску."
 CONTENTVIEW_PUBLISH:0 "Опублікувати"
 CONTENTVIEW_PUBLISH_HEADER:0 "Опублікувати в Steam Workshop"
 CONTENTVIEW_PUBLISH_TITLE_LABEL:0 "Назва:"
 CONTENTVIEW_PUBLISH_DESC_LABEL:0 "Опис:"
 CONTENTVIEW_UPDATE:0 "Оновити"
 CONTENTVIEW_MANAGE:0 "Змінити"
 CONTENTVIEW_TERMS:0 "Публікуючи цей файл, ви погоджуєтеся з умовами сервісу Steam Workshop."
 NOMAD_SHOCK_BONUS_DEF:0 "Захисники отримають додатково §G$VAL|%=+1$§! до натиску на рівнинній місцевості для кочовиків.\n"
 NOMAD_SHOCK_BONUS_ATT:0 "Нападники отримають додатково §G$VAL|%=+1$§! до натиску на рівнинній місцевості для кочовиків.\n"
 NOMAD_SHOCK_PENALTY_DEF:0 "Захисники отримають штраф §R$VAL|%=+1$§! до натиску на не-рівнинній місцевості для кочовиків.\n"
 NOMAD_SHOCK_PENALTY_ATT:0 "Нападники отримають штраф §R$VAL|%=+1$§! до натиску на не-рівнинній місцевості для кочовиків.\n"
 GALLEY_BONUS_INLAND_SEA_DESC:0 "У внутрішніх морях галери наносять на $VAL|%=+1$ більше ушкоджень іншим видам кораблів."
 GALLEY_BONUS_NOT_INLAND_SEA_DESC:1 "Ці води НЕ є внутрішніми або прибережними, тому галери тут матимуть $VAL|%=+1$ штрафу гральної кістки."
 INSUFFICIENT_SUPPORT_TITLE:0 "§YНеефективна підтримка§!"
 INSUFFICIENT_SUPPORT_DESC:1 "Надто високе співвідношення кавалерії до піхоти (§Y$RATIO$%§!). Це знижуватиме військову тактику кавалерійських полків на §R$PENALTY$%§!."
 INSUFFICIENT_SUPPORT_UNIT_DESC_YES:0 "@$TAG$$NAME$ отримує штраф (макс. співвідношення – $MAX|%1R$)."
 INSUFFICIENT_SUPPORT_UNIT_DESC_NO:0 "@$TAG$$NAME$ НЕ отримує штраф (макс. співвідношення – $MAX|%1G$)."
 FE_IRONMAN_MULTIPLAYER:0 "Режим 'Ironman' не доступний для мережевої гри."
 FE_IRONMAN_NOCLOUD:0 "Для гри в режимі 'Ironman' необхідно увійти в Steam."
 FE_NOT_IRONMAN_AND_OBSERVER:0 "Неможливо грати в режимі 'Ironman' у якості спостерігача."
 MAP_SAVED:0 "Знімок мапи збережено!"
 SCREENSHOT_TAKEN:0 "Знімок екрана збережено!"
 CONFIRMLOADSAVETITLE:0 "Завантажити гру"
 CONFIRMLOADSAVETEXT:0 "Ви впевнені, що хочете завантажити збереження '$NAME$' та вийти з поточної гри?"
 CANNOT_RETURN_PROVINCE_NOT_CONTROLLED:0 "§RВи не можете повернути провінцію, яку не контролюєте.§!"
 CANNOT_RETURN_PROVINCE_SIEGE:0 "§RВи не можете повернути провінцію, яка знаходиться під облогою.§!"
 CANT_BUILD_UNDER_SIEGE:0 "Не можна починати будівництво в провінції, яка перебуває в облозі."
 CURRENT_PATRIARCH_AUTHORITY:0 "Поточний авторитет патріарха"
 UNIT_VIEW_SPLIT_LOADED:0 "Не можна розділити полк, оскільки він вже завантажений на корабель!"
 UNIT_VIEW_CREATE_NEW_LOADED:0 "Не можна переформувати полк, оскільки він завантажений на корабель."
 UNIT_VIEW_CREATE_NEW_TRADE:0 "Не можна переформувати флот, коли він перебуває на торговій місії."
 UNIT_VIEW_CREATE_NEW_HAS_LOADED:0 "Не можна переформувати флот, коли він перевозить війська."
 BASE_VALUE_0:0 "Базова: $VAL|0$"
 alert_rebels_enforce_demands_instant:0 "§YДеякі повстанці у вашій державі близькі до успіху та нав'язування нам своїх вимог!§W"
 alert_rebels_enforce_demands_delayed:0 ""
 alert_uncontested_claims_instant:1 "§YВи маєте незаперечні претензії з визначеним терміном дії.§W"
 alert_uncontested_claims_delayed:1 "Ви маєте претензії, термін дії яких закінчується, на такі провінції:\n$LIST$"
 alert_high_overextension_instant:0 "§YВаше надрозширення небезпечно високе!§W"
 alert_high_overextension_delayed:0 "Варто націоналізувати кілька провінцій, щоб зменшити надрозширення. Тим часом, краще утриматися від захоплення не-національних земель!"
 alert_high_war_exhaustion_instant:0 "§YВаша втома від війни занадто висока!§W"
 alert_high_war_exhaustion_delayed:0 "Це матиме негативні наслідки для вашої держави!"
 alert_too_many_leaders_instant:0 "§YЗабагато командувачів!§W"
 alert_too_many_leaders_army_delayed:0 "Кожний командувач, вище вашого ліміту, коштуватиме вам 1 £mil£ щомісяця. \nЗараз ви щомісяця втрачаєте $AMT$ £mil£."
 alert_too_many_leaders_navy_delayed:0 "Кожний адмірал, вище вашого ліміту, коштуватиме вам 1 £dip£ щомісяця. \nЗараз ви щомісяця втрачаєте $AMT$ £dip£."
 alert_can_vote_for_cardinal_instant:0 "§YВи можете підтримати кардинала!§W"
 alert_can_vote_for_cardinal_delayed:0 "У вас достатньо високий вплив на Папу. Ви можете використати цей вплив для вибору майбутнього кардинала."
 alert_can_convert_province_instant:0 "§YВи можете навернути провінцію на $RELIGION$!§W"
 alert_can_convert_province_delayed:0 "У вашій державі є провінції, куди ви можете відправити місіонера для навернення їхнього населення у державну релігію."
 alert_can_core_province_instant:0 "§YДеякі ваші провінції потребують націоналізації!§W"
 alert_can_core_province_delayed:0 "Ці провінції потребують націоналізації й на даний момент не націоналізуються:\n"
 alert_can_make_state_instant:0 "§YВи можете створювати Володіння§!"
 alert_can_make_state_delayed:0 "Ці території можна зробити Володіннями:\n"
 alert_can_embrace_instant:0 "§YВи можете запровадити інституцію§!"
 alert_can_embrace_delayed:0 "Можна запровадити такі інституції:\n"
 alert_over_diplomatic_relations_instant:0 "§YЗанадто багато дипломатичних зв'язків.§W"
 alert_over_diplomatic_relations_delayed:0 "Кожний дипломатичний зв'язок вище вашого ліміту, коштуватиме вам 1 £dip£ щомісяця.\nНа даний момент ви втрачаєте $VAL$ £dip£ щомісяця."
 alert_low_stability_instant:0 "§YНизька стабільність!§W"
 alert_low_stability_delayed:0 "Низька стабільність призведе до збільшення рівня заворушень та зниження доходів, також може призвести до стихійного лиха. Поміркуйте, чи не варто витратити частину балів адміністративної сили монарха для її підвищення."
 alert_large_merchant_republic_instant:0 "§YЗавелика торговельна республіка§W"
 alert_large_merchant_republic_delayed:0 "Ваша торговельна республіка виросла вище максимального стабільного розміру, який складає $AMT|Y$ провінцій у межах державних володінь. Це знижуватиме наші республіканські традиції на §R0.1§! щороку за кожну 'зайву' провінцію. (На разі ми перевищуємо ліміт на $EXCESS|R$.)"
 alert_no_native_policy_instant:0 "§YВи повинні визначитися з політикою щодо туземців!§!"
 alert_no_native_policy_delayed:0 "Перш ніж ми зможемо відправити колоністів, ми повинні визначитися з політикою щодо корінного населення."
 BOOKMARK_COUNTRY_EASY:0 "§GЦю державу рекомендовано для гри новачкам.§!"
 IS_PRIMARY_CULTURE_IN:0 "§Y$CULTURE$§z§!§Yа§W культура є основною в державі $COUNTRY|Y$."
 IS_ACCEPTED_CULTURE_IN:0 "§Y$CULTURE$§z§!§Yа§W культура є визнаною в державі $COUNTRY|Y$."
 IS_NOT_ACCEPTED_CULTURE_IN:0 "§Y$CULTURE$§z§!§Yа§W культура НЕ є визнаною в державі $COUNTRY|Y$."
 IS_NOT_ACCEPTED_CULTURE_IN_REP:0 "§Y$CULTURE$§z§!§Yа§W культура НЕ є визнаною в республіці $COUNTRY|Y$."
 IS_SAME_CULTURE_GROUP_IN:0 "§Y$CULTURE$§z§!§Yа§W культура належить до тієї ж §Y$CULTUREGROUP$§z§!§Yої§W культурної групи, що й основна культура в державі $COUNTRY|Y$."
 WHO_CONTROL_PROVINCE_EFFECTS:0 "§YЯкщо держава $WHO$ контролює провінцію $PROV$, на неї впливають такі фактори:§!"
 bg_info_prestige_1:0 "Навіть селяни ставляться зверхньо на державу $WHO|Y$"
 bg_info_prestige_2:0 "Нікого не турбують справи держави $WHO|Y$"
 bg_info_prestige_3:0 "Люди чули про державу $WHO|Y$"
 bg_info_prestige_4:0 "§Y$WHOADJ|Y$і§! землі не дуже відомі"
 bg_info_prestige_5:0 "До держави $WHO|Y$ ставляться зверхньо"
 bg_info_prestige_6:0 "Держава $WHO|Y$ доволі відома"
 bg_info_prestige_7:0 "Держава $WHO|Y$ добре відома"
 bg_info_prestige_8:0 "Люди наслідують §Y$WHOADJ|Y$ий§! спосіб життя"
 bg_info_prestige_9:0 "Всі люди заздрять §Y$WHOADJ|Y$ій§! нації"
 bg_info_prestige_10:0 "Про державу $WHO|Y$ говорять в цілому світі"
 bg_info_prestige_11:0 "$WHO|Y$ – найвеличніша держава"
 RELATION_CHANGE_HEADER_DESC:0 "Зміняться відносини між державою $WHO|Y$ і такими державами:"
 HAVE_MIL_ACC_US:0 "Їхні війська мають право проходу через нашу державу."
 GRANT_MIL_ACC_US:0 "Вони надають право проходу нашим військам."
 NEW_DLC_AVAILABLE:0 "Новий контент доступний для купівлі"
 OPEN_STORE:0 "Відкрити магазин"
 desc_bankruptcy:0 ""
 HEADER_REFORMS:0 "Релігійні реформи"
 DISPLAY_MODE_FULLSCREEN:0 "Повноекранний режим"
 DISPLAY_MODE_WINDOWED:0 "Віконний режим"
 DISPLAY_MODE_WINDOWED_BORDERLESS:0 "Вікно на весь екран"
 PLAY_AS_RELEASED_VASSAL:0 "Грати за цього звільненого васала"
 PLAY_AS_RELEASED_SUBJECT:0 "Грати за цього звільненого суб'єкта"
 PAPACY_ACTIVE_CARDINALS:0 "Поточні кардинали"
 PAPACY_FUTURE_CARDINALS:0 "Майбутні кардинали"
 REBEL_HAS_NOT_OCCUPIED_PROVINCES:0 "Не зайняли жодної провінції."
 SAVEGAME_ERROR_WRITING:0 "Помилка під час запису файлу збереження"
 SAVEGAME_ERROR_WRITING_UNKNOWN:0 "Під час збереження гри виникла невідома помилка.\n\nМожливо ви використовували неприпустимі символи в імені файлу?\nПеревірте наявність вільного місця на вашому диску."
 SAVEGAME_ERROR_LOADING:0 "Помилка при завантаженні файлу збереження"
 SAVEGAME_ERROR_LOADING_CORRUPT:0 "Помилка при завантаженні файлу збереження. Файл пошкоджено."
 SAVEGAME_WARNING_OLD_VERSION_TITLE:0 "Старе збереження"
 SAVEGAME_WARNING_OLD_VERSION_DESC:1 "Збереження $NAME$ було створено в іншій версії ЄУ4.\n\n Це може викликати деякі проблеми у грі та §Rпотенційно, може зруйнувати збереження Ironman§!\nІгри з випадковим Новим Світом особливо вразливі.\n\nЗбережіться заново, завершіть гру та завантажте нове збереження."
 CHECKBOX_COMPRESSED_SAVEGAMES:0 "Стиснення збереження"
 CHECKBOX_COMPRESSED_SAVEGAMES_RNW:0 "Стиснення бази даних гри\nЗбереження буде стиснуто, коли увімкнено опцію Випадковий Новий Світ"
 RANDOM_NEW_WORLD:0 "Застосовано Випадковий Новий Світ"
 NOT_RANDOM_NEW_WORLD:0 "НЕ застосовано Випадковий Новий Світ"
 FE_RANDOM_NEW_WORLD:0 "Випадковий Новий Світ"
 INVALID_REGENCY:0 "$COUNTRY$ зараз знаходиться під керуванням тимчасової ради. Нового правителя буде згенеровано під час старту з випадковими параметрами."
 SET_VARIABLE:0 "Встановити значення $VAR|Y$ – $VALUE|Y$"
 CHANGE_VARIABLE:1 "Замінити $VAR|Y$ на $VALUE|Y$"
 SUBTRACT_VARIABLE:1 "Відняти $VALUE|Y$ від $VAR|Y$"
 MULTIPLY_VARIABLE:1 "Помножити $VAR|Y$ на $VALUE|Y$"
 DIVIDE_VARIABLE:1 "Поділити $VAR|Y$ на $VALUE|Y$"
 RANDOM_WORLD_MAP_DATA:0 "Оновлення даних мапи..."
 RANDOM_WORLD_RESTORE_MAP_BITMAPS:0 "Відновлення растрової мапи..."
