l_ukrainian:
 theocracy.1.t:0 "Державі $COUNTRY$ потрібен спадкоємець"
 EVTNAME6193:0 "Створення епічного мистецтва"
 EVTDESC6193:0 "Наше постійне меценатство призвело до появи однієї великої роботи, яку ще не бачив світ. Це приносить багато слави нашій нації."
 EVTOPTA6193:0 "Ми насолоджуємося славою"
 EVTNAME6194:0 "Немає мистецтва, вартого протекції"
 EVTDESC6194:0 "Хоча ми добре відомі, як покровителі мистецтв, зараз ми не маємо художників, яким варто було би надавати протекцію. Через це наш правитель виглядає трохи дурним."
 EVTOPTA6194:0 "Я впевнений, що це зміниться"
 EVTNAME6195:0 "Підтримка війни"
 EVTDESC6195:0 "Через нашу заяву про початок війни з релігійними ворогами, народ змінив своє відношення до воєнних дій."
 EVTOPTA6195:0 "Deus Vult! – Так хоче Бог!"
 EVTNAME6196:1 "Невиконані обіцянки"
 EVTDESC6196:2 "Ми часто давали зрозуміти, що [Root.Religion.GetName] – це єдина справжня віра, тому ми повинні переконати наших людей, що війна проти держави [infidel_neighbor.GetUsableName] неминуча, враховуючи наші релігійні відмінності. Проте, багато з наших підданих тепер розчаровані в нас, оскільки ми не розпочали жодної війни проти наших сусідів з держави [infidel_neighbor.GetUsableName]. Деякі виходять на вулиці, щоб висловити своє невдоволення."
 EVTOPTA6196:0 "Ми просто ще не готові"
 EVTOPTB6196:1 "Хто вони такі, щоб вирішувати?"
 EVTNAME6300:0 "Правильна експлуатація кріпаків"
 EVTDESC6300:0 "Наша політика закріпачення дала результати: нещодавно землевласники почали додатково експлуатувати своїх кріпаків."
 EVTOPTA6300:0 "Саме тому ми продовжуємо тримати їх на їхньому місці"
 EVTNAME6301:0 "Засмучення кріпаків"
 EVTDESC6301:0 "До нас дійшла звістка, що наші щасливі кріпаки не такі щасливі, як ми спочатку думали. Ми навіть чули чутки про планування повстання."
 EVTOPTA6301:0 "Нашим військам потрібна практика"
 EVTOPTB6301:0 "Краще зробити деякі поступки"
 EVTNAME6302:0 "Наші люди насолоджуються свободою"
 EVTDESC6302:0 "Наша політика надання свободи простим людям почала окупатися. Здається, вони більш задоволені життям, ніж зазвичай."
 EVTOPTA6302:0 "Ми правимо мудро"
 EVTNAME6303:0 "Стурбованість аристократів"
 EVTDESC6303:0 "Наші дворяни стурбовані нашою політикою надання свободи простим людям, позаяк це не дозволяє їм шмагати своїх слуг. Здається, через це навіть було зіпсовано кілька святкових обідів."
 EVTOPTA6303:0 "Нехай скаржаться"
 EVTOPTB6303:0 "Зробимо їм деякі поступки"
 EVTNAME6304:0 "Більше рекрутів для армії"
 EVTDESC6304:0 "Наша політика підтримки кількості за рахунок якості призвела на сьогоднішній день до збільшення кількості рекрутів для армії."
 EVTOPTA6304:0 "Рекрутів забагато не буває"
 EVTNAME6305:0 "Зниження якості армії"
 EVTDESC6305:0 "Наше рішення зосередитися на кількості несподівано призвело до зменшення кількості рекрутів для нашої армії."
 EVTOPTA6305:0 "Ми просто проігноруємо це"
 EVTOPTB6305:0 "Відповімо на це реформами"
 EVTNAME6306:0 "Якість наших військ вражає"
 EVTDESC6306:0 "Наше рішення вкластися у якість нашої армії, здається, зробило її вражаючою в очах наших сусідів."
 EVTOPTA6306:0 "Ми найкращі!"
 EVTNAME6307:0 "Рекрутингова криза"
 EVTDESC6307:0 "Через наш акцент на якість генерали стурбовані невеликою кількістю військ."
 EVTOPTA6307:0 "Армія може перечекати"
 EVTOPTB6307:0 "Ми повинні змінити свою політику"
 EVTNAME6308:0 "Армія – це шлях до слави"
 EVTDESC6308:0 "Наша зосередженість на армії призвела до того, що всі вважають її відмінною. Деякі з найкращих та найвидатніших підданих бажають служити в ній офіцерами."
 EVTOPTA6308:0 "Вони вирішили мудро"
 EVTNAME6309:0 "Стурбованість адміралів"
 EVTDESC6309:0 "Наші адмірали висловлюють стурбованість через нашу зосередженість на армії, яка відбувається за рахунок флоту"
 EVTOPTA6309:0 "Що вони знають?"
 EVTOPTB6309:0 "Треба щось змінити"
 EVTNAME6310:0 "Наш флот є гордістю нації"
 EVTDESC6310:0 "Наше рішення зосередитися на розвитку флоту викликало сплеск його підтримки в державі. Молоді дурні підписують контракт, щоб стати офіцерами."
 EVTOPTA6310:0 "Я бажаю їм успіху"
 EVTNAME6311:0 "Генерали занепокоєні"
 EVTDESC6311:0 "Наші генерали стурбовані нашою зосередженістю на флоті, адже це, на їхню думку, шкодить армії."
 EVTOPTA6311:0 "Флот – це наше все, до чорта їх"
 EVTOPTB6311:0 "Час приділити більше уваги армії"
 EVTNAME6312:0 "Швидкість наступу нашої армії викликає страх у супротивника"
 EVTDESC6312:0 "Наш вибір стратегії наступу за рахунок оборони призвів до появи розповідей про стрімкість наступу нашої армії."
 EVTOPTA6312:0 "Заряджайте"
 EVTNAME6313:0 "Нехтування укріплень"
 EVTDESC6313:0 "Наш вибір стратегії наступу за рахунок оборони призвів до нехтування фортифікаційними спорудами."
 EVTOPTA6313:0 "Нехай так і буде"
 EVTOPTB6313:0 "Треба щось зробити"
 EVTNAME6314:0 "Укріплення постраждало"
 EVTDESC6314:0 "Оскільки ми залишаємося вірними нашій наступальній стратегії, деякі з наших укріплень постраждали через відсутність уваги."
 EVTOPTA6314:0 "Ми повинні дотримуватися стратегії наступу"
 EVTOPTB6314:0 "Можливо, оборона також непогана форма захисту"
 EVTNAME6315:0 "Укріплення стають жалюгідними"
 EVTDESC6315:0 "Наступальна природа наших збройних сил означає, що місцеві командири не зацікавлені у підтримці укріплень."
 EVTOPTA6315:0 "Я довіряю своїм командирам"
 EVTOPTB6315:0 "Можливо, ми повинні замислитися про це"
 EVTNAME6316:0 "Хто подбає про форти?"
 EVTDESC6316:0 "Після нашого зосередження на наступальній стратегії генерали дозволили кільком нашим великим фортам занепасти."
 EVTOPTA6316:0 "Мене це не хвилює"
 EVTOPTB6316:0 "Так, я стурбований"
 EVTNAME6317:0 "Наші генерали не бажають підтримувати форти"
 EVTDESC6317:0 "Місцеві генерали настільки сконцентровані на наступі, що відмовляються підтримувати належним чаном наші великі фортеці."
 EVTOPTA6317:0 "Нехай роблять, як бажають"
 EVTOPTB6317:0 "Прийшов час змінити курс"
 EVTNAME6318:0 "Генерали засуджують не гідні чоловіків укріплення"
 EVTDESC6318:0 "Нашим генералам так сильно подобається наша наступальна стратегія, що вони відмовляються використовувати одну з наших наймогутніших фортець належним чином."
 EVTOPTA6318:0 "Їхня правда"
 EVTOPTB6318:0 "Давайте переглянемо нашу політику"
 EVTNAME6319:0 "Зміцнення укріплень"
 EVTDESC6319:0 "Наше рішення зосередитися на обороні призвело до того, що один з місцевих командирів побудував фортецю, щоб захистити власні землі."
 EVTOPTA6319:0 "Мудре рішення"
 EVTNAME6320:0 "Модернізація укріплень"
 EVTDESC6320:0 "Завдяки нашій зосередженості на оборонній тактиці, місцевий командир вирішив оновити свої укріплення."
 EVTOPTA6320:0 "Абсолютно правильно"
 EVTNAME6321:0 "Посилення укріплень"
 EVTDESC6321:0 "Наша зосередженість на обороні змушує місцевих командирів думати, що посилення укріплень буде правильним використанням їхнього часу."
 EVTOPTA6321:0 "Це добре"
 EVTNAME6322:0 "Поліпшення укріплень"
 EVTDESC6322:0 "Місцевий командир, враховуючи наш акцент на обороні, вирішив поліпшити місцеві укріплення."
 EVTOPTA6322:0 "Мені подобаються ініціативні командири"
 EVTNAME6323:0 "Великомасштабне посилення укріплень"
 EVTDESC6323:0 "Через наше прагнення посилити оборону, місцеві командири вважають, що було би безпечніше розмістити більше військ у фортах, ніж витрачати їх на полі бою."
 EVTOPTA6323:0 "Абсолютно правильно"
 EVTNAME6324:0 "Будування епічної фортеці"
 EVTDESC6324:0 "Через нашу увагу до оборони, місцевий командир взяв на себе максимізацію рівня укріплень нашої провінції."
 EVTOPTA6324:0 "Це нам приємно бачити"
 EVTNAME6325:0 "Генерали стурбовані нашою недостойною тактикою"
 EVTDESC6325:0 "Наша зосередженість на обороні відбирає у наших військ порив, який необхідний для перемоги на полі бою. Наші генерали глибоко стурбовані цим, і вже ходять чутки, що деякі країни сміються над нами за нашою спиною."
 EVTOPTA6325:0 "Кого хвилює, що вони думають?"
 EVTOPTB6325:0 "Ми можемо трошки змінити тактику"
 EVTNAME6326:0 "Наша політика меркантилізма посилює торгівлю"
 EVTDESC6326:0 "Наше використання політики меркантилізма робить складнішою конкуренцію іноземних торговців з нашими, що означає більше прибутку для нас."
 EVTOPTA6326:0 "Я люблю прибуток"
 EVTNAME6327:0 "Торгові недоліки"
 EVTDESC6327:0 "Наше використання політики меркантилізма розчарувало деяких торговців, тому вони вирішили переїхати до інших країн."
 EVTOPTA6327:0 "Меркантилізм – це правильно"
 EVTOPTB6327:0 "Відповіддю може бути невелике послаблення політики"
 EVTNAME6328:0 "Торгова експансія"
 EVTDESC6328:0 "Наша політика вільної торгівлі дозволяє нашим торговцям поширити свій вплив у торгових центрах."
 EVTOPTA6328:0 "Чудово"
 EVTNAME6329:0 "Торговці стурбовані відсутністю захисту"
 EVTDESC6329:0 "Торговці стурбовані через нашу увагу до вільної торгівлі, позаяк вони не отримують підтримки, яку мали би за більш меркантильної політики."
 EVTOPTA6329:0 "Ось чому це і називається вільною торгівлею"
 EVTOPTB6329:0 "Ну, можливо, ми зможемо щось зробити"
 EVTNAME6330:0 "Хвиля інновацій"
 EVTDESC6330:0 "Наша довготривала політика посилення інновацій приносить свою користь. Ми бачимо інтелектуальне зростання нашої нації."
 EVTOPTA6330:0 "Це добре"
 EVTNAME6331:0 "Люди випробовують нові релігії"
 EVTDESC6331:0 "Наша політика заохочення інновацій та прогресивних ідей призвели до кращого сприйняття нашим народом державної релігії."
 EVTOPTA6331:0 "Нехай роблять"
 EVTOPTB6331:0 "Змінимо курс"
 EVTNAME6332:1 "Єдність віри"
 EVTDESC6332:1 "Оскільки уряд нашої держави [Root.GovernmentName] розпочав офіційно заохочувати поклоніння і фокусування на істинній вірі [Root.Religion.GetName], наші люди відчувають себе впевненішими в своєму повсякденному житті і в спілкуванні один з одним."
 EVTOPTA6332:1 "Там де віра, там довіра."
 EVTNAME6333:0 "Роздратовані ліберали"
 EVTDESC6333:0 "Більш ліберальна та прогресивна частина нашого суспільства засмучена відсутністю змін у відносинах з державою."
 EVTOPTA6333:1 "Інновації ніщо у порівнянні з традиціями."
 EVTOPTB6333:1 "Вони заслуговують бути почутими."
 EVTNAME6334:0 "Централізація приносить прибутки"
 EVTDESC6334:0 "Завдяки нашій політиці централізації ми можемо краще контролювати уряд нашої держави, що надає вигоду всім."
 EVTOPTA6334:0 "Це гарні новини."
 EVTNAME6335:0 "Провінції розчаровані відсутністю автономії"
 EVTDESC6335:0 "Наша політика централізації змушує провінції відчувати, що вони втратили багато автономії. Розмови про повстання літають у повітрі."
 EVTOPTA6335:0 "Нехай повстають"
 EVTOPTB6335:0 "Підемо на поступки"
 EVTNAME6337:0 "Провінції вимагають ще більшої автономії"
 EVTOPTB6337:0 "Поставити їх на місце"
 EVTNAME6338:0 "Аристократи вдячні за нашу підтримку"
 EVTDESC6338:0 "Делегація аристократів прийшла сьогодні, щоб подякувати за підтримку їх інтересів в уряді. Насправді вони настільки вдячні, що зробили невеликий добровільний внесок у скарбницю."
 EVTOPTA6338:0 "Ми дякуємо їм за їхній подарунок"
 EVTNAME6339:0 "Торговці скаржаться"
 EVTDESC6339:0 "Найкращі торговці скаржаться, що підтримка урядом інтересів аристократії боляче торкається їхніх інтересів."
 EVTOPTA6339:0 "Під лежачий камінь вода не тече"
 EVTOPTB6339:0 "Можливо я можу допомогти"
 EVTNAME6340:0 "Торговці радіють"
 EVTDESC6340:0 "Через плутократичну політику наші торговці процвітають, тому вони вирішили відправити державі невеликий подарунок, щоб нагадати нам, чому ми їх підтримуємо."
 EVTOPTA6340:0 "Ми дякуємо їм за їхній подарунок"
 EVTNAME6341:0 "Аристократи скаржаться"
 EVTDESC6341:0 "Аристократи скаржаться на те, що наша плутократична політика не надає їм по заслугам."
 EVTOPTA6341:0 "Нехай скаржаться"
 EVTOPTB6341:0 "Можливо, ми трошки щось змінимо"
 EVTNAME6400:0 "Колоніальна експансія"
 EVTDESC6400:2 "Оскільки на землі на нашому кордоні все ще ніхто не претендує, велика група колоністів прибула до двору з проханням дозволити їм створити свою власну колонію, незалежно від наших колоніальних прагнень. Вони хочуть претендувати на провінцію [wanderer_province.GetName] від імені [Root.Owner.Monarch.GetTitleOGO] і встановити [Root.Owner.GetAdjective]ий контроль над цими землями, просячи лише про незначну фінансову підтримку."
 EVTOPTA6400:0 "Ну, хто я такий, щоб зупиняти їх?"
 EVTNAME6401:0 "Колоніальна міграція"
 EVTDESC6401:1 "На наш превеликий подив, багато колоністів вирішили, що провінція [Root.GetName] - невідповідне місце для колонії та почали мігрувати до нашого поселення в провінції [migration_province_target.GetName]. Зараз ми мало що можемо зробити, щоб їх зупинити, оскільки [Root.Owner.GetAdjective]і села і міста вже почали з'являтися по всій [migration_province_target.GetAdjective]ій глибинці."
 EVTOPTA6401:0 "В наші дні важко відстежувати людей."
 EVTNAME6405:0 "Протестантська віра?"
 EVTDESC6405:0 "З тих пір, як ми потрапили під вплив Заходу, у нашій державі з'явилися ті, хто вважає, що ми повинні прийняти протестантську віру."
 EVTOPTA6405:0 "Протестантська релігія виглядає дуже непоганою."
 EVTOPTB6405:0 "Ні, ми не відмовимося від віри наших батьків."
 EVTNAME6406:0 "Реформистська віра"
 EVTDESC6406:0 "Тепер, коли ми потрапили під вплив Заходу, багато наших людей припускають, що ми повинні прийняти реформистську віру."
 EVTOPTA6406:0 "Цього бажає Бог."
 EVTOPTB6406:0 "Ні, ми не зрадимо нашим традиціям."
 EVTNAME6407:0 "Католицька віра"
 EVTDESC6407:0 "Деякі з наших людей відчувають, що, як ми вже знаходимося під впливом Заходу, то повинні прийняти католицьку віру."
 EVTOPTA6407:0 "Повинен зізнатися, що це звучить добре"
 EVTOPTB6407:0 "Ні, ніколи!"
 EVTNAME6417:0 "Культурна асиміляція"
 EVTDESC6417:0 "Хороша новина, деякі з наших більш прогресивних народів вирішили повністю визнали нашу культуру"
 EVTOPTA6417:0 "Це дійсно гарні новини"
 EVTNAME6418:0 "Відмінний рік"
 EVTDESC6418:0 "Деякі з наших ферм зібрали відмінний врожай зерна цього року, що дозволяє нам нагодувати додаткові війська та збільшити кількість рекрутів."
 EVTOPTA6418:0 "Рекрутів ніколи не буває забагато"
 EVTNAME6419:0 "Відмінний збір винограду"
 EVTDESC6419:0 "Наші винні експерти вважають, що нещодавній збір винограду в одному з наших виноробних районів має відмінні якості. Наші люди з радістю п'ють його."
 EVTOPTA6419:0 "Поки ще є, залиште трохи і для мене."
 EVTNAME6420:0 "Поганий збір винограду"
 EVTDESC6420:0 "Один з наших найкращих виноградників несподівано виробив вино значно гіршої якості. Зайве говорити, що люди стали думати про нашу країну набагато гірше."
 EVTOPTA6420:0 "Сподіваюся, що ніколи не буду його пити"
 EVTNAME6421:0 "Якісна вовна"
 EVTDESC6421:0 "Останні поставки вовни були неперевершеної якості, що надало нашій державі додаткові гроші."
 EVTOPTA6421:0 "Грошей ніколи не буває занадто багато"
 EVTNAME6422:0 "Погана уніформа"
 EVTDESC6422:0 "Було виявлено, що один з наших постачальників тканини надіслав неякісне обмундирування для нашої армії. Ми розуміємо, що війська від цього не в захваті..."
 EVTOPTA6422:0 "Чорт забирай!"
 EVTNAME6423:0 "Відважні моряки"
 EVTDESC6423:0 "Наші рибалки традиційно є відмінною базою для вербування моряків на нашому флоті. Це покращує керування нашим флотом."
 EVTOPTA6423:0 "Приємно бачити"
 EVTNAME6424:0 "Тубільці не допомагають"
 EVTDESC6424:0 "Місцеві тубільні 'помічники' тимчасово не допомагають нашим мисливцям за хутром, що призводить до скорочення виробництва."
 EVTOPTA6424:0 "Коли-небудь вони нам допоможуть"
 EVTNAME6425:0 "Сольова криза"
 EVTDESC6425:0 "По країні крокують чутки про дефіцит виробництва солі. Хоча ми намагалися придушити ці чутки, люди впевнені, що нас чекає сольова криза найближчим часом."
 EVTOPTA6425:0 "Нам доведеться з цим жити"
 EVTNAME6426:0 "Відмінне спорядження"
 EVTDESC6426:0 "Наше морське спорядження виявилося надзвичайно добрим. Це надало нам поштовх у виробництві кораблів."
 EVTOPTA6426:0 "Це гарні новини"
 EVTNAME6427:0 "Мідь поганої якості"
 EVTDESC6427:0 "Деякі з наших мідних копалень виробили руду гіршої якості, ніж зазвичай, що підштовхнуло вгору вартість артилерії в нашій країні."
 EVTOPTA6427:0 "Я розчарований"
 EVTNAME6428:0 "ЗОЛОТА ЛИХОМАНКА!"
 EVTDESC6428:0 "Наші шахтарі натрапили на велике золоте родовище. Величезна кількість золота тече в скарбницю."
 EVTOPTA6428:0 "О, так."
 EVTNAME6429:0 "Проблеми з якістю залізної руди"
 EVTDESC6429:0 "На одному з наших рудників значно погіршилася якість залізної руди. Це здорожчить створення нових військових підрозділів."
 EVTOPTA6429:0 "Я впевнений, що у нас все одно достатньо солдат"
 EVTNAME6430:0 "Хвороба"
 EVTDESC6430:0 "Спалах хвороби охопив місцевих мешканців, зменшивши кількість населення у провінції. Це призвело до зменшення кількості здорових людей, яких ми можемо експортувати як рабів."
 EVTOPTA6430:0 "Це пройде"
 EVTNAME6431:0 "Якісна слонова кістка"
 EVTDESC6431:0 "Наша продукція, що виробляється зі слонової кістки, стала набагато якіснішою останнім часом. Люди милуються якістю праці наших майстрів."
 EVTOPTA6431:0 "Це чудовий день"
 EVTNAME6432:0 "Партія чаю"
 EVTDESC6432:0 "Місцеві мешканці в провінції [tea_province.GetName], незадоволені тим, що їхній якісний чай поставляється за кордон, напали на корабель з чаєм та скинули весь вантаж у бухту. Хоч загальна кількість товару була незначною, у провінції поширюється незадоволення."
 EVTOPTA6432:0 "Щось має бути зроблено."
 EVTOPTB6432:0 "Ми самі це вирішимо."
 EVTNAME6433N:0 "Шторми"
 EVTDESC6433N:0 "Сильні бурі ушкодили деякі з наших порцелянових заводів в провінції [chinaware_province.GetName]. Пройдуть роки, перш ніж вони зможуть повністю відновити виробництво."
 EVTOPTA6433N:0 "Принаймні, вони хоч якось працюють.."
 EVTNAME6434:0 "Невдалий врожай"
 EVTDESC6434:0 "Врожай спецій в одній з наших провінцій не вдався, хоча і не зовсім поганий. Проте виробництво спецій через це буде знижено."
 EVTOPTA6434:0 "Це погано."
 EVTNAME6435:0 "Повстання рабів"
 EVTDESC6435:0 "Раби на одній з наших плантацій влаштували повстання, яке було придушене. Але жорстокість придушення викликала зростання невдоволення серед інших рабів."
 EVTOPTA6435:0 "Вони повинні знати своє місце."
 EVTNAME6500:0 "Liberum Veto – вільне вето"
 EVTDESC6500:0 "Наше дворянство прийшло до нас з цікавою пропозицією. Якщо ми надамо їм 'Liberum Veto' (принцип парламентського устрою, який дозволяв будь-якому депутату припинити обговорення питання і роботу парламенту взагалі, виступивши проти), вони натомість нададуть нам істотну підтримку в ході нинішньої війни. Хоча їхня пропозиція дійсно дуже щедра, деякі з наших радників припускають, що це тільки початок. Насправді, хоча вони будуть роздратовані відмовою, але інакше вони будуть полювати в майбутньому за кожною слабкістю, яку ми проявимо, та вимагати нових поступок."
 EVTOPTA6500:0 "Це всього лише латинська фраза."
 EVTOPTB6500:0 "Нехай повстають!"
 EVTNAME6501:0 "Вимога подальших поступок"
 EVTDESC6501:0 "Отримавши право 'Liberum Veto', наші дворяни вимагають подальших поступок, або загрожують використовуючи своє право створити конфедерацію проти нас."
 EVTOPTA6501:0 "Ми надамо ці привілеї."
 EVTOPTB6501:0 "Я не боюся конфедерації."
 EVTNAME6502:0 "Підтримка дворян"
 EVTDESC6502:0 "Наші дворяни бояться, що їхні землі буде втрачено через наступ супротивника, і вони не зможуть більше використовувати Liberum Veto. Таким чином, вони розпочали співпрацю у військових діях."
 EVTOPTA6502:0 "Чудово!"
 EVTNAME6503:0 "Реформи"
 EVTDESC6503:0 "Протягом довгого часу влада нашого уряду була значно обмежена наданим правом Liberum Veto. Тепер уряд нарешті відчуває себе достатньо сильним, щоб розпочати реформу. Тим не менш, нашим сусідам не дуже сподобаються наші спроби зміцнити державу."
 EVTOPTA6503:0 "Так, ми повинні зробити це."
 EVTOPTB6503:0 "Ні, час ще не прийшов"
 EVTNAME6504:0 "Кінець Liberum Veto"
 EVTDESC6504:0 "Одна з сусідніх держав довгий час була слабкою та роз'єднаною, запровадивши політику Liberum Veto. Однак зараз вони намагаються провести реформи та стати сильніше."
 EVTOPTA6504:0 "Час діяти"
 EVTNAME6601:0 "На порозі Революції"
 EVTDESC6601:2 "Революція! Влада [Root.GetGovernmentOGO] звалилася під власною вагою, коли революційні маси штурмували ключові урядові будівлі. [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] бу[Root.Monarch.GetMEndVLa] охоплен[Root.Monarch.GetMEndAYJ] панікою, і хоча спочатку здавалося, що [Root.Monarch.GetSheHe] знайш[Root.Monarch.GetMEndLaOv] вихід з цього становища, пішовши на невеликі поступки, незабаром революційні лідери розгледіли [Root.Monarch.GetHerHis] хитрощі та вирішили обмежити [Root.Monarch.GetHerHis] влив, відтявши [Root.Monarch.GetHerHim] голову. Хоча [Root.Monarch.GetHerHis] стійкі прихильники були впевнені, що незабаром з'явиться нов[Root.Monarch.GetMEndAYJ] [Root.Monarch.GetTitleKHTO], цього не сталося.\n\nНатомість був призначений суто тимчасовий Комітет громадської безпеки, який проведе нову Республіку через цей революційний період. Однак існує безліч загроз, оскільки монархи та деспоти по всій Європі побоюються, що вони можуть стати наступною жертвою революції й уже готуються до війни проти нас. З іншого боку, ліберальні сили чекають від нас допомоги в їх власній боротьбі, тож ми зможемо заручитися їхньою підтримкою."
 EVTOPTA6601:0 "Vive la Révolution!"
 EVTNAME6602:0 "Захист революції"
 EVTDESC6602:0 "Реакційні сили не тільки відмовляються визнати нашу революційну владу на одному рівні з сімействами Європи, але й також заперечують декларацію права поширювати нашу революцію іншим нужденним країнам. Люди гуртуються для підтримки революції."
 EVTOPTA6602:0 "Ми повинні боротися"
 EVTNAME6603:0 "Революції потрібно помститися"
 EVTDESC6603:0 "Жорстокий революційний уряд робить не тільки такі паскудні речі, як знищення феодального зобов'язання, оподаткування духовенства, обезголовлення дворян, але й намагається експортувати свою революційну догму в інші країни, бажають вони того, чи ні. Усі розумні люди нашої держави гуртуються в підтримку нашого богопризначеного монарха в його боротьбі проти великого ворога."
 EVTOPTA6603:0 "Ми її подолаємо"
 EVTNAME6604:0 "Революцію закінчено"
 EVTDESC6604:0 "Реакційні сили скинули уряд народу, замінивши революціонерів-безбожників нашим Богом призначеним королем. Люди стирають пил зі старих монархічних символів."
 EVTOPTA6604:0 "Все добре..."
 EVTNAME6605:0 "Порядок відновлено!"
 EVTDESC6605:0 "Нашій переможній армії вдалося повалити революційний уряд та відновити владу богопризначеного монарха. Все, що залишилося – узгодити справедливий мир."
 EVTOTPA6605:0 "Радіємо!"
 EVTNAME6606:0 "Штурм Бастилії"
 EVTDESC6606:2 "Революція! Зглота з третього стану підняла повстання і штурмувала Бастилію, поваливши старий режим. [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] бу[Root.Monarch.GetMEndVLa] охоплен[Root.Monarch.GetMEndAYJ] панікою, і хоча спочатку здавалося, що [Root.Monarch.GetSheHe] знайш[Root.Monarch.GetMEndLaOv] вихід з цього становища, пішовши на невеликі поступки, незабаром революційні лідери розгледіли [Root.Monarch.GetHerHis] хитрощі. Вони вирішили, що [Root.Monarch.GetSheHe] може якнайкраще допомогти Революції через науку, перш[Root.Monarch.GetMEndOJuYM] випробувавши новий винахід доктора Гійотена.\n\nЗ усуненням [Root.Monarch.GetTitleOGO] була встановлена нова революційна республіка з такими дивними поняттями, як невідчужні права для всіх (а не тільки для монархів). Однак існує безліч загроз, оскільки монархи та деспоти по всій Європі побоюються, що вони можуть стати наступною жертвою революції й уже готуються до війни проти нас. З іншого боку, ліберальні сили чекають від нас допомоги в їх власній боротьбі, тож ми зможемо заручитися їхньою підтримкою."
 EVTOPTA6606:0 "Сьогодні нічого."
 EVTNAME6607:0 "Реставрація"
 EVTDESC6607:0 "Сили порядку нарешті увійшли до столиці, старий режим було відновлено та Франція повернулася до монархії."
 EVTOPTA6607:0 "Нехай французи радіють"
 EVTNAME6608:0 "Кінець монархії"
 EVTDESC6608:1 "Через неспроможність монархії пристосуватися до нових, більш прогресивних умов, революційний суд вирішив, що наш король допоможе науці. [Root.Monarch.GetTitleKHTO] колишнього режиму буде першим, хто випробує на собі новий винахід доктора Гільотена."
 EVTOPTA6608:0 "Такий шлях прогресу."
 EVTNAME6609:0 "Вигнання революціонерів"
 EVTDESC6609:0 "З падінням революційного уряду лідери революції направилися у вигнання, повернувши Францію назад під владу короля."
 EVTOPTA6609:0 "Хай живе король!"
 EVTNAME6610:0 "Просування революції"
 EVTDESC6610:0 "З кінцем королівського абсолютизму, з'явився новий уряд на основі ліберальних принципів. Однак, продовження нестабільності та спроби короля відновити абсолютизм призвели до радикалізації ситуації. Уряд зараз став цілком революційним, і монарх з династії Бурбонів був обезголовлений. Вся Європа в шоці."
 EVTOPTA6610:0 "Хай живе Франція."
 revolution.20.t:0 "$COUNTRY$ знову стабільна!"
 revolution.20.d:1 "Найгірші крайнощі революційного періоду - тепер просто спогад."
 revolution.20.a:0 "Гарні новини!"
 EVTNAME1042:0 "Боротьба Центральної Америки за незалежність"
 EVTDESC1042:0 "До нас дійшли чутки, що невелика група повстанців поширює в наших колоніях ідею про єдину та незалежну державу Центральної Америки. Ми повинні це зупинити! Вони можуть взяти під контроль всі наші колонії, якщо ми не сприйматимемо їх серйозно."
 EVTOPTA1042:0 "Вони не зайдуть далеко."
 EVTNAME1043:0 "Боротьба Венесуели за незалежність"
 EVTDESC1043:0 "Невеликі партизанські загони почали тероризувати сільську місцевість у деяких наших північних колоніях Південної Америки. Було зроблено кілька спроб повалити владу колоніального губернатора і оголосити на цій землі незалежну державу. Якщо ці колонії дійсно важливі для нас, ми повинні спіймати повстанців, перш ніж вони піднімуть проти нас все населення."
 EVTOPTA1043:0 "Ми повинні обдумати нашу стратегію"
 EVTNAME1044:0 "Боротьба Парагвая за незалежність"
 EVTDESC1044:0 "Рухи за незалежність з'явилися у декількох наших провінціях Південної Америки. Якщо ми не вживемо заходів, то вже скоро вони скинуть нашу місцеву владу. Що ви плануєте зробити?"
 EVTOPTA1044:0 "Ми повинні захистити те, що належить нам."
 EVTNAME1045:0 "Боротьба Гаїті за незалежність"
 EVTDESC1045:0 "Невелика група повстанців почала порушувати порядок у наших карибських колоніях. Деякі з них поширюють ідеї про самостійну державу Гаїті. Це може стати для нас великою проблемою, якщо ми не відповімо належним чином."
 EVTOPTA1045:0 "Це не буде тривати довго!"
 EVTNAME1012:0 "Вестфалія"
 EVTDESC1012:0 "Спочатку це було невеличке герцогство, розташоване на схід від Рейна, створене у XII столітті, однак з часом, особливо у середньовіччя, його територія значно виросла. Кілька міст Вестфалії, такі як Мюнстер та Оснабрюк, процвітали в якості членів Ганзейського союзу."
 EVTOPTA1012:0 "Підтримати ідею вестфальської нації"
 EVTNAME1082:0 "Папська держава"
 EVTDESC1082:0 "Нас дуже засмучує, що володіння Папи зникають одне за іншим. Справжня відданість робить нас ідеальним кандидатом на створення нової Папської держави. Можливо, варто поступитися однією з наших провінцій?"
 EVTOPTA1082:0 "Во славу Господа!"
 EVTOPTB1082:0 "Воно того не варте"
 EVTNAME9090:0 "Повернення провінції $FROM$"
 EVTDESC9090:0 "Держава $FROMCOUNTRY$ вирішила повернути незаконно зайняту провінцію $FROM$. Вони вирішили... мудро.\n\nЩоб уникнути подібних звинувачень у захопленні імперських провінцій, краще повернути її попередньому власнику якнайшвидше."
 EVTOPTA9090:0 "Тепер вона наша!"
 EVTOPTB9090:0 "Повернути її попередньому власнику."
