l_ukrainian:
 ARMY_PROFESSIONALISM_VALUE:0 "Професіоналізм армії: $VALUE|Y%2$"
 CONFIRM_SELECT_TRADING_POLICY:0 "Обрати торговельну політику"
 CONFIRM_SELECT_TRADING_POLICY_DESC:1 "\nВи впевнені, що хочете вибрати політику $NAME|Y$ в торговому вузлі $NODE|Y$? Ви не зможете змінювати політику протягом §Y$MONTHS$ місяців§!.\n"
 TRADING_POLICY_MAINTAINED_IF:1 "\nЯкщо наступні умови не буде дотримано, політика автоматично зміниться на $DEFAULT|Y$:\n$IF$"
 growing_merchant_community:0 "Зростаюча торговельна спільнота"
 merchants_discriminated:0 "Дискриміновані торговці"
 foreign_merchant_community:0 "Процвітаюча торговельна спільнота"
 desc_foreign_merchant_community:0 "Квартал іноземців у столиці цієї провінції розрісся, що призвело до тимчасового збільшення зростання місцевої економіки."
 foreign_merchants_discriminated:0 "Зміцнення місцевих торговців"
 desc_foreign_merchants_discriminated:0 "Ми прийняли жорсткі заходи з підтримки місцевих торговців у цій провінції, за рахунок будь-яких іноземних купців у цій області."
 adopt_wahabism_title:0 "Обійми вакхабізму"
 adopt_wahabism_desc:0 "Нова гілка школи Ханбалі набуває популярності серед деяких наших племен. Хоча ми й не були послідовниками мазгаба Ханбалітів, багато впливових вчених зараз стверджують, що ми повинні приєднатися до цього руху."
 meddled_in_trade:0 "Втручання в нашу торгівлю"
 making_us_rich:0 "Великий імпортер"
 local_goods_in_demand:0 "Попит на предмети розкоші"
 desc_local_goods_in_demand:0 "Місцеві предмети розкоші здобули велику популярність в іноземній столиці. Прибутки від продажу дозволили місцевому підприємству значно зміцнитися та розширитися."
 outsiders_cleared_our_merchants:0 "Боротьба з бандитизмом"
 desc_outsiders_cleared_our_merchants:0 "Іноземні торговці цієї області зайнялися боротьбою з бандитизмом у цій провінції."
 merchants_hampered_by_bandits:0 "Торговці не справляються з бандитами"
 local_merchants_outcompeted:0 "Місцеві торговці програють конкуренцію"
 desc_local_merchants_outcompeted:0 "Місцеві торговці не можуть скласти конкуренцію іноземцям, які стали домінувати в виробництві в містах цієї провінції. Незважаючи на те, що стало проводитися більше товарів, значна частина прибутку потрапляє в руки іноземців."
 protectionism:0 "Протекціонізм"
 local_protectionism:0 "Місцевий протекціонізм"
 desc_local_protectionism:0 "Щоби впевнитися, що місцеві торговці мають переваги над іноземними, ми ускладнили життя всім чужинцям у цій провінції. Хоча це й завдає деякої шкоди економіці, ми можемо бути впевнені, що прибуток отримують ті, хто його заслуговує."
 influential_trading_family:0 "Впливова сім'я торговців"
 regulated_economic_growth:0 "Регульоване зростання економіки"
 desc_regulated_economic_growth:0 "Зростання попиту на місцеві товари призвело до економічного зростання в цій провінції."
 unregulated_economic_growth:0 "Нерегульоване зростання економіки"
 desc_unregulated_economic_growth:0 "Місцева економіка процвітає, але це ніяк не контролюється, через що трапляються деякі ексцеси, які призвели до заворушень як у сільській місцевості, так і в містах цієї області."
 lack_of_demand_for_local_goods:0 "Відсутність попиту на місцеві товари"
 desc_lack_of_demand_for_local_goods:0 "Несподіване падіння попиту на предмети розкоші з цієї провінції ускладнює роботу місцевих підприємств."
 influx_of_foreign_ideas:0 "Наплив іноземних ідей"
 desc_influx_of_foreign_ideas:0 "Іноземні торговці привезли в цю провінцію багато нових методів та ідей. Частина місцевого населення опирається цьому, і нерідко різко виступає проти змін."
 traditional_values_supported:0 "Укорінення традиційних цінностей"
 desc_traditional_values_supported:0 "Зіткнувшись із новими ідеями і методиками, ця провінція вирішила зберегти старі принципи і традиції."
 trade_policy_events.1.t:0 "Іноземний квартал у місті [quarter_city.GetCapitalName]"
 trade_policy_events.1.d:0 "Вже досить давно іноземні купці оселилися в місті [quarter_city.GetCapitalName] для поліпшення торгівлі з нашою країною. Однак останнім часом, зі зростанням зацікавленості з боку влади держави [community_country.GetName], квартал перетворився на справжнє місто.\nАле не обійшлося без проблем – наші громадяни скаржаться, що [community_country.GetAdjective]е співтовариство розширюється за їхній рахунок. Вони вимагають встановити жорсткіші правила для іноземних торговців і обмежити їхню діяльність межами торгового кварталу."
 trade_policy_events.1.a:0 "Ні, ми повинні заохочувати зростання іноземної спільноти."
 trade_policy_events.1.b:0 "Ми повинні поважати побажання хороших людей міста [quarter_city.GetCapitalName]."
 trade_policy_events.2.t:0 "[trade_province.Culture.GetName]а культура і [trade_province.GetFancyTradeGood]"
 trade_policy_events.2.d:0 "Оскільки наші купецькі сім'ї проводять дуже багато часу в [trade_province.Culture.GetName]их поселеннях, і особливо серед населення області [trade_province.GetAreaName], вони перейняли місцеві спеціалізації. Деякі з них почали продавати [trade_province.GetFancyTradeGood_LOW] з району в місті [Root.Capital.GetCapitalName] за дуже високими цінами.\nЗавдяки цьому і вони, і місцеві жителі стають дуже багатими..."
 trade_policy_events.2.a:0 "Чудовий приклад приватного підприємництва."
 trade_policy_events.2.b:0 "Остерігайтеся, бо мода мінлива."
 trade_policy_events.3.t:0 "[From.GetAdjective]ий попит і [Root.GetAdjective]е постачання"
 trade_policy_events.3.d:0 "Здається, що [trade_province.GetFancyTradeGood_LOW] з провінції [trade_province.GetName] стає все популярнішим у [From.GetAdjective]ій столиці, місті [From.Capital.GetCapitalName]. На наші товари завжди був високий попит, але цей надзвичайний ажіотаж призвів до швидкого зростання багатства у провінції."
 trade_policy_events.3.a:0 "Чудово."
 trade_policy_events.4.t:0 "Цінність хорошої мапи"
 trade_policy_events.4.d:0 "Здається, що торговці держави [spy_country.GetName] роблять набагато більше, ніж просто торгують. У ході звичайної перевірки нашим місцевим представникам вдалося розкрити не лише різноманітну контрабанду, а й набір дуже докладних мап наших володінь. Настільки детальних, що багато в чому вони навіть краще наших власних. Схоже, що торговець був не тільки шпигуном, а й непогано знаходив можливості для бізнесу."
 trade_policy_events.4.a:0 "Ми винесемо багато користі з цієї інформації."
 trade_policy_events.5.t:0 "Бандити в провінції [banditprovince.GetName]"
 trade_policy_events.5.d:0 "Молодий [Root.GetAdjective]ий торговець, спрямований у провінцію [banditprovince.GetName] з місією не лише торгувати, а й нанести на мапу військові об'єкти й цінні ресурси, потрапив у халепу. Справа тут навіть не у місцевій владі, як може здатися. Просто вся область кишить бандитами і дезертирами з місцевого гарнізону.\nЗараз наш агент просить від нас допомоги, щоб очистити область від найгірших зловживань, щоб її можна було належним чином замапувати та проаналізувати."
 trade_policy_events.5.a:0 "Ми перенаправимо необхідні ресурси."
 trade_policy_events.5.b:0 "Ні, цим ми просто допоможемо [banditprovince_owner.GetAdjective]им власникам."
 trade_policy_events.6.t:0 "Іноземні торговці втручаються в місцеві справи"
 trade_policy_events.6.d:0 "Місцеві бандити довгий час були проблемою в провінції [banditprovince.GetName], але, схоже, проблема остаточно вирішена. Однак, її вирішила не місцева влада, що займалася проблемою, а схоже, що це було [From.GetAdjective]е торгове співтовариство, яке втрутилося і заплатило за вирішення проблеми зі своїх власних кишень."
 trade_policy_events.6.a:0 "Дивовижно"
 trade_policy_events.7.t:0 "Спекуляції в місті [trade_province.GetCapitalName]"
 trade_policy_events.7.d:0 "Мешканці міста [trade_province.GetCapitalName] втомилися від впливу жадібних [trader_country.GetAdjective]их купців, які, за їхніми твердженнями, нечесно використовують свої переваги, щоб залишити місцеві компанії поза конкуренцією. Вони вимагають, щоби ми втрутилися та примусово скоротили вплив іноземних торговців у регіоні, а також відновили привілеї наших власних купців і ремісників.\nЯкщо ми не діятимо, вони можуть взяти справу у свої руки..."
 trade_policy_events.7.a:0 "Ми захищатимо нашу торгівлю."
 trade_policy_events.7.b:0 "Конкуренція вигідна всім."
 trade_policy_events.8.t:0 "Зростання продажів товару [developing_business_province.GetFancyTradeGood]"
 trade_policy_events.8.d:0 "Наші зусилля по максимізації прибутку від торгівлі в області [developing_business_province.GetAreaName] принесли свої плоди в провінції [developing_business_province.GetName]. Виробникам вдалося значно збільшити виробництво товару [developing_business_province.GetFancyTradeGood_LOW] та знайти для оброблених товарів нові ринки збуту в нашій столиці."
 trade_policy_events.8.a:0 "Чудово."
 trade_policy_events.9.t:1 "[Root.prominent_merchant.GetName] та його родина"
 trade_policy_events.9.d:0 "Купецька родина з провінції [merchant_family_province.GetName] значно розвинула нашу торгівлю з державою [foreign_province_owner.GetName]. Вдало зарекомендувавши себе як у місті [foreign_province_owner.Capital.GetCapitalName] так і в [foreign_province_owner.GetAdjective]их глибинних районах, вони стали дуже впливовими і багатими в обох цих суспільствах. Можливо, ми могли би скористатися цією ситуацією ..."
 trade_policy_events.9.a:0 "Використаємо їхній вплив, щоби роздобути мапи [foreign_province_owner.GetAdjective]их тилів."
 trade_policy_events.9.b:0 "Ми не повинні питати що вони можуть зробити для нас. Добре для них – добре для нас."
 trade_policy_events.9.c:0 "Хай [Root.prominent_merchant.GetName] стане новим творцем нашої торгової політики."
 trade_policy_events.10.t:0 "[trade_province.GetFancyTradeGood] користується підвищеним попитом"
 trade_policy_events.10.d:1 "[trade_province.GetFancyTradeGood] з провінції [trade_province.GetName] останнім часом приносить гарний прибуток як на закордонних, так і на внутрішніх ринках. Настільки гарний, що це породило нове покоління підприємців і економічні спекуляції."
 trade_policy_events.10.a:0 "Ми маємо втрутитися, щоб уникнути прикрощів."
 trade_policy_events.10.b:0 "Полегшимо правила, щоби дійсно допомогти місцевим підприємцям."
 trade_policy_events.11.t:0 "На [trade_province.GetFancyTradeGood_LOW] немає попиту"
 trade_policy_events.11.d:0 "Провінція [trade_province.GetName] довгий час жила за рахунок місцевого виробництва товару [trade_province.GetFancyTradeGood_LOW], але останнім часом торговці були змушені продавати свою продукцію за зниженими цінами. Складно сказати, чи пов'язано це з тимчасовими примхами моди або більш довготривалими змінами, але зрозуміло, що місцева торгівля страждає."
 trade_policy_events.11.a:0 "Шкода."
 trade_policy_events.12.t:0 "Поширення ідей"
 trade_policy_events.12.d:0 "Разом з обміном грошима та товарами часто відбувається поширення методів та ідей. Зростання [merchant_country.GetAdjective]ої купецької активності в місті [institution_province.GetCapitalName] явно впливає на місцеву громаду. Тоді як звичаї і мода змінюються, залишається багато прихильників старих, як вони вважають, кращих часів."
 trade_policy_events.12.a:0 "Наше суспільство лише виграє від прогресу."
 trade_policy_events.12.b:0 "Захистимо традиційні [institution_province.culture.GetName]і цінності."
 trading_settlement:0 "Торгове поселення"
 desc_trading_settlement:0 "Ми дозволили мусульманським торговцям створити власне поселення за межами наших міст у цій провінції."
 muslim_traders_controlled:0 "Контрольована торгівля"
 desc_muslim_traders_controlled:0 "Ми обмежили зростання мусульманського торгового співтовариства у цій провінції. Це значно полегшує контроль і збір податків, але у довгостроковій перспективі може перешкодити зростанню наших міст."
 islamic_missionaries:0 "Мусульманські місіонери"
 desc_islamic_missionaries:0 "Ми дозволили багатьом мусульманським місіонерам оселитися в цій провінції."
 muslim_sailor_community:0 "Моряцька громада"
 desc_muslim_sailor_community:0 "Ця провінція є батьківщиною для процвітаючої спільноти мусульманських моряків."
 religious_community_isolated:0 "Ізольована релігійна громада"
 desc_religious_community_isolated:0 "Ми ізолювали релігійну громаду цієї провінції, щоб обмежити поширення їхньої віри."
 mosque_of_x:0 "Поширення релігійного впливу"
 desc_mosque_of_x:0 "Недавнє зведення мечеті неподалік зробило цей регіон більш сприйнятливим до нових релігійних ідей."
 explain_conversion_strength_in_true_religion_provinces:0 "Торгова політика §YПоширювати релігію§! збільшує локальну силу місіонера і швидкість навернення провінцій.\n\n"
 discriminated_our_countrymen:0 "Дискримінація наших співвітчизників"
 adopted_islamic_titles:1 "Названий султан"
 converted_to_islam:0 "Приєднався до товариства віруючих"
 sultan_titles_for_non_muslims_tooltip:1 "[Root.Monarch.GetName] надалі буде відомий як султан, покращивши наші стосунки на §G75§! з усіма відомими §Yмусульманськими§! країнами."
 sultan_conversion_tooltip:0 "Наші стосунки покращаться на §G50§! з усіма відомими §Yмусульманськими§! країнами."
 islamic_titles:0 "Ісламський синкретизм"
 desc_islamic_titles:0 "Ми перейняли безліч титулів і звичаїв у ісламських королівств нашого регіону для просування наших дипломатичних і торговельних інтересів."
 defended_traditional_kingship:0 "Традиційне королівство"
 desc_defended_traditional_kingship:0 "Наш правитель відстояв традиційні уявлення про державу в нашому суспільстві й маргіналізував ісламські угрупування серед аристократії та в уряді."
 the_dominant_religion_is_a_form_of_islam_tooltip:0 "Домінуюча релігія в нашій країні є однією з форм ісламу."
 trade_propagation_convert_to_islam_title:0 "Прийняти іслам як державну релігію"
 trade_propagation_convert_to_islam_desc:0 "Іслам все частіше стає домінуючою релігією як в уряді, так і серед наших васалів і дворянства. Прийшов час приєднатися до спільноти віруючих."
 chiefs_with_pretensions:0 "Претензії місцевих царків"
 desc_chiefs_with_pretensions:0 "Дрібний вождь почав вести себе як султан і уявив себе незалежним правителем."
 rejection_of_syncretism:0 "Відмова від синкретизму"
 desc_rejection_of_syncretism:0 "Ми активно протидіємо поширенню ісламського синкретизму в нашій країні."
 helped_clear_out_bandits:0 "Боролися з нашими бандитами"
 propagate_religion_events.1.t:0 "Торговці міста [trade_province.GetCapitalName]"
 propagate_religion_events.1.d:0 "Мусульманські торговці стали звичним явищем у наших портах уже протягом багатьох поколінь, і ми виросли звиклими до них і їхньої релігії. У портах нашої провінції [trade_province.GetName], і, зорема, у місті [trade_province.GetCapitalName] самі торговці стали настільки звичайним явищем, що вони вже стали невід'ємною частиною міського населення.\nНещодавно [Root.Monarch.GetTitle] прийняли торговців, які звернулися з проханням дозволити побудувати поселення для таких як вони, недалеко від меж міста [trade_province.GetCapitalName]."
 propagate_religion_events.1.a:0 "Від цього стане тільки краще."
 propagate_religion_events.1.b:0 "Ні, вони повинні залишитися там, де ми зможемо їх контролювати."
 propagate_religion_events.2.t:0 "Місіонери, що провідують [converter_country.Religion.GetName]"
 propagate_religion_events.2.d:0 "Група мулульманських місіонерів оселилася в провінції [trade_province.GetName], щоб заснувати тут нову спілку для себе та людей, які прийняли їхню віру. Вони співпрацюють з місцевою владою і не заперечують наше верховенство, але, швидше за все, ця присутність сприятиме швидкому розповсюдженню їхньої віри на весь регіон."
 propagate_religion_events.2.a:0 "Ми не можемо дозволити місцевій владі пропускати зовнішні групи, такі як ця."
 propagate_religion_events.2.b:0 "Вони стануть непоганим доповненням до нашого суспільства."
 propagate_religion_events.3.t:0 "Мусульманські моряки"
 propagate_religion_events.3.d:0 "Від Жовтого моря до Індійського океану є багато кораблів – від маленьких дау до величних галер, які постійно курсують між багатьма портами. Уся разом ця торгова система забезпечує товарами й провізією більше, ніж половину населення світу.\nОб'єднує більшість цих галер те, що їхні екіпажі укомплектовані мусульманськими моряками. Ці моряки родом з Aфрики чи Середньої Азії, до яких приєдналися навернені місцеві жителі."
 propagate_religion_events.3.a:0 "Заохотимо цих моряків шукати наші порти!"
 propagate_religion_events.3.b:1 "Нам не потрібні представники чужеземних релігій на наших кораблях."
 propagate_religion_events.4.t:0 "Диво"
 propagate_religion_events.4.d:0 "Освічений чоловік з далеких земель сказав, що може вилікувати принцесу з провінції [cured_province.GetName] від тяжкого захворювання. Місцеві мешканці дуже вражені й вирішили прийняти віру цього мулла, щоб його Бог зміг захистити їх у майбутньому."
 propagate_religion_events.4.a:0 "Це добрий знак."
 propagate_religion_events.4.b:0 "Ми хочемо запросити цього чоловіка до столиці [Root.Capital.GetCapitalName]. Він там дуже знадобиться."
 propagate_religion_events.5.t:0 "Збудовано мечеть у провінції [mosque_province.GetName]"
 propagate_religion_events.5.d:0 "Мусульмани провінції [mosque_province.GetName] збудували нову мечеть, яка служитиме як дім молитви. Ця мечеть – це новий, чітко означений центр громади й, швидше за все, буде залучати більше людей селитися в цій місцевості. Вона також сприятиме наверненню всієї області.\nІснують явні ознаки того, що нова мечеть частково фінансується багатьма [converter_country.GetAdjective]ими торговцями, які є активними в регіоні, проте в нашому уряді трошки хвилюються, що це може призвести до надмірного впливу на них і їхню релігію."
 propagate_religion_events.5.a:0 "Ми не можемо допустити це."
 propagate_religion_events.5.b:0 "Надамо їм підтримку, яку вони потребують для побудови кращої спільноти."
 propagate_religion_events.6.t:0 "Султан країни [Root.GetName]?"
 propagate_religion_events.6.d:0 "Іслам поступово стає панівною релігією нашої країни; багато наших чиновників, дворян та інших державних службовців починають визнавати ісламські поняття монаршого сану, арабські імена та посади. По суті, більшість з них почали називати правителя Султаном, хоча нашою офіційною релігією залишається [Root.Religion.GetName]. Наразі [Root.Monarch.GetName] вислуховують поради радників, які радять, що було б доцільним погодитися із цим. Якщо почати згадувати нашу країну як султанат, можливо, це полегшить стосунки з багатьма мулумьманськими країнами в усьому світі."
 propagate_religion_events.6.a:0 "Мені подобається ця ідея."
 propagate_religion_events.6.b:0 "Ні, ми маємо захищати традиційні цінності, на яких стоїть [Root.GovernmentName] [Root.GetAdjective]ої держави!"
 propagate_religion_events.7.t:0 "Приєднання до спільноти правовірних"
 propagate_religion_events.7.d:0 "Оскільки [Root.Religion.GetName] є офіційною релігією країни [Root.GetName], ми приєдналися до спільноти віруючих. Хоча деякі непохитні традиціоналісти оплакують цю зміну, багато наших мусульманських підданих схвалюють справедливе правління, що здійснює [Root.Monarch.GetName]."
 propagate_religion_events.7.a:0 "Хай живе [Root.Monarch.GetTitle]!"
 propagate_religion_events.8.t:0 "Мандрівний вчений"
 propagate_religion_events.8.d:0 "Освічений чоловік з далеких земель прибув у провінцію [Root.Capital.GetCapitalName]. Він заявляє, що брав уроки у вчених багатьох відомих міст – від величних міст Гінду до Мекки, від Багдада до Каїра. Він розбирається в політиці великого ісламського світу, а також у складних питаннях теології."
 propagate_religion_events.8.a:0 "Нам потрібно завербувати цього чоловіка. Давайте знайдемо йому місце при нашому дворі!"
 propagate_religion_events.8.b:0 "Дізнаємося якомога більше про стан справ за кордоном."
 propagate_religion_events.9.t:0 "Мусульманські правителі"
 propagate_religion_events.9.d:0 "У [Root.GetAdjective]ій глибинці багато місцевих князьків керують своїми власними володіннями практично без втручання з боку центральної влади. Однак, навіть якщо вони не мають здатності демонструвати значну владу, деякі мають більші амбіції. Деякі місцеві правителі провінції [hinterland_province.GetName] заявили високі претензії, почавши називати себе султанами та намагаючись набути законності, навертаючи своє населення в іслам."
 propagate_religion_events.9.a:0 "Абсурд."
 propagate_religion_events.10.t:0 "Ісламський синкретизм"
 propagate_religion_events.10.d:0 "Усе частіше й частіше у [Root.GetAdjective]их селах можна побачити подорожуючих суфіїв, загадкових проповідників ісламської віри. Вони часто отримують теплий прийом не лише від їхніх братів по віросповіданню, а й від селян, які знайшли спосіб інтегрувати ісламську віру в їхні звичаї та міфи. Результатом стало не те, що гармонійно вписалося б у Мецці чи Каїрі, але, в цілому, зробило людей більш схильними до ісламу."
 propagate_religion_events.10.a:0 "Ми повинні захищати віру наших предків!"
 propagate_religion_events.10.b:0 "Якої шкоди ці люди можуть зробити."
 propagate_religion_events.11.t:0 "Мусульманські біженці"
 propagate_religion_events.11.d:0 "Багато біженців від далекої війни прибуло на наші береги. Ними керують ісламські шейхи й заявляють, що якщо ми просто дамо їм незайняті землі, вони створять процвітаюче поселення й житимуть там нормальним життям наших підданих."
 propagate_religion_events.11.a:0 "У мене знайдеться чудове місце..."
 propagate_religion_events.11.b:0 "Вони повинні знайти притулок деінде."
 propagate_religion_policy:0 "Релігійний центр"
 protestant_center_of_reformation:0 "Центр Реформації"
 reformed_center_of_reformation:0 "Центр Реформації"
 INVITE_SCHOLAR_INSTANT_TOOLTIP:0 "§YЗапросити вченого§!"
 INVITE_SCHOLAR_DELAYED_TOOLTIP:1 "Запросивши вченого з іншої країни, ми отримаємо унікальний бонус на 20 років."
 UNIQUE_TRADING_POLICY_ALREADY_ACTIVE:0 "§RЦю торгову політику може проводити лише одна країна у вузлі і вона вже проводиться державою §!$BY|Y$§R.§!"
 ARMY_PROFESSIONALISM_YEARLY_MODIFIERS_DESC:0 "§YРічний приріст:§!\n$MODIFIER$"
 ARMY_PROFESSIONALISM_STATIC_MODIFIERS_DESC:1 "§YНегайний приріст:§!\nВербування генерала: §G+1%§!\nВербування найманців: §R-5%§!"
 unruly_tribes:0 "Непокірні племена"
 desc_unruly_tribes:0 "Місцеві племена в цій області незадоволені тим, що їх не винагородили за дії в підтримку правителя."
 disfavored_clan:0 "Клан втрачає прихильність"
 desc_disfavored_clan:0 "Ми обмежили вплив одного з місцевих кланів із цього регіону і, не зважаючи на великий неформальний вплив, який вони змогли нещодавно накопичити."
 favored_clan:0 "Привілейований клан"
 desc_favored_clan:0 "Ми надали привілеї клану, який набирає ваги в цьому регіоні за рахунок інших."
 city_protected:0 "Міські території захищені"
 desc_city_protected:0 "Ми приборкали наших місцевих племінних збирачів податків у цій області, щоби захистити привілеї міщан."
 urbanites_chastised:0 "Перенавантаження міст"
 desc_urbanites_chastised:0 "Місцеві клани, можливо, були занадто жадібні, отримуючи прибуток від міщанства в цій провінції."
 religious_heterodoxy:0 "Релігійне інакомислення"
 desc_religious_heterodoxy:0 "Місцеві племена були в захваті від харизматичного шейха. Ми призначили цю людину на посаду при нашому дворі, і він тепер отримує прибуток з цього регіону."
 imposed_religious_orthodoxy:0 "Релігійні заворушення"
 desc_imposed_religious_orthodoxy:0 "Місцевий шейх повстає проти нашої влади в цьому регіоні."
 religious_fervor_among_tribesmen:0 "Релігійний запал"
 desc_religious_fervor_among_tribesmen:0 "Наші племена надихнулися сусідньою релігійною сектою. Це натхнення поступово піддає їм мужності, роблячи наші армії ще більш грізними."
 divided_loyalties:0 "Поділена відданість"
 desc_divided_loyalties:0 "Племена в цій провінції служать двом правителям. Обидві племінні ради вважають, що вони є істинними правителями й релігійними лідерами феодальної теократії."
 religious_propaganda:0 "Релігійна пропаганда"
 desc_religious_propaganda:0 "Сусідня феодальна теократія розповсюджує пропаганду серед наших племен, щоби посіяти розлад і поставити під сумнів вірність наших союзних племен."
 strong_national_clan:0 "Сильний національний клан"
 desc_strong_national_clan:0 "Незважаючи на малу присутність тут, ця місцевість контролюється кланом, який має неабиякий контингент у своїй племінній федерації."
 strong_local_clan:0 "Сильний місцевий клан"
 desc_strong_local_clan:0 "Цей регіон довірений для управління сильному місцевому клану, на зло сильнішим кланам на національному рівні."
 unsafe_caravans:0 "Напади на каравани"
 unsafe_roads_hurting_demand:0 "Напади на каравани"
 desc_unsafe_roads_hurting_demand:0 "Напади на каравани на іноземній території перешкоджають збуту наших місцевих товарів, який, у свою чергу, негативно позначається на місцевій економіці."
 rooting_out_raiders:0 "Викорінення розбійників"
 desc_rooting_out_raiders:0 "Зараз ми проводимо кампанію з викорінення місцевих розбійників, таким чином ми зможемо захистити торговельні шляхи в цьому регіоні."
 caravans_protected_by_raiders:0 "Розбійники захищають каравани"
 desc_caravans_protected_by_raiders:0 "Замість того, щоб витрачати час на довгу кампанію з викорінення розбійників ми почали платити їм задля захисту торгових караванів у цьому регіоні. Дороге, але ефективне рішення."
 COLUMBIAN_EXCHANGE:0 "Колумбійська біржа"
 tribal_federation_events.1.t:0 "Клани провінції [clan_province.GetName]"
 tribal_federation_events.1.d:0 "[Root.Monarch.GetTitle] давно має підтримку кланів провінції [clan_province.GetName], а вони є стовпом нашої федерації. У свою чергу, вони сподіваються, що їхній рідний регіон [clan_province.GetName] та його мешканці отримають перевагу під час розподілу трофеїв і призначення посадових осіб."
 tribal_federation_events.1.a:0 "Прийшов час продемонструвати нашу вдячність."
 tribal_federation_events.1.b:0 "Привілеї треба заслужити."
 tribal_federation_events.2.t:0 "Становище громадян у місті [urban_province.GetCapitalName]"
 tribal_federation_events.2.d:1 "Міська рада містa [urban_province.GetCapitalName] звернулася до нас із проханням про допомогу. За їхніми словами, клани обкладають їх надмірними податками й відбирають необґрунтовано багато їхніх земель під пасовища. Вони звернулися до нас у надії, що [Root.Monarch.GetTitle] прийме справедливіше рішення."
 tribal_federation_events.2.a:0 "Ми не будемо втручатися в місцеву політику."
 tribal_federation_events.2.b:0 "Будемо стримувати лідерів кланів."
 tribal_federation_events.3.t:0 "Висхідний лідер клану"
 tribal_federation_events.3.d:0 "Баланс сил у нашій федерації часто змінюється, оскільки здібні люди і клани проявляють себе й отримують вплив завдяки своїй мужності та хитрості у війнах або нальотах. Область [clan_area.GetAreaName] недавно стала свідком появи одного такого клану, а його лідер тепер вимагає місце в раді, до якої прислухається [Root.Monarch.GetTitle]."
 tribal_federation_events.3.a:0 "Потіснімося заради нього!"
 tribal_federation_events.3.b:0 "Він краще нам послужить на полі бою."
 tribal_federation_events.3.c:0 "Ми повинні захищати привілеї традиційних провідних кланів."
 tribal_federation_events.4.t:0 "Впливовий шейх"
 tribal_federation_events.4.d:0 "Місцевий суфійській орден у провінції [sufi_came_from_here.GetName] став набувати популярності серед місцевих племен. Цей новонабутий запал привів до зростаючого відчуття спільноти й завзяття серед наших воїнів у цьому районі, надзвичайно захоплених цим харизматичним містицизмом."
 tribal_federation_events.4.a:0 "Запросимо його до ради!"
 tribal_federation_events.4.b:0 "Це образа всього праведного."
 tribal_federation_events.5.t:0 "Релігійний запал"
 tribal_federation_events.5.d:0 "Племена з провинції [tribal_religion_province.GetName] були зачаровані харизматичними проповідниками уряду [neighboring_feudal_theocracy.GovernmentName] з держави [neighboring_feudal_theocracy.GetName]. Подібно до багатьох частин нашої федерації, цей регіон завжди був релігійно неоднорідним, але [Root.Monarch.GetTitle] і [Root.Monarch.GetHerHis] радники схвильовані подібним збігом обставин."
 tribal_federation_events.5.a:0 "Ми не можемо дозволити династії [neighboring_feudal_theocracy.Monarch.Dynasty.GetName] такий вплив на наших землях."
 tribal_federation_events.5.b:0 "Безумовно, релігійні переконання тільки збільшать жорстокість наших воїнів?"
 tribal_federation_events.6.t:0 "Поділ трофеїв"
 tribal_federation_events.6.d:0 "Традиційно під час інтеграції нових земель право на оподаткування певних територій або використання їхніх пасовищ для випасу розподіляється між тими нашими провідними кланами, які допомагали під час недавніх воєн. Однак, є два клани, які претендують на престижні землі області [clan_province.GetAreaName]. Один з них вірно служив нам протягом багатьох років, але не має значної присутності в тих землях. Інший має там чималий вплив, проте не має особливої ваги та влади в решті частини федерації."
 tribal_federation_events.6.a:0 "Довіримося місцевим талантам."
 tribal_federation_events.6.b:0 "Ми повинні підтримати наших старих друзів."
 tribal_federation_events.7.t:0 "Королівська родина"
 tribal_federation_events.7.d:0 "Від верхівки до низів [Root.GetAdjective]ого суспільства особистий авторитет надзвичайно важливий для будь-якої форми влади. Династія [Root.Monarch.Dynasty.GetName] користується значною повагою, але [Root.Monarch.GetName] далеко не єдиний кандидат на владу в клані, не кажучи вже про федерацію.\nПлемена в області [revolt_province.GetAreaName] переконали одного з членів монаршої родини, що зараз вдалий момент, щоб завдати удару й узяти своє."
 tribal_federation_events.7.a:0 "Повстанців буде розчавлено!"
 tribal_federation_events.8.t:0 "Викрадено товар [fancy_trade_caravan_origin.GetFancyTradeGood]"
 tribal_federation_events.8.d:0 "Караван, що віз [fancy_trade_caravan_origin.GetFancyTradeGood_LOW], потрапив у засідку в провінції [ambush_province.GetName]. Здається, місцевий клан вважає, що законного збору податків від нашого імені їм недостатньо, щоб вижити. Замість цього вони вирішили самостійно збільшити свої прибутки, використовуючи силу.\nКоролівська рада розділилася між тими, хто вважає, що ми повинні завдати удару по бандитах для забезпечення безпечного проходу для торговців, і тих, хто вважає, що ми повинні почати платити цим племенам для захисту караванів."
 tribal_federation_events.8.a:0 "Ми повинні викорінити нальотчиків."
 tribal_federation_events.8.b:0 "Заплатити за захист."
 tribal_federation_events.9.t:0 "Викрадено товар [fancy_trade_caravan_origin.GetFancyTradeGood]"
 tribal_federation_events.9.d:0 "Схоже, що [From.GetAdjective]а держава не може контролювати свої клани. Караван, що віз [fancy_trade_caravan_origin.GetFancyTradeGood_LOW] потрапив у засідку в провінції [ambush_province.GetName]. Місцева влада стверджує, що вони збираються вирішувати ситуацію, але на разі наслідком цього є різке зниження прибутку наших місцевих торговців."
