l_ukrainian:
 FLAGSHIPS_IN_NAVY:0 "Цей флот містить флагмани."
 expel_minority_events.1.d:0 "Наші спроби вислати населення, що сповідує [expelling_province.Religion.GetName] з провінції [expelling_province.GetName] до колонії [expelling_colony.GetName] не були витлумачені як добрі наміри людьми, що залишали свої будинки, але дехто з відбувших бачить певні переваги у своїй новій батьківщині. Колонія, принаймні, на ранніх етапах, лояльніша в питаннях релігії, а деякі проповідники вважають її найкращим місцем для проповідування віри [expelling_province.Religion.GetName]. Ці новини досягли провінції [expelling_province.GetName] та дещо пом'якшили негативне ставлення до проекту."
 expel_minority_events.1.a:0 "Нехай вірять, якщо їх зігріють ці думки."
 expel_minority_events.2.t:0 "Солідарність провінції [expelling_province.Religion.GetName]"
 expel_minority_events.2.d:0 "Наше вигнання чужовірців мало обмежитися провінцією [expelling_province.GetName], але релігійні спільноти меншою мірою прив'язані до кордонів. Родичі, друзі та інші жителі із сусідньої провінції [heathen_neighbors_moving.GetName], які так чи інакше пов'язані з тими, хто змушений покинути свої будинки, тепер також переселяються, намагаючись зберегти єдність спільноти навіть за рахунок вигнанння з держави [Root.GetName]. Ми не планували цю міграцію, але вона може послужити нашим інтересам."
 expel_minority_events.2.a:0 "Хай забираються. Це з самого початку було нашою метою."
 expel_minority_events.2.b:0 "Зупиніть це. Вони нам потрібні там, де вони є."
 expel_minority_events.3.t:0 "Остання [expelling_province.Culture.GetName] родина в провінції [Root.GetName]"
 expel_minority_events.3.d:0 "[expelling_province.Culture.GetName] громада провінції [expelling_province.GetName], що сповідує [expelling_province.Religion.GetName], вже давно відчуває себе ізгоями в [Root.GetAdjective]ому суспільстві, оскільки є культурною та релігійною меншістю. Тепер їх виганяють з останнього місця проживання – провінції [expelling_province.GetName].\n\nПодальше перебування в провінції [expelling_province.GetName] не обіцяє їм світлого майбутнього, більше того, навіть стає небезпечним. Багато хто остерігається наслідків тривалого перебування в такому ворожому середовищі. Замість контрольованої міграції, на яку ми сподівалися, місцеві стрімко тікають, ніхто не хоче залишатися останнім."
 expel_minority_events.3.a:0 "Не зовсім так, як ми це планували."
 expel_minority_events.4.t:0 "[expelling_province.Culture.GetName] громада тікає з провінції [expelling_province.GetName]"
 expel_minority_events.4.d:0 "[expelling_province.Culture.GetName] громада в своїй більшості не противиться нашим зусиллям по переселенню їх в нашу колонію [expelling_colony.GetName], деякі шукають вихід із ситуації, що склалася. Одним з них є втеча в сусідню провінцію, оскільки наша увага зосереджена на провінції [expelling_province.GetName].\n\nХоча їхні спроби явно суперечать нашому плану, намагання перешкодити явно не примирять їх з нашими початковими задумами. Швидше за все, вони розбіжаться по інших землях, що призведе до ще більшого погіршення ситуації."
 expel_minority_events.4.a:0 "Принаймні ми знаємо куди вони йдуть."
 expel_minority_events.4.b:0 "Ми не потерпимо такі прояви непокори!"
 expel_minority_events.5.t:0 "Вислання чиновників"
 expel_minority_events.5.d:0 "Ми виселяємо до колонії [expelling_colony.GetName] з провінції [expelling_province.GetName] не лише простолюд. Багато хто з них виконував важливу роль у керуванні провінції [expelling_province.GetName], часом служачи посередниками між [Root.GetAdjective]ою владою та місцевим населенням. Після їхнього вислання управляти провінцією буде складніше, що вимагатиме від нас певних дій. Або ми оберемо вибірковий підхід до керування провінцією [expelling_province.GetName], допоки не заповнимо вакансії, або нам доведеться прискорити плани щодо зменшення числа тих, ким потрібно управляти."
 expel_minority_events.5.a:0 "Посади повинні бути вакантними на деякий час."
 expel_minority_events.5.b:0 "Нам просто доведеться відправляти людей за кордон ще швидше."
 MODIFIER_ESTABLISH_ORDER_COST:0 "Вартість розміщення місії Святого Ордену"
 MODIFIER_MOVEMENT_SPEED_ONTO_OFF_BOAT:0 "Швидкість вантаження та висадки з кораблів"
 portuguese_corps_of_fusiliers:0 "Португальські фузилери"
 portuguese_corps_of_fusiliers_desc:0 "Наші фузилери повинні бути готові атакувати з корабля, так якби він був сушею, адже португальський флот є продовженням самої країни."
 integrated_marines:0 "Інтегровані морські піхотинці"
 integrated_marines_desc:0 "Кожен солдат, який потрапляє на корабель, не може бути морським піхотинцем, але їх на нашому флагмані має бути достатньо, щоб змінити хід подій."
 MODIFIER_MONTHLY_CHANCE_ADMIRAL_GAINING_SKILL:0 "Щомісячний шанс отримати адміральський навик у місії"
 scandinavian_flag_officers:0 "Скандинавські морські офіцери"
 scandinavian_flag_officers_desc:0 "З нашої залежністю від моря і доступом до торгівлі, що протікає через Зунд, ми володіємо чудовим джерелом досвідчених моряків яких можна найняти як професійних офіцерів, що складуть ядро нашого флоту."
 flag_officers:0 "Морські офіцери"
 flag_officers_desc:0 "Прапор, що майорить на флагмані й позначає звання капітана, служить джерелом гордості для багатьох офіцерів, заохочуючи мужність і амбіційність."
 MODIFIER_PRIVATEERING_EFFICIENCY_IN_FLEET:0 "Ефективність каперства"
 spare_jolly_roger:0 "Запасний веселий Роджер"
 spare_jolly_roger_desc:0 "Над нашим кораблем зазвичай майорить прапор нашої батьківщини, але немає нічого поганого в тому, щоб мати й більш загрозливий прапор, для особливих випадків."
 MODIFIER_FLAGSHIP_NAVAL_TRADITION:1 "Морські традиції від битв"
 captains_log:0 "Капітанський журнал"
 captains_log_desc:0 "Щоб вести облік як для своєї країни, так і для історії, наші капітани будуть вести вахтовий журнал як вони сміливо кермують туди, де ще не ходив жодний корабель."
 MODIFIER_PRESTIGE_FROM_BATTLES_IN_FLEET:0 "Престиж від морських битв"
 tooltip_wharf_on_institution_continent:1 "Має §Yморську мануфактуру§! та знаходиться на континенті походження мануфактури."
 tooltip_weapons_on_institution_continent:0 "Має §Yвійськову мануфактуру§! та знаходиться на континенті походження мануфактури."
 tooltip_textile_on_institution_continent:0 "Має §Yтекстильну мануфактуру§! та знаходиться на континенті походження мануфактури."
 tooltip_plantations_on_institution_continent:0 "Має §Yплантацію§! та знаходиться на континенті походження мануфактури."
 tooltip_tradecompany_on_institution_continent:1 "Має §Yторговий пункт§! та знаходиться на континенті походження мануфактури."
 tooltip_farm_estate_on_institution_continent:0 "Має §Yфермерське господарство§! та знаходиться на континенті походження мануфактури."
 tooltip_mills_on_institution_continent:0 "Має §Yмлин§! та знаходиться на континенті походження мануфактури."
 tooltip_wharf_not_institution_continent:1 "Має §Yморську мануфактуру§! та не знаходиться на континенті походження мануфактури."
 tooltip_weapons_not_institution_continent:0 "Має §Yвійськову мануфактуру§! та не знаходиться на континенті походження мануфактури."
 tooltip_textile_not_institution_continent:0 "Має §Yтекстильну мануфактуру§! та не знаходиться на континенті походження мануфактури."
 tooltip_plantations_not_institution_continent:1 "Має §Yплантацію§! та не знаходиться на континенті походження мануфактури."
 tooltip_tradecompany_not_institution_continent:1 "Має §Yторговий пункт§! та не знаходиться на континенті походження мануфактури."
 tooltip_farm_estate_not_institution_continent:0 "Має §Yфермерське господарство§! та не знаходиться на континенті походження мануфактури."
 tooltip_mills_not_institution_continent:0 "Має §Yмлин§! та не знаходиться на континенті походження мануфактури."
 tooltip_university_on_institution_continent:0 "Має §Yуніверситет§! та знаходиться на континенті походження Просвітництва."
 tooltip_university_not_institution_continent:0 "Має §Yуніверситет§! та не знаходиться на континенті походження Просвітництва."
 tooltip_has_seat_in_parliament_on_institution_continent:0 "Має місце в парламенті та знаходиться на континенті походження Просвітництва."
 tooltip_has_seat_in_parliament_not_institution_continent:0 "Має місце в парламенті та не знаходиться на континенті походження Просвітництва."
 Birth_of_a_Global_Empire:0 "Народження глобальної імперії"
 March_on_Granada:0 "Похід на Гранаду"
 Conflict_in_the_Caribbean:0 "Конфлікт на Карибах"
 PW_SEND_MISSIONARY_COST:0 "$COST|Y$¤"
 MONTHLY_COST:0 "Щомісячна вартість"
 mechanic_gives_war_against_the_world_tooltip_dummy_yes:0 "Робить доступним Саsus Веlli 'Війна проти всього світу'"
 NO_RELIGIOUS_UNITY_PENALTY:0 "Єретичні та чужовірні провінції не дають штрафи на релігійну єдність."
 CANNOT_AFFORD_COST:0 "Зараз ми не можемо дозволити собі витратити $AMOUNT|Y$$CURRENCY$."
 SELECT_PROVINCE:0 "Виберіть провінцію"
 CONFIRMMISSION_MAINTENANCE_COST_BASE:0 "Базова вартість від провінції: $COST|Y$¤"
 CONFIRMMISSION_MAINTENANCE_COST_MODIFIED_BY:0 "Ця вартість змінюється від:"
 MISSIONARY_MULTIPLIER_COST:0 "\nВартість змінюється мультиплікативно:\n"
 lottery_candidate_bonus_one:0 "§YБонус випадкового кандидата§!: Один випадковий навик цього кандидата було змінено на §G1§!."
 lottery_candidate_bonus_plural:0 "§YБонус випадкового кандидата§!: Один випадковий навик кожного кандидата було змінено на §G1§!."
 STEPPE_HORDE_BENEFITS:0 "\nРеформа уряду §Yстепових кочовиків§! дає такі переваги:\nЧисло місцевих рекрутів: §G+20.0%§!\nЛіміт армії: §G+20.0%§!\nТривалість націоналізму: §G-5§!\nШвидкість пограбувань: §G+50.00%§!\nПоширення Інституцій: §R-15.0%§!\nШвидкість пересування: §G+20.00%§!\nВартість поповнення: §G-50.0%§!\nСпіввідношення кавалерії до піхоти: §G+25.0%§!"
