l_ukrainian:
 X_BECOMES_HARMONIZED:0 "Релігія $NAME|Y$ тепер гармонізована.\n"
 ADD_HARMONY_EFFECT:0 "Гармонія $DIRECTION$ на $VALUE|Y$.\n"
 ADD_HARMONIZATION_PROGRESS_EFFECT:0 "Прогрес релігійної гармонізації $DIRECTION$ на $VALUE|Y$.\n"
 HARMONY_LESS_THAN:0 "Гармонія менше §Y$VAL$%§!"
 HARMONY_AT_LEAST:0 "Гармонія принаймні §Y$VAL|Y$%§!"
 HARMONIZATION_PROGRESS_LESS_THAN:0 "Прогрес гармонізації менше §Y$VAL$%§!"
 HARMONIZATION_PROGRESS_AT_LEAST:0 "Прогрес гармонізації принаймні §Y$VAL$%§!"
 ADD_ACTIVE_POLICY_EFFECT:0 "Запровадити політику §Y$POLICY$§!"
 HAD_NOT_ACTIVE_POLICY_TRIGGER:0 "Політика $POLICY|Y$ НЕ діяла щонайменше $DAYS|Y$ днів"
 HAD_ACTIVE_POLICY_TRIGGER:0 "Політика $POLICY|Y$ діяла протягом щонайменше $DAYS|Y$ днів"
 ADD_ADM_TECH_EFFECT_SINGULAR:0 "Покращує адміністративні технології на §G1§! рівень"
 ADD_ADM_TECH_EFFECT_PLURAL:0 "Покращує адміністративні технології на $VAL|+$ рівня"
 ADD_DIP_TECH_EFFECT_SINGULAR:0 "Покращує дипломатичні технології на §G1§! рівень"
 ADD_DIP_TECH_EFFECT_PLURAL:0 "Покращує дипломатичні технології на $VAL|+$ рівня"
 ADD_MIL_TECH_EFFECT_SINGULAR:0 "Покращує військові технології на §G1§! рівень"
 ADD_MIL_TECH_EFFECT_PLURAL:0 "Покращує військові технології на $VAL|+$ рівня"
 REVANCHISM_LOWER_THAN_TRIGGER:0 "Національний реваншизм нижче $VAL|Y$%"
 REVANCHISM_HIGHER_THAN_TRIGGER:0 "Національний реваншизм вище $VAL|Y$%"
 IS_DYNAMIC_TAG:0 "Динамічний теґ"
 IS_NOT_DYNAMIC_TAG:0 "НЕ динамічний теґ"
 REMOVE_ADVISOR_OF_CATEGORY_ADM:0 "Наш адміністративний радник $NAME|Y$ покине наш двір.\n"
 REMOVE_ADVISOR_OF_CATEGORY_DIP:0 "Наш дипломатичний радник $NAME|Y$ покине наш двір.\n"
 REMOVE_ADVISOR_OF_CATEGORY_MIL:0 "Наш військовий радник $NAME|Y$ покине наш двір.\n"
 HAVE_NOT_RULER_FLAG:0 "НЕ має прапора правителя '§Y$FLAG$§W'."
 HAVE_RULER_FLAG:0 "Має прапор правителя '§Y$FLAG$§W'."
 ADD_ARMYPROF_EFFECT:0 "Професіоналізм армії $DIRECTION$ на $PERC|2$\n"
 SET_ARMYPROF_EFFECT:0 "Професіоналізм армії встановлюється на $PERC|Y$\n"
 GOVERNMENT_POWER_EFFECT:0 "$DIRECTION$ $VALUE$ $NAME$.\n"
 TRIG_NOT_USES_RELIGIOUS_SCHOOLS:0 "Релігія $RELIGION$ не має релігійних шкіл.\n"
 TRIG_USES_RELIGIOUS_SCHOOLS:0 "Релігія $RELIGION$ має релігійні школи.\n"
 TRIG_NOT_HAS_RELIGIOUS_SCHOOL:0 "Держава $COUNTRY$ не має релігійної школи.\n"
 TRIG_HAS_RELIGIOUS_SCHOOL:0 "Держава $COUNTRY$ має релігійну школу.\n"
 TRIG_NOT_SCHOOL_OPINION:0 "Держава $FIRST$ має гірші ніж $OPINION$ стосунки з державою $SECOND$.\n"
 TRIG_SCHOOL_OPINION:0 "Держава $FIRST$ має $OPINION$ або кращі стосунки з державою $SECOND$.\n"
 EFFECT_SET_SCHOOL_OPINION:0 "Стосунки держави $FIRST$ з державою $SECOND$ стануть $OPINION$."
 EFFECT_SET_RELIGIOUS_SCHOOL:1 "Держава $COUNTRY$ буде слідувати вченню, яке сповідують $SCHOOL$.\n($MODIFIER$)"
 HAS_ACTIVE_POLICY:0 "Торгова політика $NAME|Y$' проводиться у вузлі $NODE|Y$."
 HAS_NOT_ACTIVE_POLICY:0 "Торгова політика $NAME|Y$' не проводиться у вузлі $NODE|Y$."
 HAS_ANY_ACTIVE_POLICY:0 "Проводиться торгова політика у вузлі $NODE|Y$."
 HAS_NOT_ANY_ACTIVE_POLICY:0 "Торгова політика у вузлі $NODE|Y$ не проводиться."
 has_river_estuary_tooltip:0 "Є провінція з §Yгирлом річки§!."
 has_no_river_estuary_tooltip:0 "Не має провінції з §Yгирлом річки§!."
 is_free_or_tributary_trigger_tooltip:0 "Незалежна або данник."
 is_subject_other_than_tributary_trigger_tooltip:1 "Залежна, але не данник."
 HAS_GOVERNMENT:0 "Форма правління держави §Y$TAG$§! – $GOV|Y$\n"
 HAS_NOT_GOVERNMENT:0 "Форма правління держави §Y$TAG$§! не є $GOV|Y$\n"
 ALL_CONTROLLED_PROVINCE_STARTS:0 "Усі підконтрольні провінції"
 HAVE_LESS_THAN_N_CULTURES_IN_COURT:0 "Менше §Y$VALUE$§! різних культур при дворі.\n"
 HAVE_MORE_THAN_N_CULTURES_IN_COURT:0 "Щонайменше §Y$VALUE$§! різних культур при дворі.\n"
 HAVE_LESS_THAN_N_RELIGIONS_IN_COURT:0 "Менше §Y$VALUE$§! різних релігій при дворі.\n"
 HAVE_MORE_THAN_N_RELIGIONS_IN_COURT:0 "Щонайменше §Y$VALUE$§! різних релігій при дворі.\n"
 HAVE_LESS_THAN_N_REGIMENTS_AT_FULL_DRILL:1 "Менше §Y$VALUE$§! повністю вишколених полків.\n"
 HAVE_MORE_THAN_N_REGIMENTS_AT_FULL_DRILL:1 "Щонайменше §Y$VALUE$§! повністю вишколених полків.\n"
 ANY_ARMY_STARTS:0 "Будь-яка армія"
 HAVE_LESS_REGIMENT_TYPE_THAN_PERC:2 "Менше $PERC|%Y$ війська складається з полків типу $TYPE$ ($NUM|Y$)"
 HAVE_MORE_REGIMENT_TYPE_THAN_PERC:2 "Більше $PERC|%Y$ війська складається з полків типу $TYPE$ ($NUM|Y$)"
 NORMAL_REGIMENT_TYPE:0 "звичайні"
 MERCENARY_REGIMENT_TYPE:0 "Найманці"
 BANNER_REGIMENT_TYPE:0 "Корогви"
 STRELTSY_REGIMENT_TYPE:0 "Стрільці"
 COSSACKS_REGIMENT_TYPE:0 "Козаки"
 JANISSARIES_REGIMENT_TYPE:0 "Яничари"
 RAJPUT_REGIMENT_TYPE:0 "Раджпути"
 HAVE_LESS_JANISSARIES_THAN:0 "Яничарських полків менше $VALUE|Y$.\n"
 HAVE_AT_LEAST_JANISSARIES_THAN:0 "Щонайменше $VALUE|Y$ яничарських полків.\n"
 HAVE_LESS_RAJPUT_THAN:0 "Полків раджпутів менше $VALUE|Y$.\n"
 HAVE_AT_LEAST_RAJPUT_THAN:0 "Щонайменше $VALUE|Y$ полків раджпутів.\n"
 SUPPLY_DEPOT_IN_PROVINCE:0 "У провінції є склад постачання.\n"
 SUPPLY_DEPOT_NOT_IN_PROVINCE:0 "У провінції немає складу постачання.\n"
 EFFECT_ADD_LATENT_GOODS:0 "$GOODS|Y$ стає прихованим товаром у провінції $PROVINCE|Y$."
 HAS_NOT_LATENT_TRADE_GOODS_SPECIFIC:0 "Немає прихованого товару $NAME$."
 HAS_LATENT_TRADE_GOODS_SPECIFIC:0 "Є прихований товар $NAME$."
 HAS_NOT_LATENT_TRADE_GOODS_ANY:0 "Немає прихованих товарів."
 HAS_LATENT_TRADE_GOODS_ANY:0 "Є приховані товари."
 EFFECT_REMOVE_LATENT_GOODS:0 "$GOODS|Y$ більше не буде прихованим товаром провінції $PROVINCE|Y$."
 EFFECT_REMOVE_ALL_LATENT_GOODS:0 "Усі приховані товари в провінції $PROVINCE|Y$ вилучено."
 INNOVATIVENESS_IS_LESS_THAN:0 "Інноваційність менше ніж §Y$SIZE$§!.\n"
 INNOVATIVENESS_IS_AT_LEAST:0 "Інноваційність щонайменше §Y$SIZE$§!.\n"
 CHANGE_INNOVATIVENESS_EFFECT:0 "Інноваційність $DIRECTION$ на $VALUE$.\n"
 RAISE_WAR_TAXES_EFFECT:0 "Ввести військовий податок на $DURATION|Y$ рр. без витрачання £mil.\n"
 TAKE_LOAN_EFFECT:0 "Взяти банківську позику на $DURATION|Y$ міс."
 INTEREST_MODIFIER_DESC:0 " по відсотковій ставці $VAL$ $DIR$."
 FIXED_INTEREST_DESC:1 " Відсотки за цією позикою фіксовані на $RATE|Y$."
 ESTATE_LOAN_DESC:0 " Цей кредит дає ваш стан."
 LOWER:0 "нижче"
 HIGHER:0 "вище"
 WITH_GOVERNMENT_TYPE:0 "Формою правління сформованої ними держави буде $GOV|Y$."
 WITH_GOVERNMENT_REFORM:0 ""
 HAVE_LESS_THAN_ADM_POWER_COST_TRIGGER:0 "Адміністративних балів менше $AMOUNT|Y$.\n"
 HAVE_LESS_THAN_DIP_POWER_COST_TRIGGER:0 "Дипломатичних балів менше $AMOUNT|Y$.\n"
 HAVE_LESS_THAN_MIL_POWER_COST_TRIGGER:0 "Військових балів менше $AMOUNT|Y$.\n"
 HAVE_MORE_THAN_ADM_POWER_COST_TRIGGER:0 "Число адміністративних балів дорівнює $AMOUNT|Y$.\n"
 HAVE_MORE_THAN_DIP_POWER_COST_TRIGGER:0 "Число дипломатичних балів дорівнює $AMOUNT|Y$.\n"
 HAVE_MORE_THAN_MIL_POWER_COST_TRIGGER:0 "Число військових балів дорівнює $AMOUNT|Y$.\n"
 ADM_POWER_COST_EFFECT:1 "Буде втрачено $AMOUNT|R$ адміністративних балів.\n"
 DIP_POWER_COST_EFFECT:1 "Буде втрачено $AMOUNT|R$ дипломатичних балів.\n"
 MIL_POWER_COST_EFFECT:1 "Буде втрачено $AMOUNT|R$ військових балів.\n"
 HAS_HOSTILE_TROOPS:0 "Є ворожі війська.\n"
 HAS_NO_HOSTILE_TROOPS:0 "Немає ворожих військ.\n"
 OWNS_ALL_PROVINCES:0 "Володіє всіма провінціями:\n"
 HAS_NON_GENERIC_MISSIONS:0 "$COUNTRY|Y$ має нетипові місії.\n"
 HAS_NOT_NON_GENERIC_MISSIONS:0 "$COUNTRY|Y$ НЕ має нетипових місій.\n"
 IS_REBEL_TYPE_TRIGGER:0 "Повстанці-$TYPE|Y$.\n"
 IS_NOT_REBEL_TYPE_TRIGGER:0 "Не повстанці-$TYPE|Y$.\n"
 EFFECT_GAIN_POWER_PROJECTION:0 "Держава $TAG|Y$ здобуде $AMOUNT|G$ могутності."
 EFFECT_LOSE_POWER_PROJECTION:0 "Держава $TAG|Y$ здобуде $AMOUNT|R$ могутності."
 EFFECT_SUPPORT_INDEPENDENCE:0 "Держава $TAG|Y$ підтримає незалежність держави $TARGET|Y$."
 TRIGGER_WAS_HUMILIATED_BY:0 "Державу $TAG|Y$ було недавно принижено державою $BY|Y$."
 TRIGGER_WAS_NOT_HUMILIATED_BY:0 "Держава $TAG|Y$ не було недавно принижено державою $BY|Y$."
 TRIGGER_IS_HIRING_CONDOTTIERE_FROM:0 "Держава $TAG|Y$ винаймає кондотьєрів з держави $FROM|Y$."
 TRIGGER_IS_NOT_HIRING_CONDOTTIERE_FROM:0 "Держава $TAG|Y$ не винаймає кондотьєрів з держави $FROM|Y$."
