l_ukrainian:
 nw_native_ideas:0 "Ідеї тубільців Північного Заходу"
 tonga_tui_tonga_title:0 "Імперія Туї Тонга"
 tonga_tui_tonga_desc:0 "Найважливіші острови Полінезійського трикутника є нашими підданими. Прийшов час розширюватися і змусити всіх підкорятися нам."
 tonga_supremacy_title:0 "Тонґське верховенство"
 tonga_supremacy_desc:0 "Ми найсильніші у Полінезійському трикутнику. Слава нам!"
 polynesian_supremacy:0 "Полінезійське верховенство"
 desc_polynesian_supremacy:0 "Ми керуємо Полінезійським трикутником сильною рукою."
 colonization_efforts:0 "Колонізаційні зусилля"
 desc_colonization_efforts:0 "Оскільки наше населення зростає, брак площі та орних угідь може стати гарною можливістю для заселення нових земель. Створюючи нові поселення, ми можемо спонукати людей мігрувати."
 absolute_rule_mod:0 "Абсолютна влада"
 desc_absolute_rule_mod:0 "Ми маємо абсолютну владу над нашими володіннями."
 loyal_subjects_mod:0 "Вірні піддані"
 desc_loyal_subjects_mod:0 "Наші піддані нам вірні, тому ми маємо міцнішу владу."
 string_sacred_area_fijian:0 "Нананґа"
 string_sacred_area_hawaiian:0 "Геяу"
 string_sacred_area_polynesian:0 "Марае"
 string_dance_fijian:0 "Меке"
 string_dance_hawaiian:0 "Гула"
 string_dance_maori:0 "Гака"
 string_dance_samoan:0 "Таулуґа"
 string_dance_tongan:0 "Тауолунґа"
 #General Polynesian Events
 polynesian.1.t:0 "Священна земля потребує розчистки"
 polynesian.1.d:0 "Буяння нашої землі приносить нам деякі блага, але цього разу, частково через нашу необережність, ліс майже поглинув нашу округу [Root.GetPolynesianSacredArea]. Багато хто в нашому суспільстві вважає, що це місце більше не є тапу або священним, і що [Root.Monarch.GetName] повин[Root.GetMEndEnNa] щось з цим зробити."
 polynesian.1.a:0 "Ми надішлемо декілька людей очистити територію і знову зробити її тапу."
 polynesian.1.b:0 "Навіщо нам це потрібно? Це просто місце з меншою кількістю дерев."
 polynesian.2.t:0 "Танці не вдалися"
 polynesian.2.d:0 "Під час одного з наших численних свят, коли танцюристи виконували традиційний танець [Root.GetPolynesianDance] почалася бійка. Два танцівники звинуватили одне одного в ревнощах. Сама ситуація виглядала анекдотично, поки досить швидко не загострилася й не почала загрожувати перерости у війну між родинами танцюристів. Перш ніж проллється кров, [Root.Monarch.GetName] має щось зробити."
 polynesian.2.a:0 "Станемо на бік одного з танцюристів."
 polynesian.2.b:0 "Спробуємо вирішити це дипломатично."
 polynesian.3.t:0 "Загублена мухобійка"
 polynesian.3.d:0 "По всьому полінезійського трикутнику наші високопоставлені вожді використовують мухобійки в церемоніальних цілях. Сьогодні наш[Root.GetMEndA] правитель[Root.GetMEndKaLj] [Root.Monarch.GetName] буде в центрі церемонії, але [Root.GetMJOGO] мухобійка зникла, і слуги не можуть її знайти. Нема часу робити ще одну, адже церемонія ось-ось розпочнеться. Якщо не вирішити цю проблему, це викличе велику плутанину."
 polynesian.3.a:0 "Шукайте заміну, ніхто цього не помітить."
 polynesian.3.b:0 "Ми втратимо обличчя, якщо поставимося до наших підданих як до дурнів."
 polynesian.4.t:0 "Культура кави"
 polynesian.4.d:0 "Розмочуючи висушене коріння рослини кава, ми отримуємо галюциногенний напій під назвою кава. Кава – центральна частина більшості церемоній по всьому Полінезійському трикутнику. Це надзвичайно рітуалізірованний акт, який дотримується суворого набору правил і порядку. Оскільки процес створення цього напою не висічений на камені, результати можуть сильно відрізнятися, призводячи до різних наслідків. Останнє святкування, яке ми провели з деякими важливими членами нашого та сусідніх товариств, було повним успіхом завдяки високій якості кави, яку ми подавали. Це нас прославило як справних господарів."
 polynesian.4.a:0 "Це хороший шанс знайти нових друзів."
 good_kava_mod:0 "Велике свято"
 desc_good_kava_mod:0 "Це нас прославило як справних господарів."
 polynesian.5.t:0 "Високоякісна тканина тапа"
 polynesian.5.d:0 "Тканина тапа – це тканина з кори, яку виготовляють більшість груп в Тихоокеанському регіоні. Тканину тапа можна використовувати для кількох речей, зокрема для одягу, але також для створення красивих прикрас, які бувають дуже жадані через свою якість. Тапу можна прикрашати та фарбувати, її добувають з паперового шовковичного дерева. У кожному селі чи селищі звуки ударів по корі, яку відбивають для створення тапи, є постійними. Останнім часом попит на нашу тапу зріс завдяки своїй якості."
 polynesian.5.a:0 "Це хороший шанс розбагатіти."
 quality_tapa_mod:0 "Високоякісна тканина тапа"
 desc_quality_tapa_mod:0 "Наша тканина тапа славиться в Полінезійському трикутнику, а попит на неї різко зріс."
 polynesian.6.t:0 "Спроба замаху"
 polynesian.6.d:0 "Sennit is a type of cordage made of dried fibers, mostly from coconut husk, or grass that is used all across the region to make different types of cloth, specially hats, but also as an important element for traditional architecture, boat building, fishing or ornamentation. One would not think of this as a tool for death, but the human brain is very creative and using a sennit to strangle our ruler [Root.Monarch.GetName] was the option thought by the attacker."
 polynesian.6.a:0 "Убити його."
 polynesian.7.t:0 "Звіздарі"
 polynesian.7.d1:0 "The sky is full of stars that form different shaped that resemble things and have a use for our sailors: the Manaiakalani or The Chief's Fishline looks like Maui's fishhook; Heiheionakeiki is used to navigate to Tahiti; and Ke Ka o Makali'i or The Canoe Bailer of Makali'i represents a bowl pouring onto the horizon... People knowing them are useful for the community."
 polynesian.7.d2:0 "The sky is full of stars that form different shaped that resemble things and have a use for our sailors. People knowing them are useful for the community."
 polynesian.7.a:0 "Знання завжди вітаються."
 polynesian.8.t:0 "Свинячі війни"
 polynesian.8.d:0 "When our ancestors colonized these islands, they brought two animals to eat: chicken and pigs. Pigs are traditionally valued as they are not only delicious, but a big source of meat and owning several of them is a way to show power. Two groups of people have come to [Root.Monarch.GetName] to accuse the other side of stealing pigs from them. This is a hot topic for several reasons, and our ruler might want to act."
 polynesian.8.a:0 "Ми примкнемо до однієї зі сторін."
 polynesian.8.b:0 "Це тільки свині."
 pig_sides_mod:0 "Ми обрали сторону у свинячих війнах"
 desc_pig_sides_mod:0 "Наша підтримка однієї із сторін у цьому конфлікті призвела до зростання невдоволення."
 pig_neutral_mod:0 "Ми обрали нейтралітет у свинячих війнах"
 desc_pig_neutral_mod:0 "Ніхто не задоволений нашим рішенням, але, принаймні, ніхто не воює."
 polynesian.9.t:0 "Спогади про Гаваїки"
 polynesian.9.d:0 "According to our legends, before we arrived these shores, our people were native to a place called Hawaiki, where all of us come from. Even for others it is also the underworld where our dead go and dwell. In any case, they were happy and food was abundant, so our people sometimes miss that place they have never been to. There is an unnatural attraction to that lost homeland."
 polynesian.9.a:0 "Це місце схоже на рай."
 polynesian.10.t:0 "Солодка загроза"
 polynesian.10.d:0 "Sugarcane was brought by our ancestors in our wakas or canoes and has been planted and used extensively by our communities. But with us, an undesired guest also came: the rats. While our dogs are ready to fight them, on this occasion, the number of rats seems to be out of control, and we have suffered great losses in our sugar fields. The community is concerned and has come to beg for help. As rulers, we have to give them an answer."
 polynesian.10.a:0 "Ми повинні щось зробити, спустити хортів!"
 polynesian.10.b:0 "Я не думаю, що ми можемо багато зробити."
 sugarcane_lost_mod:0 "Цукрову тростину втрачено через щурів"
 desc_sugarcane_lost_mod:0 "Щурячий рій знищив наші поля цукрової тростини."
 polynesian.11.t:0 "Найкращий друг"
 polynesian.11.d:0 "Since the settlement of the first islands, dogs have been by our side as companions, but also as food. Pretty much every islander group has their own breed of dog: the Poi in Hawai'i, the Kuri in Aotearoa, or those in Tahiti. When a source of food is needed, dogs are not always the first to fall, but they are fed with vegetables or fish so they are ready."
 polynesian.11.a:0 "Собаки – хороше джерело їжі."
 polynesian.12.t:0 "Перегони вака"
 polynesian.12.d:0 "Our people have used wakas or canoes to settle this part of the world and wakas are central to our culture in one way or the other. Competitions are also an easy way to have our people entertained and also a good way to keep our community fit. One group of rowers has challenged another to a race and news of the event has spread quickly across the area. Even [Root.Monarch.GetName] has approached the shore to watch the race. Bets have naturally arisen."
 polynesian.12.a:0 "Невелика ставка не зашкодить."
 polynesian.12.b:0 "Ми не втратимо багатство таким дурним чином."
 polynesian.13.t:0 "No Husked Candlenut to Be Found"
 polynesian.13.d:0 "Tattoos are a common way to cover our bodies and are always drawn by master tattooists that have an important role in our societies. The ink, called kukui in the Hawaiian Islands or tuitui in Samoa, is made by burning the oily kernel of the husked candlenut and the black soot is collected. For some reason, those husked candlenuts have become scarce and nobody is able to find them anywhere."
 polynesian.13.a:0 "Без цього наші татуювальники працювати не можуть. Якщо потрібно, привезіть їх з інших островів."
 polynesian.13.b:0 "Ми можемо з цим жити."
 no_tattoo_mod:0 "No Husked Candlenut"
 desc_no_tattoo_mod:0 "Цього року татуювань не буде."
 polynesian.14.t:0 "Плаваючий подарунок"
 polynesian.14.d:0 "A new ship has been gifted to our ruler. The artisans that built it are not rich but wanted to give a nice present to [Root.Monarch.GetName] for [Root.GetMJOGO] rule. They will be given presents back, as the tradition commands."
 polynesian.14.a:0 "Наш флот стає сильнішим."
 polynesian.15.t:0 "Молода армія"
 polynesian.15.d:0 "During the last days, warriors have gathered in one of our provinces and sworn loyalty to [Root.Monarch.GetName], willing to serve in the army. Whether we want to protect our people or expand our realm, these people will be of great help."
 polynesian.15.a:0 "Нові рекрути - завжди добре."
 #Fijian Events
 polynesian.16.t:0 "Аї Лакові"
 polynesian.16.d:0 "The Ai Lakovi or formal engagement is an important moment in the Fijian culture. Traditionally, the man presents a Tabua or whale's tooth as a gift to her future spouse, but this is not a strict rule. [Root.Monarch.GetName] is about to get married and insists on gifting [Root.GetMJOGO] new consort a specially luxurious tabua. State coffers might suffer because of this."
 polynesian.16.a:0 "Наш консорт заслуговує найкращого."
 polynesian.16.b:0 "Нам потрібно подарувати табуа."
 polynesian.17.t:0 "Воєначальник"
 polynesian.17.d:0 "After a bloody war, our nation has emerged victorious. Several warriors are held captive in our homeland, and it is time to decide what to do with them. Our warlord has the last word. Whatever [Root.GetMSheHe] decides will be done. Of course, the price is not cheap and other people can feel like they could be next."
 polynesian.17.a:0 "Their courage will be respected."
 polynesian.17.b:0 "They fought well, and we want to keep the peace."
 warlord_mod:0 "Воєначальник"
 desc_warlord_mod:0 "By making them fear us, we become stronger."
 polynesian.18.t:0 "Kalou's Emissary"
 polynesian.18.d:0 "Fijian society is closely interwoven with religion and the adoration of the Kalou or gods. As taboos or tabus are so common, that affect who we marry, what we eat, where we lay... governing our every action from the cradle-mat to the grave, [Root.Monarch.GetName] has decided that We need a holy man by our side"
 polynesian.18.a:0 "Let's look among these candidates."
 polynesian.19.t:0 "Accusations of Practicing Witchcraft"
 polynesian.19.d:0 "Witchcraft or Draunikau as some refer to is a common way to communicate with the spirits and get favors in return. While many people practice it, even among the Betes or priests, it is viewed as suspicious by most and the practice of it is done stealthily in most cases. Gossips that [Root.Monarch.GetName] practices it has run free all across the realm."
 polynesian.19.a:0 "This gossip must end."
 polynesian.19.b:0 "Everyone does, perhaps we should normalize it."
 polynesian.20.t:0 "Living Target"
 polynesian.20.d:0 "Our heir needs to be a great warrior if [Root.Heir.GetSheHe] wants to lead our people one day. It is a tradition among our people to practice archery skills against a living target, usually a severely injured captive of war. By allowing our children to aim at a living target, we ensure that their skills are good for future wars. In this occasion, our heir is among those children. This will make a warrior of [Root.Heir.GetHerHim]"
 polynesian.20.a:0 "Our heir must practice."
 #Hawaiian Events
 polynesian.21.t:0 "Menehune People"
 polynesian.21.d:0 "According to our legends, before our people arrived these shores, the islands of this archipelago belonged to a dwarf people called Menehune. These people are described as superb craftspeople and the builders of many of our fishponds, who work tirelessly during the nights. Only children and those connected to them somehow are able to see them. Today, a man has come to the village claiming that he saw them."
 polynesian.21.a:0 "Perhaps they exist after all."
 polynesian.21.b:0 "Leave all that nonsense to children and naive people."
 polynesian.22.t:0 "Ku Demands a Sacrifice"
 polynesian.22.d:0 "Our realm is going through a terrible time and things only get worse day by day. The priests or kahunas have it clear, Ku is angry with us and demands a sacrifice. The preparations are being carried on in the Luakini, the temple or heiau dedicated to the war where sacrifices are done, by the priests of Ku. Only the ali'i, the nobility, and the kahuna serving Ku will be allowed in the ceremony."
 polynesian.22.a:0 "We will make sacrifices to appease the feathered god."
 polynesian.22.b:0 "Sacrifices are not the answer, and we will not satiate Ku's thirst of blood."
 polynesian.23.t:0 "A Special Makahiki Festival"
 polynesian.23.d:0 "Lono's priests or Kahunas claim that the god himself have communicated with them and that if we make the proper preparations a blessing directly from the god will cover our realm. As the god of agriculture and peace, we can be blessed with better crops and a longer time of peace. What shall we do?"
 polynesian.23.a:0 "An offering will be done in the Mapele, or temple dedicated to Lono."
 polynesian.23.b:0 "We have been fine so far, we will be fine."
 lonos_blessing_mod:0 "Lono's Blessing"
 desc_lonos_blessing_mod:0 "Lono's hand has blessed us with enough rain for our plants to grow strong."
 polynesian.24.t:0 "Volcano Erupting"
 polynesian.24.d:0 "Our islands are incredibly fertile and plants grow withe ease. But from time to time, the Gods put a test of faith to our people, the Earth becomes angry and the volcanoes that form our islands throw lava that covers our fields. Normally, the mountain warns us and few lives are lost, but plants around them are not that lucky. In the next months, we will need to adapt to the losses and wait for plants to regrow stronger."
 polynesian.24.a:0 "The gods want it this way."
 polynesian.25.t:0 "Makahiki is Here"
 polynesian.25.d:0 "The Makahiki is one of the most important periods for our people, when the Makali'i or Pleiades rise in the horizon and the next crescent moon arrives, the New Year season starts. During this period, we thank Lono for his blessings and the Kanaka Maoli or hawaiians celebrate it. Warfare and labour are prohibited during these four months. People play games, attend religious ceremonies where animals are sacrificed and rulers are proven their worth. All the social classes have their tests done to them in some ways and succeeding not only bring personal glory, but also to their lineage."
 polynesian.25.a:0 "The New Year starts."
 makahiki_mod:0 "Makahiki"
 desc_makahiki_mod:0 "We are in the New Year Session"
 #Maori Events
 polynesian.26.t:0 "Royal Tangihanga"
 polynesian.26.d:0 "The body, or Tupapaku, of our heir will be mourned by the Iwi in the communal house, the Wharenui. This mourning will go on in this sacred place, or Marae, for three days. During this period people from all around will come to visit and show their respect. In honor of the Tupapaku we will hold a welcoming dance, and after the night of ending or Po Whakamatunga, we will bury the body and hold a final Hakari feast."
 polynesian.26.a:0 "We will keep it simple. It is not time to boast about our richness."
 polynesian.26.b:0 "We should have an elaborated Tangihanga."
 polynesian.27.t:0 "Kaitiakitanga"
 polynesian.27.d:0 "We are one with nature, and we must live in harmony with it. It is the duty of all Maori to protect everything under the sky as the gods command. Polluting a river, choping down a whole forest or plundering a place from its resources goes against this guardianship. Our priests usually decide to make some areas tapu or sacred in order to keep them protected and away from excessive use. These decisions, while undoubtedly positive in the long term, can be a problem in the short one."
 polynesian.27.a:0 "We cannot stop progress and the wellbeing of our people."
 polynesian.27.b:0 "We are all Kaitiaki or guardians, it is our allegiance to the gods."
 kaitiakitanga_mod:0 "Kaitiakitanga"
 desc_kaitiakitanga_mod:0 "Our priests have imposed a tapu over some spots of our territory."
 polynesian.28.t:0 "Whakapapa"
 polynesian.28.d:0 "Whakapapa represents the origins of a person, the lineage that person belongs to. Whakapapa is recited as an introduction or Mihimihi, specially in important situations. A neighboring ruler has put in doubt the veracity of the Whakapapa of our ruler. Many among our people insist that this insult cannot be ignored."
 polynesian.28.a:0 "They will pay in blood with the might of our warriors."
 polynesian.28.b:0 "Their words are empty for our leader. Nothing will be done."
 polynesian.29.t:0 "A Special Matariki"
 polynesian.29.d:0 "The New Year or Matariki has arrived, the group of stars we also called Matariki and Puanga, or Pleiades and Rigel as the Pakeha or europeans call them, have risen on the horizon and a new cycle begins. It is the time of the year when we prepare the grounds; make offerings to the gods, specially Rongo; remember our loved ones that are not among us and teach our youngsters about the land. Priests have announced that the omens are really good and that this will be an excellent year."
 polynesian.29.a:0 "Praise the gods!"
 matariki_mod:0 "A Special Matariki"
 desc_matariki_mod:0 "This year will be an excellent one for our people."
 polynesian.30.t:0 "The Koha"
 polynesian.30.d:0 "Our ruler has been gifted by a friend with plenty of goods or Koha after hosting him and his family for a few days. The Utu, the balance and harmony that governs our lifes, forces us to repay this free and spontaneous gesture. This gift exchange will bond our ruler's family and that of his friend to keep on exchanging gifts in the future but will also strengthen their relationship."
 polynesian.30.a:0 "This has caught us off guard, and we cannot reciprocate."
 polynesian.30.b:0 "While the tradition dictates that our gift must be of bigger value, will they really realize it?"
 polynesian.30.c:0 "We are bound by the Utu. Their Koha will be doubly repaid."
 #Samoan Events
 polynesian.31.t:0 "Siva Afi Gone Wrong"
 polynesian.31.d:0 "An emissary from Tonga came to us a few days ago. During all this time, we have treated him with great honor, as we are great hosts. In his last night among us, [Root.Monarch.GetName] has invited some dancers to perform the fire dance or Siva Afi. This dance consists on some dancers, usually warriors, that cover their Nifo Oti, our traditional serrated-edged war clubs, with towels and set them on fire. It is a very traditional and iconic part of our culture. To our surprise, the dance has been accompanied by some kind of acting. The story talked about the time when our people got rid of our former Tongan overlords after attacking their governor during a Siva Afi dance. Everyone can see the Tongan emissary getting angry. This will be a problem."
 polynesian.31.a:0 "Tonga will not be happy."
 polynesian.32.t:0 "Coward Heir"
 polynesian.32.d:0 "A male tattoo or Pe'a is a central part of our culture and are associated with the rites of passage for men. [Root.Heir.GetName] has come to age and he will receive a Pe'a so he can stop being telefua or naked. During the preparations, [Root.Heir.GetName] shows confidence despite receiving a Pe'a being known as very painful. That confidence swiftly fades as the tufuga ta tatau or master tattooist starts. He cannot endure the pain and runs away. He has only a small mark, a Pe'a mutu, the mark of shame. Even if the Pe'a is finished some day, some will never consider him a Soga'imiti and respected for his courage."
 polynesian.32.a:0 "He has brought shame to our family."
 polynesian.33.t:0 "Historic 'Ava"
 polynesian.33.d:0 "The 'Ava ceremony is one of the most important custom of our people. It is a solemn ritual where kava, or 'ava as we call it, beverage is shared and includes speeches and oratory. In this ocasion, several tribal chiefs have been invited and other notables of our realm. 'Ava is made from dried roots and mixed with water and shared among the celebrants. Our guests are clearly enjoying the celebration, and we might want to take advantage of their good mood."
 polynesian.33.a:0 "We did not expect this success."
 historic_ava_mod:0 "Historic 'Ava"
 desc_historic_ava_mod:0 "This 'Ava will be remembered for years."
 polynesian.34.t:0 "A Tufuga for the Court"
 polynesian.34.d:0 "The Tufuga are the craftsmen that have achieved the highest rank in skill and knowledge in our society. Since the position is very prestigious, contracting their services will be of great help for our nation. What kind of Tufuga should we invite?"
 polynesian.34.a:0 "We will look for a Tufuga fau fale or master house builder."
 polynesian.34.b:0 "A Tufuga fau va'a or master navigator is what we want."
 polynesian.34.c:0 "The job is for a good Tufuga ta tatau or master tattooist."
 polynesian.35.t:0 "The Fa'amatai System"
 polynesian.35.d:0 "The chiefly system or Fa'amatai is a decentralized way of government traditional in Samoa. It allows the Tama-a-Aiga or Sons of the Families, the four major titleholders of the islands to lead over the royal families in Samoa. Every ruler of these islands has held one of these titles. This system has granted us a great degree of stability, but it is also a block to total power."
 polynesian.35.a:0 "We will respect the traditions."
 polynesian.35.b:0 "This system is old-fashioned and goes against our interests."
 respect_faamatai_mod:0 "Respected the Fa'amatai System"
 desc_respect_faamatai_mod:0 "The Fa'amatai System is what makes our society work, so keeping it is a must."
 end_faamatai_mod:0 "Ended the Fa'amatai System"
 desc_end_faamatai_mod:0 "The Fa'amatai System is of no use for us, so we got rid of it."
 #Tongan Events
 polynesian.36.t:0 "The Royal Tatatau"
 polynesian.36.d:0 "Despite most Tongan men being heavily tattooed, our rulers are usually not. That's due to the high rank our ruler has, which means that nobody can touch him. To avoid this limitation, it is traditional to go to Samoa to be tattooed."
 polynesian.36.a:0 "We will visit Samoa to be tattooed as it is the custom."
 opinion_tattoo_done:0 "Tongan King was Tattooed in Samoa"
 polynesian.36.b:0 "Samoa has nothing to offer us."
 opinion_tattoo_not_done:0 "Tongan King Rejected Samoan Tattoo"
 polynesian.37.t:0 "A Second Ha'amonga 'a Maui"
 polynesian.37.d:0 "Some generations ago, Tu'itatui, the eleventh Tu'i Tonga, erected the Ha'amonga 'a Maui or The Burden of Maui, a giant coral limestone supported by another two not smaller ones forming something similar to a gate, in honor of his two sons. Our ruler [Root.Monarch.GetName] wishes to have a similar structure built to honor his children, as [Root.GetMSheHe] is quite moved by the story, despite its obvious cost. What shall be done?"
 polynesian.37.a:0 "All hail [Root.Monarch.GetName]!"
 polynesian.37.b:0 "We cannot afford that, even if [Root.Monarch.GetName] gets angry."
 polynesian.38.t:0 "Wood Carving Experts"
 polynesian.38.d:0 "Our craftsmen are skilled in the art of wood carving. Not only are they experts in creating common tools such as head rests or kali, food bowls, cult images or weapons, but they are also well known all across the pacific for their skill at inlaying pearl-shell or ivory in wood. Fijians love to treasure our war clubs. We have to take advantage of that love for our crafts."
 polynesian.38.a:0 "This will greatly benefit us."
 tongan_fijian_trade_mod:0 "Tongan-Fijian Trade"
 desc_tongan_fijian_trade_mod:0 "Fijians love our carved war clubs."
 polynesian.39.t:0 "Royal Mound Desecrated"
 polynesian.39.d:0 "During a celebration, the oldest son of an influential clan's leader has drunk too much and desecrated unwillingly the tomb of one of our dead kings. This is a big insult and the youngster knows that. Despite his beggings and promises to repay the harm done, some voices advice [Root.Monarch.GetName] to kill him to clean the shame for the dynasty. Of course, there are others fearing a possible uprising from his clan should we kill their future ruler."
 polynesian.39.a:0 "Despite his remorse, he has to die."
 polynesian.39.b:0 "We are in no position to risk a civil war right now."
 polynesian.40.t:0 "Fijian War Canoes"
 polynesian.40.d:0 "Our homeland is rich in many resources, but it lacks the needed amount of big trees to build big war canoes. Luckily for us, the islands of Fiji are close to us and their canoe building skills are legendary. We should strengthen the commerce with those islands to maintain our navy strong."
 polynesian.40.a:0 "The price is acceptable."
 polynesian.40.b:0 "We cannot afford it now."
 fijian_canoes_good_mod:0 "Fijian War Canoes"
 desc_fijian_canoes_good_mod:0 "We are importing war canoes from Fiji."
 fijian_canoes_bad_mod:0 "Fijian War Canoes"
 desc_fijian_canoes_bad_mod:0 "We are in need of big trees for war canoes."
 #Easter Eggs
 polynesian.41.t:0 "A Strange Creature"
 polynesian.41.d:0 "Our ruler Lilo has come back from her daily walk around our beautiful island. By her side a small, blueish creature walks clumsily, grabbing her hand. Nobody has ever seen a creature like that, but neither anyone dares to speak about it. The creature cannot stop babbling as if it was plotting something."
 polynesian.41.a:0 "What do the Gods mean with this?"
 polynesian.42.t:0 "Menehune Blessing"
 polynesian.42.d:0 "During the night, our ruler [Root.Monarch.GetName] has been seen entering the woods. Some guards tried to stop [Root.Monarch.GetHerHim], but with a gesture of the hand, [Root.GetMSheHe] told them to leave [Root.Monarch.GetHerHim] alone. A few hours later, [Root.GetMSheHe] came back with a big smile in [Root.GetMJOGO] face.\n'I talked to a Menehune tonight' [Root.GetMSheHe] claimed. True or false, since that day everything has been better in the realm."
 polynesian.42.a:0 "They exist."
 menehune_blessing_mod:0 "Menehune Blessing"
 desc_menehune_blessing_mod:0 "A Menehune has blessed our realm and our rulers."
 polynesian.43.t:0 "A Strange Advisor"
 polynesian.43.d:0 "After a long trip, our queen Moana has come back to our shores accompanied by a tall and muscular man, covered in tattoos. Now, she is always seen in this man's company and apparently listens to his advice. Perhaps it is time to invite him to the court, despite the gossip about him."
 polynesian.43.a:0 "Is he Maui?"
 estate_regency_events.1.t:0 "Лідерство стану поставлено під сумнів"
 estate_regency_events.1.d:0 "Протягом останніх кількох місяців у нашій державі одна з фракцій набирала силу, а тепер вони вважають себе лідерами, які повинні панувати під час цього регентства. Їхні вимоги починалися як плітки; хтось нашептав, що та чи інша особа незадоволена напрямком, вякому прямує держава, інший каже, що провідна фракція не так сильна, як ця друга, або що вони не так представлені в регентстві, як слід було б, і так далі. Ці плітки тривають тижнями, а в наші дні їхня присутність при дворі абсолютно зрозуміла, до такої міри, що фракція, що оскаржує владу нашого регента, відкрито заявляє про це. Регент стурбован[Root.GetMEndAYJ], з цілком очевидних причин, і бачить, що сила [Root.GetMJOGO] власної фракції ослаблена настільки, що викликає сумніви, що вона зможе дати відсіч. Настав час прийняти рішення, яке змінить нашу державу."
 estate_regency_events.1.a:0 "Немає іншого виходу, окрім як погодитися зі зміною керівництва."
 estate_change_tooltip:0 "Провідний стан поступиться владою на користь претендента."
 estate_regency_events.1.b:0 "Вони повинні підтримувати регента на благо держави."
 estate_displeased_tooltip:0 "Стан, що очолює регентство, буде незадоволений."
 coup_attempt_starts_tooltip:0 "Відбудеться переворот."
 estate_regency_events.2.t:0 "Зловживання регентства"
 estate_regency_events.2.d:0 "Для багатьох бути на чолі – це не що інше, як можливість просувати свої особисті інтереси. І це саме те, від чого страждає наша держава. Незаперечна і сп'яніла владою фракція, що стоїть за нашим регентом і, ймовірно, [Root.GetMSheHe] сам[Root.GetMEndA], теж наполягає на наданні деяких привілеїв. Оскільки ми знаходимося на слабких позиціях, відмова прийняти їхні вимоги може бути небезпечним ходом, до того ж ми можемо обрати шлях до власного прокляття. З іншого боку, якщо їм вдасться закріпити свою владу, їх буде складно усунути, якщо вони відмовляться відійти від керівництва, коли у нас з'явиться належний правитель."
 estate_regency_events.2.a:0 "Ми приймемо їхні вимоги. Поки що."
 estate_regency_events.2.b:0 "Можливо, ми можемо підкупити їх і сподіватися, що вони про це забудуть."
 estate_regency_events.2.c:0 "Вони нічого не отримають. Вони повинні служити державі, а не своїм інтересам."
 estate_regency_events.3.t:0 "Регент-тиран"
 estate_regency_events.3.d:1 "Кровна помста – це те, що спричиняє падіння монархій, але вона так само стара, як і саме людство. Наш[Root.GetMEndA] регент[Root.GetMEndKaLj] [Root.Monarch.GetName] вважає, що перебування при владі – це чудова можливість позбутися деяких політичних ворогів і супротивників. [Root.GetMSheHeCap] використовує свою регентську владу, щоби безжально заткнути будь-який голос, що говорить проти н[Root.GetMEndEJijogo] або [Root.GetMJOGO] фракції, навіть у тих випадках, коли опоненти нічого не роблять, просто тому, що [Root.GetMSheHe] це може. Звичайно, інші фракції не особливо задоволені тим, як йдуть справи та можуть спробувати завдати удар у відповідь. Зараз ми знаходимося на роздоріжжі, коли ми повинні вирішити, що робити і чи слід нам втрутитися?"
 estate_regency_events.3.a:0 "Ми повинні довіряти [Root.Monarch.GetTitleOMU], сподіваючись, що все закінчиться добре."
 estate_regency_events.3.b:0 "Це тиранія і вона ще нам відгунеться, якщо ми дозволимо цьому статися."
 estate_regency_events.4.t:0 "Регент пропонує корону"
 estate_regency_events.4.d:0 "Ми не могли повірити новинам, які донесли до нас вірні піддані. Регент[Root.GetMEndKaLj] та [Root.GetMJOGO] фракція дуже незадоволені, що спадкоєм[Root.GetHEndYcia] та [Root.Heir.GetHerHis] прихильниками, здійснили зухвалий крок, і запропонували корону нашої нації іншій державі! Ми не можемо нічого вдіяти, крім як чекати та сподіватися, що наші вороги не скористаються цією можливістю, щоб напасти на нас і забрати корону в нашо[Root.GetHEndEndJiGO] законно[Root.GetHEndEndJiGO] спадкоєм[Root.GetHEndCiaYci]."
 estate_regency_events.4.a:0 "Зрада!"
 estate_regency_events.5.t:0 "Бюргери викликають проблеми"
 estate_regency_events.5.d:0 "Кажуть, що бюргери переймаються тільки грошима. Поки грошей багато, вони щасливі та не завдадуть багато проблем. Принаймні, так ми думали. [Root.Monarch.GetName] та [Root.GetMJOGO] фракція використали свою владу для подальшого розвитку деяких сумнівних підприємств, поки вони були у владі. Контрабанда для нас не є чимось новим, – ми знаємо, що вона існує, а ми не вперше закриваємо на це очі. Але цього разу ці незаконні дії роздратували іншу державу, тому вона може використати цей інцидент як привід оголосити нам війну та отримати певну компенсацію. На жаль, вона не готова вести переговори."
 estate_regency_events.5.a:0 "Нам залишається тільки чекати."
 estate_regency_events.6.t:0 "Нетерпимість зростає"
